# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871933. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],Δδ18O [‰]
416,0.789
416.5,0.8739
417,0.8822
417.5,0.7956
418,0.7142
418.5,0.8525
419,0.9639
419.5,0.9992
420,0.9068
420.5,0.835
421,0.8581
421.5,0.8604
422,0.8156
422.5,0.9044
423,0.6546
423.5,0.588
424,0.5594
424.5,0.7024
425,0.8635
425.5,1.2172
426,3.2119
426.5,6.6835
427,8.2375
427.5,9.1019
428,8.4318
428.5,6.3996
429,5.9238
429.5,5.6457
430,5.6673
430.5,5.0323
431,4.2093
431.5,3.3059
432,2.8656
432.5,3.2081
433,3.096
433.5,2.8619
434,3.6358
434.5,5.1362
435,5.643
435.5,5.3034
436,4.7051
436.5,3.797
437,3.0711
437.5,2.6938
438,2.3896
438.5,2.264
439,2.1633
439.5,2.1237
440,2.0787
440.5,1.9676
441,1.9456
441.5,1.9159
442,0.6664
442.5,1.3927
443,1.9387
443.5,2.0841
444,2.3233
444.5,2.4507
445,2.512
445.5,2.6591
446,2.9596
446.5,3.3691
447,3.9516
447.5,4.3748
448,4.1502
448.5,3.7991
449,3.244
449.5,2.6357
450,2.3831
450.5,2.2536
451,2.3742
451.5,2.6625
452,3.7292
452.5,5.3996
453,6.2299
453.5,6.2301
454,6.1652
454.5,6.0066
455,5.8493
455.5,5.6921
456,5.229
456.5,3.7336
457,2.3651
457.5,2.384
458,2.5529
458.5,2.157
459,1.6815
459.5,1.459
460,1.373
460.5,1.3849
461,1.402
461.5,1.3736
462,1.2557
462.5,1.3087
463,1.5968
463.5,2.1691
464,3.5327
464.5,4.8828
465,5.7349
465.5,5.9122
466,5.4156
466.5,4.4723
467,3.1227
467.5,1.7758
468,1.2415
468.5,0.8664
469,0.8998
