/* DESCRIPTION:
Reference:	Fleitmann, D., H. Cheng, S. Badertscher, R.L. Edwards, M. Mudelsee, O.M. Göktürk, A. Fankhauser, R. Pickering, C.C. Raible, A. Matter, J. Kramers, and O. Tüysüz.  2009. Timing and climatic impact of Greenland interstadials recorded in stalagmites from northern Turkey. Geophys. Res. Lett., 36, L19707, doi:10.1029/2009GL040050
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/8637. Accessed 22 Nov 2022.
Comment:	Years were converted to ka.
*/
Age [ka BP]	  del13C	    del18O
0.80848	-10.12	-8.16
0.81581	-10.15	-8.26
0.82313	-10.1	-8.24
0.83046	-10.17	-8.17
0.83779	-10.07	-8.25
0.84512	-10.04	-8.47
0.85245	-10.04	-8.27
0.85978	-10.02	-8.1
0.8671	-10.18	-8.08
0.87443	-10.36	-8.2
0.88176	-10.28	-8.26
0.88909	-10.21	-8.22
0.89642	-10.26	-8.32
0.90375	-10.09	-8.2
0.91107	-10.16	-8.25
0.9184	-10.15	-8.14
0.92573	-10.1	-7.98
0.93306	-9.92	-7.97
0.94039	-10.1	-8.01
0.94772	-9.97	-7.98
0.95504	-9.84	-7.98
0.96237	-9.98	-8.02
0.9697	-9.99	-8.03
0.97703	-10.06	-8.16
0.98436	-10.13	-8.25
0.99169	-10.02	-8.17
0.99901	-10.02	-8.17
1.00634	-10.13	-8.23
1.01367	-10.04	-8.15
1.021	-10.26	-8.11
1.02868	-10.06	-8.19
1.03636	-10.27	-8.37
1.04404	-10.28	-8.34
1.05172	-10.15	-8.14
1.05941	-10.15	-8.06
1.06709	-10.24	-8.11
1.07477	-10.23	-8.19
1.08245	-10.1	-8.16
1.09013	-10.29	-8.1
1.09781	-9.84	-8.05
1.10549	-9.81	-7.87
1.11317	-9.86	-7.85
1.12086	-9.99	-8.03
1.12854	-9.85	-8.18
1.13622	-9.86	-8.27
1.1439	-9.8	-8.31
1.15158	-9.76	-8.16
1.15926	-9.94	-8.13
1.16694	-9.81	-8.34
1.17462	-10.1	-8.39
1.1823	-10.13	-8.62
1.18999	-9.93	-8.52
1.19767	-9.68	-8.35
1.20535	-9.57	-8.41
1.21303	-9.61	-8.34
1.22071	-9.76	-8.26
1.22839	-10.03	-8.36
1.23607	-9.8	-8.4
1.24375	-9.83	-8.19
1.25143	-9.84	-8.26
1.25912	-10.24	-8.32
1.2668	-10.21	-8.16
1.27448	-10.48	-8
1.28216	-10.66	-7.97
1.28984	-10.62	-8.2
1.29752	-10.46	-8.28
1.3052	-10.64	-8.23
1.31288	-10.85	-8.22
1.32057	-10.73	-8.27
1.32825	-10.76	-8.18
1.33593	-10.69	-8.19
1.34361	-10.71	-8.18
1.35129	-10.83	-8.21
1.35897	-10.66	-8.34
1.36665	-10.25	-8.44
1.37433	-10.29	-8.33
1.38201	-10.38	-8.38
1.3897	-10.34	-8.47
1.39738	-10.3	-8.43
1.40506	-10.34	-8.31
1.41274	-10.34	-8.09
1.42042	-10.31	-7.91
1.4281	-10.4	-7.99
1.43578	-10.28	-8.05
1.44346	-10.04	-8.35
1.45114	-10.06	-8.34
1.45883	-9.96	-8.29
1.46651	-10.14	-8.16
1.47419	-10.08	-8.16
1.48187	-10.11	-8.23
1.48955	-10.01	-8.18
1.49723	-9.63	-7.71
1.50491	-9.57	-7.85
1.51259	-9.54	-7.85
1.52028	-9.43	-7.99
1.52796	-9.43	-7.89
1.53564	-9.61	-7.84
1.54332	-9.47	-7.67
1.551	-9.39	-7.55
1.55852	-9.51	-7.5
1.56604	-9.43	-7.5
1.57356	-9.48	-7.67
1.58108	-9.66	-7.71
1.5886	-9.67	-7.75
1.59612	-9.68	-7.66
1.60363	-9.72	-7.69
1.61115	-9.84	-7.92
1.61867	-9.79	-7.97
1.62619	-10.17	-7.9
1.63371	-10.18	-8.08
1.64123	-10.41	-8.12
