/* DESCRIPTION:
Reference:	Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/6417
Comment:	Empty data points were removed.
*/
Depth [cm]	Age [ka]	d18O (G.ruber w.)	d18O (G. crassaf.)	d18O (U.peregr.)	SST [C] from Mg/Ca	Coarse carb. [%]
980	42656	-0.041		3.385	22.55	9.168
985	43018	-0.153		3.45	25.31	6.873
990	43380	-0.04		3.868	22.65	5.711
995	43742	-0.089		3.947	22.67	8.504
1000	44104	0.399		4.034	22.11	13.942
1005	44466	-0.093		4.082	22.42	9.903
1010	44828	-0.028		4.157	22.96	23.402
1015	45190	-0.023		3.893	23.51	23.296
1020	45552	-0.557			24.43	29.667
1025	45914	-0.918		4.087	26.63	30.133
1030	46276	-1.237		3.847	24.56	23.693
1035	46638	-0.889		4.048	25.35	28.716
1040	47000	-0.338		4.009	25.57	24.48
1045	47556	0.166		3.999	24.82	30.365
1048	47889	-0.267		4.001	23.33	31.301
1052	48333	-0.57		4.083	24.42	
1055	48667	-0.06		3.951	25.2	24.308
1060	49222	-0.174		3.769	24.53	28.915
1065	49778	0.019		3.943	24.08	22.423
1070	50333	-0.052		2.57	24.9	6.373
1075	50889	-0.7		3.73	24.82	17.715
1080	51444	-0.486		3.315	25.58	21.749
1085	52000	-0.316		3.274	25.84	14.597
1090	52556	-0.712		3.405	25.59	11.688
1095	53111	0.267		3.437	24.62	
1100	53667	0.529		3.613	24.7	15.488
1105	54222	-0.037		3.626	24.87	
1110	54778	0.586		3.597	26.93	22.367
1115	55333	0.766		3.773	25.22	16.466
1120	55889	-0.129		3.764	24.29	15.198
1125	56444	0.091		3.83	24.54	22.129
1130	57000	0.531		4.027	24.4	14.322
1135	57556	-0.131		4.19	24.07	10.278
1140	58111	0.068		3.803	26.11	11.284
1145	58667	0.251		4.071	24.61	5.701
1150	59222	0.548		4.001	25.04	8.895
1155	59778	0.683		3.943	24.57	7.388
1160	60333	0.224		3.776	24.06	12.103
1165	60889	-0.114		3.973	25.58	11.537
1170	61444	0.576		3.945	25.08	13.938
1175	62000	0.533		3.958	24.44	13.416
1180	62556	0.533		3.957	24.26	16.503
1185	63111	0.391		3.734	24.99	16.843
1190	63667	0.301		4.083	23.94	17.492
1195	64222	0.311		4.192	23.78	18.118
1198	64556	0.195		4.055	24.2	18.365
1202	65000	-0.171		4.294	21.72	17.994
1205	65795	0.064		4.225	22.95	22.673
1210	67120	-0.17		4.2	23.11	17.323
1215	68446	-0.015		4.149	23.85	18.948
1220	69771	0.133		3.252	23.87	13.691
1225	71096	-0.001		3.988	24.58	23.531
1230	72422	-0.313		3.907	24.28	22.13
1235	73747	-0.017		3.927	24.63	22.638
1240	75072	0.204		3.609	25.11	18.259
1245	76398	0.359		3.853	25.32	19.628
1250	77723	-0.3		3.778	25.51	27.154
1255	79048	-0.075		3.416	24.39	21.998
1260	80373	-0.85		3.349	24.82	24.595
1265	81699	-1.268		3.414	25.26	29.723
1270	83024	-0.775		3.426	25.86	30.809
1275	84349	-1.071		3.286	25.39	21.433
1280	85675	-1.484		3.595	26.02	18.038
1285	87000	-0.756		3.636	25.53	16.004
1290	88048	-0.498		3.952	24.63	21.788
1295	89095	-0.003		3.849	24.03	25.059
1300	90143	-0.786		3.919	25.41	28.287
1305	91190	-0.361		3.725	24.94	24.17
1310	92238	-0.438		3.546	25.35	26.276
1315	93286	-0.818		3.729	25.43	25.498
1320	94333	-0.774		3.603	24.17	22.97
1325	95381	-0.29		3.541	25.53	22.144
1330	96429	-0.532		3.462	26.84	22.52
1335	97476	-0.703		3.536	26.81	26.226
1340	98524	-1.158		3.219	27.34	21.239
1345	99571	-0.998		3.333	26.88	25.412
1348	100200	-0.747		3.177	27.04	23.772
