# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
1.97,2.12,17.89,38786,5014,4471
1.98,2.13,18,36891,4561,4627
1.99,2.14,18.12,38947,4480,3954
2,2.15,18.23,38459,5024,4644
2.01,2.16,18.35,39893,4890,4448
2.07,2.22,19.04,38570,4468,4285
2.08,2.23,19.16,36818,4117,3968
2.09,2.24,19.28,37287,4485,4332
2.1,2.25,19.39,38624,4719,4320
2.11,2.26,19.51,36651,4394,4125
2.12,2.27,19.62,36382,4218,4301
2.13,2.28,19.74,37668,4288,3850
2.14,2.29,19.85,36554,4233,4154
2.15,2.3,19.97,35700,4492,4149
2.16,2.31,20.09,36613,4270,4164
2.17,2.32,20.2,36515,4272,4269
2.18,2.33,20.32,36952,4241,4005
2.19,2.34,20.43,37442,4223,4013
2.2,2.35,20.55,35415,4312,4137
2.21,2.36,20.67,37505,4415,4171
2.22,2.37,20.78,38188,4516,4467
2.23,2.38,20.9,36538,4522,4055
2.24,2.39,21.01,36488,4485,4078
2.25,2.4,21.13,36059,4668,4147
2.26,2.41,21.24,36642,4412,4361
2.32,2.47,21.94,37563,4554,4410
2.33,2.48,22.06,36049,4283,4160
2.34,2.49,22.17,36048,3953,4288
2.35,2.5,22.29,35270,4116,4085
2.36,2.51,22.4,36879,4251,4262
2.37,2.52,22.52,35191,4050,4302
2.38,2.53,22.63,36402,4223,4321
2.39,2.54,22.75,34587,4005,3808
2.44,2.59,23.33,36805,4267,4555
2.45,2.6,23.45,36290,4411,4492
2.46,2.61,23.56,34933,4335,4512
2.47,2.62,23.68,34875,4063,4115
2.48,2.63,23.79,35436,4172,4244
2.49,2.64,23.91,37548,4758,4446
2.5,2.65,24.03,36731,4558,4446
2.51,2.66,24.08,36432,4731,4374
2.52,2.67,24.14,40000,5280,4766
2.53,2.68,24.2,38620,5404,4525
2.54,2.69,24.26,37639,5247,4957
2.55,2.7,24.31,37575,5430,4604
2.56,2.71,24.37,39524,5704,5172
2.57,2.72,24.43,38035,5847,5154
2.58,2.73,24.49,36748,5606,5082
2.59,2.74,24.54,37430,5733,5202
2.6,2.75,24.6,37799,6083,5265
2.61,2.76,24.66,37016,5517,4953
2.62,2.77,24.72,37899,5981,5380
2.63,2.78,24.77,37880,5624,5485
2.64,2.79,24.83,37350,6081,5666
2.65,2.8,24.89,35758,5778,4944
2.67,2.82,25,38796,4922,4947
2.68,2.83,25.06,38093,4589,4645
2.69,2.84,25.12,35879,4316,4386
2.7,2.85,25.18,36459,4463,4512
2.71,2.86,25.23,37415,4300,4614
2.76,2.91,25.52,37849,4188,4537
2.77,2.92,25.58,37796,4127,4329
2.78,2.93,25.64,39072,4443,4029
2.79,2.94,25.69,38789,4316,4039
2.81,2.96,25.81,42776,4423,4203
2.82,2.97,25.87,41225,4307,4147
2.83,2.98,25.92,36609,4188,3981
2.84,2.99,25.98,36223,3791,3845
2.85,3,26.04,35242,3861,3701
2.86,3.01,26.1,35636,4322,4336
2.87,3.02,26.15,35455,4295,3945
2.88,3.03,26.21,37774,4338,4090
2.9,3.05,26.33,37629,4489,4106
2.92,3.07,26.44,35480,3986,4330
2.93,3.08,26.5,36224,4239,4278
2.94,3.09,26.56,36670,4083,4443
2.95,3.1,26.61,38877,4244,4343
3,3.15,27.02,32336,3459,4021
3.01,3.16,27.1,32505,3360,3894
3.02,3.17,27.19,36264,4274,4660
3.03,3.18,27.27,37238,4176,4602
3.04,3.19,27.35,39937,4028,4601
3.05,3.2,27.43,36578,4156,4690
3.06,3.21,27.51,35522,4041,4347
3.07,3.22,27.59,38377,4061,4682
3.08,3.23,27.67,38004,4415,4866
3.09,3.24,27.76,39859,4294,4976
3.1,3.25,27.84,37736,4462,5286
3.11,3.26,27.92,39976,4344,4771
3.12,3.27,28,39584,4195,4887
3.13,3.28,28.08,41553,4476,5088
3.14,3.29,28.16,40014,4273,5210
3.15,3.3,28.25,40534,4593,4983
3.16,3.31,28.33,41748,4235,4906
3.17,3.32,28.41,38487,4385,5078
