# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
444.77,2.114,1931.87,0.28
445.68,2.119,1936.58,0.29
446.6,2.124,1941.27,0.29
447.52,2.129,1946.3,0.29
448.53,2.134,1951.47,0.29
449.53,2.139,1956.46,0.29
450.45,2.144,1961.45,0.3
451.37,2.149,1966.34,0.3
452.1,2.154,1970.94,0.3
452.93,2.159,1975.53,0.29
453.61,2.164,1980.14,0.28
454.58,2.169,1984.81,0.28
455.4,2.174,1989.67,0.29
456.5,2.179,1994.76,0.29
457.23,2.184,1999.81,0.29
458.15,2.189,2004.88,0.29
458.98,2.194,2009.85,0.28
459.8,2.199,2014.67,0.28
460.63,2.204,2019.4,0.27
461.45,2.209,2024.14,0.27
462.28,2.214,2028.9,0.26
463.1,2.219,2033.85,0.28
464.02,2.224,2039.02,0.28
464.93,2.229,2044.14,0.28
465.85,2.234,2049.34,0.27
466.77,2.239,2054.43,0.27
467.64,2.244,2059.41,0.27
468.42,2.249,2064.33,0.27
469.33,2.254,2069.32,0.25
470.11,2.259,2074.31,0.25
471.17,2.264,2079.39,0.26
472.08,2.269,2084.47,0.27
473,2.274,2089.6,0.27
473.83,2.279,2094.48,0.27
474.65,2.284,2099.39,0.28
475.48,2.289,2104.37,0.29
476.3,2.294,2109.42,0.29
477.26,2.299,2114.44,0.29
478.13,2.304,2119.65,0.29
479.05,2.309,2124.87,0.29
479.97,2.314,2129.98,0.28
480.88,2.319,2135.29,0.27
481.8,2.324,2140.62,0.27
482.72,2.329,2146.04,0.27
483.63,2.334,2151.5,0.28
484.55,2.339,2156.95,0.28
485.47,2.344,2162.31,0.28
486.2,2.349,2167.5,0.27
487.12,2.354,2172.69,0.27
488.03,2.359,2177.79,0.27
488.95,2.364,2182.87,0.27
489.87,2.369,2187.92,0.27
490.6,2.374,2193.15,0.27
491.52,2.379,2198.19,0.27
492.43,2.384,2203.16,0.27
493.35,2.389,2208.25,0.28
494.18,2.394,2213.22,0.28
495,2.399,2218.14,0.28
495.92,2.404,2223.02,0.28
496.83,2.409,2228.03,0.28
497.61,2.414,2232.9,0.27
498.67,2.419,2237.81,0.26
499.4,2.424,2242.68,0.26
500.13,2.429,2247.51,0.28
501.05,2.434,2252.31,0.28
501.97,2.439,2257.16,0.28
502.88,2.444,2262.11,0.28
503.66,2.449,2266.97,0.27
504.63,2.454,2271.86,0.28
505.45,2.459,2276.61,0.28
506.28,2.464,2281.44,0.28
507.1,2.469,2286.24,0.28
507.93,2.474,2291.23,0.29
508.75,2.479,2296.16,0.3
509.85,2.484,2301.2,0.31
510.58,2.489,2306.15,0.3
511.5,2.494,2311.16,0.29
512.23,2.499,2316.07,0.29
513.15,2.504,2320.92,0.29
513.98,2.509,2325.76,0.29
514.8,2.514,2330.68,0.28
515.53,2.519,2335.45,0.27
516.45,2.524,2340.37,0.27
517.18,2.529,2345.33,0.26
518.1,2.534,2350.4,0.27
518.93,2.539,2355.41,0.27
519.93,2.544,2360.37,0.27
520.71,2.549,2365.16,0.28
521.4,2.554,2369.88,0.28
522.13,2.559,2374.44,0.27
522.91,2.564,2379.03,0.27
523.74,2.569,2383.94,0.27
524.52,2.574,2389.01,0.26
525.43,2.579,2394.26,0.26
526.35,2.584,2399.4,0.26
527.31,2.589,2404.53,0.26
528.14,2.594,2409.57,0.28
528.92,2.599,2414.61,0.29
529.83,2.604,2419.72,0.29
