# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
1867.22,49.529,48640.98,0.34
1867.26,49.534,48644.53,0.34
1867.3,49.539,48648.02,0.34
1867.33,49.544,48651.54,0.34
1867.37,49.549,48655.18,0.34
1867.41,49.554,48658.74,0.34
1867.45,49.559,48662.45,0.34
1867.48,49.564,48666.06,0.33
1867.52,49.569,48669.69,0.33
1867.56,49.574,48673.49,0.33
1867.6,49.579,48677.17,0.33
1867.63,49.584,48680.86,0.33
1867.67,49.589,48684.58,0.33
1867.71,49.594,48688.48,0.33
1867.75,49.599,48692.22,0.33
1867.79,49.604,48695.99,0.33
1867.83,49.609,48699.78,0.33
1867.87,49.614,48703.76,0.33
1867.91,49.619,48707.57,0.33
1867.95,49.624,48711.4,0.33
1867.99,49.629,48715.24,0.33
1868.03,49.634,48719.04,0.33
1868.07,49.639,48722.85,0.34
1868.11,49.644,48726.68,0.34
1868.15,49.649,48730.7,0.34
1868.19,49.654,48734.51,0.34
1868.24,49.659,48738.34,0.34
1868.28,49.664,48742.16,0.34
1868.32,49.669,48745.99,0.34
1868.36,49.674,48749.82,0.34
1868.4,49.679,48753.82,0.34
1868.45,49.684,48757.65,0.34
1868.49,49.689,48761.48,0.35
1868.53,49.694,48765.32,0.35
1868.58,49.699,48769.15,0.35
1868.62,49.704,48772.98,0.35
1868.66,49.709,48776.81,0.35
1868.71,49.714,48780.77,0.35
1868.75,49.719,48784.59,0.35
1868.8,49.724,48788.42,0.35
1868.84,49.729,48792.24,0.35
1868.88,49.734,48796.06,0.35
1868.93,49.739,48799.88,0.36
1868.97,49.744,48803.82,0.36
1869.02,49.749,48807.63,0.36
1869.06,49.754,48811.44,0.36
1869.11,49.759,48815.25,0.36
1869.15,49.764,48819.05,0.36
1869.2,49.769,48822.95,0.36
1869.24,49.774,48826.72,0.36
1869.29,49.779,48830.47,0.36
1869.33,49.784,48834.23,0.36
1869.38,49.789,48837.99,0.36
1869.42,49.794,48841.86,0.36
1869.47,49.799,48845.61,0.36
1869.51,49.804,48849.38,0.36
1869.56,49.809,48853.16,0.37
1869.6,49.814,48856.94,0.37
1869.65,49.819,48860.82,0.37
1869.69,49.824,48864.61,0.37
1869.74,49.829,48868.4,0.37
1869.78,49.834,48872.2,0.37
1869.83,49.839,48876,0.37
1869.87,49.844,48879.89,0.37
1869.92,49.849,48883.71,0.37
1869.96,49.854,48887.54,0.37
1870.01,49.859,48891.37,0.37
1870.05,49.864,48895.22,0.38
1870.09,49.869,48899.07,0.38
1870.14,49.874,48902.98,0.38
1870.18,49.879,48906.84,0.38
1870.22,49.884,48910.7,0.38
1870.26,49.889,48914.57,0.38
1870.31,49.894,48918.46,0.38
1870.35,49.899,48922.34,0.38
1870.39,49.904,48926.24,0.38
1870.43,49.909,48930.15,0.38
1870.47,49.914,48934.08,0.38
1870.52,49.919,48938.01,0.38
1870.56,49.924,48941.94,0.38
1870.6,49.929,48945.88,0.38
1870.65,49.934,48949.84,0.38
1870.69,49.939,48953.8,0.38
1870.73,49.944,48957.76,0.38
1870.78,49.949,48961.73,0.38
1870.82,49.954,48965.71,0.38
1870.86,49.959,48969.7,0.38
1870.91,49.964,48973.7,0.38
1870.95,49.969,48977.71,0.38
1871,49.974,48981.74,0.38
1871.04,49.979,48985.78,0.38
1871.08,49.984,48989.84,0.38
1871.12,49.989,48993.98,0.38
1871.17,49.994,48998.1,0.38
1871.21,49.999,49002.25,0.38
1871.25,50.004,49006.44,0.38
1871.29,50.009,49010.67,0.38
1871.33,50.014,49014.99,0.38
1871.37,50.019,49019.29,0.38
1871.41,50.024,49023.64,0.38
1871.45,50.029,49028.09,0.38
1871.49,50.034,49032.53,0.38
1871.53,50.039,49037.06,0.38
1871.57,50.044,49041.59,0.38
1871.61,50.049,49046.22,0.37
1871.65,50.054,49050.85,0.37
1871.69,50.059,49055.57,0.37
1871.74,50.064,49060.33,0.37
1871.78,50.069,49065.12,0.37
1871.83,50.074,49069.94,0.37
1871.87,50.079,49074.8,0.37
1871.92,50.084,49079.7,0.37
1871.96,50.089,49084.62,0.37
1872.01,50.094,49089.58,0.36
1872.05,50.099,49094.56,0.36
1872.09,50.104,49099.57,0.36
1872.14,50.109,49104.58,0.36
1872.18,50.114,49109.6,0.37
1872.23,50.119,49114.64,0.37
1872.27,50.124,49119.68,0.37
1872.31,50.129,49124.73,0.37
1872.36,50.134,49129.79,0.37
1872.4,50.139,49134.84,0.37
1872.44,50.144,49139.95,0.37
1872.49,50.149,49145.03,0.38
1872.53,50.154,49150.12,0.38
1872.58,50.159,49155.2,0.38
1872.62,50.164,49160.3,0.38
1872.66,50.169,49165.4,0.38
1872.71,50.174,49170.52,0.39
1872.75,50.179,49175.64,0.39
1872.79,50.184,49180.95,0.39
1872.84,50.189,49186.12,0.39
1872.88,50.194,49191.32,0.39
1872.93,50.199,49196.52,0.4
1872.97,50.204,49201.98,0.4
1873.01,50.209,49207.26,0.4
1873.06,50.214,49212.8,0.4
1873.1,50.219,49218.14,0.4
1873.14,50.224,49223.77,0.4
1873.19,50.229,49229.2,0.4
1873.23,50.234,49234.94,0.4
1873.27,50.239,49240.71,0.39
1873.32,50.244,49246.26,0.39
1873.36,50.249,49252.13,0.39
1873.4,50.254,49258.08,0.38
1873.45,50.259,49264.06,0.38
1873.49,50.264,49270.08,0.38
1873.53,50.269,49276.16,0.37
1873.58,50.274,49282.29,0.37
1873.62,50.279,49288.69,0.36
1873.66,50.284,49294.91,0.36
1873.7,50.289,49301.14,0.35
1873.75,50.294,49307.57,0.35
1873.79,50.299,49313.86,0.34
1873.83,50.304,49320.18,0.34
1873.88,50.309,49326.61,0.33
1873.92,50.314,49332.94,0.33
1873.96,50.319,49339.28,0.33
1874.01,50.324,49345.69,0.33
1874.05,50.329,49352.02,0.32
1874.09,50.334,49358.35,0.32
1874.13,50.339,49364.66,0.32
1874.18,50.344,49370.92,0.32
1874.22,50.349,49377.18,0.32
1874.26,50.354,49383.43,0.32
1874.31,50.359,49389.68,0.32
1874.35,50.364,49395.87,0.32
1874.39,50.369,49402.02,0.32
1874.44,50.374,49408.14,0.32
1874.48,50.379,49414.26,0.32
1874.53,50.384,49420.37,0.32
1874.57,50.389,49426.48,0.32
1874.62,50.394,49432.54,0.32
1874.66,50.399,49438.63,0.32
1874.71,50.404,49444.7,0.32
1874.75,50.409,49450.76,0.32
1874.8,50.414,49456.8,0.32
1874.84,50.419,49462.82,0.32
1874.89,50.424,49468.81,0.32
1874.93,50.429,49474.79,0.32
1874.98,50.434,49480.74,0.32
1875.02,50.439,49486.66,0.32
1875.07,50.444,49492.51,0.32
1875.11,50.449,49498.37,0.32
1875.15,50.454,49504.12,0.32
1875.2,50.459,49509.81,0.32
1875.24,50.464,49515.55,0.32
1875.29,50.469,49521.15,0.32
1875.33,50.474,49526.71,0.32
1875.38,50.479,49532.3,0.32
1875.42,50.484,49537.76,0.32
1875.47,50.489,49543.26,0.32
1875.51,50.494,49548.61,0.33
1875.56,50.499,49554.01,0.33
1875.6,50.504,49559.36,0.33
1875.65,50.509,49564.59,0.33
1875.7,50.514,49569.85,0.33
1875.75,50.519,49575.07,0.33
1875.79,50.524,49580.25,0.33
1875.84,50.529,49585.39,0.33
1875.89,50.534,49590.51,0.33
1875.94,50.539,49595.53,0.33
1875.98,50.544,49600.58,0.34
1876.03,50.549,49605.61,0.34
1876.08,50.554,49610.63,0.34
1876.13,50.559,49615.65,0.34
1876.18,50.564,49620.66,0.34
1876.22,50.569,49625.67,0.34
1876.27,50.574,49630.67,0.34
1876.32,50.579,49635.67,0.34
1876.37,50.584,49640.65,0.34
1876.42,50.589,49645.66,0.34
1876.47,50.594,49650.69,0.34
1876.51,50.599,49655.75,0.34
1876.56,50.604,49660.84,0.34
1876.61,50.609,49665.96,0.34
1876.65,50.614,49671.11,0.34
1876.7,50.619,49676.32,0.34
1876.74,50.624,49681.54,0.34
1876.79,50.629,49686.84,0.35
1876.83,50.634,49692.19,0.35
1876.88,50.639,49697.56,0.35
1876.93,50.644,49703.01,0.35
1876.97,50.649,49708.49,0.35
1877.02,50.654,49713.99,0.35
1877.06,50.659,49719.53,0.35
1877.11,50.664,49725.14,0.35
1877.15,50.669,49730.76,0.35
1877.2,50.674,49736.41,0.35
1877.25,50.679,49742.04,0.35
1877.3,50.684,49747.66,0.35
1877.34,50.689,49753.3,0.35
1877.39,50.694,49758.93,0.35
1877.44,50.699,49764.55,0.35
1877.49,50.704,49770.15,0.35
1877.54,50.709,49775.69,0.35
1877.58,50.714,49781.21,0.35
1877.63,50.719,49786.67,0.35
1877.68,50.724,49792.09,0.35
1877.73,50.729,49797.5,0.35
1877.78,50.734,49802.88,0.35
1877.82,50.739,49808.17,0.35
1877.87,50.744,49813.4,0.35
1877.91,50.749,49818.59,0.35
1877.96,50.754,49823.69,0.35
1878.01,50.759,49828.74,0.35
1878.05,50.764,49833.75,0.35
1878.1,50.769,49838.71,0.35
1878.15,50.774,49843.63,0.35
1878.19,50.779,49848.49,0.35
1878.24,50.784,49853.32,0.35
1878.29,50.789,49858.13,0.35
1878.33,50.794,49862.94,0.35
1878.37,50.799,49867.75,0.35
1878.42,50.804,49872.57,0.35
1878.46,50.809,49877.36,0.35
1878.51,50.814,49882.2,0.35
1878.55,50.819,49887.04,0.35
1878.6,50.824,49891.92,0.35
1878.64,50.829,49896.85,0.35
1878.69,50.834,49901.81,0.35
1878.73,50.839,49906.82,0.35
1878.77,50.844,49911.87,0.35
1878.82,50.849,49916.96,0.35
1878.87,50.854,49922.13,0.35
1878.91,50.859,49927.31,0.34
1878.96,50.864,49932.56,0.34
1879.01,50.869,49937.86,0.34
1879.05,50.874,49943.23,0.34
1879.1,50.879,49948.64,0.34
1879.15,50.884,49954.11,0.34
1879.19,50.889,49959.61,0.34
1879.24,50.894,49965.18,0.34
1879.29,50.899,49970.75,0.34
1879.33,50.904,49976.39,0.34
1879.38,50.909,49982.04,0.34
1879.43,50.914,49987.67,0.34
1879.47,50.919,49993.34,0.34
1879.52,50.924,49998.97,0.34
1879.56,50.929,50004.58,0.34
1879.61,50.934,50010.23,0.34
1879.66,50.939,50015.82,0.34
1879.7,50.944,50021.42,0.34
1879.75,50.949,50026.94,0.34
1879.8,50.954,50032.47,0.34
1879.84,50.959,50037.93,0.34
1879.89,50.964,50043.38,0.34
1879.94,50.969,50048.78,0.34
1879.98,50.974,50054.15,0.35
1880.02,50.979,50059.48,0.35
1880.07,50.984,50064.76,0.35
1880.11,50.989,50070.02,0.35
1880.16,50.994,50075.23,0.35
1880.2,50.999,50080.41,0.35
1880.25,51.004,50085.57,0.35
1880.29,51.009,50090.7,0.35
1880.34,51.014,50095.79,0.35
1880.38,51.019,50100.86,0.35
1880.42,51.024,50105.91,0.35
1880.47,51.029,50110.93,0.35
1880.52,51.034,50115.95,0.35
1880.57,51.039,50120.98,0.35
1880.62,51.044,50126,0.35
1880.67,51.049,50131.03,0.35
1880.72,51.054,50136.05,0.35
1880.76,51.059,50141.09,0.35
1880.81,51.064,50146.14,0.35
1880.86,51.069,50151.21,0.36
1880.91,51.074,50156.3,0.36
1880.96,51.079,50161.46,0.36
1881.01,51.084,50166.59,0.36
1881.05,51.089,50171.75,0.36
1881.1,51.094,50176.93,0.36
1881.14,51.099,50182.14,0.35
1881.19,51.104,50187.43,0.35
1881.23,51.109,50192.69,0.35
1881.28,51.114,50198.02,0.35
1881.33,51.119,50203.44,0.35
1881.37,51.124,50208.81,0.35
1881.42,51.129,50214.2,0.35
1881.46,51.134,50219.69,0.35
1881.51,51.139,50225.13,0.35
1881.55,51.144,50230.66,0.35
1881.6,51.149,50236.14,0.35
1881.64,51.154,50241.7,0.35
1881.69,51.159,50247.19,0.35
1881.73,51.164,50252.76,0.35
1881.78,51.169,50258.27,0.35
1881.83,51.174,50263.85,0.35
1881.87,51.179,50269.42,0.35
1881.92,51.184,50274.95,0.35
1881.96,51.189,50280.52,0.34
1882.01,51.194,50286.05,0.34
1882.05,51.199,50291.61,0.34
1882.1,51.204,50297.15,0.34
1882.15,51.209,50302.7,0.34
1882.19,51.214,50308.24,0.34
1882.24,51.219,50313.78,0.34
1882.28,51.224,50319.32,0.34
1882.33,51.229,50324.83,0.34
1882.37,51.234,50330.35,0.34
1882.42,51.239,50335.84,0.34
1882.46,51.244,50341.34,0.33
1882.51,51.249,50346.81,0.33
1882.55,51.254,50352.28,0.33
1882.6,51.259,50357.71,0.33
1882.64,51.264,50363.15,0.33
1882.69,51.269,50368.54,0.33
1882.73,51.274,50373.95,0.34
1882.77,51.279,50379.34,0.34
1882.82,51.284,50384.63,0.34
1882.86,51.289,50389.96,0.34
1882.9,51.294,50395.27,0.34
1882.95,51.299,50400.51,0.34
1882.99,51.304,50405.79,0.34
1883.03,51.309,50411.05,0.34
1883.08,51.314,50416.3,0.34
1883.12,51.319,50421.5,0.34
1883.17,51.324,50426.72,0.34
1883.21,51.329,50431.93,0.34
1883.26,51.334,50437.11,0.34
1883.3,51.339,50442.28,0.34
1883.35,51.344,50447.41,0.34
1883.4,51.349,50452.54,0.34
1883.45,51.354,50457.67,0.34
1883.49,51.359,50462.78,0.34
1883.54,51.364,50467.88,0.34
1883.59,51.369,50472.96,0.34
1883.64,51.374,50478.03,0.34
1883.68,51.379,50483.09,0.34
1883.73,51.384,50488.14,0.34
1883.78,51.389,50493.18,0.34
1883.82,51.394,50498.21,0.34
1883.86,51.399,50503.22,0.34
1883.91,51.404,50508.23,0.34
1883.95,51.409,50513.22,0.34
1883.99,51.414,50518.2,0.34
1884.04,51.419,50523.16,0.34
1884.08,51.424,50528.11,0.34
1884.13,51.429,50533.06,0.34
1884.17,51.434,50538,0.34
1884.21,51.439,50542.94,0.34
1884.26,51.444,50547.86,0.34
1884.3,51.449,50552.78,0.34
1884.34,51.454,50557.68,0.34
1884.38,51.459,50562.59,0.34
1884.42,51.464,50567.49,0.34
1884.46,51.469,50572.44,0.34
1884.51,51.474,50577.34,0.34
1884.55,51.479,50582.24,0.34
1884.59,51.484,50587.14,0.34
1884.63,51.489,50592.04,0.34
1884.67,51.494,50596.93,0.34
1884.71,51.499,50601.82,0.34
1884.75,51.504,50606.71,0.34
1884.79,51.509,50611.6,0.34
1884.83,51.514,50616.48,0.34
1884.88,51.519,50621.4,0.34
1884.93,51.524,50626.26,0.34
1884.97,51.529,50631.12,0.34
1885.02,51.534,50635.97,0.35
1885.06,51.539,50640.83,0.35
1885.11,51.544,50645.68,0.35
1885.16,51.549,50650.53,0.35
1885.2,51.554,50655.37,0.35
1885.25,51.559,50660.22,0.35
1885.3,51.564,50665.08,0.35
1885.34,51.569,50669.95,0.36
1885.39,51.574,50674.83,0.36
1885.44,51.579,50679.74,0.36
1885.48,51.584,50684.67,0.36
1885.53,51.589,50689.65,0.36
1885.57,51.594,50694.65,0.36
1885.62,51.599,50699.69,0.36
1885.67,51.604,50704.77,0.36
1885.71,51.609,50709.89,0.36
1885.76,51.614,50715.09,0.36
1885.8,51.619,50720.44,0.36
1885.85,51.624,50725.77,0.36
1885.9,51.629,50731.17,0.36
1885.94,51.634,50736.71,0.35
1885.99,51.639,50742.26,0.35
1886.03,51.644,50747.98,0.35
1886.08,51.649,50753.8,0.35
1886.12,51.654,50759.71,0.34
1886.17,51.659,50765.71,0.34
1886.22,51.664,50771.82,0.34
1886.26,51.669,50778.01,0.34
1886.31,51.674,50784.28,0.34
1886.35,51.679,50790.6,0.33
1886.4,51.684,50797.01,0.33
1886.45,51.689,50803.43,0.33
1886.49,51.694,50809.95,0.33
1886.53,51.699,50816.45,0.33
1886.58,51.704,50823.03,0.33
1886.62,51.709,50829.53,0.33
1886.66,51.714,50836.1,0.33
1886.71,51.719,50842.58,0.33
1886.75,51.724,50849.15,0.33
1886.79,51.729,50855.63,0.33
1886.84,51.734,50862.12,0.34
1886.88,51.739,50868.49,0.34
1886.92,51.744,50874.86,0.34
1886.96,51.749,50881.17,0.34
1887.01,51.754,50887.41,0.34
1887.05,51.759,50893.63,0.35
1887.09,51.764,50899.8,0.35
1887.14,51.769,50905.9,0.35
1887.18,51.774,50911.94,0.35
1887.23,51.779,50917.94,0.35
1887.27,51.784,50923.9,0.35
1887.32,51.789,50929.83,0.35
1887.36,51.794,50935.72,0.35
1887.41,51.799,50941.59,0.35
1887.45,51.804,50947.43,0.35
1887.49,51.809,50953.2,0.35
1887.54,51.814,50959.01,0.35
1887.58,51.819,50964.8,0.35
1887.63,51.824,50970.59,0.35
1887.68,51.829,50976.4,0.35
1887.72,51.834,50982.16,0.35
1887.77,51.839,50987.99,0.35
1887.82,51.844,50993.85,0.35
1887.87,51.849,50999.71,0.35
1887.91,51.854,51005.58,0.35
1887.96,51.859,51011.49,0.34
1888.01,51.864,51017.44,0.34
1888.06,51.869,51023.41,0.34
1888.1,51.874,51029.41,0.34
1888.15,51.879,51035.43,0.34
1888.2,51.884,51041.48,0.34
1888.24,51.889,51047.56,0.34
1888.29,51.894,51053.68,0.34
1888.33,51.899,51059.83,0.34
1888.38,51.904,51066.02,0.34
1888.43,51.909,51072.24,0.34
1888.47,51.914,51078.51,0.34
1888.52,51.919,51084.78,0.34
1888.56,51.924,51091.08,0.34
1888.61,51.929,51097.44,0.34
1888.65,51.934,51103.79,0.34
1888.7,51.939,51110.16,0.34
1888.75,51.944,51116.58,0.34
1888.79,51.949,51122.93,0.34
1888.84,51.954,51129.32,0.34
1888.88,51.959,51135.61,0.34
1888.93,51.964,51141.89,0.34
1888.97,51.969,51148.21,0.34
1889.02,51.974,51154.42,0.34
1889.06,51.979,51160.59,0.34
1889.11,51.984,51166.7,0.34
1889.15,51.989,51172.76,0.34
1889.2,51.994,51178.76,0.34
1889.24,51.999,51184.71,0.34
1889.29,52.004,51190.61,0.34
1889.33,52.009,51196.46,0.34
1889.38,52.014,51202.29,0.34
1889.42,52.019,51208,0.34
1889.47,52.024,51213.75,0.34
1889.52,52.029,51219.47,0.34
1889.56,52.034,51225.17,0.34
1889.61,52.039,51230.8,0.34
1889.65,52.044,51236.5,0.34
1889.7,52.049,51242.21,0.34
1889.75,52.054,51247.85,0.34
1889.79,52.059,51253.56,0.34
1889.83,52.064,51259.28,0.34
1889.88,52.069,51264.97,0.34
1889.92,52.074,51270.76,0.34
1889.96,52.079,51276.58,0.34
1890,52.084,51282.42,0.34
1890.05,52.089,51288.3,0.34
1890.09,52.094,51294.22,0.34
1890.13,52.099,51300.17,0.34
1890.17,52.104,51306.15,0.34
1890.22,52.109,51312.16,0.34
1890.26,52.114,51318.2,0.34
1890.3,52.119,51324.27,0.34
1890.34,52.124,51330.36,0.34
1890.39,52.129,51336.48,0.34
1890.43,52.134,51342.61,0.34
1890.48,52.139,51348.76,0.34
1890.52,52.144,51354.93,0.34
1890.57,52.149,51361.15,0.34
1890.62,52.154,51367.36,0.34
1890.66,52.159,51373.59,0.33
1890.71,52.164,51379.82,0.33
1890.75,52.169,51386.1,0.33
1890.8,52.174,51392.36,0.33
1890.85,52.179,51398.64,0.33
1890.89,52.184,51404.94,0.33
1890.94,52.189,51411.26,0.33
1890.99,52.194,51417.58,0.33
1891.03,52.199,51423.91,0.33
1891.08,52.204,51430.23,0.33
1891.13,52.209,51436.56,0.33
1891.18,52.214,51442.89,0.33
1891.22,52.219,51449.19,0.33
1891.27,52.224,51455.49,0.33
1891.32,52.229,51461.77,0.32
1891.37,52.234,51467.98,0.32
1891.41,52.239,51474.2,0.32
1891.46,52.244,51480.38,0.32
1891.51,52.249,51486.52,0.32
1891.55,52.254,51492.6,0.32
1891.6,52.259,51498.62,0.32
1891.65,52.264,51504.6,0.32
1891.7,52.269,51510.46,0.32
1891.74,52.274,51516.27,0.32
1891.79,52.279,51522.02,0.33
1891.84,52.284,51527.77,0.33
1891.89,52.289,51533.4,0.33
1891.93,52.294,51539.05,0.33
1891.98,52.299,51544.57,0.33
1892.03,52.304,51550.04,0.32
1892.08,52.309,51555.54,0.32
1892.13,52.314,51561,0.32
1892.18,52.319,51566.35,0.32
1892.23,52.324,51571.73,0.32
1892.29,52.329,51577.07,0.32
1892.34,52.334,51582.32,0.32
1892.39,52.339,51587.63,0.32
1892.44,52.344,51592.87,0.32
1892.49,52.349,51598.09,0.32
1892.54,52.354,51603.18,0.32
1892.59,52.359,51608.36,0.33
1892.64,52.364,51613.54,0.33
1892.68,52.369,51618.71,0.33
1892.73,52.374,51623.86,0.33
1892.78,52.379,51629.01,0.33
1892.83,52.384,51634.15,0.33
1892.87,52.389,51639.18,0.33
1892.92,52.394,51644.31,0.33
1892.97,52.399,51649.43,0.33
1893.02,52.404,51654.53,0.33
1893.06,52.409,51659.63,0.34
1893.11,52.414,51664.73,0.34
1893.16,52.419,51669.82,0.34
1893.21,52.424,51674.92,0.34
1893.27,52.429,51680.01,0.34
1893.32,52.434,51685.11,0.35
1893.37,52.439,51690.18,0.35
1893.42,52.444,51695.3,0.35
1893.47,52.449,51700.43,0.35
1893.53,52.454,51705.57,0.35
1893.58,52.459,51710.73,0.35
1893.63,52.464,51715.92,0.36
1893.68,52.469,51721.17,0.36
1893.74,52.474,51726.42,0.36
1893.79,52.479,51731.69,0.36
1893.84,52.484,51737,0.36
1893.9,52.489,51742.41,0.36
1893.95,52.494,51747.8,0.36
1894.01,52.499,51753.29,0.36
1894.06,52.504,51758.76,0.36
1894.11,52.509,51764.34,0.36
1894.17,52.514,51769.89,0.36
1894.22,52.519,51775.57,0.36
1894.27,52.524,51781.3,0.36
1894.32,52.529,51787.05,0.35
1894.37,52.534,51792.77,0.35
1894.42,52.539,51798.59,0.35
1894.47,52.544,51804.43,0.35
1894.52,52.549,51810.3,0.35
1894.57,52.554,51816.19,0.35
1894.62,52.559,51822.08,0.35
1894.67,52.564,51827.93,0.35
1894.72,52.569,51833.83,0.34
1894.77,52.574,51839.7,0.34
1894.82,52.579,51845.55,0.34
1894.87,52.584,51851.35,0.34
1894.92,52.589,51857.12,0.34
1894.97,52.594,51862.85,0.34
1895.03,52.599,51868.53,0.34
1895.08,52.604,51874.16,0.34
1895.13,52.609,51879.74,0.34
1895.18,52.614,51885.27,0.34
1895.23,52.619,51890.74,0.34
1895.28,52.624,51896.16,0.34
1895.33,52.629,51901.52,0.34
1895.38,52.634,51906.83,0.34
1895.44,52.639,51912.1,0.35
1895.49,52.644,51917.32,0.35
1895.54,52.649,51922.49,0.35
1895.59,52.654,51927.61,0.35
1895.64,52.659,51932.71,0.35
1895.69,52.664,51937.79,0.35
1895.75,52.669,51942.83,0.35
1895.8,52.674,51947.87,0.35
1895.85,52.679,51952.97,0.35
1895.9,52.684,51958,0.35
1895.96,52.689,51963.04,0.35
1896.01,52.694,51968.1,0.35
1896.06,52.699,51973.15,0.35
1896.11,52.704,51978.21,0.35
1896.17,52.709,51983.29,0.35
1896.22,52.714,51988.39,0.35
1896.27,52.719,51993.52,0.34
1896.33,52.724,51998.67,0.34
1896.38,52.729,52003.84,0.34
1896.43,52.734,52009.06,0.34
1896.48,52.739,52014.28,0.34
1896.53,52.744,52019.53,0.34
1896.58,52.749,52024.8,0.34
1896.63,52.754,52030.06,0.33
1896.68,52.759,52035.39,0.33
1896.73,52.764,52040.75,0.33
1896.78,52.769,52046.07,0.33
1896.83,52.774,52051.48,0.33
1896.88,52.779,52056.91,0.33
1896.93,52.784,52062.28,0.33
1896.98,52.789,52067.74,0.33
1897.03,52.794,52073.13,0.33
1897.09,52.799,52078.6,0.33
1897.14,52.804,52083.99,0.33
1897.19,52.809,52089.47,0.33
1897.24,52.814,52094.94,0.34
1897.29,52.819,52100.36,0.34
1897.34,52.824,52105.84,0.34
1897.4,52.829,52111.27,0.34
1897.45,52.834,52116.76,0.34
1897.5,52.839,52122.21,0.34
1897.55,52.844,52127.7,0.34
1897.6,52.849,52133.16,0.34
1897.65,52.854,52138.67,0.34
1897.7,52.859,52144.15,0.34
1897.76,52.864,52149.65,0.35
1897.81,52.869,52155.14,0.35
1897.86,52.874,52160.62,0.35
1897.91,52.879,52166.1,0.35
1897.96,52.884,52171.57,0.35
1898.01,52.889,52177.04,0.35
1898.06,52.894,52182.5,0.35
1898.11,52.899,52187.94,0.35
1898.17,52.904,52193.38,0.35
1898.22,52.909,52198.79,0.35
1898.27,52.914,52204.2,0.35
1898.33,52.919,52209.56,0.35
1898.38,52.924,52214.91,0.35
1898.43,52.929,52220.26,0.35
1898.48,52.934,52225.56,0.35
1898.54,52.939,52230.85,0.35
1898.59,52.944,52236.15,0.35
1898.64,52.949,52241.4,0.35
1898.69,52.954,52246.63,0.35
1898.75,52.959,52251.87,0.35
1898.8,52.964,52257.14,0.35
1898.85,52.969,52262.37,0.35
1898.9,52.974,52267.59,0.35
1898.95,52.979,52272.82,0.35
1899.01,52.984,52278.1,0.35
1899.06,52.989,52283.35,0.35
1899.11,52.994,52288.61,0.35
1899.16,52.999,52293.88,0.35
1899.21,53.004,52299.19,0.34
1899.26,53.009,52304.49,0.34
1899.3,53.014,52309.81,0.34
1899.35,53.019,52315.15,0.34
1899.4,53.024,52320.49,0.34
1899.45,53.029,52325.86,0.34
1899.5,53.034,52331.2,0.34
1899.55,53.039,52336.57,0.34
1899.59,53.044,52341.93,0.34
1899.64,53.049,52347.25,0.34
1899.69,53.054,52352.6,0.34
1899.74,53.059,52357.93,0.34
1899.79,53.064,52363.18,0.34
1899.85,53.069,52368.44,0.34
1899.9,53.074,52373.65,0.34
1899.95,53.079,52378.83,0.34
1900,53.084,52383.96,0.34
1900.05,53.089,52388.99,0.34
1900.11,53.094,52394.04,0.34
1900.16,53.099,52399.04,0.34
1900.21,53.104,52404.05,0.34
1900.26,53.109,52408.94,0.34
1900.31,53.114,52413.81,0.34
1900.37,53.119,52418.67,0.34
1900.42,53.124,52423.51,0.34
1900.47,53.129,52428.35,0.34
1900.53,53.134,52433.18,0.34
1900.58,53.139,52438.07,0.35
1900.63,53.144,52442.92,0.35
1900.68,53.149,52447.79,0.35
1900.74,53.154,52452.68,0.35
1900.79,53.159,52457.58,0.35
1900.84,53.164,52462.51,0.35
1900.89,53.169,52467.47,0.35
1900.94,53.174,52472.46,0.35
1900.99,53.179,52477.47,0.35
1901.04,53.184,52482.52,0.35
1901.09,53.189,52487.59,0.35
1901.14,53.194,52492.68,0.35
1901.19,53.199,52497.79,0.35
1901.24,53.204,52502.92,0.36
1901.29,53.209,52508.07,0.36
1901.34,53.214,52513.24,0.36
1901.39,53.219,52518.42,0.36
1901.44,53.224,52523.6,0.36
1901.49,53.229,52528.78,0.36
1901.54,53.234,52533.96,0.36
1901.59,53.239,52539.17,0.36
1901.65,53.244,52544.36,0.36
1901.7,53.249,52549.54,0.36
1901.75,53.254,52554.71,0.36
1901.8,53.259,52559.87,0.36
1901.85,53.264,52565.12,0.36
1901.9,53.269,52570.29,0.36
1901.95,53.274,52575.46,0.36
1902.01,53.279,52580.62,0.36
1902.06,53.284,52585.76,0.36
1902.11,53.289,52590.9,0.36
1902.16,53.294,52596.09,0.36
1902.22,53.299,52601.21,0.36
