# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871936. Accessed 11 Nov 2022.
# Comment: Cibicidoides sp. δ18O and Cibicidoides sp. δ13C include C. kullenbergi and C. wuellerstorfi, which are listed as separate variables in the original dataset.

Depth cr mean [rmcd],Age [ka BP],Cibicidoides sp. δ18O [‰ PDB],Cibicidoides sp. δ13C [‰ PDB]
5.67,83.63,3.36,0.87
5.69,83.92,3.5,0.85
5.71,84.2,3.21,0.82
5.73,84.48,3.15,0.74
5.75,84.76,3.3,0.82
5.77,85.04,3.23,0.69
5.79,85.32,3.4,0.53
5.81,85.61,3.49,0.49
5.83,85.89,3.27,0.59
5.85,86.17,3.49,0.28
5.87,86.45,3.48,0.5
5.89,86.73,3.77,0.4
5.91,87.01,3.85,0.31
5.93,87.29,3.75,0.62
5.97,87.94,3.81,0.54
5.99,88.29,3.72,0.7
6.01,88.65,3.58,0.78
6.03,89,3.51,0.74
6.05,89.36,3.81,0.8
6.07,89.71,3.71,0.26
6.09,90.07,3.84,0.76
6.11,90.41,3.67,0.93
6.13,90.74,3.53,0.96
6.15,91.07,3.59,0.7
6.17,91.41,3.54,0.69
6.19,91.74,3.7,0.77
6.21,92.07,3.66,0.69
6.23,92.41,3.87,0.63
6.25,92.74,3.51,0.68
6.27,93.07,3.43,0.72
6.31,93.74,3.51,0.47
6.33,94.07,3.64,0.3
6.35,94.41,3.48,0.22
6.37,94.74,3.47,0.53
6.39,95.07,3.51,0.78
6.41,95.41,3.48,0.35
6.43,95.74,3.4,0.89
6.45,96.07,3.44,0.27
6.47,96.41,3.47,0.74
6.49,96.74,3.45,0.3
6.51,97.07,3.44,0.68
6.53,97.41,3.44,0.64
6.55,97.74,3.44,0.8
6.57,98.07,3.4,0.53
6.59,98.41,3.48,0.46
6.61,98.74,3.44,0.73
6.63,99.07,3.39,0.91
6.67,99.74,3.74,0.78
6.69,100.07,3.36,0.71
6.71,100.4,3.45,0.57
6.73,100.74,3.35,0.74
6.75,101.07,3.43,0.85
6.77,101.4,3.37,0.62
6.79,101.74,3.41,0.68
6.81,102.07,3.36,0.79
6.83,102.4,3.35,0.76
6.85,102.74,3.45,0.84
6.87,103.07,3.46,0.71
6.89,103.4,3.5,0.77
6.91,103.74,3.37,0.48
6.93,104.07,3.48,0.51
