# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871936. Accessed 11 Nov 2022.
# Comment: Cibicidoides sp. δ18O and Cibicidoides sp. δ13C include C. kullenbergi and C. wuellerstorfi, which are listed as separate variables in the original dataset.

Depth cr mean [rmcd],Age [ka BP],Cibicidoides sp. δ18O [‰ PDB],Cibicidoides sp. δ13C [‰ PDB]
31.68,502.29,3.38,1.31
31.7,502.5,3.3,1.14
31.72,502.71,3.29,1.26
31.74,502.92,3.31,0.87
31.76,503.13,3.26,1.29
31.78,503.34,3.15,1.08
31.8,503.55,3.21,1.19
31.82,503.76,3.16,1.2
31.84,503.97,3.19,0.61
31.86,504.18,3.47,1.06
31.88,504.39,3.97,1.63
31.9,504.6,3.73,1.1
31.92,504.81,3.58,1.33
31.94,505.02,3.35,1.31
31.96,505.23,3.3,1.21
31.98,505.44,3.26,1.25
32,505.65,3.42,1.11
32.02,505.86,3.42,0.92
32.04,506.07,3.41,1.15
32.06,506.28,3.33,0.77
32.08,506.49,3.39,1.25
32.1,506.7,3.36,1.27
32.12,506.91,3.41,0.95
32.14,507.12,3.43,1.13
32.16,507.33,3.42,1.02
32.18,507.54,3.42,1.12
32.2,507.75,3.56,0.77
32.22,507.96,3.57,1.03
32.24,508.17,3.53,0.98
32.26,508.38,3.43,0.75
32.28,508.59,3.64,1.19
32.3,508.8,4.12,0.93
32.32,509.01,3.74,1.3
32.34,509.22,3.61,0.66
32.36,509.43,3.72,1.17
32.38,509.64,3.49,0.96
32.4,509.85,3.59,1.19
32.42,510.06,3.61,1.31
32.44,510.27,3.81,1.16
32.46,510.48,3.9,1.36
32.5,510.9,4.43,1.71
32.52,511.11,4.02,1.25
32.54,511.32,4.04,1.09
32.56,511.53,3.97,1.18
32.58,511.74,3.93,1.14
32.6,511.95,3.77,1.06
32.62,512.16,3.76,0.98
32.64,512.37,3.8,0.87
32.66,512.58,3.76,1.23
32.68,512.79,3.63,1.1
32.7,513,3.61,0.93
32.72,513.19,3.81,0.87
32.74,513.38,3.72,0.99
32.76,513.56,3.97,1.18
32.78,513.75,3.62,1.4
32.8,513.94,3.72,0.92
32.82,514.13,3.79,1.03
32.84,514.31,3.75,1.29
32.86,514.5,3.6,1.11
32.88,514.69,3.65,1.09
32.9,514.88,3.59,1.09
32.92,515.06,3.73,1
32.94,515.25,3.72,0.38
32.96,515.44,3.89,1.23
32.98,515.63,3.67,1.36
33,515.81,3.66,0.87
33.02,516,3.76,1.17
33.04,516.19,3.79,1.27
33.06,516.38,3.68,1.19
33.08,516.56,3.76,0.77
33.1,516.75,3.8,1.49
33.12,516.94,3.73,1.16
33.14,517.13,3.52,0.91
33.16,517.31,3.78,0.7
33.18,517.5,3.38,1.09
33.2,517.69,3.72,1.25
33.22,517.88,3.93,1.25
33.24,518.06,3.44,1.12
33.26,518.25,3.62,1.2
33.28,518.44,3.47,1.22
33.3,518.63,3.41,1.14
33.32,518.81,3.45,1.02
33.34,519,3.46,1.27
33.36,519.19,3.57,1.21
33.38,519.38,3.45,1.21
33.4,519.56,3.54,1.24
33.42,519.75,3.47,1.22
33.44,519.94,3.54,1.16
33.46,520.13,3.5,1.18
33.48,520.31,3.46,0.93
33.5,520.5,3.69,1
33.52,520.69,3.49,1.26
33.54,520.88,3.55,1.08
33.56,521.06,3.55,1.03
33.58,521.25,3.41,1.23
33.6,521.44,3.35,1.15
33.62,521.63,3.39,0.97
33.64,521.81,3.42,1.16
33.66,522,3.43,1.17
33.68,522.19,3.48,0.95
33.7,522.38,3.47,1.01
33.72,522.56,3.43,1.12
33.74,522.75,3.5,1.13
33.76,522.94,3.43,1.01
33.78,523.13,3.43,0.81
33.8,523.31,3.35,1.07
33.82,523.5,3.47,0.94
33.84,523.69,3.39,1.12
33.86,523.88,3.4,1.13
33.88,524.06,3.4,1.13
33.9,524.25,3.31,1.21
33.92,524.44,3.44,1.22
33.94,524.63,3.32,1.19
33.96,524.81,3.48,0.93
33.98,525,3.4,1.01
34,525.19,3.31,1.14
34.02,525.38,3.42,1.03
34.04,525.56,3.46,1.21
34.06,525.75,3.63,0.94
34.08,525.94,3.57,0.96
34.1,526.13,3.66,1.26
34.12,526.31,3.42,0.98
34.14,526.5,3.58,1.01
34.16,526.69,3.7,1.05
34.18,526.88,3.78,1.2
34.2,527.06,3.65,1.12
34.22,527.25,3.55,0.98
34.24,527.44,3.54,1.08
34.26,527.63,3.39,0.82
34.28,527.81,3.54,1.15
34.3,528,3.43,0.95
34.32,528.19,3.72,0.94
34.34,528.38,3.49,0.97
34.36,528.56,3.52,0.82
34.38,528.75,3.5,0.83
34.4,528.94,3.47,0.95
34.42,529.13,3.44,1.03
34.44,529.31,3.62,1.07
34.46,529.5,3.84,1
34.48,529.69,3.62,0.74
34.5,529.88,3.62,0.81
34.52,530.06,3.59,0.7
34.54,530.25,3.59,0.76
34.56,530.44,3.53,1.06
34.6,530.81,3.57,0.85
34.62,531,3.6,0.88
34.64,531.19,3.54,0.77
34.66,531.38,3.53,0.76
34.68,531.56,3.49,0.87
34.7,531.75,3.66,0.54
34.72,531.94,3.71,0.77
34.74,532.13,3.72,0.34
34.76,532.31,3.79,0.26
34.78,532.5,3.76,0.06
34.8,532.69,3.64,0.37
34.82,532.88,3.77,0.42
34.84,533.06,3.82,0.38
34.86,533.25,4.06,-0.06
34.88,533.44,3.82,-0.02
34.9,533.63,3.89,0.06
34.92,533.81,4.01,0.12
34.94,534,3.8,0.15
34.96,534.35,4.07,-0.09
34.98,534.7,4.03,0.1
35,535.05,4.15,0.07
35.02,535.39,4.27,0.15
35.04,535.74,4.29,0.15
35.06,536.09,4.49,0.42
35.08,536.44,4.21,0.11
35.1,536.79,4.23,0.35
35.12,537.14,4.21,0.35
35.14,537.48,4.43,0.15
35.18,538.18,4.33,0.52
35.2,538.53,4.38,0.36
35.22,538.88,4.47,0.48
35.24,539.23,4.36,-0.05
35.28,539.92,4.32,-0.75
35.3,540.27,4.27,0.68
35.32,540.62,4.19,0.29
35.34,540.97,4.13,0.32
35.38,541.67,4.06,0.32
35.4,542.02,4.23,0.43
35.42,542.36,4.22,0.54
35.44,542.71,4.16,0.23
35.46,543.06,4.19,-0.43
35.48,543.41,3.93,0.33
35.52,544.11,4.02,0.36
35.56,544.8,4.35,0.46
35.62,545.85,4.28,0.37
35.64,546.2,4.11,0.26
35.66,546.55,4.26,0.09
35.68,546.89,4.45,0.2
35.7,547.24,4.19,0.44
35.72,547.59,4.16,0.12
35.74,547.94,4.12,0.41
35.76,548.29,4.31,0.27
35.78,548.64,4.4,0.43
35.8,548.98,4.35,0.4
35.82,549.33,4.2,0.4
35.84,549.68,4.13,0.42
35.86,550.03,4.09,0.23
35.88,550.38,4.01,0.23
35.9,550.73,4.01,0.09
35.92,551.08,4.21,0.28
35.94,551.42,4.14,0.36
35.96,551.77,4.08,0.48
35.98,552.12,3.93,0.19
36,552.47,4.08,0.39
36.02,552.82,4.13,0.11
36.04,553.17,3.97,0.17
36.06,553.52,3.93,0.1
36.08,553.86,4.03,0.12
36.1,554.21,3.85,0.44
36.12,554.56,3.81,-0.04
36.14,554.91,3.65,0.26
36.16,555.26,4,-0.16
36.18,555.61,3.79,0.25
36.2,555.95,3.81,0.61
36.22,556.3,3.76,0.3
36.24,556.65,3.79,0.39
36.26,557,3.7,0.54
36.28,557.35,3.7,0.4
36.3,557.7,3.59,0.25
36.32,558.05,3.74,0.5
36.34,558.39,3.52,0.35
36.36,558.74,3.58,0.42
36.38,559.09,3.6,0.56
36.4,559.44,3.62,0.35
36.42,559.79,3.48,0.59
36.44,560.14,3.54,0.57
36.46,560.48,3.5,0.38
36.48,560.83,3.62,0.2
36.5,561.18,3.37,0.71
36.52,561.53,3.31,0.3
36.54,561.88,3.29,0.27
36.58,562.58,3.21,0.45
36.62,563.27,3.45,-0.08
36.64,563.62,3.64,0.14
36.66,563.97,3.59,0.18
36.68,564.32,3.48,0.35
36.7,564.67,3.59,0.39
36.72,565.02,3.51,0.23
36.74,565.36,3.51,-0.17
36.76,565.71,3.36,0.57
36.78,566.06,3.33,0.42
36.8,566.41,3.62,0.63
36.82,566.76,3.38,0.49
36.84,567.11,3.34,0.84
36.86,567.45,3.18,0.54
36.88,567.8,3.17,-0.16
36.9,568.15,3.22,0.5
36.92,568.5,3.11,0.61
36.94,568.85,3.22,0.57
36.96,569.2,3.02,0.75
36.98,569.55,3.01,0.55
37,569.89,3.02,0.37
37.02,570.24,3.02,0.54
37.04,570.59,2.68,0.81
37.06,570.94,2.69,0.81
37.08,571.29,2.95,0.98
37.1,571.64,2.86,0.75
37.12,571.98,2.79,0.84
37.14,572.33,2.86,0.77
37.16,572.68,2.86,0.56
37.18,573.03,2.89,1.03
37.2,573.38,2.68,0.63
37.22,573.73,2.76,0.94
37.24,574.08,2.8,0.74
37.26,574.42,2.91,0.86
37.28,574.77,2.88,0.93
37.3,575.12,2.9,1.01
37.32,575.47,2.85,1.02
37.34,575.82,2.84,0.81
37.36,576.17,2.78,0.46
37.38,576.52,2.84,0.84
37.4,576.86,2.86,0.89
37.42,577.21,3.1,0.73
37.44,577.56,3.14,1.13
37.46,577.91,3.09,1.03
37.48,578.26,3.12,0.9
37.5,578.61,3.08,1.11
37.52,578.95,3.05,1.03
37.54,579.3,2.92,0.78
37.58,580,3.03,1.05
37.6,580.31,3.45,0.13
37.62,580.63,2.96,0.1
37.64,580.94,3.9,0.12
37.66,581.25,3.78,-0.03
37.68,581.57,3.53,0.09
37.7,581.88,3.56,0.16
37.72,582.2,3.94,-0.27
37.74,582.51,3.92,0.33
37.76,582.82,3.7,0.12
37.78,583.14,3.85,0.11
37.8,583.45,3.88,0.08
37.82,583.76,3.79,0.42
37.84,584.08,3.91,0.28
37.86,584.39,3.94,0.17
37.88,584.71,3.8,0.44
37.9,585.02,3.81,0.09
37.92,585.33,3.87,0.17
37.94,585.65,3.89,-0.33
37.96,585.96,3.93,-0.65
37.98,586.27,3.91,0.37
38,586.59,3.74,0.83
38.02,586.9,3.79,0.29
38.04,587.22,3.51,0.24
38.06,587.53,4.07,0.74
38.08,587.84,3.63,0.83
38.1,588.16,3.85,0.72
38.12,588.47,3.5,0.79
38.14,588.78,3.56,0.83
38.16,589.1,3.56,0.55
38.18,589.41,3.74,1.06
38.2,589.73,3.65,0.47
38.22,590.04,3.77,0.79
38.24,590.35,3.86,0.44
38.26,590.67,3.56,1.1
38.28,590.98,3.61,1.06
38.3,591.29,3.73,0.87
38.32,591.61,3.47,0.9
38.34,591.92,3.67,0.65
38.36,592.24,3.65,1.01
38.38,592.55,3.48,0.46
38.4,592.86,3.62,0.28
38.42,593.18,3.87,0.27
38.44,593.49,3.89,0.57
38.46,593.8,3.53,0.21
38.48,594.12,3.55,0.7
38.5,594.43,3.51,0.44
38.52,594.75,3.39,0.54
38.54,595.06,3.41,0.27
38.56,595.37,3.35,0.39
38.58,595.69,3.3,0.35
38.6,596,3.45,0.71
38.62,596.4,3.33,0.15
38.64,596.8,3.34,0.11
38.66,597.2,3.35,0.61
38.68,597.6,3.63,-0.05
38.7,598,3.83,0.39
38.72,598.4,3.68,0.22
38.74,598.8,3.8,0.38
38.76,599.2,3.76,-0.05
38.78,599.6,3.79,0.54
38.8,600,3.74,0.5
38.82,600.4,3.69,0.42
38.84,600.8,3.51,0.16
38.86,601.2,3.63,0.62
38.88,601.6,3.61,0.21
38.9,602,3.68,0.08
38.92,602.4,3.71,0.59
38.94,602.8,3.6,0.51
38.96,603.2,3.73,-0.24
38.98,603.6,3.54,0.7
39,604,3.54,0.34
39.02,604.4,3.44,0.28
39.04,604.8,3.44,0.69
39.06,605.2,3.3,0.91
39.08,605.6,3.4,0.69
39.1,606,3.39,0.74
39.12,606.4,3.23,0.49
39.14,606.8,3.14,0.51
39.16,607.2,3.17,0.78
39.18,607.6,3.49,0.68
39.2,608,3.36,0.66
39.22,608.4,3.14,0.57
39.24,608.8,3.26,0.91
39.26,609.2,3.31,0.8
39.28,609.6,3.08,1.02
39.3,610,3.16,0.98
39.32,610.4,2.96,0.81
39.34,610.8,3.03,0.9
39.36,611.2,3.17,0.9
39.38,611.6,3.03,0.73
39.4,612,3,0.83
39.42,612.4,2.93,0.85
39.44,612.8,2.97,1.06
39.46,613.2,2.89,0.9
39.48,613.6,2.96,0.71
39.5,614,3.11,0.83
39.52,614.4,2.92,1.04
39.54,614.8,3.19,0.48
39.56,615.2,3,0.57
39.58,615.6,3.1,0.78
39.6,616,3.07,0.73
39.62,616.4,3.32,0.77
39.64,616.8,3.05,0.61
39.66,617.2,3.05,0.83
39.68,617.6,3.55,0.44
39.7,618,3.06,0.5
39.7,618,3.53,0.43
39.72,618.4,3.55,0.46
39.74,618.8,2.99,0.65
39.76,619.2,3.25,0.47
39.78,619.6,3.7,0.22
39.8,620,3.22,0.52
39.82,620.4,3.85,0.01
39.84,620.8,3.9,-0.26
39.86,621.2,3.72,0.05
39.88,621.6,3.66,0.09
39.9,622,3.9,-0.04
39.92,622.35,3.84,0.07
39.94,622.71,4,0.39
39.96,623.06,3.88,-0.1
39.98,623.42,4.23,0.1
40,623.77,4.22,0.19
40.02,624.13,4.09,-0.18
40.04,624.48,4.31,0.14
40.06,624.83,4.23,-0.18
40.08,625.19,4,-0.2
40.14,626.25,4.44,0.3
40.26,628.38,4.75,0.31
40.28,628.73,4.75,0.2
40.3,629.08,4.76,0.1
40.32,629.44,4.85,0.26
40.34,629.79,4.32,0.08
40.42,631.21,4.96,0.29
40.44,631.56,4.84,0.14
40.46,631.92,4.83,0.13
40.48,632.27,4.72,-0.48
40.5,632.63,4.78,-0.62
40.52,632.98,4.58,-0.04
40.54,633.33,4.6,0.21
40.56,633.69,4.69,0.13
40.58,634.04,4.5,0.1
40.6,634.4,4.54,0.01
40.62,634.75,4.62,0.05
40.64,635.1,4.49,-0.14
40.66,635.46,4.63,-0.24
40.68,635.81,4.56,0.04
40.7,636.17,4.51,-0.01
40.72,636.52,4.53,-0.22
40.74,636.88,4.39,-0.23
40.82,638.29,4.37,-0.24
40.84,638.65,4.37,-0.25
40.98,641.13,4.6,-0.17
41.02,641.83,4.85,0.18
41.04,642.19,4.45,0.11
41.06,642.54,4.72,0.31
41.08,642.9,4.68,0.06
41.1,643.25,4.69,0.06
41.12,643.6,4.66,0.28
41.14,643.96,4.57,0.1
41.16,644.31,4.62,-0.13
41.18,644.67,4.43,0.14
41.2,645.02,4.62,0.28
41.22,645.38,4.59,0.2
41.24,645.73,4.47,-0.34
41.28,646.44,4.52,0.16
41.3,646.79,4.45,-0.14
41.32,647.15,4.52,-0.01
41.34,647.5,4.49,0.06
41.36,647.85,4.65,0.11
41.4,648.56,4.4,0.09
41.42,648.92,4.47,0.36
41.44,649.27,4.36,0.44
41.46,649.63,4.41,-0.08
41.48,649.98,4.39,0.34
41.5,650.33,4.31,0.22
41.52,650.69,4.27,0.35
41.54,651.04,4.2,0.18
41.56,651.4,4.15,0.43
41.58,651.75,4.38,0.21
41.6,652.1,4.26,0.48
41.62,652.46,4.21,0.23
41.64,652.81,4.19,-0.26
41.66,653.17,4.22,0.17
41.68,653.52,4.27,0.11
41.7,653.88,4.29,0.03
41.72,654.23,4.2,0
41.74,654.58,4.31,0.2
41.76,654.94,4.21,0.32
41.78,655.29,4.21,0.21
41.8,655.65,4.21,0.01
41.84,656.35,4.32,0.24
41.88,657.06,4.15,-0.04
41.9,657.42,4.21,-0.18
41.92,657.77,4.08,-0.02
41.94,658.13,4.15,-0.44
41.96,658.48,4.06,-0.14
41.98,658.83,4.06,-0.21
42,659.19,4.09,-0.02
42.02,659.54,4.13,-0.34
42.04,659.9,4.09,-0.34
42.06,660.25,4.15,-0.45
42.08,660.6,4.17,-0.15
42.1,660.96,4.13,-0.31
42.12,661.31,4.26,-0.52
42.14,661.67,4.03,0.11
42.18,662.38,4.09,-0.46
42.2,662.73,4.16,-0.47
42.22,663.08,4.11,-0.14
42.24,663.44,4.28,-0.02
42.26,663.79,3.97,0.26
42.28,664.15,4.16,-0.17
42.3,664.5,4.01,-0.37
42.32,664.85,4,0.25
42.34,665.21,4,-0.04
42.36,665.56,4.03,0.35
42.38,665.92,3.97,0.11
42.4,666.27,3.92,0.18
42.42,666.63,4.12,0.02
42.44,666.98,3.86,-0.47
42.46,667.33,3.83,-0.52
42.48,667.69,4.29,-0.09
42.5,668.04,4.27,-0.32
42.52,668.4,4.11,-0.85
42.54,668.75,4.12,-0.3
42.56,669.1,4.11,-0.25
42.58,669.46,4.12,0.17
42.6,669.81,4.23,-0.08
42.64,670.52,4.05,0.17
42.66,670.88,4.11,-0.13
42.68,671.23,4.13,0.23
42.7,671.58,4.36,0.08
42.72,671.94,4.2,0.11
42.74,672.29,4.02,-0.25
42.76,672.65,4.03,-0.5
42.78,673,3.79,-0.52
42.8,673.35,4.06,0.18
42.82,673.71,3.96,-0.01
42.84,674.06,4.08,-0.12
42.86,674.42,3.85,-0.1
42.9,675.13,4.11,-0.15
42.92,675.48,3.65,-0.17
42.94,675.83,3.85,-0.31
42.96,676.19,3.72,0.02
42.98,676.54,3.89,-0.17
43,676.9,3.82,0.22
43.02,677.25,3.8,0.35
43.04,677.6,3.83,-0.16
43.06,677.96,3.72,0.28
43.08,678.31,3.75,-0.18
43.1,678.67,3.79,-0.13
43.12,679.02,3.74,0.31
43.14,679.38,3.7,-0.05
43.16,679.73,3.58,0.36
43.18,680.08,3.6,0.24
43.2,680.44,3.61,0.11
43.22,680.79,3.5,0.15
43.24,681.15,3.47,-0.52
43.26,681.5,3.48,0
43.28,681.85,3.54,0.6
43.3,682.21,3.62,-0.19
43.32,682.56,3.58,0.6
43.34,682.92,3.59,0.3
43.36,683.27,3.86,0.45
43.38,683.63,3.96,0.46
43.4,683.98,3.9,0.42
43.42,684.33,3.6,0.66
43.44,684.69,3.71,0.3
43.46,685.04,3.55,0.45
43.54,686.46,3.78,0.18
43.6,687.52,3.66,0.01
43.62,687.88,3.76,0.43
43.64,688.23,3.89,-0.09
43.66,688.58,3.87,-0.03
43.68,688.94,3.45,0.28
43.7,689.29,3.55,0.34
43.72,689.65,3.32,0.69
43.74,690,3.28,0.59
43.76,690.2,3.29,0.54
43.78,690.41,3.46,-0.14
43.8,690.61,3.14,0.64
43.82,690.82,3.16,0.2
43.84,691.02,3.08,0.8
43.86,691.23,3.1,0.65
43.88,691.43,3.06,0.52
43.9,691.64,3.21,-0.03
43.92,691.84,3.02,0.5
43.96,692.25,2.98,0.65
43.98,692.45,3.08,0.39
44,692.66,3.04,0.58
44.02,692.86,3.01,0.82
44.04,693.07,3.01,0.83
44.06,693.27,3,0.71
44.08,693.48,2.95,0.54
44.1,693.68,3.16,0.71
44.12,693.89,3.25,0.74
44.14,694.09,3.14,0.69
44.16,694.3,3.22,1.11
44.18,694.5,3.24,1.11
44.2,694.7,3.24,1.05
44.22,694.91,3.21,0.29
44.24,695.11,3.29,1.14
44.26,695.32,3.14,1.05
44.28,695.52,3.13,0.89
44.3,695.73,3.06,0.21
44.32,695.93,3.06,0.88
44.34,696.14,3.12,0.91
44.36,696.34,3.11,0.82
44.38,696.55,3.17,0.58
44.4,696.75,3.13,0.95
44.42,696.95,3.16,1
44.44,697.16,3.31,1.11
44.46,697.36,3.19,0.75
44.48,697.57,3.21,0.89
44.5,697.77,3.02,0.99
44.54,698.18,3.19,0.43
44.56,698.39,3.08,1.15
44.58,698.59,3.18,0.93
44.6,698.8,3.16,0.72
44.62,699,3.26,1.04
44.64,699.2,3.4,0.67
44.66,699.41,3.18,0.39
44.68,699.61,3.24,0.95
44.7,699.82,3.19,0.9
44.72,700.02,3.15,0.93
44.74,700.23,3.16,0.8
44.76,700.43,3.08,1.02
44.78,700.64,3.6,0.66
44.8,700.84,3.21,0.98
44.82,701.05,3.26,1.05
44.84,701.25,3.51,0.87
44.86,701.45,3.44,0.85
44.88,701.66,3.48,0.99
44.9,701.86,3.5,0.21
44.92,702.07,3.41,1.04
44.94,702.27,3.32,1
44.96,702.48,3.49,0.93
44.98,702.68,3.52,0.45
45,702.89,3.45,0.71
45,702.89,3.37,1.09
45.02,703.09,3.56,0.83
45.04,703.3,3.5,0.98
45.06,703.5,3.54,0.9
45.08,703.7,3.36,0.76
45.1,703.91,3.23,0.93
45.12,704.11,3.28,0.89
45.14,704.32,3.29,0.93
45.18,704.73,3.39,0.99
45.2,704.93,3.19,0.89
45.24,705.34,3.16,0.86
45.26,705.55,3.21,0.54
45.28,705.75,3.2,0.74
45.3,705.95,3.24,0.47
45.32,706.16,3.26,0.83
45.34,706.36,3.47,1.12
45.36,706.57,3.45,0.95
45.38,706.77,3.49,0.83
45.4,706.98,3.4,0.72
45.42,707.18,3.51,0.75
45.44,707.39,3.5,1.02
45.46,707.59,3.47,0.76
45.48,707.8,3.37,0.57
45.5,708,3.48,0.86
45.52,708.2,3.44,0.87
45.54,708.41,3.47,0.73
45.56,708.61,3.32,0.72
45.6,709.02,3.59,0.65
45.62,709.23,3.26,0.61
45.64,709.43,3.35,0.6
45.66,709.64,3.34,0.71
45.68,709.84,3.37,0.51
45.7,710.05,3.4,0.51
45.72,710.25,3.47,0.18
45.74,710.45,3.42,0.57
45.76,710.66,3.37,0.75
45.78,710.86,3.51,0.3
45.8,711.07,3.42,0.36
45.82,711.27,3.41,0.77
45.84,711.48,3.53,-0.06
45.86,711.68,3.4,0.52
45.88,711.89,3.54,0.48
45.9,712.09,3.52,0.71
45.92,712.3,3.54,0.3
45.94,712.5,3.59,0.6
45.96,712.7,3.49,0.51
45.98,712.91,3.53,0.47
46,713.11,3.86,0.53
46.02,713.32,3.93,-0.11
46.04,713.52,3.62,0.69
46.06,713.73,3.84,0.37
46.54,718.64,4.17,-0.55
46.58,719.05,4.17,-0.48
46.68,720.07,4.25,0.08
46.7,720.27,4.44,-0.19
46.72,720.48,4.36,0.08
46.74,720.68,4.42,0.13
46.76,720.89,4.23,0.05
46.78,721.09,4.41,0.02
46.8,721.3,4.32,-0.02
46.82,721.5,4.35,0.15
46.84,721.7,4.2,0.25
46.86,721.91,4.2,-0.05
46.88,722.11,4.2,-0.16
46.9,722.32,4.26,0.17
46.92,722.52,4.15,0.08
46.94,722.73,4.18,-0.07
46.96,722.93,4.02,0.27
46.98,723.14,3.92,0.48
47,723.34,3.85,0.43
47.02,723.55,4,0.14
47.04,723.75,3.88,0.31
47.06,723.95,3.97,0.35
47.08,724.16,4.07,0.08
47.1,724.36,4.05,-0.12
47.12,724.57,3.85,0.14
47.14,724.77,3.85,0.06
47.16,724.98,3.83,-0.31
47.18,725.18,3.81,0.11
47.2,725.39,3.66,0.38
47.22,725.59,3.81,0.71
47.24,725.8,3.7,0.5
47.26,726,3.67,0.43
47.28,726.27,3.61,0.63
47.3,726.54,3.61,0.53
47.32,726.81,3.55,0.76
47.34,727.08,3.63,0.72
47.36,727.35,3.69,0.6
47.38,727.62,3.52,0.64
47.4,727.89,3.57,0.6
47.42,728.16,3.35,0.6
47.44,728.43,3.72,0.59
47.46,728.7,3.75,0.65
47.48,728.97,3.44,0.52
47.5,729.24,3.67,0.76
47.52,729.51,3.75,0.84
47.54,729.78,3.34,0.73
47.56,730.05,3.46,0.68
47.58,730.32,3.53,0.23
47.6,730.59,3.42,0.29
47.62,730.86,3.38,0.64
47.64,731.14,3.4,0.27
47.66,731.41,3.47,0.65
47.68,731.68,3.48,0.56
47.7,731.95,3.49,0.1
47.72,732.22,3.62,-0.07
47.74,732.49,3.6,0.07
47.76,732.76,3.54,0.17
47.78,733.03,3.58,0.04
47.8,733.3,3.49,-0.23
47.82,733.57,3.71,0.21
47.84,733.84,3.65,0.06
47.86,734.11,3.66,0.11
47.88,734.38,3.56,0.24
47.9,734.65,3.58,0.08
47.92,734.92,3.62,0.29
47.94,735.19,3.73,0.05
47.98,735.73,3.97,-0.05
48.02,736.27,3.89,0.05
48.08,737.08,3.95,-0.07
48.1,737.35,3.79,0.55
48.12,737.62,3.58,0.17
48.14,737.89,4.05,-0.48
48.16,738.16,3.73,0.56
48.18,738.43,3.85,0.6
48.22,738.97,3.76,0.34
48.24,739.24,3.9,-0.06
48.28,739.78,3.61,0.41
48.36,740.86,3.73,0.5
48.38,741.14,3.69,0.19
48.4,741.41,3.62,0.41
48.44,741.95,3.74,0.24
48.46,742.22,3.75,0.3
48.48,742.49,3.72,-0.3
48.5,742.76,3.88,0
48.52,743.03,3.68,-0.04
48.54,743.3,3.68,-0.24
48.6,744.11,3.61,0.33
48.62,744.38,3.78,-0.09
48.7,745.46,4.43,-0.42
48.72,745.73,4.09,-0.36
48.74,746,4.22,-0.37
48.76,746.35,4.32,-0.56
48.78,746.69,4.26,-0.23
48.8,747.04,4.27,-0.18
48.82,747.39,4.24,-0.57
48.84,747.74,4.33,-0.33
48.86,748.08,4.29,-0.32
48.88,748.43,4.23,-0.35
48.9,748.78,4.2,-0.88
48.92,749.12,4.15,-0.55
48.94,749.47,4.13,-0.47
48.96,749.82,4.12,-0.38
48.98,750.17,4.21,-0.47
49,750.51,4.21,-0.71
49.02,750.86,4.1,-0.03
49.04,751.21,4.06,-0.29
49.1,752.25,3.97,-0.34
49.12,752.6,4.28,0.46
49.14,752.94,3.72,-0.43
49.16,753.29,4.05,-0.41
49.18,753.64,3.83,-0.3
49.2,753.98,3.97,-0.26
49.22,754.33,4.06,-0.71
49.24,754.68,4,-0.7
49.26,755.02,4.03,-0.25
49.28,755.37,4.12,-0.62
49.32,756.07,4.03,0.01
49.34,756.41,3.88,-0.07
49.38,757.11,3.76,0.16
49.4,757.45,3.86,-0.14
49.42,757.8,3.69,0.64
49.44,758.15,3.77,0.52
49.46,758.5,3.72,0.15
49.48,758.84,3.62,0.72
49.5,759.19,3.52,0.5
49.52,759.54,3.61,0.37
49.54,759.88,3.78,0.41
49.58,760.58,3.74,0.05
49.6,760.93,3.6,0.21
49.62,761.27,3.8,-0.35
49.64,761.62,3.85,-0.38
49.66,761.97,3.71,0.03
49.68,762.31,3.71,0.47
49.7,762.66,3.57,0.43
49.72,763.01,3.61,0.42
49.74,763.36,3.67,0.32
49.76,763.7,3.47,0.56
49.78,764.05,3.42,0.46
49.8,764.4,3.45,0.56
49.82,764.74,3.55,0.44
49.84,765.09,3.49,0.24
49.86,765.44,3.66,-0.06
49.9,766.13,3.81,0.81
49.92,766.48,3.9,0.39
49.94,766.83,3.73,0.54
49.96,767.17,3.58,0.91
49.98,767.52,3.5,0.4
50,767.87,3.68,0.99
50.02,768.21,3.33,0.51
50.04,768.56,3.7,0.75
50.06,768.91,3.66,0.56
50.08,769.26,3.64,0.47
50.1,769.6,3.56,0.52
50.12,769.95,3.58,0.88
50.14,770.3,3.72,0.16
50.16,770.64,3.44,0.52
50.18,770.99,3.48,0.79
50.2,771.34,3.57,0.47
50.22,771.69,3.55,0.56
50.24,772.03,3.23,0.67
50.26,772.38,3.29,0.74
50.28,772.73,3.32,0.64
50.3,773.07,3.2,0.68
50.32,773.42,3.3,0.63
50.34,773.77,3.2,0.32
50.36,774.12,3.06,0.35
50.38,774.46,3.09,0.4
50.4,774.81,3.17,0.22
50.42,775.16,3.09,0.45
50.44,775.5,3.02,0.83
50.46,775.85,3.09,0.32
50.48,776.2,3,0.77
50.5,776.55,3.05,0.67
50.52,776.89,2.91,0.56
50.54,777.24,2.97,0.88
50.56,777.59,3.06,0.53
50.58,777.93,3.08,0.65
50.6,778.28,3.02,0.74
50.62,778.63,2.93,0.78
50.64,778.98,2.98,0.69
50.66,779.32,3.15,0.82
50.68,779.67,3,0.54
