/* DESCRIPTION:
Reference:	Cheng, H., P.Z. Zhang, C. Spötl, R.L. Edwards, Y.J. Cai, D.Z. Zhang, W.C. Sang, M. Tan, and Z.S. An. 2012. The climatic cyclicity in semiarid-arid central Asia over the past 500,000 years. Geophys. Res. Lett., 39, L01705, doi:10.1029/2011GL050202.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/12403. Accessed 22 Nov 2022.
Comment:	Only the composite is included here.
*/
Age (Ka BP)	Composite d18O
197.4	-10.84
197.7	-10.32
198.1	-10.82
198.5	-11.45
198.8	-11.56
199.2	-11.39
199.5	-11.75
199.9	-11.64
200.3	-11.36
200.6	-11.56
201	-11.88
201.3	-11.7
201.4	-11.54
201.4	-11.76
201.4	-11.69
201.5	-11.53
201.5	-11.82
201.5	-11.38
201.6	-10.25
201.6	-9.46
208.3	-8.74
208.4	-7.56
208.4	-7.53
208.5	-7.59
208.5	-7.74
208.5	-8.18
208.6	-8.1
208.6	-8.03
208.7	-8.19
208.7	-8.01
208.7	-7.84
208.8	-7.69
208.8	-7.43
208.9	-7.47
208.9	-7.93
208.9	-8.19
209	-8.59
209	-8.75
209.1	-8.86
209.1	-8.49
209.2	-8.4
209.2	-8.51
209.2	-8.72
209.3	-8.53
209.3	-8.39
209.4	-8.24
209.4	-8.28
209.4	-7.98
209.5	-7.84
209.5	-7.75
209.6	-8.06
209.6	-7.86
209.6	-7.65
209.7	-7.62
209.7	-7.85
209.8	-8
209.8	-8.2
209.8	-8.41
209.9	-8.5
209.9	-8.3
210	-8.3
210	-8.25
210.3	-8.38
210.6	-7.99
210.8	-7.81
211.1	-7.91
	
	
211.3	-8.01
211.6	-8.66
211.9	-8.48
212.2	-9.53
212.5	-9.41
212.8	-9.46
213.1	-9.87
213.4	-10.33
213.7	-10.15
214	-10.6
214.3	-10.24
214.6	-10.81
214.9	-10.99
215.2	-11.23
215.4	-11.17
216.4	-11.93
216.9	-11.47
217.5	-10.89
218	-10.99
218.5	-10.79
219.1	-10.91
220.3	-10.87
221.5	-10.19
222.7	-10.14
223	-10.1
	
	
223.2	-11.15
223.3	-11.7
223.4	-11.98
223.5	-11.63
223.5	-11.35
223.6	-11.21
223.7	-10.99
223.8	-10.87
223.9	-10.8
223.9	-10.84
224	-11.35
224.1	-11.44
224.2	-11.28
224.3	-10.73
224.3	-10.48
224.4	-10.39
224.5	-10.75
224.6	
224.7	-11.04
224.7	-10.84
224.8	-10.9
224.9	-10.92
225	-10.85
225.1	-10.7
225.1	-10.56
225.2	-9.89
225.3	-9.24
225.4	-8.83
225.5	-8.84
225.6	-8.71
225.6	-8.76
225.7	-9.03
225.8	-8.7
225.8	-8.79
225.9	-9.33
226	-9.73
226	-9.59
226.1	-9.66
226.2	-10.15
226.2	-10.2
226.3	
226.4	-9.5
226.4	-9.3
226.5	-9.63
226.6	-10.23
226.6	-10.09
226.7	-9.13
226.8	-8.63
226.8	-9.26
226.9	-9.13
227	-9.24
227	-9.62
227.1	-10.22
227.2	-9.84
227.2	-10.06
227.3	-10.21
227.4	-9.92
227.4	-9.39
227.5	-9.05
227.6	-8.62
227.6	-9.36
227.7	-8.78
227.8	-8.92
227.8	-9.48
227.9	-9.87
228	-9.62
228	-9.91
228.1	-9.59
228.2	-9.24
228.2	-9.17
228.3	-9.91
228.4	-9.44
228.4	-9.36
228.5	-9.13
228.6	-10.01
228.6	-9.37
228.7	-9.4
228.8	-9.09
228.8	-8.74
228.9	-7.95
229	-7.71
229	-7.4
229.1	-7.12
229.2	-7.07
229.2	-7.35
229.3	-6.98
229.4	-6.83
229.4	-7.23
229.5	-7.41
229.6	-7.23
229.6	-7.82
229.7	-7.66
229.8	-7.45
229.8	-7.53
229.9	-7.61
230	-8.08
230	-8.04
230.1	-8.1
230.2	-8.23
230.2	-8.32
230.3	-9.08
230.4	-8.29
230.4	-7.96
230.5	-7.66
230.6	-7.57
230.6	-7.38
230.7	-6.86
230.8	-7.18
230.8	-7.07
230.9	-7.07
231	-7.31
231	-6.72
231	-6.86
231.1	-6.79
231.1	-7.18
231.1	-7.55
231.1	-8.06
231.1	-7.25
231.1	-7.02
231.1	-7.21
231.2	-7.32
231.2	-7.87
231.2	-8.08
231.2	-8.46
231.2	-8.49
231.2	-8.1
231.2	-7.75
231.3	-8.02
231.3	-8.3
231.3	-7.98
231.3	-8.13
231.3	-9.09
