/* DESCRIPTION:
Reference:	De Pol-Holz, R., O. Ulloa, F. Lamy, L. Dezileau, P. Sabatier, and D. Hebbeln. 2007. Late Quaternary variability of sedimentary nitrogen isotopes in the eastern South Pacific Ocean. Paleoceanography, 22, PA2207, doi:10.1029/2006PA001308 
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/10494. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [cm]	Age [ka BP]	d15N [‰vsAir]	Ntot (wt %) 
325	24.18	8.3	0.119
326	24.23	8	0.118
327	24.28	7.6	0.127
328	24.34	8.1	0.127
329	24.39	7.6	0.122
330	24.44	7.8	0.12
331	24.5	7.3	0.121
332	24.55	7.5	0.118
333	24.6	7.9	0.113
334	24.65	7.1	0.107
335	24.7	7.5	0.111
336	24.75	7.4	0.116
337	24.8	7.3	0.11
338	24.85	7.6	0.117
339	24.9	7.6	0.123
340	24.95	7.5	0.13
341	25.01	7.5	0.126
342	25.06	7.5	0.127
343	25.11	7.7	0.12
344	25.16	7.5	0.125
345	25.21	7.5	0.119
346	25.26	7.8	0.129
347	25.31	7.4	0.123
348	25.36	7.5	0.127
349	25.41	7.6	0.122
350	25.46	7.1	0.123
351	25.51	7.2	0.135
352	25.56	7.4	0.15
353	25.61	7.5	0.149
354	25.66	7.3	0.142
355	25.71	7.3	0.138
356	25.76	7.8	0.147
357	25.82	7.5	0.126
358	25.87	7.8	0.126
359	25.92	8.1	0.133
360	25.97	8	0.136
361	26.02	8.1	0.143
362	26.07	8	0.145
363	26.12	8.3	0.149
364	26.17	8.7	0.152
365	26.22	8.2	0.156
366	26.27	8.1	0.159
367	26.32	8.4	0.163
368	26.37	8.3	0.152
369	26.42	8.5	0.159
370	26.47	8.7	0.161
371	26.52	8.5	0.145
372	26.57	8.5	0.144
373	26.63	8.8	0.155
374	26.68	9	0.153
375	26.73	8.4	0.136
376	26.78	8.5	0.16
377	26.83	8.7	0.138
378	26.88	8.8	0.16
379	26.93	8.4	0.147
380	26.98	8.5	0.136
381	27.03	8.7	0.13
382	27.08	8.6	0.13
383	27.13	8.5	0.125
384	27.18	9.2	0.131
385	27.23	9.1	0.133
386	27.28	9.1	0.141
387	27.33	9.1	0.164
389	27.44	8.7	0.164
390	27.49	8.8	0.192
391	27.54	9	0.186
392	27.59	9.1	0.188
393	27.64	9	0.181
394	27.69	9.2	0.171
395	27.74	8.8	0.178
396	27.79	9	0.187
397	27.84	8.8	0.171
398	27.89	8.8	0.171
399	27.94	8.1	0.173
400	27.99	8.2	0.184
401	28.04	8.5	0.178
402	28.09	8.5	0.184
403	28.14	8.4	0.184
404	28.19	8.7	0.168
405	28.25	8.8	0.158
406	28.3	8.8	0.157
407	28.35	8.7	0.172
408	28.4	9.1	0.17
409	28.45	8.8	0.157
410	28.5	9.2	0.106
411	28.55	8.8	0.123
412	28.6	9	0.148
413	28.65	8.7	0.136
414	28.7	8.8	0.13
415	28.75	8.8	0.107
416.5	28.83	8.8	0.142
417.5	28.88	9.5	0.152
418.5	28.93	9.6	0.15
419.5	28.98	9.3	0.172
420.5	29.03	8.8	0.154
421.5	29.09	8.9	0.153
422.5	29.15	8.8	0.157
423.5	29.2	8.9	0.155
424.5	29.26	8.9	0.173
425.5	29.32	9	0.163
426.5	29.38	7.9	0.17
427.5	29.44	8.8	0.182
428.5	29.49	8.9	0.176
429.5	29.55	8.4	0.189
430.5	29.61	8	0.193
431.5	29.67	8	0.177
432.5	29.73	8.2	0.188
433.5	29.78	8.4	0.175
434.5	29.84	8.3	0.203
435.5	29.9	8.3	0.184
436.5	29.96	8.2	0.177
437.5	30.02	8.7	0.179
438.5	30.07	8.8	0.171
439.5	30.13	8.5	0.177
440.5	30.19	7.8	0.171
441.5	30.25	8.7	0.187
443.5	30.36	8.4	0.183
