# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),%lithics,%forams,%volcanics
1228.5,58.633,0.44248,98.23,0
1231,58.727,1.2225,97.066,0.2445
1233.5,58.82,8.4577,90.547,1.8242
1236,58.914,16.008,83.427,4.1431
1238.5,59.347,10.827,87.402,0.98425
1241,59.779,16.253,83.747,1.9284
1243.5,60.212,13.115,86.521,3.2787
1246,60.645,15.021,84.979,6.1196
1248.5,61.078,16.698,83.114,6.7542
1251,61.51,21.814,78.186,12.255
1253.5,61.943,16.202,83.798,9.0305
1256,62.296,17.134,82.866,7.6324
1258.5,62.649,12.62,87.381,3.4417
1261,63.001,12.993,87.007,4.3796
1263.5,63.354,15.292,84.708,3.6082
1266,63.707,13.056,86.795,3.4125
1268.5,64.06,16.536,83.333,3.776
1271,64.412,18.449,81.551,3.2086
1273.5,64.765,13.934,86.066,3.0738
1276,65.118,24.425,75.221,5.3097
1278.5,65.471,15.95,84.05,2.509
1281,65.823,17.682,82.318,3.7328
1283.5,66.176,20.98,78.56,3.5222
1286,66.529,14.167,85.278,2.5
1288.5,66.882,4.9618,94.656,0.9542
1295,67.799,3.4884,96.318,0.1938
1312.5,69.422,0.20833,97.708,0
1362.5,72.245,0.25974,94.545,0
1365,72.386,0.19231,95.385,0
1367.5,72.527,1.9027,93.658,0.63425
1370,72.669,10.727,88.581,3.2872
1372.5,72.81,9.1729,90.376,4.0602
1375,72.951,4.8246,95.029,1.1696
1377.5,73.03,5.8224,93.304,1.8923
1380,73.108,0.96525,97.683,0.96525
1382.5,73.187,2.0258,97.606,0.36832
1385,73.265,0,98.105,0
1387.5,73.344,0,98.656,0
1390,73.423,0,96.822,0
1405,73.894,0.2045,95.501,0
1407.5,73.973,0.15038,95.789,0
1410,74.051,0,96.629,0
1412.5,74.13,0,96.542,0
1415,74.208,0,96.791,0
1417.5,74.287,0,97.55,0
1420,74.366,0.16367,96.563,0
1422.5,74.444,0.45662,95.89,0.22831
1425,74.523,0.21834,85.371,0
1427.5,74.601,0,94.385,0
1430,74.68,0.14347,95.122,0
1432.5,74.882,0.36563,95.43,0
1435,75.084,0,97.314,0
1437.5,75.286,0.17391,97.913,0.17391
1440,75.488,0,93.668,0
1449,76.214,0.19305,94.402,0
1449.5,76.255,0,94.822,0
1452,76.457,0,96.917,0
1454.5,76.659,0.21645,97.186,0.21645
1457,76.861,0,90.291,0
1459.5,77.062,1.6863,84.148,0.5059
1462,77.264,12.176,85.23,2.1956
1464.5,77.466,17.195,82.353,6.184
