# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),δ13C Cibs (benthic),δ18O Cibs (benthic)
1572,83.455,0.58,3.35
1574.5,83.564,0.67,3.33
1572,83.455,0.91,3.39
1579.5,83.782,0.8,3.44
1582,83.891,0.56,3.27
1584.5,84,0.06,3.24
1589.5,84.51,0.68,3.25
1592,84.765,1.85,3.22
1594.5,85.02,0.52,3.89
1601,85.684,0.6,4.08
1603.5,85.939,0.89,3.94
1606,86.194,0.94,3.74
1608.5,86.449,1.13,3.83
1611,86.704,1.06,3.77
1616,87.214,1.45,3.73
1618.5,87.469,0.69,3.81
1621,87.724,0.98,3.72
1623.5,87.98,0.98,3.79
1626,88.235,1.01,3.7
1628.5,88.49,0.98,3.69
1631,88.745,0.68,3.77
1633.5,89,0.98,3.7
1636,89.353,1.19,3.58
1638.5,89.706,1.04,3.81
1643.5,90.412,1.11,3.65
1646,90.765,0.46,3.73
1648.5,91.118,0.66,3.69
1651,91.471,0.23,3.55
1653.6,91.838,0.61,3.56
1656,92.176,0.76,3.76
1658.5,92.529,0.94,3.62
1661,92.882,0.76,3.58
1663.5,93.235,0.94,3.54
1666,93.588,0.76,3.63
1671,94.294,0.22,3.13
1676,95,0.71,3.2
1679.8,95.368,0.72,3.09
1683.5,95.735,0.5,3.26
1687.3,96.103,0.82,3.13
1691,96.471,1.01,3.17
1696,96.961,0.84,3.09
1698.5,97.206,0.62,3.09
1701,97.451,1.11,3.13
1703.5,97.696,0.63,3.21
1708.5,98.186,0.74,3.25
1711,98.431,0.95,3.3
1713.5,98.676,1.01,3.28
1716,98.922,0.9,3.21
1718.5,99.167,0.9,3.14
1721,99.412,1.07,3.24
1723.5,99.657,0.72,3.16
1726,99.902,0.99,3.26
1728.5,100.15,1.02,3.27
1731,100.39,0.88,3.26
1741,101.37,0.59,3.27
1743.5,101.62,0.29,3.2
1748.5,102.11,0.68,3.29
1755.5,102.79,0.75,3.18
1758,103.04,0.81,3.17
1760.5,103.28,0.51,3.16
1763,103.53,0.65,3.14
1768,104.02,0.18,3.15
1770.5,104.26,0.57,3.21
1773,104.51,0.78,3.2
1778,105,0.21,3.17
1780.5,105.15,0.58,3.64
1783,105.3,0.6,3.69
1785.5,105.45,0.88,3.66
1788,105.6,0.77,3.75
1790.5,105.75,0.87,3.48
1793,105.89,0.98,3.58
1795.5,106.04,0.74,3.62
1798,106.19,0.83,3.55
1800.5,106.34,0.87,3.5
1810.5,106.94,0.61,3.54
1813,107.09,0.91,3.53
1815.5,107.24,1.12,3.58
1818,107.38,0.58,3.59
1820.5,107.53,0.75,3.5
1823,107.68,0.81,3.5
1830.5,108.13,0.47,3.4
1835.5,108.43,0.61,3.58
1838,108.58,0.84,3.79
1840.5,108.73,1,3.81
1845.5,109.02,0.91,3.82
1848,109.17,0.89,3.65
1850.5,109.32,0.67,3.68
1853,109.47,0.92,3.83
1855.5,109.62,0.24,3.58
1863,110.07,0.76,3.54
1865.5,110.22,0.4,3.6
1868,110.37,0.31,3.64
1873,110.66,0.55,3.43
1876.8,110.89,0.88,3.54
1883,111.26,0.61,3.66
1888,111.56,0.9,3.47
1894.3,111.93,1.1,3.47
1910,112.87,0.8,3.43
1912.5,113.02,1.03,3.48
1915,113.17,0.78,3.46
1917.5,113.32,0.31,3.46
1920,113.47,0.73,3.42
1922.5,113.62,0.56,3.34
1925,113.76,0.6,3.31
1927.5,113.91,0.53,3.37
1935,114.36,0.29,3.24
1937.5,114.51,0.27,3.31
1947.5,115.11,0.56,3.31
1950,115.25,0.44,3.23
1955,115.55,0.96,3.22
1960,115.85,0.29,3.21
1962.5,116,0.53,3.09
1970,116.2,-0.11,3.2
1972.5,116.26,0.36,3.12
1980,116.46,0.17,3.08
1982.5,116.53,0.05,3.13
1985,116.6,0.54,3.12
1990,116.73,0.34,3.01
1993.8,116.83,0.15,3.13
2002.5,117.06,0.15,3.11
2005,117.12,0.57,3.09
2010,117.26,0.41,3.06
2018.7,117.49,0.16,3.05
2032.5,117.85,0.21,3.03
2038.7,118.02,-0.07,2.88
2045,118.18,-0.19,2.84
2050,118.31,0.25,2.94
2052.5,118.38,0.68,2.88
2055,118.45,-0.11,2.68
2063.5,118.67,0.42,2.84
2066,118.74,0.61,2.77
2068.5,118.8,0.08,2.88
2071,118.87,0.39,2.69
2073.5,118.94,0.43,2.85
2076,119,-0.14,2.63
2078.5,119.07,0.38,2.75
2081,119.13,0.34,2.67
2083.5,119.2,0.32,2.63
2086,119.27,0.54,2.73
2088.5,119.33,0.66,2.68
2092.2,119.43,0.49,2.56
2098.5,119.6,0.57,2.63
2103.5,119.73,0.13,2.72
2106,119.8,0.52,2.67
2108.5,119.86,0.23,2.7
2111,119.93,0.62,2.56
2113.5,119.99,0.11,2.69
2116,120.06,0.2,2.65
2118.5,120.13,0.58,2.59
2126,120.33,0.35,2.46
2136,120.59,0.5,2.68
2138.5,120.66,0.45,2.84
2141,120.72,0.1,2.7
2143.5,120.79,0.57,2.59
2146,120.85,-0.08,2.57
2151,120.99,0.04,2.55
2166,121.38,0.46,2.5
2168.5,121.45,0.8,2.58
2171,121.52,0.15,2.35
2173.5,121.58,-0.19,2.61
2179.7,121.75,0.71,2.4
2188.5,121.98,0.86,2.54
2191,122.04,0.61,2.62
2193.5,122.11,0.27,2.55
2196,122.18,0.54,2.54
2198.5,122.24,0.59,2.64
2202.3,122.34,0.51,2.68
2206,122.44,0.58,2.64
2216.8,122.73,0.13,2.6
2220.5,122.83,0.47,2.57
2223,122.89,0.7,2.57
2225.5,122.96,0.44,2.47
2229.2,123.06,0.03,2.46
2235.5,123.22,0.67,2.58
2240.5,123.35,0.08,2.57
2248,123.55,0.4,2.67
2255.5,123.75,0.19,2.64
2260.5,123.88,0.23,2.48
2265.5,124.02,-0.48,2.55
2271.7,124.18,0.45,2.43
2281.8,124.45,0.61,2.41
2290,124.66,-0.33,2.51
2293,124.74,-0.14,2.67
2295.5,124.81,0.08,2.72
2300.5,124.94,0.68,2.64
2305.5,125.07,0.64,2.65
2308,125.14,0.14,2.55
2310.5,125.21,0.39,2.56
2314.3,125.31,0.24,2.56
2318,125.4,0.7,2.5
2323,125.54,0.27,2.64
2325.5,125.6,0.03,2.67
2328,125.67,0.24,2.54
2331.8,125.77,0.59,2.51
2335.5,125.87,0.37,2.52
2338,125.93,0.52,2.55
2340.5,126,0.17,2.56
2343,126.07,0.16,2.82
2351.7,126.3,0.01,2.67
