/* DESCRIPTION:
Reference:	Hendy, I.L., J.P. Kennett, E.B. Roark, and B.L. Ingram.  2002. Apparent synchroneity of submillennial scale climate events between Greenland and Santa Barbara Basin, California from 30–10 ka. Quaternary Science Reviews, Vol. 21, Issue 10, pp. 1167-1184, May 2002. doi:10.1016/S0277-3791(01)00138-X.
	Hendy, I.L., and J.P. Kennett. 2003. Tropical forcing of North Pacific intermediate water distribution during Late Quaternary rapid climate change? Quaternary Science Reviews, Vol. 22, Issues 5-7, pp. 673-689. doi:10.1016/S0277-3791(02)00186-5.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5830. Accessed 11 Nov 2022.
	https://www.ncei.noaa.gov/access/paleo-search/study/5829. Accessed 11 Nov 2022.
Comment:	Several variables from the original datasets are not included here.
*/
Age [ka] vs. 2000AD	N. pachyderma d18O	N. pachyderma d13C	G. bulloides d18O	G. bulloides d13C	benthic d18O
17.539	2.705	-0.058	2.608	-0.877	3.941
17.554	2.851	-0.085	2.835	-0.798	3.936
17.575	2.684	-0.447	2.704	-0.702	4.068
17.596	2.597	-0.183	2.963	-0.676	3.907
17.617	2.755	-0.098	2.805	-0.851	3.801
17.638	2.647	-0.218	2.644	-0.717	3.876
17.658	2.523	-0.019	2.777	-0.877	3.777
17.682	2.602	0.11	3.224	-0.631	3.824
17.703	2.532	-0.024	2.723	-0.911	3.812
17.764	2.549	-0.157	2.405	-0.883	3.87
17.847	2.406	-0.058	2.561	-0.857	3.808
17.894	2.43	-0.079	2.516	-0.954	3.844
17.942	2.569	0.052	2.95	-0.657	3.758
18.018	2.248	-0.159	2.567	-0.725	3.719
18.052	2.347	-0.119	2.425	-0.886	3.71
18.1	2.295	0.092	2.705	-0.936	
18.148	2.734	-0.031	2.87	-0.646	3.818
18.196	2.537	0.031	2.643	-0.788	3.908
18.244	2.523	-0.066	2.634	-0.777	3.811
18.292	2.637	-0.047	2.553	-0.836	3.953
18.348	2.642	0.08	2.762	-0.541	
18.391	2.45	0.293	2.821	-0.657	3.92
18.458	2.439	-0.129	3.128	-0.573	3.711
18.517	2.805	0.055	2.752	-0.505	3.85
18.576	2.609	0.023	2.919	-0.784	3.725
18.635	2.45	-0.064	2.274	-1.378	3.726
18.669	2.249	0.124	2.781	-0.965	3.747
18.736	2.315	0.19	2.339	-0.743	3.853
18.778	2.38	-0.279	2.412	-0.615	3.772
18.837	2.348	0.06	2.366	-0.611	3.751
18.896	2.549	0.213	2.404	-0.974	3.765
18.955	2.43	0.116			3.748
19.035	2.409	-0.152			3.791
19.074	2.749	-0.069			3.685
19.112	2.48	0.243	2.521	-0.75	3.748
19.156	2.464	0.097	2.743	-0.611	3.707
19.239	2.594	-0.109	2.445	-0.621	3.755
19.315					3.692
19.34	2.546	-0.258			3.75
19.404	2.546	-0.144	2.575	-0.787	3.677
19.448	2.51	-0.079	2.575	-0.787	3.819
19.492	2.569	-0.013	2.757	-0.726	3.816
19.537	2.262	0.105	2.575	-0.738	3.768
19.581	2.326	0.195	2.877	-0.621	3.759
19.626	2.593	-0.232	2.868	-0.698	3.683
20.349	2.299	0.19	2.357	-1.096	3.773
20.895	2.188	0.324	2.517	-1.03	
20.896					3.794
20.94	2.54	0.021	2.184	-0.695	
20.942					3.782
20.985	2.408	-0.024			
20.987					3.779
21.017	2.788	-0.148			
21.056	2.487	0.042			
21.059					3.677
21.101	2.669	-0.083			
21.105					3.71
21.146	2.775	-0.036			
21.151					3.73
21.191	2.905	1.134	2.664	-0.754	
21.197					3.768
21.236	2.62	0.049	3.339	0.081	
21.242					3.793
21.294	2.471	0.036	2.657	-0.89	
21.301					3.8
21.333	2.589	0.024	2.9	-0.712	
21.34					3.859
21.378	2.552	0.121	2.729	-0.627	
21.386					3.745
21.423	2.724	-0.094	2.964	-0.713	
21.432					3.831
21.468	2.568	-0.01	2.969	-0.306	
21.478					3.817
21.507	2.479	0.075	2.954	-0.539	
21.517					3.726
21.545	2.435	0.132	2.976	-0.598	
21.556					3.851
21.59	2.45	-0.02	2.591	-0.778	
21.602					3.749
21.61	2.532	-0.411	2.907	-0.588	
21.622					3.725
21.667	2.732	-0.127	2.913	-0.688	
21.68					3.843
21.706	2.663	-0.155	2.951	-0.782	
21.72					3.803
21.751	2.788	-0.119	2.964	-0.675	
21.765					3.764
21.79	2.71	0.052	2.753	-0.701	
21.805					3.788
21.835	2.467	0.256	2.709	-0.591	
21.85					3.73
21.873	2.316	0.318	2.712	-0.595	
21.89					3.787
21.912	2.439	0.027	2.817	-0.677	
21.929					3.708
21.951	2.4	-0.089	2.764	-0.83	
21.968					3.705
21.989	2.325	0.158	2.781	-0.574	
22.007					3.699
22.067	2.638	-0.04	2.867	-0.613	
22.086					3.924
22.105	2.634	-0.181	2.975	-0.685	
22.125					3.787
22.163	2.66	-0.277	2.872	-0.602	
22.184					3.95
22.253	2.472	0.166	2.85	-0.568	
22.275					3.783
22.298	2.481	-0.124	2.895	-0.66	
22.321					3.76
22.343	2.4	0.141	2.858	-0.456	
22.367					3.694
22.395	2.596	0.097	3.039	-0.408	
22.419					3.636
22.44	2.326	-0.123	2.922	-0.561	
22.465					3.761
22.485	2.643	0.054	2.845	-0.513	
22.511					3.877
22.53	2.154	0.403	2.887	-1.027	
22.549	2.523	-0.047	2.932	-0.512	
22.557					3.879
22.576					3.754
22.595	2.458	0.093	2.828	-0.639	
22.622					3.808
22.633	2.459	-0.059	2.806	-0.676	
22.652	2.496	-0.032	2.727	-0.776	
22.661					3.848
22.681					3.831
22.717	2.649	-0.059	2.865	-0.64	
22.746					3.915
22.826	2.364	0.012	2.77	-0.687	
22.857					3.758
22.91					3.827
22.987	2.425	-0.048	2.728	-0.562	
23.021					3.814
23.032	2.449	0.019	2.896	-0.533	
23.067					3.691
23.077	2.588	0.179	3.018	-0.395	
23.112					3.749
23.129	2.597	0.127	2.627	-0.706	
23.165					3.754
23.174	2.42	0.125	2.97	-0.539	
23.21					3.77
23.219	2.197	-0.261	2.627	-0.879	
23.256					3.676
23.264	2.241	0.172	2.865	-0.666	
23.302					3.656
23.316	2.143	0.362	2.152	-0.65	
23.354					3.685
23.362	2.029	0.455	2.05	-0.699	
23.4					3.681
23.408	2.271	0.202	2.24	-0.82	
23.446					3.685
23.454	2.151	0.149	2.438	-0.976	
23.492					3.723
23.507	2.376	-0.162	2.76	-0.873	
23.544					3.779
