/* DESCRIPTION:
Reference:	Yang, S., & Ding, Z. (2014). A 249 kyr stack of eight loess grain size records from northern China documenting millennial‐scale climate variability. Geochemistry, Geophysics, Geosystems, 15(3), 798-814, https://doi.org/10.1002/2013GC005113
Data from:	https://doi.org/10.1002/2013GC005113. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Age [ka]	Grain Size
134	-0.65682
134.2	-0.71205
134.4	-0.72328
134.6	-0.7594
134.8	-0.78851
135	-0.83853
135.2	-0.78717
135.4	-0.75286
135.6	-0.74853
135.8	-0.70749
136	-0.65076
136.2	-0.62931
136.4	-0.58864
136.6	-0.58146
136.8	-0.6231
137	-0.65072
137.2	-0.64911
137.4	-0.64149
137.6	-0.65169
137.8	-0.66322
138	-0.67511
138.2	-0.69259
138.4	-0.67663
138.6	-0.69643
138.8	-0.75206
139	-0.6653
139.2	-0.65733
139.4	-0.60866
139.6	-0.5885
139.8	-0.56653
140	-0.45845
140.2	-0.49722
140.4	-0.50884
140.6	-0.54215
140.8	-0.56874
141	-0.58378
141.2	-0.53747
141.4	-0.44856
141.6	-0.34239
141.8	-0.39593
142	-0.52288
142.2	-0.37923
142.4	-0.31879
142.6	-0.24524
142.8	-0.28662
143	-0.30788
143.2	-0.3454
143.4	-0.36456
143.6	-0.38849
143.8	-0.38635
144	-0.27399
144.2	-0.26575
144.4	-0.27953
144.6	-0.26348
144.8	-0.22607
145	-0.22489
145.2	-0.24724
145.4	-0.25563
145.6	-0.25886
145.8	-0.2256
146	-0.21992
146.2	-0.19487
146.4	-0.17021
146.6	-0.16556
146.8	-0.16981
147	-0.15226
147.2	-0.14384
147.4	-0.08965
147.6	-0.15505
147.8	-0.16491
148	-0.20216
148.2	-0.26443
148.4	-0.17237
148.6	-0.16972
148.8	-0.12175
149	-0.24422
149.2	-0.27153
149.4	-0.30419
149.6	-0.28155
149.8	-0.26513
150	-0.20933
150.2	-0.25927
150.4	-0.28923
150.6	-0.34334
150.8	-0.36337
151	-0.33732
151.2	-0.31504
151.4	-0.25757
151.6	-0.31872
151.8	-0.34439
152	-0.33222
152.2	-0.32042
152.4	-0.31405
152.6	-0.31857
152.8	-0.34384
153	-0.36813
153.2	-0.38832
153.4	-0.40234
153.6	-0.42461
153.8	-0.42686
154	-0.45542
154.2	-0.46977
154.4	-0.48503
154.6	-0.46699
154.8	-0.45012
155	-0.42755
155.2	-0.40931
155.4	-0.39878
155.6	-0.40104
155.8	-0.39776
156	-0.3872
156.2	-0.36712
156.4	-0.35326
156.6	-0.32682
156.8	-0.29507
157	-0.37646
157.2	-0.39349
157.4	-0.4517
157.6	-0.48318
157.8	-0.48151
158	-0.5055
158.2	-0.55623
158.4	-0.57151
158.6	-0.53035
158.8	-0.51042
159	-0.4897
159.2	-0.47444
159.4	-0.48663
159.6	-0.42836
159.8	-0.54716
160	-0.58193
160.2	-0.62836
160.4	-0.65406
160.6	-0.70266
160.8	-0.76312
161	-0.78995
161.2	-0.72818
161.4	-0.70222
161.6	-0.66826
161.8	-0.66915
162	-0.73655
162.2	-0.69922
162.4	-0.64442
162.6	-0.61985
162.8	-0.53098
163	-0.49158
163.2	-0.52691
163.4	-0.61236
163.6	-0.61649
163.8	-0.65792
164	-0.67784
164.2	-0.66629
164.4	-0.6928
164.6	-0.76078
164.8	-0.6895
165	-0.59718
165.2	-0.53205
165.4	-0.45492
165.6	-0.35857
165.8	-0.27079
166	-0.03173
166.2	-0.08143
166.4	-0.14021
166.6	-0.03643
166.8	0.05997
167	0.11164
167.2	0.1453
167.4	0.19513
167.6	0.26795
167.8	0.3217
168	0.41405
168.2	0.35807
168.4	0.31354
168.6	0.31752
168.8	0.28267
169	0.3126
169.2	0.32884
169.4	0.29015
169.6	0.33391
169.8	0.23403
170	0.3304
170.2	0.33451
170.4	0.35063
170.6	0.36911
170.8	0.4013
171	0.408
171.2	0.39662
171.4	0.41149
171.6	0.40443
171.8	0.41133
172	0.4375
172.2	0.42332
172.4	0.39403
172.6	0.38673
172.8	0.36201
173	0.34939
173.2	0.34516
173.4	0.30133
173.6	0.28157
173.8	0.26442
174	0.2095
174.2	0.21224
174.4	0.22942
174.6	0.24249
174.8	0.26551
175	0.26895
175.2	0.273
175.4	0.27673
175.6	0.24544
175.8	0.17924
176	0.17233
176.2	0.07531
176.4	0.01521
176.6	-0.04529
176.8	-0.05699
177	-0.12326
177.2	-0.14607
177.4	-0.13502
177.6	-0.13718
177.8	-0.18301
178	-0.21664
178.2	-0.26294
178.4	-0.29752
178.6	-0.31697
178.8	-0.33157
179	-0.44017
179.2	-0.39498
179.4	-0.37381
179.6	-0.37929
179.8	-0.37071
180	-0.35592
180.2	-0.35321
180.4	-0.3412
180.6	-0.31388
180.8	-0.23993
181	-0.1853
181.2	-0.27085
181.4	-0.31127
181.6	-0.36258
181.8	-0.38088
182	-0.3848
182.2	-0.38453
182.4	-0.37077
182.6	-0.37584
182.8	-0.37165
183	-0.42332
183.2	-0.38426
183.4	-0.4239
183.6	-0.42691
183.8	-0.39749
184	-0.41646
184.2	-0.39514
184.4	-0.45192
184.6	-0.49057
184.8	-0.47974
185	-0.50237
185.2	-0.51965
185.4	-0.56062
185.6	-0.61864
185.8	-0.55909
186	-0.51434
186.2	-0.4145
186.4	-0.40296
186.6	-0.4402
186.8	-0.45062
187	-0.43279
187.2	-0.40545
187.4	-0.40049
187.6	-0.33817
187.8	-0.26831
188	-0.22273
188.2	-0.2185
188.4	-0.19694
188.6	-0.15533
188.8	-0.12745
189	-0.11963
189.2	-0.07333
189.4	-0.04833
189.6	-0.06581
189.8	-0.09245
190	-0.15929
190.2	-0.1727
190.4	-0.16448
190.6	-0.14282
190.8	-0.17794
191	-0.19296
191.2	-0.16383
191.4	-0.18267
191.6	-0.15257
191.8	-0.15113
192	-0.16247
192.2	-0.14727
192.4	-0.1014
192.6	-0.1269
192.8	-0.11114
193	-0.09703
193.2	-0.07717
193.4	-0.04013
193.6	-0.01734
193.8	-0.01072
194	0.02541
194.2	0.07411
194.4	0.07127
194.6	0.12869
194.8	0.26959
195	0.25219
195.2	0.54027
195.4	0.65738
195.6	0.68946
195.8	0.72847
196	0.70724
196.2	0.68601
196.4	0.66478
196.6	0.64754
196.8	0.63657
197	0.62788
197.2	0.6235
197.4	0.62773
197.6	0.6346
197.8	0.6379
198	0.63842
198.2	0.63809
198.4	0.63776
198.6	0.63565
198.8	0.62469
199	0.61374
199.2	0.60322
199.4	0.60008
199.6	0.60084
199.8	0.60061
200	0.60037
200.2	0.60253
200.4	0.60468
200.6	0.6101
200.8	0.61859
201	0.62053
201.2	0.61905
201.4	0.61757
201.6	0.59554
201.8	0.5694
202	0.54325
202.2	0.52082
202.4	0.50977
202.6	0.50354
202.8	0.50559
203	0.50649
203.2	0.5068
203.4	0.50486
203.6	0.49656
203.8	0.48292
204	0.46928
204.2	0.45565
204.4	0.30935
204.6	0.3224
204.8	0.33546
205	0.34851
205.2	0.35691
205.4	0.36534
205.6	0.37347
205.8	0.38328
206	0.39507
206.2	0.40686
206.4	0.41865
206.6	0.42767
206.8	0.44302
207	0.46239
207.2	0.48341
207.4	0.50588
207.6	0.52823
207.8	0.55059
208	0.56305
208.2	0.56984
208.4	0.57468
208.6	0.5776
208.8	0.58055
209	0.58798
209.2	0.60041
209.4	0.61823
209.6	0.63349
209.8	0.64586
