# DESCRIPTION:
# Reference: Erhardt, T et al. (2019): Decadal-scale progression of the onset of Dansgaard–Oeschger warming events. Climate of the Past, 15(2), 811-825, https://doi.org/10.5194/cp-15-811-2019.
# Data from: https://doi.org/10.1594/PANGAEA.896736. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],Na+ [ng/g],Ca2+ [ng/g]
15.885,68.76913,213.15286
15.895,49.10229,177.20017
15.905,24.54119,125.96194
15.915,59.044,198.73536
15.925,70.31191,211.53249
15.935,44.21264,192.16198
15.945,45.85973,211.00368
15.955,71.89239,170.81096
15.965,55.59658,157.13544
15.975,89.20084,260.92015
15.985,128.7889,162.41331
15.995,,205.55363
16.005,,197.78322
16.015,61.93302,242.23123
16.025,67.29385,248.23669
16.035,82.1581,243.88613
16.045,77.25695,231.76285
16.055,47.46543,199.32839
16.065,85.71738,287.58213
16.075,55.25179,263.00616
16.085,66.76826,319.53648
16.095,67.80128,282.94315
16.105,97.27871,349.14189
16.115,63.84239,264.26441
16.125,61.19005,169.48325
16.135,70.93073,213.24037
16.145,56.29564,220.86969
16.155,87.46834,268.53102
16.165,58.86675,163.72856
16.175,58.64337,188.64527
16.185,69.21003,224.60951
16.195,59.28719,330.86772
16.205,79.14815,257.66444
16.215,70.6531,147.7321
16.225,66.69711,161.63278
16.235,105.90499,285.90531
16.245,66.01124,226.89211
16.255,71.19264,318.87198
16.265,47.6045,239.70921
16.275,57.06812,218.6973
16.285,84.54927,334.61747
16.295,84.51026,190.49876
16.305,78.50056,181.4961
16.315,84.11812,277.21074
16.325,50.08937,181.34942
16.335,73.2166,238.46503
16.345,51.64294,195.95662
16.355,63.38879,196.99689
16.365,66.39362,231.64801
16.375,88.00804,287.55235
16.385,70.33225,200.14047
16.395,62.76233,186.1478
16.405,65.66384,218.2562
16.415,82.37522,236.82902
16.425,57.69039,267.32974
16.435,57.74475,235.63839
16.445,73.33375,242.60445
16.455,123.52327,345.03433
16.465,130.37149,267.25427
16.475,70.07468,209.86168
16.485,56.60181,197.08563
16.495,66.33828,265.29564
16.505,57.02398,259.12331
16.515,84.33012,358.68185
16.525,64.71742,263.70886
16.535,54.25304,263.70914
16.545,63.19648,336.19654
16.555,65.00497,239.14011
16.565,68.82322,299.30232
16.575,56.02048,241.38232
16.585,69.21618,261.09995
16.595,72.4583,235.54034
16.605,42.79538,207.23041
16.615,66.86774,246.80054
16.625,61.58043,248.0816
16.635,78.19894,230.07235
16.645,78.13165,277.84807
16.655,83.18987,307.30429
16.665,57.9655,258.3776
16.675,74.27278,268.07932
16.685,50.8512,221.07611
16.695,57.31603,216.41081
16.705,102.65556,313.93449
16.715,58.16005,201.7114
16.725,59.25,244.26795
16.735,49.75321,196.41825
16.745,74.8489,251.85282
16.755,79.0754,279.49388
16.765,73.58956,291.58393
16.775,83.62781,298.36571
16.785,65.52297,282.75123
16.795,79.43587,280.25936
16.805,61.66033,378.42078
16.815,92.56572,354.78897
16.825,68.31583,211.63527
16.835,77.17456,280.69522
16.845,56.08815,226.91745
16.855,85.40649,272.46067
16.865,77.20018,352.60083
16.875,71.60051,301.66395
16.885,64.93778,238.33688
16.895,40.06372,206.28578
16.905,63.18039,292.98298
16.915,134.90583,510.66757
16.925,79.83832,278.2899
16.935,74.40094,345.18229
16.945,70.94154,280.94731
16.955,69.71284,273.05856
16.965,65.41635,231.60991
16.975,42.02141,161.08932
16.985,63.26001,222.12899
16.995,54.88467,213.03899
17.005,61.10084,250.96181
17.015,92.85383,298.09368
17.025,80.00644,303.28969
17.035,79.56941,263.05177
17.045,85.61288,254.10185
17.055,48.92939,197.62335
17.065,105.52938,334.32324
17.075,86.84255,301.59999
17.085,70.55186,279.5142
17.095,73.56916,239.48829
17.105,78.04426,305.26086
17.115,76.05882,249.26302
17.125,70.66984,272.72875
17.135,99.95404,290.64893
17.145,52.44715,232.28204
17.155,66.18962,284.32692
17.165,65.5712,301.90799
17.175,78.14395,320.65984
17.185,111.00156,424.96549
17.195,105.51393,268.06951
17.205,57.37295,261.67964
17.215,50.45519,228.44717
17.225,85.61416,251.67629
17.235,83.31788,309.98969
17.245,94.54525,300.98555
17.255,73.27715,310.2989
17.265,60.70658,266.68797
17.275,78.76826,310.48007
17.285,58.59808,303.93686
17.295,75.32097,344.26881
17.305,86.44799,351.56052
17.315,112.85537,437.54767
17.325,80.36899,264.04327
17.335,89.18906,359.82219
17.345,76.91836,318.18169
17.355,82.50682,301.68143
17.365,72.2565,375.01273
17.375,81.24578,394.34012
17.385,64.9554,309.46495
17.395,78.88481,433.04189
17.405,46.09477,301.05031
17.415,127.58135,511.59237
17.425,83.06459,385.91608
17.435,101.5159,433.94887
17.445,140.34161,434.79469
17.455,105.58484,331.08646
17.465,99.86155,327.04853
17.475,110.84982,414.5346
17.485,129.84021,472.01102
17.495,128.09037,410.81858
17.505,79.30974,302.19743
17.515,106.56993,342.89109
17.525,82.07543,309.02407
17.535,111.94196,339.02769
17.545,139.12683,366.71454
17.555,86.99254,261.80872
17.565,78.17164,236.62918
17.575,95.26506,270.68387
17.585,116.48388,309.37002
17.595,66.46031,205.84045
17.605,75.92998,191.57907
17.615,67.18951,206.9511
17.625,85.69928,162.30295
17.635,61.33953,166.96137
17.645,130.56517,315.90477
17.655,62.65336,151.89024
17.665,61.14915,207.1902
17.675,55.14418,162.16643
17.685,89.89536,235.51492
17.695,102.46391,259.48835
17.705,77.47826,183.89623
17.715,90.96419,209.204
17.725,92.34116,195.46807
17.735,69.79214,178.08446
17.745,99.40539,188.18975
17.755,88.87364,215.76533
17.765,83.75267,179.0442
17.775,108.16184,191.424
17.785,73.40962,176.93806
17.795,171.30969,248.27101
17.805,97.93593,185.60859
17.815,137.49791,227.51272
17.825,98.59528,160.26063
17.835,74.14854,128.47717
17.845,100.28382,161.39036
17.855,112.93497,165.78298
17.865,49.58094,302.90056
17.875,64.23401,272.56494
17.885,88.98697,327.09986
17.895,99.26232,357.40507
17.905,41.37865,238.689
17.915,106.22704,327.08245
17.925,77.07487,248.51564
17.935,133.34556,330.32412
17.945,70.08329,280.97822
17.955,108.33247,275.52627
17.965,104.54453,304.93282
17.975,105.66774,299.39651
17.985,100.95404,299.0317
17.995,103.88789,299.17122
18.005,107.04906,325.39077
18.015,101.38623,267.46295
18.025,78.42634,209.48827
18.035,84.4238,230.16058
18.045,137.98056,270.44667
18.055,120.55595,309.29903
18.065,126.22429,300.095
18.075,140.09068,351.63058
18.085,89.40203,281.15323
18.095,97.00165,238.62212
18.105,116.82156,269.62698
18.115,103.88153,226.80653
18.125,149.54329,388.84723
18.135,127.75285,244.39125
18.145,111.52085,211.93575
18.155,101.46008,228.31228
18.165,166.12162,305.41683
18.175,133.0352,205.8628
18.185,110.8051,225.95434
18.195,96.88584,208.48231
18.205,68.59153,178.22204
18.215,114.58558,220.7296
18.225,77.73014,206.36325
18.235,91.09658,213.31209
18.245,71.44827,182.83788
18.255,88.56336,236.39774
18.265,80.87893,213.1202
18.275,78.84209,231.54851
18.285,70.88082,271.00354
18.295,55.38386,196.00974
18.305,99.88267,311.81214
18.315,87.7539,233.44725
18.325,57.5615,183.90389
18.335,108.74157,246.55059
18.345,83.28638,251.92115
18.355,76.77472,196.63693
18.365,137.10998,266.93409
18.375,108.74641,268.21531
18.385,117.76185,297.28516
18.395,62.64237,196.35541
18.405,100.57069,312.32448
18.415,82.57715,277.07518
18.425,60.22371,187.56865
18.435,136.67195,382.87493
18.445,57.793,246.8579
18.455,87.56463,231.77415
18.465,82.19979,207.59916
18.475,65.05243,192.34971
18.485,75.71112,191.02363
18.495,75.41351,216.90845
18.505,115.45693,363.328
18.515,85.17491,243.01777
18.525,102.55947,234.79881
18.535,75.21779,196.17496
18.545,83.37842,170.12802
18.555,75.05166,168.5361
18.565,92.45609,167.30936
18.575,113.61863,204.27377
18.585,63.24109,153.2791
18.595,87.76217,191.62519
18.605,60.75594,259.94271
18.615,80.99807,192.97397
18.625,108.44012,170.00053
18.635,69.75724,167.88797
18.645,77.0242,177.27746
18.655,82.95433,196.48774
18.665,69.89047,168.33966
18.675,63.71574,227.83179
18.685,98.6853,215.35268
18.695,127.64248,268.27942
18.705,65.4528,155.38345
18.715,83.35071,203.68554
18.725,65.24486,167.66046
18.735,64.93724,171.45591
18.745,83.60871,240.74339
18.755,58.26437,180.45522
18.765,70.17632,194.7345
18.775,67.35225,195.67579
18.785,86.54038,159.57437
18.795,91.30461,180.26738
18.805,65.47253,184.12483
18.815,81.54199,220.4439
18.825,81.95894,235.1017
18.835,112.78993,153.40954
18.845,109.55019,275.4227
18.855,98.0848,269.72167
18.865,83.58481,213.35515
18.875,87.19873,218.51494
18.885,78.69357,230.28675
18.895,105.175,233.40008
18.905,74.75372,202.29946
18.915,139.47337,273.57269
18.925,72.02588,173.31106
18.935,89.21126,200.25127
18.945,57.82424,181.90414
18.955,97.70248,219.52438
18.965,75.24769,197.87967
18.975,41.09927,134.30295
18.985,72.2903,218.36728
18.995,103.50948,212.23432
19.005,127.56024,309.16556
19.015,98.59197,248.12245
19.025,89.5257,246.11084
19.035,56.54554,167.60856
19.045,104.90056,256.65636
19.055,80.79828,227.22147
19.065,97.59862,255.80488
19.075,83.14363,299.51627
19.085,70.60755,217.35105
19.095,69.42,188.93724
19.105,96.82343,277.46143
19.115,64.61449,212.23955
19.125,80.58579,153.47285
19.135,59.04258,156.18983
19.145,66.64129,158.34345
19.155,67.77787,194.63138
19.165,79.30923,189.36733
19.175,62.93102,190.64813
19.185,73.46883,233.05612
19.195,91.85866,239.95605
19.205,97.73114,210.33114
19.215,78.50273,191.15705
19.225,75.28776,200.7237
19.235,76.70927,260.54031
19.245,64.48483,220.49523
19.255,55.16964,224.84348
19.265,91.88749,289.08629
19.275,78.84094,233.31398
19.285,74.54755,383.08646
19.295,70.07507,168.80491
19.305,94.65288,223.9497
19.315,69.01393,221.77224
19.325,60.59694,167.22872
19.335,77.61756,199.08603
19.345,89.00065,192.11548
19.355,94.91958,235.81995
19.365,95.17966,248.30427
19.375,74.99876,169.45156
19.385,62.19827,153.27555
19.395,65.54127,145.43225
19.405,65.17205,145.51858
19.415,104.61767,210.38789
19.465,74.75319,151.88241
19.475,70.69833,145.75612
19.485,79.31692,185.20945
19.495,59.44779,185.88388
19.505,77.29126,219.256
19.515,72.12586,284.16796
19.525,67.4435,231.7203
19.535,100.42852,389.02799
19.545,82.69804,212.82398
19.555,47.79286,139.80333
19.565,82.76968,212.00139
19.575,85.34965,246.39093
19.585,71.24996,211.1039
19.595,51.23569,171.53093
19.605,53.78093,181.69886
19.615,69.33405,184.28016
19.625,99.31832,311.90201
19.635,69.80446,169.01759
19.645,92.15729,160.48044
19.655,80.83416,158.98901
19.665,65.45027,171.07001
