# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Missing date was added at depth 587 cm.

Depth (cm),Age (kyrs SFCP04),δ13C N.pachy (planktonic),δ18O N. pachy (planktonic),δ13C G. bulloides (planktonic),δ18O G. bulloides (planktonic)
1278.5,65.471,0.19,4.35,-1.23,3.12
1281,65.823,0.11,4.3,-0.74,3.09
1283.5,66.176,0.05,4.33,-1.02,3.02
1286,66.529,0.11,4.34,-1.13,2.89
1288.5,66.882,0,4.16,-1.32,2.77
1295,67.799,0.22,4.21,-1.13,2.37
1297.5,68.151,0.08,3.22,-1.17,2.49
1300,68.504,0.11,2.85,-1.23,2.58
1302.5,68.857,0.17,2.99,-1.16,2.61
1305,68.998,0.24,2.78,-0.95,2.43
1307.5,69.139,-0.09,2.82,-0.51,2.36
1310,69.281,-0.14,2.85,-0.55,2.21
1312.5,69.422,0.36,3.03,-0.69,2.33
1315,69.563,0.26,2.87,-0.66,2.16
1317.5,69.704,0.27,2.71,-0.86,2.2
1320,69.845,0.24,3.11,-0.67,2.38
1322.5,69.986,0.31,2.88,-0.36,2.23
1325,70.128,0.24,2.96,-0.58,2.25
1327.5,70.269,0.14,2.87,-0.63,1.95
1330,70.41,0.23,2.66,-1.03,2.18
1332.5,70.551,0.12,3.03,-0.38,2.33
1335,70.692,0.31,3.06,-0.74,2.15
1337.5,70.833,0.31,2.8,-0.54,2.41
1340,70.975,-0.06,3.19,-0.59,2.18
1342.5,71.116,0.33,2.71,-0.6,2.2
1345,71.257,-0.07,2.98,-0.73,2.11
1347.5,71.398,,,-0.61,2.48
1350,71.539,-0.02,2.87,-0.6,2.39
1352.5,71.68,-0.09,2.71,-0.77,1.94
1355,71.822,0.31,3,-0.25,2.17
1357.5,71.963,0.24,3.53,-0.78,1.83
1360,72.104,0.45,3.31,-0.75,2.02
1362.5,72.245,0.28,3.65,-0.68,2.23
1365,72.386,0.41,3.1,-1.11,2.16
1367.5,72.527,0.03,3.52,-1.03,2.37
1370,72.669,0.36,3.82,-0.77,2.33
1372.5,72.81,,,-1.06,2.76
1375,72.951,0.39,3.78,-1.18,2.65
1377.5,73.03,0.37,3.58,-0.86,2.31
1380,73.108,0.48,3.23,-0.72,2.69
1382.5,73.187,0.28,3.24,-0.76,2.29
1385,73.265,0.37,2.91,-0.78,2.51
1387.5,73.344,0.49,3.06,-1.13,2.42
1390,73.423,0.47,3.05,-0.82,2.07
1392.5,73.501,0.36,2.8,-0.35,2.18
1395,73.58,0.32,3.12,-0.63,2.23
1397.5,73.658,0.3,2.7,-0.9,2.3
1400,73.737,0.62,3.04,-0.99,1.68
1402.5,73.815,0.32,3.03,-0.69,2.15
1405,73.894,0.32,2.91,-0.88,2.1
1407.5,73.973,0.5,2.97,-0.64,2.42
1410,74.051,0.5,3.19,-0.76,2.01
1412.5,74.13,0.08,2.96,-0.82,2.14
1415,74.208,0.4,3.18,-0.72,2.09
1417.5,74.287,0.4,3.47,-0.6,1.92
1420,74.366,0.5,3.6,-0.71,2.11
1422.5,74.444,0.61,3.58,-0.72,1.91
1425,74.523,0.42,3.14,-0.87,1.93
1427.5,74.601,0.44,3.6,-0.85,2.09
1430,74.68,0.35,2.84,-0.52,1.95
1432.5,74.882,0.53,3.26,-0.43,2.08
1435,75.084,,,-0.54,2.21
1437.5,75.286,0.58,3.18,-0.69,1.84
1440,75.488,0.23,3.57,-0.7,2.02
1447,76.053,0.37,3.08,-0.53,2.08
1449.5,76.255,-0.06,2.99,-0.83,2.17
1452,76.457,0.25,3.3,-0.87,2.01
1454.5,76.659,0.29,3.8,-0.54,2.13
1457,76.861,-0.63,3.27,-0.85,2.16
1459.5,77.062,0.7,3.61,-0.68,2.21
1462,77.264,0.02,3.46,-0.36,2.33
1464.5,77.466,0.49,3.84,-0.89,2.18
1467,77.668,0.51,3.63,-0.48,2.86
1469.5,77.87,,,-0.45,2.92
1472,78.072,0.56,3.89,-0.63,2.84
1474.5,78.274,0.62,3.93,-0.66,2.57
1477,78.476,0.38,3.59,-0.82,2.84
1479.5,78.678,0.34,3.45,-0.69,3.03
1482,78.88,0.26,3.7,-0.09,3.05
1484.5,79.082,0.43,3.64,-0.53,2.92
1487,79.283,0.14,3.32,-0.62,3.01
1489.5,79.485,0.54,3.51,-0.19,2.81
1492,79.687,0.39,3.42,-0.39,2.72
1494.5,79.889,0.45,3.23,-0.54,2.75
1497,80.091,0.59,3.39,-0.71,2.52
1499.5,80.293,0.48,3.06,-0.5,2.52
1502,80.402,0.74,2.96,-0.36,2.74
1504.5,80.511,0.25,2.79,-0.53,2.97
1507,80.62,0.2,2.88,-1.02,2.64
1509.5,80.729,0.3,3.31,-0.61,2.56
1512,80.838,0.16,3.19,-0.34,2.69
1514.5,80.947,0.17,3.14,-0.44,2.68
1517,81.056,0.61,3.08,-0.4,2.74
1519.5,81.165,0.15,3.12,-0.49,2.64
1522,81.274,0.27,3.03,-0.61,2.87
1524.5,81.383,0.27,2.99,-0.68,2.56
1527,81.492,0.25,3.05,-0.57,2.39
1529.5,81.601,0.28,2.85,-0.86,2.17
1532,81.71,0.12,3.03,-0.6,2.6
1534.5,81.819,0.24,3.08,-0.98,2.47
1537,81.928,0.21,2.81,-0.77,2.68
1539.5,82.037,0.29,2.95,-0.61,2.48
1542,82.146,0.19,2.86,-0.75,2.67
1544.5,82.256,0.27,2.94,-0.35,2.33
1547,82.365,0.13,2.6,-0.92,2.45
1549.5,82.474,0.28,2.69,-0.53,2.31
1552,82.583,0.36,2.99,-0.67,2.41
1554.5,82.692,0.32,2.96,-0.6,2.53
1557,82.801,0.14,2.82,-0.58,2.74
1559.5,82.91,0.25,2.87,-0.71,2.58
1562,83.019,0.2,2.89,-0.77,2.11
1564.5,83.128,0.11,2.58,-0.66,2.13
1567,83.237,0.01,2.47,-0.57,2.54
1569.5,83.346,0.23,2.89,-0.8,2.63
1572,83.455,0.16,2.83,-0.73,2.57
1574.5,83.564,0.2,2.92,-0.4,2.39
1577,83.673,0.06,2.87,-0.85,2.27
1579.5,83.782,0.42,3.08,-0.87,2.16
1582,83.891,0.33,2.89,-0.92,1.93
1584.5,84,0.22,2.98,-1.01,2.31
1587,84.255,0.07,2.9,-0.89,2.51
1589.5,84.51,0.27,3.08,-0.89,2.31
1592,84.765,0.33,3.19,-0.62,2.55
1594.5,85.02,0.42,3.3,-0.55,2.67
1601,85.684,0.51,3.41,-0.9,2.63
1603.5,85.939,0.57,3.5,-0.62,2.75
1606,86.194,0.39,3.28,-1.06,2.32
1608.5,86.449,0.29,3.26,-0.88,2.67
1611,86.704,0.14,3.09,-0.91,2.63
1613.5,86.959,0.29,3.3,-0.68,2.67
1616,87.214,,,-0.6,2.55
1618.5,87.469,0.23,3,-0.76,2.56
1621,87.724,0.21,2.93,-0.96,2.34
1623.5,87.98,0.15,3.04,-0.89,2.39
1626,88.235,0.35,3.55,-0.83,2.7
1628.5,88.49,0,3.47,-0.65,2.43
1631,88.745,0.21,3.27,-1.01,2.18
1633.5,89,0.12,3.64,-0.98,2.24
1636,89.353,0.16,3.55,-1.03,2.37
1638.5,89.706,0.06,3.77,,
1641,90.059,0.47,3.7,,
1643.5,90.412,0.38,3.69,-0.82,2.67
1646,90.765,-0.02,3.54,-1.23,1.88
1648.5,91.118,-0.04,3.46,-1.04,2.46
1651,91.471,0.18,3.47,,
1653.5,91.824,0.28,3.46,,
1656,92.176,-0.12,3.24,,
1658.5,92.529,-0.07,3.4,-1.58,2.14
1661,92.882,0.29,3.3,-1.21,2.35
1663.5,93.235,0.43,3.42,-1.36,2.17
1666,93.588,0.14,3.47,-1.25,2.29
1668.5,93.941,-0.02,3.43,-1.24,2.26
1671,94.294,0.34,3.57,-1.25,2.36
1673.5,94.647,0.22,3.25,-1.52,2.21
1676,95,0.38,3.14,-1.38,2.18
1678.5,95.245,0.39,3.44,-1.28,2.17
1681,95.49,0.27,3.08,-1.08,2.28
1683.5,95.735,,,-0.94,2.13
1686,95.98,,,-1.27,2.28
1688.5,96.225,0.14,3.21,-1.25,2.15
1691,96.471,0.1,3.37,-1.2,2.08
1693.5,96.716,-0.15,2.94,-1.48,2.29
1696,96.961,0.08,3.11,-1.24,2.34
1698.5,97.206,-0.02,2.85,-1.6,1.93
1701,97.451,-0.02,3.15,-1.35,2.2
1703.5,97.696,0.03,3.03,-1.4,2.21
1706,97.941,-0.27,3.09,-1.2,2.29
1708.5,98.186,0.1,3.15,-1.21,2.1
1711,98.431,0.21,3.21,-1.14,2.19
1713.5,98.676,0.14,3.02,-1.32,2.22
1716,98.922,0.38,3.14,-1.15,2.29
1718.5,99.167,0.1,3.1,-1.3,1.85
1721,99.412,0.37,3.21,-1.31,2.02
1723.5,99.657,0,2.93,-1.48,2.29
1726,99.902,0.01,2.82,-1.26,1.89
1728.5,100.15,0.24,3.22,-1.17,1.94
1731,100.39,0.04,3.1,-0.85,2.83
1733.5,100.64,0.13,3.2,-0.73,2.69
1736,100.88,0.2,3.24,-0.64,2.96
1738.5,101.13,,,-0.83,2.86
1741,101.37,0.1,3.12,-0.49,2.77
1743.5,101.62,0.25,3.08,-1.12,2.41
1746,101.86,-0.28,3,-0.63,2.54
1748.5,102.11,,,-1.03,2.5
1753,102.55,0.22,3.18,-0.9,2.65
1755.5,102.79,0.2,2.9,-0.79,2.73
1758,103.04,-0.16,2.91,-0.82,2.54
1760.5,103.28,0.15,3.11,-0.82,2.72
1763,103.53,0.33,2.92,-1.13,2.65
1765.5,103.77,0.18,3.08,-0.96,2.66
1768,104.02,0.12,2.89,-1.22,2.75
1770.5,104.26,0.09,3.07,-0.88,2.54
1773,104.51,0.24,3.2,-1.1,1.5
1775.5,104.75,0.44,3.24,-1.03,2.07
1778,105,0.52,3.07,-0.98,2.51
1780.5,105.15,0.42,3.33,-0.42,1.28
1783,105.3,0.08,3.32,-1.11,2.54
1785.5,105.45,0.18,3.36,-0.83,2.41
1788,105.6,0.29,2.91,-1.13,2.18
1790.5,105.75,0.18,2.94,-1.02,2.25
1793,105.89,0.12,2.8,-1.29,2.23
1795.5,106.04,-0.06,3.3,-1.26,2.42
1798,106.19,0.11,3.38,-1.21,2.46
1800.5,106.34,0.09,2.84,-1.29,2.55
1803,106.49,0.13,3.34,-1.3,1.83
1805.5,106.64,0.02,2.74,-1.12,2.11
1808,106.79,-0.49,3.44,-1.46,2.1
1810.5,106.94,0.16,3.05,-1.4,2.22
1813,107.09,-0.16,2.37,-1.41,2.16
1815.5,107.24,-0.07,2.93,-1.23,2.42
1818,107.38,-0.22,2.97,-0.94,2.41
1820.5,107.53,0.11,2.86,-1.12,2.05
1823,107.68,0.21,3.14,-1.09,2.29
1825.5,107.83,-0.14,2.85,-1.15,1.99
1828,107.98,0.12,2.77,-1.05,2.38
1830.5,108.13,0.11,3.44,-1.5,2.22
1833,108.28,0.21,3.57,-0.83,2.39
1835.5,108.43,-0.14,3.66,-1.04,2.35
1838,108.58,0.19,3.75,-0.9,2.18
1840.5,108.73,-0.34,2.66,-1.37,2.36
1843,108.88,-0.05,2.87,-1.1,2.46
1845.5,109.02,-0.1,2.65,-1.21,2.08
1848,109.17,0.06,2.88,-1.07,2.07
1850.5,109.32,-0.03,2.64,-1.2,1.96
1853,109.47,-0.26,3.26,-1.19,2.07
1855.5,109.62,0.01,2.88,-1.19,1.84
1858,109.77,0.02,3.14,-1.26,1.83
1860.5,109.92,0,2.98,-1.15,1.8
1863,110.07,-0.12,3.31,-1.03,1.7
1865.5,110.22,0.09,2.83,-1.18,2.06
1868,110.37,-0.07,2.3,-1.28,1.99
1870.5,110.51,0.05,2.27,-0.95,1.65
1873,110.66,0.01,2.72,-1.31,2.12
1875.5,110.81,0.07,2.62,-1.29,2.12
1878,110.96,0.01,2.25,-1.19,1.86
1880.5,111.11,0.02,2.63,-1.37,1.94
1883,111.26,-0.01,2.83,-1.12,2.1
1885.5,111.41,0.07,3.01,-0.96,2.17
1888,111.56,-0.03,2.54,-1.13,1.89
1890.5,111.71,0.04,2.74,-0.93,2.07
1893,111.86,0.07,2.92,-0.88,2.26
