/* DESCRIPTION:
Reference:	Hodell, DA et al. (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Data from:	https://doi.org/10.1594/PANGAEA.831737. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Ca/Sr	Si/Sr
2.41	38.037	75.96	5.3085
2.42	38.09	73.081	4.9093
2.43	38.143	69.889	5.8099
2.44	38.196	70.579	5.922
2.45	38.249	72.456	3.8499
2.46	38.302	78.77	3.9744
2.47	38.355	72.235	4.885
2.48	38.408	73.69	8.7555
2.49	38.461	64.896	7.6403
2.5	38.513	63.942	8.5
2.51	38.566	60.476	11.218
2.52	38.619	53.372	12.656
2.53	38.672	57.857	10.802
2.54	38.725	55.674	11.275
2.55	38.778	61.291	16.593
2.56	38.831	60.818	15.762
2.57	38.884	64.647	15.332
2.58	38.937	68.026	20.532
2.64	39.254	117.37	11.444
2.65	39.307	138.86	10.517
2.66	39.36	176.42	11.698
2.67	39.412	189.05	9.565
2.68	39.465	213.07	11.106
2.69	39.518	181.4	9.7849
2.7	39.571	168.61	9.4128
2.71	39.624	169.44	8.3369
2.72	39.677	188.94	9.8254
2.73	39.73	177.35	9.0073
2.74	39.783	181.38	8.8824
2.75	39.836	159.47	7.869
2.76	39.888	159.7	8.3829
2.77	39.941	76.407	13.757
2.78	39.994	47.029	15.469
2.79	40.047	60.261	20.727
2.8	40.1	60.436	15.882
2.81	40.213	59.279	11.708
2.82	40.326	67.444	11.331
2.83	40.439	56.61	14.317
2.84	40.551	69.375	15.481
2.85	40.664	61.82	8.5659
2.86	40.777	61.757	8.7185
2.87	40.89	69.307	8.4525
2.88	41.003	74.172	11.956
2.89	41.116	72.072	7.049
2.9	41.229	72.334	7.0187
2.91	41.341	78.444	6.7725
2.92	41.454	78.573	5.5407
2.93	41.567	70.3	5.9163
2.94	41.68	65.336	5.9597
2.94	41.68	60.911	8.1838
2.95	41.793	64.408	12.723
2.96	41.906	67.943	5.9403
2.97	42.019	69.773	6.8892
2.98	42.131	72.775	5.7409
2.99	42.244	67.4	6.1712
3	42.357	76.66	6.9244
3.01	42.47	54.127	7.1069
3.02	42.583	70.98	4.9002
3.03	42.696	66.976	6.2861
3.04	42.809	66.312	5.2698
3.05	42.921	72.601	4.1337
3.06	43.034	64.903	4.0931
3.07	43.147	68.857	3.638
3.08	43.26	74.89	3.8807
3.09	43.373	70.839	3.5193
3.1	43.486	64.07	3.7686
3.11	43.599	73.851	4.3839
3.12	43.711	70.269	4.9259
3.13	43.824	68.121	4.0692
3.14	43.937	50.187	4.4488
3.15	44.05	60.245	5.7194
3.16	44.163	84.391	3.954
3.17	44.276	65.473	4.1351
3.18	44.389	68.871	3.8618
3.19	44.501	77.454	3.5395
3.2	44.614	71.246	3.4957
3.21	44.727	65.03	2.4167
3.22	44.84	54.099	2.1839
3.23	44.953	60.876	1.1577
3.24	45.066	71.257	2.3939
3.25	45.179	56.271	1.5752
3.26	45.291	59.449	3.2146
3.27	45.404	55.623	3.5121
3.28	45.517	69.728	2.9682
3.29	45.63	62.96	2.5266
3.3	45.743	65.211	1.8962
3.31	45.856	75.134	2.3671
3.32	45.969	67.477	2.7595
3.33	46.081	76.35	3.3114
3.34	46.194	75.879	3.0307
3.35	46.307	72.164	2.723
3.36	46.42	71.884	3.4052
3.37	46.533	63.631	3.4415
3.38	46.646	68.298	3.9023
3.39	46.759	54.834	3.1002
3.4	46.871	60.352	4.1292
3.41	46.984	51.995	3.6739
3.42	47.097	58.237	5.4455
3.43	47.21	58.021	5.2958
3.44	47.323	77.232	5.3134
3.45	47.436	76.594	12.172
3.46	47.549	69.688	13.036
3.47	47.661	81.854	12.65
3.48	47.774	113.31	8.9391
3.49	47.887	132.64	7.2017
3.5	48	133.81	6.716
3.51	48.14	111.22	8.9262
3.52	48.28	132.4	8.0214
3.53	48.42	128.79	8.0072
3.54	48.56	109.53	6.7947
3.55	48.7	141.58	8.2417
3.56	48.84	123.69	5.9606
3.57	48.98	132.94	8.3493
3.58	49.12	136.28	8.1124
3.59	49.26	146.15	8.8333
3.6	49.4	126.92	6.3984
3.61	49.54	66.061	2.6943
3.62	49.68	66.883	2.8816
3.63	49.82	72.241	1.9145
3.64	49.96	74.178	1.7508
3.65	50.1	73.728	1.716
3.66	50.24	81.858	2.2095
3.67	50.38	74.948	1.7469
3.68	50.52	74.866	1.866
3.69	50.66	73.707	1.8504
3.7	50.8	70.535	1.6967
3.71	50.94	67.594	1.3583
3.72	51.08	75.455	1.6455
3.73	51.22	77.631	1.79
3.74	51.36	70.927	1.7365
3.75	51.5	69.848	1.3229
3.76	51.64	72.402	1.4657
3.77	51.78	70.976	1.2673
3.78	51.92	69.069	1.449
3.79	52.06	64.544	1.0831
3.8	52.2	74.845	1.4979
3.81	52.34	65.09	1.1056
3.82	52.48	66.884	1.0656
3.83	52.62	60.649	0.59569
3.84	52.76	63.579	0.69123
3.85	52.9	67.393	0.85033
3.86	53.04	64.669	0.85766
3.87	53.18	69.167	1.0676
3.88	53.32	67.82	1.4106
3.89	53.46	61.058	1.1368
3.9	53.6	78.706	1.443
3.91	53.74	71.523	1.7172
3.92	53.88	73.444	1.9329
3.93	54.02	73.869	1.9938
3.94	54.16	81.492	1.4639
3.95	54.3	74.224	1.9955
3.96	54.44	74.786	1.9927
3.97	54.58	70.532	1.8343
3.98	54.72	68.092	2.5122
3.99	54.86	71.302	2.721
4	55	69.228	2.6446
4.01	55.14	69.121	2.5103
4.02	55.28	75.746	2.6236
4.03	55.42	72.977	2.4058
4.04	55.56	75.977	2.5748
4.05	55.7	76.043	3.7608
4.06	55.84	76.148	5.0832
4.07	55.98	73.297	4.541
4.08	56.12	77.254	5.778
4.09	56.26	78.37	5.4423
4.1	56.4	65.343	3.9595
4.11	56.54	74.952	4.5462
4.12	56.68	73.097	4.5945
4.13	56.82	68.235	4.2609
4.14	56.96	75.268	2.9892
4.15	57.1	70.263	2.8175
4.16	57.24	69.486	2.8279
4.17	57.38	72.146	3.5906
4.18	57.52	69.049	2.2198
4.19	57.66	66.158	2.2139
4.2	57.8	63.579	2.5563
4.21	57.94	64.564	2.5
4.22	58.08	66.657	2.0766
4.23	58.22	70.193	2.3652
4.24	58.36	70.95	2.0982
4.25	58.5	68.77	1.9383
