/* DESCRIPTION:
Reference:	Pichevin, L et al. (2007): Evidence of ventilation changes in the Arabian Sea during the late Quaternary: Implication for denitrification and nitrous oxide emission. Global Biogeochemical Cycles, 21, GB4008, https://doi.org/10.1029/2006GB002852
Data from:	https://doi.org/10.1594/PANGAEA.727154
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Total N [%]	δ15N [‰ air]	TOC [%]
18.405	35.504	0.145	5.91	0.95
18.505	35.685	0.095	3.97	0.52
18.605	35.868	0.093	4.12	0.51
18.705	36.052	0.094	4.69	0.57
18.805	36.236	0.092	4.77	0.57
18.905	36.422	0.094	4.05	0.6
19.005	36.609	0.115	4.84	0.7
19.105	36.797	0.125	5.25	0.79
19.205	36.986	0.135	6.12	0.9
19.305	37.176	0.149	6.36	1.17
19.405	37.367	0.159	6.96	1.15
19.505	37.559	0.166	7.27	1.18
19.605	37.753	0.169	7.36	1.21
19.705	37.948	0.144	6.7	0.93
19.805	38.143	0.16	6.81	1.18
19.905	38.34	0.099	4.15	0.58
20.005	38.538	0.094	4.34	0.56
20.105	38.737	0.092	4.72	0.46
20.205	38.938	0.082	4.36	0.51
20.305	39.139	0.083	4.17	0.4
20.405	39.341	0.08	4.42	0.44
20.515	39.566	0.077	4.17	0.39
20.605	39.75	0.087	4.54	0.56
20.705	39.956	0.093	4.46	0.57
20.805	40.162	0.101	4.64	0.65
20.905	40.37	0.099	4.6	0.55
21.015	40.6	0.105	4.47	0.65
21.105	40.789	0.112	4.64	0.68
21.205	41	0.112	4.67	0.7
21.305	41.212	0.113	4.69	0.74
21.405	41.425	0.105	4.44	0.67
21.505	41.639	0.111	4.51	0.65
21.605	41.854	0.117	4.9	0.82
21.705	42.069	0.151	6.39	1.19
21.805	42.286	0.173	6.66	1.37
21.905	42.503	0.126	5.59	0.88
22.005	42.721	0.1	5.15	0.63
22.105	42.94	0.11	4.48	0.67
22.205	43.159	0.1	4.37	0.58
22.305	43.379	0.11	4.52	0.65
22.405	43.6	0.11	5.23	0.73
22.505	43.821	0.14	5.82	1.03
22.605	44.043	0.17	6.63	1.33
22.705	44.265	0.15	6.32	1.08
22.805	44.488	0.16	6.33	1.15
22.905	44.711	0.16	6.37	1.11
23.005	44.934	0.15	5.97	1.04
