/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737142. Accessed 11 Nov 2022.
Comment:	Summer SST is SST for months 7-9.
	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	PO4 [%] (Modern analog technique (MAT)...)	summer SST [°C] (Modern analog technique (MAT)...)
8	35.039	9.9	17.9
8.03	35.115	6.5	10
8.06	35.191	11.5	18
8.09	35.268	10.1	17.9
8.12	35.344	8.2	15.7
8.15	35.42	6.8	14
8.18	35.73	6.3	10.9
8.21	35.96	6.8	14.4
8.24	36.19	7.4	14.4
8.27	36.42	5.7	13.3
8.3	36.65	7	11
8.33	36.88	7.6	11.7
8.36	37.026	9.4	16.1
8.39	37.172	6.6	10.1
8.42	37.319	9.8	14.9
8.45	37.465	6.5	10.1
8.48	37.612	8.5	12.5
8.51	37.758	6.6	10.1
8.54	37.904	6.3	9.9
8.57	38.051	6.3	10.2
8.6	38.197	7.5	14.3
8.63	38.344	3.9	7.7
8.66	38.49	2.7	7.1
8.69	38.668	3.3	7.6
8.72	38.846	2.7	7.1
8.75	39.024	2	6.5
8.78	39.201	2.3	6.8
8.81	39.379	3.6	7.6
8.84	39.513	3.9	7.7
8.87	39.647	4	8.1
8.9	39.782	3.9	7.7
8.93	39.916	6.7	14.3
8.96	40.05	7.6	12.1
8.98	40.14	13	19.1
9.02	40.327	13.6	19.1
9.05	40.467	13.5	19.3
9.08	40.607	13.9	18.7
9.11	40.747	13.7	18.8
9.14	40.887	12.9	18.5
9.17	41.027	9.3	18.2
9.2	41.167	8.1	17.4
9.22	41.26	8.9	17.6
9.25	41.4	7.1	16.7
9.28	41.54	6.2	9.7
9.32	41.733	7.6	14.6
9.35	41.877	12.9	19.1
9.38	42.022	10	16.3
9.41	42.166	10	15.2
9.44	42.311	6.5	10
9.47	42.455	14.1	19
9.5	42.6	7.4	14.3
9.53	42.708	10.1	16.5
9.56	42.816	13.6	18.8
9.59	42.924	13.2	18.7
9.62	43.032	8.9	17.1
9.65	43.14	7.2	11.3
9.68	43.376	14.4	19.2
9.71	43.612	7.1	14.2
9.74	43.848	10.9	15.9
9.77	44.084	12.2	18
9.8	44.32	10.7	16.8
9.83	44.556	12.7	18.5
9.86	44.792	14.2	19
9.89	45.028	10.2	16.6
9.92	45.264	7.8	11.5
9.95	45.5	5.6	9.7
9.98	45.83	4.5	9
10.01	46.16	5.1	9.4
10.04	46.244	5.8	9.8
10.07	46.329	3.9	8.1
10.1	46.413	3.1	7.3
10.13	46.498	2.2	6.5
10.16	46.582	3.3	7.5
10.19	46.667	4.9	9
10.22	46.751	6	9.4
10.25	46.836	6.9	10.4
10.28	46.92	9	13.8
10.31	47.282	9.7	14.6
10.34	47.644	7.5	16.6
10.37	48.005	9.9	14.6
10.4	48.367	12.4	18.5
10.43	48.728	13.2	18.7
10.46	49.09	13.1	18.8
10.49	49.41	10.2	16.6
10.52	49.73	11.1	16.7
10.55	50.05	8.1	12.5
10.58	50.369	9.5	14.9
10.61	50.689	8.1	13.2
10.64	51.009	8.1	13.2
10.67	51.291	7.6	12.5
10.7	51.573	8.4	13.4
10.73	51.856	8.5	13.5
10.76	52.138	7.4	11.2
10.79	52.42	6.3	9.8
10.82	52.927	6.3	9.9
10.85	53.434	6.2	9.8
10.88	53.94	5.5	9.8
10.91	54.447	6.3	9.9
10.94	54.953	6.9	11
10.97	55.46	9	15.1
11	55.671	11.4	17.3
11.03	55.883	11.3	18.2
11.06	56.094	10.6	16.9
11.09	56.306	7.1	10.8
11.12	56.517	10.4	16.8
11.15	56.729	7.5	11.8
11.18	56.94	6.5	10
11.21	57.4	6.3	9.9
11.24	57.86	6.3	9.8
11.27	58.32	6.8	14.1
11.3	58.544	6.3	10.2
11.33	58.768	5.3	9.6
11.36	58.992	4.3	8.5
11.39	59.216	4.3	8.9
11.42	59.44	1.7	6.1
11.45	59.61	3.1	7.3
11.48	59.78	3.7	8
11.51	59.949	2.1	6.1
11.54	60.119	2	6.3
11.57	60.289	3.6	7.8
11.6	60.458	2.1	6.1
11.63	60.628	1.6	5.7
11.66	60.78	3.1	7.3
11.69	60.932	1.5	5.4
11.72	61.084	1.8	6.4
11.75	61.236	3.5	7.5
11.78	61.388	5.1	9.2
11.81	61.54	5.2	9.1
11.84	61.692	9.1	17
11.87	61.844	6.6	10.2
11.9	61.996	7.3	16.4
11.93	62.148	7.4	16.5
11.96	62.3	5.8	9.8
11.98	62.442	6	13.5
12.02	62.725	6.3	9.8
12.05	62.938	4.8	9
12.08	63.15	6.3	9.8
12.11	63.363	9	17.6
12.14	63.575	8	16.8
12.17	63.788	8	11.5
12.2	64	9.4	16.6
12.23	64.295	8.2	12.3
12.26	64.591	7.9	12.1
12.29	64.886	9	14
12.32	65.182	9.4	14.2
12.35	65.477	9.7	15.2
12.38	65.773	10.3	15.4
12.41	66.068	11	16
12.44	66.364	10	14.8
12.47	66.659	11.3	16.1
12.5	66.955	11	16.1
12.53	67.25	10.8	16.4
12.56	68.1	9.5	17.7
12.59	68.95	7.6	14.4
12.62	69.8	12.1	17.7
12.65	70.442	13	18.2
12.68	71.084	9	16.4
12.71	71.725	12.3	18.5
12.74	72.367	11.1	17.2
12.77	73.008	9.5	17.9
12.8	73.65	8	16.2
12.83	74.243	8.9	15.7
12.86	74.835	9.1	13.6
12.89	75.428	9.5	15.9
12.92	76.02	11	15.7
12.95	76.613	11.2	17.1
12.98	77.205	9.8	16.2
13.01	77.798	13.1	19
13.04	78.39	9.7	16.2
13.07	78.983	9.6	17.7
13.1	79.575	10.7	17.1
13.13	80.168	10.7	18.3
13.16	80.76	10.4	18
13.19	81.353	9	15.7
13.22	81.838	12	19
13.25	82.324	7.3	11
13.28	82.809	8.1	15.4
13.31	83.294	8.5	17.5
13.34	83.78	7.2	16.8
13.37	84.265	4.8	9.2
13.4	84.75	3.6	7.6
13.43	85.236	1.6	5.7
13.46	85.721	4.2	8.5
13.49	86.317	4.4	9
13.52	86.912	4.2	8.5
13.55	87.508	9.1	15.8
13.58	88.103	13.7	19.3
13.61	88.699	10.3	16.6
13.64	89.294	12.3	18.6
13.67	89.89	10.4	16
13.7	90.486	9.1	14.3
13.73	91.081	10.2	15.2
13.76	91.677	9.3	14.7
13.79	92.272	9.7	14.8
13.82	92.868	10.7	15.4
13.85	93.463	10.1	15.4
13.88	94.059	10	15.2
13.91	94.655	9	14
13.94	95.25	9.5	14.9
13.97	95.846	9.6	14.7
14	96.441	9.6	14.5
14.03	97.037	9.8	15
14.06	97.632	9.7	14.6
14.09	98.228	10	14.9
14.12	98.823	10.6	16.8
14.15	99.419	12.2	17.9
14.18	100.015	12.9	18.9
14.21	100.61	12.8	18.7
14.24	101.206	11.4	17.3
14.27	101.801	12.4	18.1
14.3	102.397	13	18.7
14.33	102.992	12.5	18.5
14.36	103.588	10.2	17.1
14.39	104.048	13	18.8
