# DESCRIPTION:
# Reference: Martrat, B et al. (2007): Four climate cycles of recurring deep and surface water destabilizations on the Iberian Margin. Science, 317(5837), 502-507, https://doi.org/10.1126/science.1139994.
# Data from: https://doi.org/10.1594/PANGAEA.771890.
# Comment: Alkenone, C37:4 from the original dataset is not included here.

Depth [m],Age [ka BP],SST (1-12) [°C]
22.502,120.13,20.79
22.6241,120.98,20.9
22.6711,121.31,21.24
22.7181,121.63,22.5
22.7651,121.96,21.97
22.8121,122.29,22.55
22.8497,122.55,22.29
23.0096,123.66,22.05
23.067,124.06,22.05
23.1148,124.39,23.11
23.1531,124.66,23.48
23.1818,124.86,22.97
23.2774,125.37,22.88
23.354,125.65,21.35
23.3827,125.76,20.41
23.4496,126.01,20.49
23.4783,126.11,20.23
23.5453,126.36,21.23
23.5836,126.5,20.65
23.6506,126.75,21.33
23.6697,126.82,20.36
23.7367,127.07,20.91
23.7654,127.18,20.43
23.8323,127.43,20.25
23.861,127.53,17.13
23.928,127.78,15.03
23.9471,127.85,16.29
24.0237,128.14,15.09
24.0524,128.24,15.25
24.1193,128.49,13.86
24.148,128.6,15.92
24.1863,128.74,13.47
24.2437,128.95,12.52
24.3011,129.17,12.53
24.3298,129.27,12.92
24.435,129.66,12.02
24.502,129.92,12.49
24.5307,130.04,12.35
24.5977,130.33,14.15
24.6168,130.41,13.46
24.6838,130.69,13.34
24.7221,130.85,12.04
24.7795,131.09,13.24
24.8177,131.26,13.17
24.8847,131.54,14.4
24.9134,131.66,14.78
24.9517,131.82,15.58
24.9899,131.98,14.41
25.0378,132.19,15.53
25.0952,132.43,14.85
25.1334,132.59,15.71
25.1717,132.75,15.08
25.2195,132.96,14.61
25.2674,133.16,14.47
25.3248,133.4,14.93
25.3822,133.64,14.04
25.4491,133.93,13.85
25.4874,134.09,14.46
25.5352,134.29,15.13
25.5926,134.53,14.22
25.6213,134.66,14.94
25.6788,134.9,13.7
25.7362,135.17,13.84
25.7744,135.43,13.92
25.8797,136.16,13.92
25.9371,136.55,13.81
25.9562,136.68,13.67
26.0232,137.15,13.99
26.0614,137.41,13.68
26.1188,137.8,15.01
26.1571,138.07,12.03
26.1858,138.27,12.33
26.2241,138.53,11.13
26.2815,138.93,12.31
26.3389,139.32,12.02
26.3771,139.59,13.32
26.4441,140.05,12.76
26.4824,140.31,12.59
26.5398,140.71,11.85
26.578,140.97,13.39
26.6354,141.37,10.76
26.6641,141.56,10.69
26.7311,142.03,10.04
26.7598,142.22,10.61
26.8364,142.75,9.64
26.8842,143.08,9.91
26.932,143.41,10.29
26.9799,143.74,9.84
27.0277,144.07,10.06
27.0755,144.4,11.39
27.1138,144.67,10.34
27.1521,144.93,10.22
27.2286,145.46,9.86
27.3051,145.98,10.16
27.3721,146.45,10.05
27.4008,146.64,10.22
27.4391,146.91,10.71
27.4773,147.17,11.14
27.5539,147.7,10.81
27.5921,147.96,11.09
27.6495,148.36,10.94
27.6878,148.62,11.21
27.7548,149.08,11.78
27.7835,149.28,13.02
27.8409,149.68,12.52
27.8792,149.94,13.71
27.9366,150.34,13.07
27.9748,150.6,10.25
28.0322,151,11.55
28.0705,151.26,12.56
28.1279,151.66,13.8
28.1853,152.05,14.99
28.2331,152.38,15.03
28.2618,152.58,13.35
28.3288,153.33,11.13
28.3575,153.65,11.37
28.4245,154.4,13.96
28.4532,154.72,14.47
28.5106,155.36,14.81
28.5488,155.79,14.97
28.6062,156.43,15.18
28.6445,156.86,15.34
28.7115,157.61,15.37
28.7497,158.04,15.41
28.788,158.47,15.52
28.8359,159,16.02
28.9028,159.75,15.49
28.9315,160.07,15.27
28.9794,160.61,15.53
29.0272,161.14,13.7
29.075,161.68,12.92
29.142,162.42,12.89
29.1803,162.85,12.56
29.2185,163.28,15.25
29.2664,163.82,15.58
29.3142,164.35,16.13
29.362,164.89,16.15
29.4099,165.42,16.46
29.4577,165.96,15.61
29.5247,166.7,15.43
29.5534,167.03,14.49
29.6012,167.56,13.75
29.649,168.1,12.96
29.6969,168.63,14.43
29.7447,169.17,15.1
29.7925,169.7,14.82
29.8404,170.24,16.88
29.8882,170.77,16.11
29.9361,171.31,16.23
29.9839,171.84,15.14
30.0796,172.91,14.48
30.2039,174.3,14.55
30.2709,175.05,14.95
30.3379,175.55,16.97
30.3666,175.76,16.48
30.424,176.18,16.84
30.4622,176.46,15.65
30.5101,176.82,14.51
30.5579,177.17,14.3
30.6057,177.52,13.89
30.6536,177.88,15.73
30.7014,178.23,16.86
30.7492,178.58,16.3
30.7971,178.94,16.9
30.8449,179.29,16.58
30.8927,179.64,15.88
30.9406,180,16.07
30.9884,180.35,16.27
31.0458,180.78,17.16
31.1032,181.2,17.16
31.1319,181.41,17.03
31.1798,181.77,17.14
31.2276,182.12,16.78
31.2754,182.47,16.66
31.3233,182.83,15.43
31.3711,183.18,16.85
31.4189,183.53,16.41
31.4668,183.89,16.7
31.5146,184.24,17.22
31.5624,184.59,18.51
31.6103,184.95,18.6
31.6581,185.3,18.65
31.7059,185.65,18.3
31.7538,186.01,18.61
31.8016,186.36,18.3
31.8494,186.71,18.16
31.8973,187.07,16.28
31.9451,187.42,13.9
31.993,187.77,12.3
32.0408,188.13,12.05
32.0886,188.48,11.92
32.1939,189.26,15.17
32.2417,189.61,17.44
32.2895,189.96,18.24
32.3374,190.31,18.54
32.3852,190.65,18
32.433,191,15.21
32.5,191.49,14.02
32.548,191.84,18.43
32.5961,192.19,17.74
32.6441,192.54,19.99
32.6921,192.89,20.67
32.7594,193.38,21.98
32.7978,193.65,20.95
32.8554,194.07,20.55
32.8842,194.28,20.17
32.9515,194.77,20.82
32.9803,194.98,20.08
33.0283,195.33,19.46
33.0763,195.68,20.14
33.1244,196.03,20.24
33.1724,196.38,21.29
33.2396,196.87,20.82
33.2685,197.08,20.4
33.3261,197.5,19.62
33.3645,197.78,20.01
33.4125,198.13,19.44
33.4606,198.48,18.39
33.5086,198.82,16.71
33.5566,199.17,16.22
33.6047,199.52,15.71
33.6527,199.87,14.11
33.7007,200.22,15.69
33.7487,200.57,12.92
33.7968,201.18,14.52
33.8448,201.8,14.41
33.8928,202.41,14.4
33.9505,203.15,16.64
33.9985,203.76,17.14
34.0369,204.25,18.44
34.0849,204.87,18.41
34.1426,205.6,18.67
34.181,206.09,18.99
34.229,206.71,19.07
34.277,207.32,19.55
34.3251,207.93,19.21
34.3827,208.67,19.93
34.4211,209.16,19.83
34.4788,209.9,20.2
34.5172,210.39,19.89
34.5652,211,19.93
34.6132,211.61,20.49
34.6709,212.35,19.8
34.7189,212.96,20.38
34.7573,213.45,20.44
34.8054,214.07,20.72
34.8822,215.05,20.76
34.9206,215.54,20.37
34.959,215.69,20.49
34.9975,215.84,20.56
35.0455,216.03,20.4
35.0935,216.22,20.78
35.1608,216.48,20.66
35.1992,216.63,20.72
35.2376,216.78,20.47
35.2856,216.97,20.34
35.3433,217.2,20.37
35.3817,217.35,20.45
35.4297,217.54,20.32
35.4778,217.73,20.17
