# DESCRIPTION:
# Reference: Wagner, Bernd; Vogel, Hendrik; Francke, Alexander; Friedrich, Tobias; Donders, Timme H; Lacey, Jack H; Leng, Melanie J; Regattieri, Eleonora; Sadori, Laura; Wilke, Thomas; Zanchetta, Giovanni; Albrecht, Christian; Bertini, Adele; Combourieu-Nebout, Nathalie; Cvetkoska, Aleksandra; Giaccio, Biagio; Grazhdani, Andon; Hauffe, Torsten; Holtvoeth, Jens; Joannin, Sébastien; Jovanovska, Elena; Just, Janna; Kouli, Katerina; Kousis, Ilias; Koutsodendris, Andreas; Krastel, Sebastian; Lagos, Markus; Leicher, Niklas; Levkov, Zlatko; Lindhorst, Katja; Masi, Alessia; Melles, Martin; Mercuri, Anna Maria; Nomade, Sébastien; Nowaczyk, Norbert R; Panagiotopoulos, Konstantinos; Peyron, Odile; Reed, Jane M; Sagnotti, Leonardo; Sinopoli, Gaia; Stelbrink, Björn; Sulpizio, Roberto; Timmermann, Axel; Tofilovska, Slavica; Torri, Paola; Wagner-Cremer, Friederike; Wonik, Thomas; Zhang, Xiaosen (2019): Mediterranean winter rainfall in phase with African monsoons during the past 1.36 million years. Nature, https://doi.org/10.1038/s41586-019-1529-0
# Data from: https://doi.org/10.1594/PANGAEA.896847. Accessed 28 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],TIC [%],TOC [%],Qz peak area,δ13C cal [‰ PDB],δ18O cal [‰ PDB],Quercus deci [%],AP-Pinus [%]
35.79,88.42235,0.32,1.34,0.26528,,,,
35.95,88.842,0.2,1.37,0.30554,,,,
36.11,89.25885,1.3,1.21,0.25328,1.78,-3.99,,
36.27,89.6662,3.62,1.77,0.233,0.9,-4.98,23.9922,37.0698
36.43,90.084,3.18,2.25,0.20186,0.45,-4.94,,
36.59,90.5196,1.91,2.63,0.24772,0.08,-6,,
36.75,91.04005,1.6,2.55,0.23298,-0.11,-5.83,,
36.91,91.56205,0.75,2.55,0.27513,-0.21,-5.62,33.5079,75.7485
37.07,92.0829,1.12,2.59,0.23954,-0.07,-4.39,,
37.23,92.6063,0.9,2.53,0.27779,0.02,-3.67,,
37.39,93.1293,0.64,2.55,0.25638,0.2,-3.73,,
37.55,93.65285,0.66,2.48,0.28247,-0.22,-6.04,23.7288,72
37.71,94.1788,0.65,3.05,0.26798,0.06,-4.89,,
37.87,94.6863,0.95,2.82,0.27169,0.75,-4.94,,
38.03,95.1053,2.99,2.67,0.2026,1.15,-4.31,,
38.19,95.5252,2.12,2.68,0.23474,0.41,-4.34,22.0779,66.2338
38.35,95.9476,2.48,2.54,0.21871,1.46,-4.47,,
38.51,96.3614,1.17,2.83,0.26317,-0.09,-5.54,,
38.67,96.78375,1.87,2.67,0.23755,-0.12,-4.9,,
38.83,97.21385,2.31,2.66,0.24278,0.01,-5.48,23.3962,77.3585
38.99,97.6264,3.03,2.61,0.21519,0.38,-5.31,,
39.15,98.0382,2.55,2.63,0.23389,-0.29,-4.12,,
39.31,98.4785,2.68,2.73,0.1979,-0.21,-5.2,,
39.47,98.91525,2.97,2.47,0.20782,0.04,-5.18,29.2835,76.6513
39.62,99.3242,4.12,2.45,0.16725,0.09,-5.05,,
39.79,99.79165,4.25,2.58,0.15156,0.25,-4.45,,
39.95,100.23025,3.99,2.66,0.15306,0.12,-5.2,,
40.11,100.67275,4.32,2.53,0.15682,0.11,-5.31,34.7281,75.3138
40.27,101.1139,3.52,2.2,0.14522,0.26,-5.5,,
40.43,101.5547,1.83,1.78,0.10402,-0.35,-4.74,,
40.59,101.9166,4.4,2.33,0.17384,0.08,-6.07,,
40.75,102.2676,4.32,2.39,0.19605,0.22,-6.26,48.306,75.3005
40.91,102.6243,4.45,2.24,0.16119,0.63,-5.43,,
41.07,102.9788,4.09,1.59,0.19677,1.22,-5.1,,
41.23,103.3274,3.25,1.62,0.19665,1.13,-5.31,,
41.39,103.6874,2.68,1.51,0.2566,1.4,-4.6,22.3214,36.3095
41.55,104.03795,1.09,1.44,0.2866,0.73,-4.1,,
41.71,104.3903,1.4,1.34,0.30244,0.51,-5.28,,
41.87,104.745,4.08,2.03,0.17061,1.25,-5.62,,
42.03,105.10195,3.82,2.07,0.20683,0.79,-5.9,40.4,63.1651
42.19,105.4634,3.81,2.26,0.15624,0.42,-5.92,,
42.35,105.8263,3.83,1.92,0.19686,0.89,-5.61,,
42.51,106.19065,3.36,2.11,0.17904,0.56,-5.26,,
42.67,106.5515,2.68,2.13,0.21276,0.65,-5.51,48.3019,71.3208
42.83,106.9183,2.48,1.73,0.22002,0.42,-4.58,,
42.99,107.28075,1.66,1.08,0.34025,0.91,-3.98,,
43.15,107.74685,1.41,1.1,0.28547,1.18,-2.69,,
43.31,108.26875,3.21,1.13,0.23512,2.06,-3.76,16.7526,39.9485
43.47,108.7978,1.86,0.89,0.15275,1.36,-3.38,,
43.63,109.3262,1.99,1.34,0.32509,1.23,-4.41,,
43.79,109.8521,4.03,1.34,0.22602,1.85,-3.82,,
43.95,110.374,3.74,1.26,0.25645,1.19,-4.18,15.4026,33.2555
44.11,110.89445,3.63,1.57,0.2581,0.86,-4.55,,
44.27,111.41755,2.78,2.02,0.26307,0.71,-4.31,,
44.43,111.9847,3.83,2.08,0.1943,0.5,-4.42,,
44.59,112.60695,3.55,2.01,0.23721,0.68,-4.36,32.5471,64.3178
44.75,113.2272,2.58,1.96,0.23082,0.53,-4.63,,
44.91,113.84205,2.48,2.15,0.24923,0.1,-4.25,,
45.07,114.45335,2.15,2.51,0.22679,0.21,-4.93,,
45.23,115.0729,2.16,2.94,0.20811,0.3,-4.75,34.7826,74.4361
45.39,115.68635,2,3,0.20206,0.26,-4.67,,
45.55,116.2999,2.35,2.65,0.20987,0.29,-4.81,,
45.71,116.93145,2.65,2.85,0.18581,0.37,-4.88,,
45.87,117.5965,1.48,2.33,0.27772,0.46,-4.29,35.514,80.3738
46.03,118.2741,1.46,2.12,0.23171,0.21,-3.11,,
46.19,118.95695,2.7,2.57,0.21348,0.61,-4.33,,
46.35,119.6356,3.06,2.48,0.16661,0.32,-4.65,,
46.51,120.3088,3.41,2.67,0.18485,0.39,-4.49,27.5675,70.2065
46.67,120.97835,3.5,2.47,0.19935,0.21,-4.35,,
46.83,121.6387,4.06,2.74,0.16631,0.12,-3.94,,
