# DESCRIPTION:
# Reference: Sun, Y., S.C. Clemens, Z. An, and Z. Yu. 2006. Astronomical timescale and palaeoclimatic implication of stacked 3.6-Myr monsoon records from the Chinese Loess Plateau. Quaternary Science Reviews, Vol. 25 pp. 33-48. https://doi.org/10.1016/j.quascirev.2005.07.005.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5602. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [Ka BP],Stacked Mean Grain Size,Stacked magnetic susceptibility
2515,0.361,0.068
2516,0.358,0.071
2517,0.379,0.072
2518,0.311,0.086
2519,0.296,0.091
2520,0.283,0.104
2521,0.282,0.117
2522,0.182,0.116
2523,0.281,0.116
2524,0.291,0.125
2525,0.41,0.13
2526,0.374,0.14
2527,0.338,0.146
2528,0.273,0.164
2529,0.245,0.169
2530,0.19,0.165
2531,0.229,0.158
2532,0.23,0.198
2533,0.315,0.191
2534,0.318,0.213
2535,0.39,0.255
2536,0.428,0.289
2537,0.52,0.312
2538,0.486,0.336
2539,0.459,0.355
2540,0.445,0.368
2541,0.449,0.385
2542,0.459,0.398
2543,0.513,0.389
2544,0.551,0.391
2545,0.567,0.406
2546,0.54,0.421
2547,0.498,0.422
2548,0.421,0.397
2549,0.408,0.396
2550,0.469,0.42
2551,0.487,0.436
2552,0.459,0.445
2553,0.434,0.458
2554,0.432,0.471
2555,0.46,0.486
2556,0.508,0.504
2557,0.476,0.511
2558,0.488,0.465
2559,0.497,0.47
2560,0.488,0.504
2561,0.434,0.523
2562,0.445,0.537
2563,0.481,0.531
2564,0.517,0.526
2565,0.513,0.525
2566,0.503,0.525
2567,0.494,0.526
2568,0.472,0.524
2569,0.445,0.521
2570,0.453,0.518
2571,0.467,0.517
2572,0.489,0.518
2573,0.51,0.518
2574,0.481,0.502
2575,0.45,0.477
2576,0.419,0.452
2577,0.439,0.44
2578,0.496,0.439
2579,0.533,0.434
2580,0.555,0.427
2581,0.588,0.405
2582,0.497,0.397
2583,0.479,0.393
2584,0.4,0.394
2585,0.416,0.401
2586,0.309,0.394
2587,0.25,0.379
2588,0.281,0.363
2589,0.3,0.344
2590,0.195,0.29
2591,0.027,0.246
2592,-0.03,0.216
2593,-0.164,0.187
2594,-0.431,0.133
2595,-0.261,0.197
2596,-0.17,0.224
2597,-0.36,0.11
2598,-0.51,0.128
2599,-0.374,0.129
2600,-0.312,0.122
2601,-0.245,0.113
2602,-0.599,0.116
2603,-0.658,0.081
2604,-0.464,0.105
2605,-0.229,0.094
2606,0.194,0.117
2607,0.14,0.144
2608,0.195,0.166
2609,0.234,0.168
2610,0.267,0.196
2611,0.23,0.183
2612,0.267,0.201
2613,0.43,0.202
2614,0.312,0.216
2615,0.388,0.177
2616,0.304,0.203
2617,0.274,0.184
2618,0.284,0.177
2619,0.301,0.157
2620,0.254,0.159
2621,0.4,0.202
2622,0.428,0.202
2623,0.475,0.21
2624,0.464,0.212
2625,0.484,0.205
2626,0.52,0.203
2627,0.529,0.209
2628,0.529,0.2
2629,0.534,0.2
2630,0.584,0.199
2631,0.614,0.202
2632,0.566,0.215
2633,0.543,0.231
2634,0.539,0.239
2635,0.471,0.24
2636,0.596,0.255
2637,0.597,0.255
2638,0.605,0.263
2639,0.615,0.284
2640,0.643,0.295
2641,0.654,0.335
2642,0.602,0.356
2643,0.59,0.352
2644,0.609,0.354
2645,0.546,0.349
2646,0.495,0.392
2647,0.435,0.423
2648,0.505,0.428
2649,0.462,0.428
2650,0.449,0.423
2651,0.514,0.428
2652,0.538,0.432
2653,0.522,0.433
2654,0.572,0.434
2655,0.64,0.421
2656,0.691,0.411
2657,0.701,0.404
2658,0.643,0.399
2659,0.596,0.396
2660,0.595,0.393
2661,0.56,0.389
2662,0.5,0.383
2663,0.489,0.371
2664,0.498,0.373
2665,0.487,0.371
2666,0.55,0.361
2667,0.557,0.377
2668,0.547,0.384
2669,0.534,0.383
2670,0.559,0.367
2671,0.604,0.369
2672,0.574,0.369
2673,0.562,0.375
2674,0.56,0.381
2675,0.591,0.397
2676,0.546,0.399
2677,0.622,0.412
2678,0.554,0.424
2679,0.569,0.439
2680,0.572,0.461
2681,0.532,0.47
2682,0.461,0.481
2683,0.422,0.493
2684,0.361,0.447
2685,0.429,0.446
2686,0.401,0.474
2687,0.365,0.454
2688,0.383,0.444
2689,0.306,0.442
2690,0.337,0.421
2691,0.432,0.399
2692,0.327,0.388
2693,0.382,0.326
2694,0.505,0.323
2695,0.492,0.32
2696,0.441,0.322
2697,0.489,0.304
2698,0.454,0.302
2699,0.507,0.302
2700,0.574,0.306
2701,0.581,0.294
2702,0.528,0.276
2703,0.571,0.295
2704,0.525,0.281
2705,0.507,0.295
2706,0.584,0.314
2707,0.468,0.313
2708,0.571,0.275
2709,0.53,0.264
2710,0.628,0.252
2711,0.559,0.279
2712,0.429,0.291
2713,0.485,0.246
2714,0.437,0.23
2715,0.418,0.234
2716,0.286,0.235
2717,0.451,0.238
2718,0.344,0.239
2719,0.426,0.218
2720,0.523,0.196
2721,0.458,0.216
2722,0.502,0.265
2723,0.551,0.269
2724,0.55,0.233
2725,0.628,0.193
2726,0.641,0.203
2727,0.611,0.216
2728,0.614,0.223
2729,0.614,0.251
2730,0.583,0.26
2731,0.521,0.286
2732,0.512,0.31
2733,0.494,0.356
2734,0.51,0.429
2735,0.576,0.402
2736,0.57,0.474
2737,0.646,0.459
2738,0.582,0.469
2739,0.708,0.487
2740,0.745,0.49
2741,0.714,0.499
2742,0.727,0.542
2743,0.727,0.534
2744,0.78,0.51
2745,0.845,0.516
2746,0.797,0.533
2747,0.671,0.54
2748,0.655,0.546
2749,0.711,0.548
2750,0.761,0.55
2751,0.715,0.555
2752,0.673,0.561
2753,0.691,0.563
2754,0.703,0.569
2755,0.712,0.574
2756,0.664,0.567
2757,0.627,0.561
2758,0.619,0.557
2759,0.614,0.555
2760,0.624,0.558
2761,0.624,0.565
2762,0.611,0.567
2763,0.568,0.564
2764,0.551,0.562
2765,0.564,0.559
2766,0.571,0.557
2767,0.622,0.571
2768,0.675,0.597
2769,0.717,0.616
2770,0.701,0.592
2771,0.705,0.578
2772,0.719,0.58
2773,0.739,0.592
2774,0.75,0.603
2775,0.746,0.605
2776,0.719,0.601
2777,0.752,0.588
2778,0.765,0.576
2779,0.752,0.562
2780,0.739,0.549
2781,0.725,0.533
2782,0.696,0.504
2783,0.654,0.504
2784,0.61,0.52
2785,0.66,0.518
2786,0.732,0.524
2787,0.83,0.538
2788,0.83,0.529
2789,0.802,0.523
2790,0.768,0.536
2791,0.753,0.536
2792,0.751,0.535
2793,0.752,0.538
2794,0.726,0.536
2795,0.7,0.533
2796,0.684,0.53
2797,0.692,0.529
2798,0.722,0.532
2799,0.705,0.539
2800,0.684,0.544
2801,0.683,0.537
2802,0.658,0.532
2803,0.617,0.53
2804,0.629,0.525
2805,0.698,0.51
2806,0.735,0.492
2807,0.755,0.515
2808,0.724,0.529
2809,0.657,0.537
2810,0.601,0.545
2811,0.61,0.551
2812,0.607,0.541
2813,0.602,0.53
2814,0.651,0.52
2815,0.679,0.509
2816,0.701,0.5
2817,0.711,0.497
2818,0.663,0.505
2819,0.628,0.515
2820,0.646,0.496
2821,0.577,0.491
2822,0.554,0.494
2823,0.603,0.487
2824,0.688,0.501
2825,0.703,0.573
2826,0.573,0.495
2827,0.637,0.469
2828,0.584,0.44
2829,0.645,0.448
2830,0.618,0.461
2831,0.635,0.472
2832,0.68,0.464
2833,0.671,0.468
2834,0.58,0.467
2835,0.578,0.466
2836,0.561,0.447
2837,0.604,0.455
2838,0.635,0.456
2839,0.647,0.454
2840,0.532,0.491
2841,0.556,0.48
2842,0.577,0.471
2843,0.592,0.477
2844,0.594,0.485
2845,0.587,0.487
2846,0.571,0.48
2847,0.552,0.472
2848,0.569,0.461
2849,0.613,0.463
2850,0.678,0.472
2851,0.697,0.466
2852,0.687,0.444
2853,0.646,0.398
2854,0.638,0.403
2855,0.639,0.421
2856,0.627,0.429
2857,0.61,0.432
2858,0.604,0.439
2859,0.589,0.448
2860,0.552,0.447
2861,0.572,0.437
2862,0.606,0.424
2863,0.633,0.417
2864,0.639,0.416
2865,0.677,0.404
2866,0.702,0.407
2867,0.666,0.397
2868,0.626,0.385
2869,0.646,0.399
2870,0.658,0.409
2871,0.633,0.41
2872,0.628,0.441
2873,0.627,0.461
2874,0.623,0.466
2875,0.62,0.472
2876,0.594,0.468
2877,0.566,0.462
2878,0.598,0.469
2879,0.622,0.466
2880,0.62,0.449
2881,0.603,0.437
2882,0.623,0.436
2883,0.614,0.443
2884,0.592,0.439
2885,0.578,0.429
2886,0.567,0.397
2887,0.554,0.382
2888,0.584,0.411
2889,0.592,0.398
2890,0.579,0.375
2891,0.613,0.376
2892,0.65,0.383
2893,0.659,0.376
2894,0.673,0.331
2895,0.662,0.38
2896,0.669,0.371
2897,0.685,0.362
2898,0.675,0.352
2899,0.666,0.371
2900,0.655,0.377
2901,0.679,0.362
2902,0.707,0.353
2903,0.654,0.358
2904,0.684,0.367
2905,0.713,0.361
2906,0.697,0.36
2907,0.658,0.367
2908,0.618,0.384
2909,0.628,0.385
2910,0.632,0.376
2911,0.626,0.37
2912,0.677,0.372
2913,0.731,0.376
2914,0.735,0.39
2915,0.731,0.404
2916,0.738,0.4
2917,0.803,0.392
2918,0.803,0.375
2919,0.765,0.385
2920,0.735,0.408
2921,0.685,0.401
2922,0.681,0.387
2923,0.706,0.381
2924,0.71,0.384
2925,0.742,0.386
2926,0.738,0.401
2927,0.692,0.423
2928,0.696,0.432
2929,0.665,0.434
2930,0.608,0.436
2931,0.569,0.448
2932,0.575,0.444
2933,0.653,0.403
2934,0.676,0.4
2935,0.666,0.422
2936,0.716,0.41
2937,0.723,0.418
2938,0.734,0.415
2939,0.765,0.395
2940,0.762,0.376
2941,0.755,0.364
2942,0.733,0.377
2943,0.734,0.371
2944,0.76,0.388
2945,0.785,0.411
2946,0.791,0.41
2947,0.784,0.411
2948,0.769,0.414
2949,0.768,0.416
2950,0.743,0.418
2951,0.709,0.419
2952,0.703,0.415
2953,0.712,0.421
2954,0.721,0.429
2955,0.715,0.423
2956,0.71,0.426
2957,0.726,0.434
2958,0.764,0.431
2959,0.752,0.414
2960,0.731,0.404
2961,0.706,0.404
2962,0.721,0.411
2963,0.743,0.394
2964,0.768,0.37
2965,0.807,0.393
2966,0.797,0.412
2967,0.785,0.407
2968,0.75,0.403
2969,0.721,0.412
2970,0.74,0.401
2971,0.7,0.392
2972,0.696,0.391
2973,0.712,0.397
2974,0.714,0.391
2975,0.75,0.369
2976,0.754,0.364
2977,0.766,0.377
2978,0.792,0.387
2979,0.823,0.374
2980,0.741,0.371
2981,0.673,0.362
2982,0.697,0.348
2983,0.726,0.355
2984,0.762,0.347
2985,0.769,0.339
2986,0.78,0.35
2987,0.795,0.378
2988,0.806,0.39
2989,0.816,0.394
2990,0.805,0.393
2991,0.782,0.392
2992,0.747,0.39
2993,0.765,0.382
2994,0.773,0.383
2995,0.78,0.379
2996,0.749,0.374
2997,0.686,0.37
2998,0.678,0.365
2999,0.66,0.368
3000,0.652,0.372
3001,0.649,0.363
3002,0.609,0.366
3003,0.599,0.362
3004,0.691,0.352
3005,0.667,0.34
3006,0.68,0.353
3007,0.644,0.371
3008,0.691,0.395
3009,0.56,0.401
3010,0.626,0.387
3011,0.623,0.374
3012,0.686,0.37
3013,0.689,0.335
3014,0.661,0.341
3015,0.645,0.342
3016,0.696,0.331
3017,0.705,0.345
3018,0.746,0.344
3019,0.619,0.354
3020,0.645,0.35
3021,0.685,0.385
3022,0.676,0.367
3023,0.716,0.355
3024,0.687,0.324
3025,0.73,0.315
3026,0.729,0.336
3027,0.696,0.326
3028,0.752,0.301
3029,0.776,0.281
3030,0.731,0.269
3031,0.728,0.27
3032,0.745,0.273
3033,0.747,0.276
3034,0.775,0.271
3035,0.745,0.28
3036,0.845,0.285
3037,0.779,0.288
3038,0.78,0.288
3039,0.758,0.293
3040,0.72,0.29
3041,0.705,0.296
3042,0.671,0.307
3043,0.65,0.313
3044,0.667,0.319
3045,0.67,0.327
3046,0.65,0.334
3047,0.69,0.346
3048,0.662,0.351
3049,0.597,0.353
3050,0.633,0.352
3051,0.666,0.352
3052,0.69,0.356
3053,0.696,0.363
3054,0.689,0.359
3055,0.722,0.335
3056,0.701,0.337
3057,0.755,0.339
3058,0.801,0.336
3059,0.782,0.331
3060,0.797,0.332
3061,0.803,0.334
3062,0.789,0.338
3063,0.744,0.351
3064,0.676,0.359
3065,0.623,0.365
3066,0.688,0.371
3067,0.678,0.379
3068,0.637,0.38
3069,0.666,0.382
3070,0.723,0.388
3071,0.722,0.374
3072,0.717,0.371
3073,0.667,0.359
3074,0.663,0.364
3075,0.683,0.38
3076,0.703,0.378
3077,0.728,0.371
3078,0.742,0.358
3079,0.739,0.354
3080,0.739,0.363
3081,0.735,0.359
3082,0.698,0.354
3083,0.665,0.356
3084,0.72,0.354
3085,0.726,0.323
3086,0.699,0.341
3087,0.669,0.372
3088,0.642,0.368
3089,0.649,0.37
3090,0.664,0.362
3091,0.662,0.357
3092,0.623,0.367
3093,0.603,0.369
3094,0.554,0.368
3095,0.569,0.358
3096,0.633,0.345
3097,0.656,0.352
3098,0.665,0.35
3099,0.683,0.333
3100,0.713,0.311
3101,0.694,0.352
3102,0.71,0.354
3103,0.69,0.354
3104,0.632,0.354
3105,0.608,0.359
3106,0.615,0.365
3107,0.638,0.368
3108,0.666,0.364
3109,0.657,0.354
3110,0.664,0.35
3111,0.689,0.346
3112,0.716,0.333
3113,0.695,0.332
3114,0.661,0.327
3115,0.626,0.321
3116,0.657,0.31
3117,0.648,0.316
3118,0.626,0.327
3119,0.704,0.296
3120,0.667,0.319
3121,0.653,0.323
3122,0.654,0.321
3123,0.643,0.331
3124,0.637,0.332
3125,0.628,0.337
3126,0.588,0.348
3127,0.528,0.344
3128,0.514,0.336
3129,0.516,0.357
3130,0.539,0.371
3131,0.535,0.372
3132,0.484,0.366
3133,0.465,0.361
3134,0.518,0.362
3135,0.483,0.36
3136,0.421,0.362
3137,0.423,0.363
3138,0.373,0.363
3139,0.345,0.368
3140,0.376,0.373
3141,0.4,0.372
3142,0.396,0.372
3143,0.432,0.371
3144,0.486,0.365
3145,0.534,0.363
3146,0.582,0.363
3147,0.655,0.349
3148,0.677,0.351
3149,0.675,0.349
3150,0.675,0.348
3151,0.706,0.34
3152,0.698,0.342
3153,0.656,0.35
3154,0.616,0.353
3155,0.586,0.357
3156,0.582,0.363
3157,0.604,0.365
3158,0.55,0.366
3159,0.531,0.364
3160,0.546,0.365
3161,0.529,0.358
3162,0.534,0.36
3163,0.524,0.367
3164,0.53,0.377
3165,0.565,0.381
3166,0.585,0.382
3167,0.596,0.382
3168,0.602,0.385
3169,0.604,0.39
3170,0.608,0.387
3171,0.603,0.365
3172,0.616,0.338
3173,0.683,0.336
3174,0.679,0.346
3175,0.666,0.359
3176,0.696,0.367
3177,0.724,0.371
3178,0.693,0.367
3179,0.622,0.365
3180,0.608,0.376
3181,0.591,0.378
3182,0.617,0.374
3183,0.674,0.351
3184,0.673,0.344
3185,0.635,0.354
3186,0.627,0.36
3187,0.708,0.372
3188,0.79,0.385
3189,0.771,0.38
3190,0.718,0.364
3191,0.706,0.364
3192,0.695,0.365
3193,0.703,0.371
3194,0.713,0.377
3195,0.724,0.377
3196,0.755,0.378
3197,0.784,0.36
3198,0.8,0.348
3199,0.79,0.35
3200,0.779,0.352
3201,0.809,0.362
3202,0.823,0.374
3203,0.797,0.368
3204,0.766,0.36
3205,0.771,0.366
3206,0.776,0.373
3207,0.767,0.378
3208,0.754,0.382
3209,0.736,0.387
3210,0.684,0.389
3211,0.674,0.382
3212,0.677,0.378
3213,0.673,0.385
3214,0.665,0.387
3215,0.709,0.387
3216,0.745,0.391
3217,0.75,0.403
3218,0.662,0.398
3219,0.599,0.388
3220,0.594,0.387
3221,0.592,0.387
3222,0.613,0.377
3223,0.64,0.363
3224,0.66,0.366
3225,0.687,0.381
3226,0.719,0.382
3227,0.751,0.382
3228,0.768,0.381
3229,0.755,0.377
3230,0.726,0.368
3231,0.706,0.367
3232,0.712,0.369
3233,0.708,0.376
3234,0.68,0.387
3235,0.679,0.386
3236,0.656,0.381
3237,0.626,0.372
3238,0.647,0.371
3239,0.72,0.378
3240,0.704,0.383
3241,0.737,0.385
3242,0.8,0.385
3243,0.804,0.379
3244,0.786,0.365
3245,0.779,0.358
3246,0.779,0.372
3247,0.792,0.383
3248,0.795,0.389
3249,0.748,0.382
3250,0.707,0.373
3251,0.701,0.351
3252,0.664,0.352
3253,0.694,0.354
3254,0.712,0.359
3255,0.689,0.362
3256,0.677,0.374
3257,0.684,0.374
3258,0.681,0.365
3259,0.639,0.366
3260,0.596,0.375
3261,0.584,0.378
3262,0.657,0.365
3263,0.737,0.354
3264,0.743,0.359
3265,0.702,0.366
3266,0.688,0.366
3267,0.688,0.364
3268,0.695,0.363
3269,0.673,0.366
3270,0.672,0.372
3271,0.695,0.371
3272,0.626,0.361
3273,0.566,0.354
3274,0.624,0.359
3275,0.681,0.364
3276,0.708,0.365
3277,0.736,0.366
3278,0.732,0.366
3279,0.708,0.365
3280,0.655,0.367
3281,0.659,0.361
3282,0.716,0.343
3283,0.738,0.351
3284,0.72,0.367
3285,0.699,0.382
3286,0.664,0.39
3287,0.64,0.366
3288,0.64,0.353
3289,0.583,0.343
3290,0.601,0.359
3291,0.591,0.353
3292,0.57,0.36
3293,0.575,0.369
3294,0.577,0.359
3295,0.595,0.37
3296,0.62,0.358
3297,0.566,0.365
3298,0.557,0.363
3299,0.616,0.362
3300,0.694,0.351
3301,0.723,0.344
3302,0.705,0.338
3303,0.715,0.331
3304,0.676,0.34
3305,0.67,0.342
3306,0.621,0.325
3307,0.606,0.321
3308,0.616,0.317
3309,0.614,0.32
3310,0.631,0.324
3311,0.655,0.323
3312,0.671,0.323
3313,0.688,0.322
3314,0.709,0.323
3315,0.713,0.33
3316,0.719,0.334
3317,0.714,0.327
3318,0.702,0.321
3319,0.691,0.321
3320,0.747,0.317
3321,0.822,0.313
3322,0.843,0.314
3323,0.816,0.316
3324,0.774,0.314
3325,0.738,0.311
3326,0.756,0.312
3327,0.757,0.313
3328,0.751,0.314
3329,0.722,0.316
3330,0.719,0.318
3331,0.747,0.322
3332,0.749,0.329
3333,0.727,0.328
3334,0.737,0.328
3335,0.723,0.332
3336,0.69,0.336
3337,0.693,0.34
3338,0.706,0.343
3339,0.702,0.343
3340,0.657,0.341
3341,0.643,0.34
3342,0.665,0.333
3343,0.694,0.324
3344,0.731,0.316
3345,0.733,0.315
3346,0.709,0.312
3347,0.665,0.306
3348,0.657,0.3
3349,0.678,0.293
3350,0.682,0.291
3351,0.655,0.296
3352,0.636,0.303
3353,0.658,0.308
3354,0.681,0.312
3355,0.693,0.314
3356,0.692,0.307
3357,0.696,0.308
3358,0.707,0.317
3359,0.716,0.319
3360,0.719,0.308
3361,0.715,0.298
3362,0.706,0.294
3363,0.712,0.291
3364,0.723,0.301
3365,0.735,0.31
3366,0.753,0.297
3367,0.757,0.29
3368,0.749,0.292
3369,0.741,0.294
3370,0.729,0.299
3371,0.712,0.302
3372,0.699,0.296
3373,0.692,0.277
3374,0.679,0.273
3375,0.699,0.285
3376,0.722,0.296
3377,0.755,0.3
3378,0.711,0.289
3379,0.674,0.291
3380,0.672,0.304
3381,0.734,0.312
3382,0.745,0.299
3383,0.73,0.273
3384,0.697,0.263
3385,0.65,0.273
3386,0.648,0.277
3387,0.67,0.278
3388,0.681,0.278
3389,0.709,0.286
3390,0.707,0.27
3391,0.702,0.269
3392,0.699,0.271
3393,0.713,0.283
3394,0.739,0.318
3395,0.749,0.321
3396,0.752,0.315
3397,0.736,0.31
3398,0.729,0.282
3399,0.685,0.264
3400,0.593,0.255
3401,0.542,0.253
3402,0.538,0.241
3403,0.593,0.245
3404,0.588,0.236
3405,0.514,0.224
3406,0.493,0.213
3407,0.521,0.211
3408,0.525,0.211
3409,0.526,0.215
3410,0.564,0.22
3411,0.574,0.214
3412,0.59,0.204
3413,0.612,0.198
3414,0.621,0.189
3415,0.593,0.184
3416,0.561,0.192
3417,0.568,0.196
3418,0.587,0.201
3419,0.534,0.19
3420,0.475,0.177
3421,0.521,0.169
3422,0.591,0.178
3423,0.516,0.185
3424,0.489,0.196
3425,0.49,0.197
3426,0.458,0.195
3427,0.493,0.194
3428,0.527,0.194
3429,0.494,0.194
3430,0.45,0.192
3431,0.471,0.186
3432,0.519,0.181
3433,0.562,0.183
3434,0.583,0.198
3435,0.618,0.201
3436,0.669,0.194
3437,0.674,0.186
3438,0.643,0.185
3439,0.612,0.185
3440,0.599,0.184
3441,0.61,0.192
3442,0.655,0.216
3443,0.57,0.203
3444,0.537,0.207
3445,0.569,0.229
3446,0.57,0.236
3447,0.654,0.237
3448,0.63,0.238
3449,0.569,0.238
3450,0.576,0.238
3451,0.603,0.208
3452,0.631,0.185
3453,0.654,0.179
3454,0.624,0.179
3455,0.626,0.181
3456,0.652,0.181
3457,0.683,0.177
3458,0.665,0.171
3459,0.651,0.171
3460,0.628,0.177
3461,0.586,0.196
3462,0.559,0.221
3463,0.542,0.234
3464,0.515,0.234
3465,0.552,0.208
3466,0.579,0.212
3467,0.553,0.23
3468,0.497,0.23
3469,0.514,0.216
3470,0.502,0.204
3471,0.517,0.206
3472,0.559,0.212
3473,0.606,0.213
3474,0.608,0.208
3475,0.56,0.197
3476,0.55,0.21
3477,0.555,0.225
3478,0.535,0.223
3479,0.545,0.209
3480,0.587,0.218
3481,0.528,0.229
3482,0.593,0.217
3483,0.565,0.21
3484,0.543,0.203
3485,0.582,0.21
3486,0.637,0.222
3487,0.592,0.224
3488,0.619,0.226
3489,0.543,0.228
3490,0.522,0.229
3491,0.575,0.228
3492,0.58,0.23
3493,0.585,0.228
3494,0.59,0.224
3495,0.605,0.222
3496,0.615,0.218
3497,0.618,0.214
3498,0.618,0.213
3499,0.603,0.211
3500,0.589,0.21
3501,0.614,0.21
3502,0.632,0.211
3503,0.639,0.211
3504,0.621,0.203
3505,0.624,0.174
3506,0.644,0.137
3507,0.656,0.161
3508,0.645,0.182
3509,0.632,0.198
3510,0.634,0.186
3511,0.651,0.188
3512,0.676,0.198
3513,0.659,0.205
3514,0.618,0.203
3515,0.559,0.196
3516,0.646,0.203
3517,0.634,0.208
3518,0.574,0.21
3519,0.581,0.211
3520,0.589,0.213
3521,0.583,0.208
3522,0.584,0.2
3523,0.603,0.205
3524,0.622,0.21
3525,0.634,0.21
3526,0.641,0.206
3527,0.648,0.204
3528,0.645,0.207
3529,0.642,0.208
3530,0.64,0.206
3531,0.647,0.205
3532,0.656,0.205
3533,0.657,0.208
3534,0.639,0.214
3535,0.616,0.221
3536,0.594,0.223
3537,0.588,0.224
3538,0.607,0.223
3539,0.595,0.22
3540,0.573,0.217
3541,0.539,0.22
3542,0.531,0.218
3543,0.539,0.214
3544,0.528,0.211
3545,0.505,0.208
3546,0.486,0.206
3547,0.515,0.215
3548,0.544,0.223
3549,0.606,0.229
3550,0.631,0.232
3551,0.613,0.23
3552,0.569,0.228
3553,0.561,0.229
3554,0.553,0.23
3555,0.554,0.23
3556,0.573,0.214
3557,0.592,0.198
3558,0.611,0.182
3559,0.599,0.19
3560,0.575,0.202
3561,0.551,0.213
3562,0.571,0.213
3563,0.623,0.207
3564,0.675,0.201
3565,0.713,0.201
3566,0.741,0.199
3567,0.769,0.197
3568,0.78,0.194
3569,0.761,0.192
3570,0.73,0.195
3571,0.741,0.201
3572,0.75,0.205
3573,0.732,0.206
3574,0.7,0.206
3575,0.668,0.206
3576,0.639,0.206
3577,0.657,0.208
3578,0.675,0.209
3579,0.641,0.212
3580,0.544,0.215
3581,0.558,0.214
3582,0.577,0.212
3583,0.609,0.209
3584,0.56,0.215
3585,0.52,0.213
3586,0.512,0.2
3587,0.551,0.204
3588,0.588,0.21
3589,0.616,0.216
3590,0.633,0.214
3591,0.613,0.211
3592,0.61,0.21
3593,0.637,0.213
3594,0.632,0.214
3595,0.592,0.208
3596,0.614,0.205
3597,0.608,0.212
3598,0.612,0.214
3599,0.623,0.212
3600,0.64,0.216
