# DESCRIPTION:
# Reference: Sun, Y., S.C. Clemens, Z. An, and Z. Yu. 2006. Astronomical timescale and palaeoclimatic implication of stacked 3.6-Myr monsoon records from the Chinese Loess Plateau. Quaternary Science Reviews, Vol. 25 pp. 33-48. https://doi.org/10.1016/j.quascirev.2005.07.005.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5602. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [Ka BP],Stacked Mean Grain Size,Stacked magnetic susceptibility
443,0.193,0.157
444,0.249,0.156
445,0.224,0.163
446,0.289,0.156
447,0.189,0.148
448,0.341,0.148
449,0.245,0.137
450,0.184,0.12
451,0.215,0.143
452,0.247,0.162
453,0.355,0.151
454,0.352,0.127
455,0.338,0.12
456,0.421,0.126
457,0.378,0.145
458,0.339,0.149
459,0.332,0.168
460,0.339,0.177
461,0.286,0.187
462,0.203,0.193
463,0.323,0.201
464,0.215,0.206
465,0.169,0.213
466,0.177,0.21
467,0.174,0.215
468,0.131,0.202
469,0.095,0.206
470,0.13,0.203
471,0.232,0.219
472,0.251,0.301
473,0.238,0.427
474,0.479,0.675
475,0.609,0.701
476,0.684,0.719
477,0.655,0.721
478,0.638,0.725
479,0.586,0.714
480,0.514,0.715
481,0.546,0.749
482,0.579,0.78
483,0.6,0.812
484,0.503,0.855
485,0.457,0.886
486,0.513,0.896
487,0.595,0.898
488,0.586,0.916
489,0.572,0.934
490,0.574,0.937
491,0.565,0.936
492,0.542,0.934
493,0.53,0.904
494,0.52,0.872
495,0.532,0.893
496,0.538,0.89
497,0.539,0.858
498,0.557,0.806
499,0.574,0.754
500,0.572,0.705
501,0.535,0.64
502,0.463,0.563
503,0.45,0.539
504,0.451,0.531
505,0.455,0.531
506,0.415,0.528
507,0.377,0.509
508,0.39,0.489
509,0.356,0.453
510,0.292,0.417
511,0.278,0.395
512,0.29,0.391
513,0.311,0.388
514,0.332,0.385
515,0.363,0.371
516,0.39,0.345
517,0.388,0.331
518,0.368,0.326
519,0.394,0.324
520,0.419,0.321
521,0.438,0.318
522,0.453,0.314
523,0.468,0.311
524,0.482,0.31
525,0.488,0.326
526,0.489,0.337
527,0.498,0.326
528,0.507,0.311
529,0.501,0.303
530,0.481,0.303
531,0.46,0.303
532,0.453,0.301
533,0.446,0.297
534,0.438,0.289
535,0.429,0.278
536,0.436,0.27
537,0.437,0.273
538,0.438,0.276
539,0.435,0.281
540,0.429,0.286
541,0.423,0.291
542,0.426,0.283
543,0.429,0.273
544,0.441,0.27
545,0.455,0.268
546,0.467,0.264
547,0.476,0.261
548,0.492,0.258
549,0.498,0.256
550,0.482,0.255
551,0.46,0.255
552,0.427,0.256
553,0.405,0.257
554,0.421,0.256
555,0.437,0.255
556,0.453,0.254
557,0.415,0.268
558,0.375,0.281
559,0.353,0.283
560,0.332,0.285
561,0.314,0.288
562,0.33,0.287
563,0.346,0.286
564,0.353,0.281
565,0.363,0.268
566,0.374,0.255
567,0.389,0.252
568,0.404,0.25
569,0.416,0.244
570,0.434,0.246
571,0.454,0.246
572,0.477,0.246
573,0.499,0.245
574,0.496,0.238
575,0.451,0.224
576,0.405,0.209
577,0.376,0.195
578,0.356,0.181
579,0.321,0.18
580,0.276,0.182
581,0.258,0.188
582,0.277,0.203
583,0.262,0.21
584,0.236,0.212
585,0.221,0.212
586,0.214,0.214
587,0.208,0.219
588,0.23,0.221
589,0.258,0.222
590,0.283,0.228
591,0.276,0.24
592,0.274,0.249
593,0.283,0.25
594,0.297,0.252
595,0.327,0.257
596,0.361,0.263
597,0.404,0.262
598,0.432,0.26
599,0.419,0.258
600,0.399,0.257
601,0.381,0.257
602,0.379,0.26
603,0.374,0.264
604,0.351,0.273
605,0.318,0.284
606,0.271,0.302
607,0.266,0.315
608,0.303,0.325
609,0.336,0.334
610,0.344,0.337
611,0.353,0.339
612,0.351,0.343
613,0.338,0.346
614,0.325,0.348
615,0.288,0.347
616,0.241,0.343
617,0.246,0.334
618,0.279,0.325
619,0.305,0.313
620,0.254,0.296
621,0.176,0.266
622,0.171,0.233
623,0.072,0.206
624,-0.12,0.184
625,0.058,0.178
626,0.04,0.093
627,0.039,0.085
628,-0.058,0.083
629,0.02,0.086
630,0.053,0.089
631,-0.002,0.106
632,0.051,0.134
633,0.072,0.133
634,0.145,0.131
635,0.198,0.141
636,0.219,0.144
637,0.204,0.14
638,0.197,0.132
639,0.183,0.131
640,0.252,0.135
641,0.312,0.14
642,0.242,0.123
643,0.234,0.124
644,0.238,0.129
645,0.239,0.123
646,0.2,0.118
647,0.182,0.121
648,0.129,0.116
649,0.065,0.113
650,0.138,0.113
651,0.098,0.112
652,0.052,0.118
653,0.034,0.111
654,0.067,0.108
655,0.014,0.088
656,0.001,0.08
657,-0.01,0.083
658,0.025,0.076
659,-0.02,0.084
660,-0.087,0.098
661,-0.131,0.06
662,-0.031,0.077
663,0.092,0.085
664,0.289,0.098
665,0.361,0.093
666,0.277,0.081
667,0.163,0.081
668,0.179,0.076
669,0.294,0.111
670,0.162,0.13
671,0.216,0.157
672,0.185,0.144
673,0.058,0.114
674,0.082,0.097
675,0.129,0.092
676,0.093,0.07
677,0.055,0.067
678,0.049,0.061
679,0.039,0.058
680,0.04,0.058
681,0.081,0.057
682,0.174,0.059
683,0.301,0.073
684,0.35,0.08
685,0.387,0.087
686,0.413,0.09
687,0.427,0.091
688,0.434,0.09
689,0.439,0.089
690,0.439,0.091
691,0.442,0.094
692,0.445,0.098
693,0.457,0.1
694,0.45,0.104
695,0.432,0.107
696,0.42,0.11
697,0.425,0.112
698,0.407,0.168
699,0.381,0.234
700,0.37,0.281
701,0.399,0.274
702,0.41,0.269
703,0.395,0.261
704,0.358,0.253
705,0.33,0.244
706,0.322,0.22
707,0.4,0.199
708,0.344,0.191
709,0.354,0.172
710,0.369,0.161
711,0.372,0.152
712,0.286,0.139
713,0.114,0.083
714,0.201,0.074
715,0.251,0.075
716,0.162,0.054
717,0.14,0.031
718,0.262,0.041
719,0.226,0.052
720,0.17,0.053
721,0.14,0.052
722,0.163,0.069
723,0.199,0.089
724,0.237,0.116
725,0.323,0.13
726,0.307,0.135
727,0.28,0.135
728,0.454,0.17
729,0.399,0.179
730,0.366,0.169
731,0.382,0.171
732,0.33,0.163
733,0.359,0.164
734,0.407,0.15
735,0.378,0.139
736,0.368,0.133
737,0.358,0.127
738,0.347,0.121
739,0.337,0.115
740,0.342,0.11
741,0.363,0.106
742,0.384,0.102
743,0.407,0.098
744,0.407,0.093
745,0.385,0.086
746,0.364,0.08
747,0.438,0.076
748,0.479,0.073
749,0.432,0.07
750,0.354,0.07
751,0.311,0.064
752,0.396,0.055
753,0.214,0.053
754,0.296,0.06
755,0.394,0.073
756,0.337,0.081
757,0.383,0.088
758,0.379,0.096
759,0.396,0.098
760,0.417,0.101
761,0.417,0.102
762,0.455,0.105
763,0.492,0.113
764,0.516,0.12
765,0.468,0.123
766,0.393,0.126
767,0.367,0.134
768,0.355,0.142
769,0.376,0.148
770,0.394,0.149
771,0.397,0.15
772,0.421,0.154
773,0.432,0.155
774,0.426,0.157
775,0.406,0.17
776,0.38,0.187
777,0.415,0.197
778,0.441,0.203
779,0.459,0.217
780,0.489,0.237
781,0.515,0.25
782,0.516,0.258
783,0.481,0.265
784,0.429,0.27
785,0.401,0.265
786,0.349,0.265
787,0.356,0.267
788,0.329,0.253
789,0.306,0.237
790,0.345,0.187
791,0.234,0.155
792,0.068,0.148
793,0.215,0.094
794,0.273,0.09
795,0.203,0.094
796,0.14,0.08
797,0.175,0.073
798,0.166,0.074
799,0.173,0.077
800,0.178,0.096
801,0.215,0.102
802,0.192,0.1
803,0.242,0.091
804,0.297,0.094
805,0.285,0.114
806,0.299,0.134
807,0.236,0.105
808,0.256,0.103
809,0.367,0.11
810,0.364,0.104
811,0.346,0.101
812,0.357,0.102
813,0.328,0.102
814,0.388,0.13
815,0.383,0.161
816,0.426,0.178
817,0.444,0.181
818,0.46,0.183
819,0.434,0.188
820,0.501,0.196
821,0.525,0.2
822,0.515,0.205
823,0.471,0.207
824,0.429,0.211
825,0.431,0.218
826,0.413,0.222
827,0.385,0.223
828,0.37,0.225
829,0.383,0.227
830,0.405,0.23
831,0.427,0.24
832,0.47,0.268
833,0.492,0.28
834,0.494,0.28
835,0.498,0.284
836,0.384,0.286
837,0.381,0.284
838,0.405,0.28
839,0.41,0.278
840,0.44,0.289
841,0.472,0.302
842,0.437,0.31
843,0.421,0.316
844,0.365,0.317
845,0.306,0.296
846,0.256,0.276
847,0.32,0.264
848,0.346,0.268
849,0.311,0.262
850,0.242,0.252
851,0.221,0.262
852,0.244,0.282
853,0.232,0.299
854,0.21,0.296
855,0.217,0.277
856,0.224,0.258
857,0.211,0.261
858,0.211,0.256
859,0.219,0.246
860,0.238,0.228
861,0.248,0.216
862,0.213,0.213
863,0.181,0.208
864,0.18,0.191
865,0.106,0.179
866,-0.004,0.168
867,-0.011,0.124
868,-0.015,0.1
869,-0.05,0.06
870,-0.244,0.07
871,-0.334,0.048
872,-0.191,0.043
873,-0.044,0.031
874,0.044,0.03
875,0.15,0.033
876,0.223,0.031
877,0.289,0.035
878,0.294,0.038
879,0.313,0.037
880,0.387,0.038
881,0.305,0.037
882,0.292,0.037
883,0.243,0.035
884,0.242,0.033
885,0.209,0.034
886,0.075,0.026
887,0.189,0.044
888,0.127,0.03
889,0.211,0.029
890,0.168,0.03
891,0.109,0.028
892,0.039,0.028
893,0.279,0.028
894,0.196,0.042
895,0.196,0.045
896,0.2,0.052
897,0.256,0.057
898,0.299,0.069
899,0.359,0.09
900,0.367,0.122
901,0.385,0.146
902,0.361,0.163
903,0.388,0.163
904,0.385,0.17
905,0.4,0.175
906,0.379,0.154
907,0.392,0.151
908,0.442,0.16
909,0.408,0.161
910,0.411,0.151
911,0.418,0.131
912,0.339,0.104
913,0.343,0.095
914,0.27,0.059
915,0.219,0.048
916,0.238,0.048
917,0.338,0.065
918,0.162,0.059
919,0.142,0.07
920,0.071,0.086
921,0.054,0.068
922,-0.107,0.041
923,-0.112,0.04
924,-0.033,0.083
925,0.127,0.083
926,0.066,0.086
927,0.282,0.13
928,0.296,0.111
929,0.319,0.101
930,0.358,0.109
931,0.395,0.122
932,0.403,0.126
933,0.437,0.135
934,0.515,0.152
935,0.501,0.175
936,0.466,0.192
937,0.42,0.199
938,0.356,0.199
939,0.33,0.203
940,0.327,0.21
941,0.329,0.218
942,0.339,0.225
943,0.379,0.234
944,0.414,0.247
945,0.416,0.268
946,0.391,0.296
947,0.419,0.316
948,0.476,0.333
949,0.47,0.361
950,0.498,0.395
951,0.5,0.396
952,0.358,0.363
953,0.37,0.367
954,0.453,0.38
955,0.453,0.36
956,0.416,0.329
957,0.403,0.293
958,0.365,0.251
959,0.314,0.218
960,0.279,0.198
961,0.267,0.198
962,0.234,0.178
963,0.141,0.177
964,0.256,0.198
965,0.304,0.198
966,0.299,0.155
967,0.254,0.159
968,0.283,0.169
969,0.292,0.182
970,0.317,0.192
971,0.349,0.194
972,0.394,0.2
973,0.444,0.207
974,0.426,0.215
975,0.43,0.217
976,0.425,0.22
977,0.349,0.218
978,0.419,0.225
979,0.447,0.225
980,0.395,0.227
981,0.353,0.227
982,0.336,0.219
983,0.284,0.221
984,0.41,0.204
985,0.359,0.204
986,0.34,0.203
987,0.456,0.22
988,0.454,0.224
989,0.472,0.241
990,0.424,0.251
991,0.473,0.252
992,0.446,0.246
993,0.528,0.251
994,0.512,0.25
995,0.545,0.249
996,0.575,0.244
997,0.485,0.236
998,0.481,0.232
999,0.474,0.228
1000,0.45,0.224
1001,0.43,0.216
1002,0.416,0.209
1003,0.366,0.211
1004,0.294,0.196
1005,0.266,0.2
1006,0.288,0.22
1007,0.262,0.223
1008,0.223,0.222
1009,0.206,0.223
1010,0.218,0.224
1011,0.244,0.223
1012,0.26,0.223
1013,0.276,0.23
1014,0.308,0.245
1015,0.347,0.254
1016,0.387,0.253
1017,0.426,0.252
1018,0.506,0.282
1019,0.591,0.316
1020,0.576,0.337
1021,0.574,0.343
1022,0.608,0.344
1023,0.634,0.346
1024,0.618,0.343
1025,0.602,0.339
1026,0.593,0.315
1027,0.586,0.29
1028,0.574,0.29
1029,0.568,0.293
1030,0.501,0.284
1031,0.51,0.264
1032,0.427,0.247
1033,0.398,0.233
1034,0.467,0.211
1035,0.322,0.224
1036,0.318,0.237
1037,0.376,0.239
1038,0.382,0.23
1039,0.394,0.212
1040,0.438,0.2
1041,0.377,0.21
1042,0.375,0.2
1043,0.442,0.227
1044,0.443,0.256
1045,0.565,0.271
1046,0.503,0.277
1047,0.485,0.289
1048,0.536,0.304
1049,0.523,0.311
1050,0.509,0.318
1051,0.47,0.324
1052,0.42,0.325
1053,0.382,0.327
1054,0.437,0.331
1055,0.467,0.335
1056,0.478,0.337
1057,0.485,0.343
1058,0.484,0.352
1059,0.487,0.356
1060,0.5,0.355
1061,0.513,0.356
1062,0.526,0.363
1063,0.542,0.372
1064,0.56,0.382
1065,0.567,0.395
1066,0.563,0.41
1067,0.568,0.411
1068,0.575,0.39
1069,0.538,0.362
1070,0.555,0.355
1071,0.466,0.339
1072,0.495,0.326
1073,0.451,0.281
1074,0.426,0.256
1075,0.328,0.227
1076,0.354,0.185
1077,0.299,0.142
1078,0.172,0.11
1079,0.216,0.119
1080,0.288,0.133
1081,0.306,0.141
1082,0.283,0.148
1083,0.237,0.153
1084,0.233,0.16
1085,0.27,0.171
1086,0.224,0.186
1087,0.316,0.205
