/* DESCRIPTION:
Reference:	Harada, N., N. Ahagon, T. Sakamoto, M. Uchida, M. Ikehara, and Y. Shibata. 2006. Rapid fluctuation of alkenone temperature in the southwestern Okhotsk Sea during the past 120 ky. Global and Planetary Change, 53, 29-46, https://doi.org/10.1016/j.gloplacha.2006.01.010
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/9096. Accessed 11 Nov 2022.
Comment:	Alkenone saturation index from the original dataset is not included here.
*/
Depth [m]	Age [kyr BP]	  Uk'37 SST [C]
23.934	41.56	7.2
24.008	41.73	12.7
24.085	41.91	5
24.159	42.08	10.6
24.233	42.25	12.6
24.306	42.42	9.1
24.379	42.59	9.9
24.454	42.76	8.6
24.527	42.93	10.3
24.602	43.11	10
24.677	43.28	9.9
24.863	43.96	8.4
24.935	44.29	8.6
25.01	44.62	8.3
25.083	44.95	7.9
25.157	45.29	7.4
25.235	45.64	7.8
25.308	45.97	7.3
25.382	46.3	7.8
25.458	46.64	7.2
25.532	46.98	7.6
25.607	47.31	7.7
25.674	47.62	7.6
25.718	47.81	8.1
25.866	48.48	7.8
25.944	48.83	9.2
26.015	49.15	7.7
26.077	49.43	7.9
26.167	49.84	7.5
26.241	50.17	11.8
26.316	50.51	11.9
26.39	50.84	6.8
26.465	51.18	13.1
26.538	51.51	9.7
26.613	51.84	9.5
26.687	52.18	9.8
26.762	52.52	7.9
26.836	52.85	9.7
26.912	53.19	9.9
26.984	53.52	11.6
27.063	53.87	9.7
27.137	54.2	7.5
27.289	54.89	7.6
27.363	55.22	10.1
27.439	55.54	7.9
27.514	55.78	7.3
27.589	56.03	7
27.663	56.28	7.2
27.737	56.53	7.5
27.812	56.77	7.4
27.887	57.02	7.8
27.961	57.27	6.7
28.035	57.52	7.2
28.108	57.76	7.6
28.184	58.01	8.2
28.247	58.22	7.4
28.401	58.73	10
28.477	58.99	8.5
28.551	59.23	9.2
28.627	59.48	9.7
28.701	59.73	7.8
28.775	59.97	8.7
28.849	60.22	8.6
28.924	60.47	8.7
28.998	60.72	7.9
29.074	60.97	8.4
29.147	61.21	8.8
29.221	61.46	8.3
29.295	61.7	8
29.366	61.94	7.9
29.44	62.19	7.3
29.462	62.26	6.9
29.535	62.5	6.9
29.687	63.01	7
29.762	63.26	5.8
29.835	63.5	6.8
29.91	63.75	6.6
29.986	64	6.4
30.059	64.24	6.4
30.134	64.49	6.4
30.207	64.73	6.8
30.283	64.99	6.6
30.357	65.23	6.1
30.43	65.48	6.4
30.505	65.72	6.4
30.578	65.97	6.2
30.602	66.05	6.4
30.624	66.12	6.5
30.771	66.61	6.1
30.845	66.86	5.9
30.92	67.1	6.1
30.994	67.35	6.2
31.069	67.6	6.5
31.144	67.85	5.9
31.217	68.09	5.8
31.292	68.34	6.1
31.366	68.59	6
31.439	68.83	6.1
31.665	69.22	6.1
31.665	69.22	6.2
31.713	69.3	6
31.788	69.43	6.5
31.861	69.56	6.5
31.936	69.68	6.9
32.01	69.81	7.6
32.084	69.94	7.4
32.158	70.07	6.9
32.229	70.19	7
32.306	70.32	6.8
32.381	70.45	6.8
32.453	70.57	6.2
32.527	70.7	6.8
32.601	70.83	6.4
32.674	70.95	6.9
32.748	71.08	6.9
32.822	71.21	6.8
32.993	71.5	6.7
33.143	71.76	6
33.216	71.89	6.8
33.288	72.01	7.2
33.36	72.13	7.2
33.435	72.26	7.8
33.509	72.39	8.2
33.583	72.52	8.2
33.656	72.64	8.1
33.73	72.77	6.5
33.802	72.89	7.9
33.875	73.02	7.8
33.949	73.15	6.8
34.023	73.27	7.7
34.095	73.4	7.2
34.171	73.53	7.2
34.243	73.65	7.4
34.316	73.78	7.5
34.391	73.91	7.6
34.467	74.04	7.5
34.493	74.08	7.6
34.64	74.34	7.5
34.714	74.46	7.3
34.789	74.59	7.4
34.862	74.72	7.5
34.936	74.85	7.9
35.01	74.97	7.6
35.085	75.1	7.8
35.161	75.23	6.8
35.236	75.36	6.7
35.307	75.48	6.5
35.383	75.61	6.2
35.457	75.74	6.3
35.53	75.87	6.4
35.604	75.99	6.9
35.678	76.12	6.4
35.733	76.22	7.2
35.808	76.35	8.1
35.833	76.39	7.5
35.982	76.65	7.8
36.129	76.9	7.4
36.203	77.02	7.9
36.279	77.16	8
36.357	77.29	8.6
36.432	77.42	8.7
36.508	77.55	8.8
36.583	77.68	8.3
36.659	77.81	8.1
36.729	77.93	8.2
36.802	78.06	8.5
36.877	78.18	8.9
36.95	78.31	9.1
37.027	78.44	8.7
37.098	78.57	8.7
37.174	78.69	8.9
37.299	78.91	10
37.324	78.95	9.8
37.374	79.04	10.2
37.448	79.17	10.1
37.521	79.31	10.7
37.594	79.49	10.5
37.669	79.68	10.8
37.741	79.86	11.1
