# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
97.2,50.646,2.32,-5.42,NaN,NaN
97.3,50.651,2.37,-5.48,0.00171,0.00084
97.4,50.657,2.45,-5.41,NaN,NaN
97.5,50.662,2.42,-5.55,0.00163,0.00095
97.6,50.667,2.38,-5.58,NaN,NaN
97.7,50.673,2.45,-5.32,0.00168,0.00088
97.8,50.678,2.48,-5.36,NaN,NaN
97.9,50.684,2.44,-5.31,0.00171,0.00096
98,50.689,2.5,-5.35,NaN,NaN
98.1,50.695,2.51,-5.39,0.00172,0.00085
98.2,50.7,2.44,-5.29,NaN,NaN
98.3,50.705,2.52,-5.34,0.00172,0.00087
98.4,50.711,2.62,-5.32,NaN,NaN
98.5,50.716,2.67,-5.35,0.00171,0.00088
98.6,50.722,2.83,-5.24,NaN,NaN
98.7,50.727,2.77,-5.23,0.0016,0.00093
98.8,50.733,2.81,-5.26,NaN,NaN
98.9,50.738,2.65,-5.29,0.00176,0.0009
99,50.743,2.66,-5.28,NaN,NaN
99.1,50.749,2.6,-5.34,0.00188,0.00102
99.2,50.754,2.5,-5.33,NaN,NaN
99.3,50.76,2.51,-5.36,0.00169,0.00092
99.4,50.765,2.49,-5.28,NaN,NaN
99.5,50.771,2.34,-5.37,0.00174,0.00082
99.6,50.776,2.42,-5.31,NaN,NaN
99.7,50.781,2.51,-5.31,0.00174,0.00096
99.8,50.787,2.58,-5.29,NaN,NaN
99.9,50.792,2.56,-5.35,0.00167,0.00092
100,50.798,2.67,-5.31,NaN,NaN
100.1,50.803,2.65,-5.36,0.00161,0.00095
100.2,50.809,2.66,-5.33,NaN,NaN
100.3,50.814,2.69,-5.38,0.00168,0.00088
100.4,50.819,2.67,-5.38,NaN,NaN
100.5,50.825,2.42,-5.48,0.00172,0.00094
100.6,50.83,2.52,-5.44,NaN,NaN
100.7,50.836,2.41,-5.51,0.00172,0.00091
100.8,50.841,2.25,-5.53,NaN,NaN
100.9,50.847,2.19,-5.48,0.00176,0.00105
101,50.852,2.21,-5.51,NaN,NaN
101.1,50.857,2.19,-5.56,0.00167,0.00091
101.2,50.863,2.25,-5.45,NaN,NaN
101.3,50.868,2.25,-5.41,0.00176,0.00088
101.4,50.874,2.27,-5.51,NaN,NaN
101.5,50.879,2.28,-5.56,0.00182,0.00098
101.6,50.884,2.28,-5.58,NaN,NaN
101.7,50.89,2.16,-5.63,0.00179,0.001
101.8,50.895,2.13,-5.69,NaN,NaN
101.9,50.901,2.18,-5.68,0.00179,0.0009
102,50.906,2.36,-5.66,NaN,NaN
102.1,50.912,2.32,-5.72,0.00182,0.00103
102.2,50.917,2.23,-5.73,NaN,NaN
102.3,50.922,2.17,-5.74,0.00168,0.00104
102.4,50.928,2.19,-5.68,NaN,NaN
102.5,50.933,1.91,-5.8,0.00185,0.00097
102.6,50.939,1.98,-5.73,NaN,NaN
102.7,50.944,2.18,-5.72,0.00179,0.0009
102.8,50.95,2.17,-5.68,NaN,NaN
102.9,50.955,2.45,-5.57,0.00183,0.00098
103,50.96,2.77,-5.52,NaN,NaN
103.1,50.966,2.59,-5.62,0.00183,0.00098
103.2,50.971,2.54,-5.65,NaN,NaN
103.3,50.977,2.25,-5.74,0.00202,0.00102
103.4,50.982,2.24,-5.64,NaN,NaN
103.5,50.988,2.45,-5.6,0.00199,0.00099
103.6,50.993,2.5,-5.54,NaN,NaN
103.7,50.998,2.09,-5.69,0.00197,0.00097
103.8,51.004,2.16,-5.64,NaN,NaN
103.9,51.009,2.34,-5.5,0.00183,0.00093
104,51.015,2.36,-5.55,NaN,NaN
104.1,51.02,2.4,-5.66,0.00183,0.00082
104.2,51.026,2.34,-5.65,NaN,NaN
104.3,51.031,2.33,-5.55,0.00193,0.00088
104.4,51.036,1.98,-5.7,NaN,NaN
104.5,51.042,1.76,-5.71,0.00179,0.0009
104.6,51.047,2.06,-5.59,NaN,NaN
104.7,51.053,2.05,-5.61,0.00196,0.00096
104.8,51.058,2.03,-5.67,NaN,NaN
104.9,51.064,2.06,-5.69,0.0018,0.00087
105,51.069,1.86,-5.88,NaN,NaN
105.1,51.074,2.34,-5.66,0.00177,0.00091
105.2,51.08,2.24,-5.61,NaN,NaN
105.3,51.085,2.46,-5.6,0.00173,0.00094
105.4,51.091,2.37,-5.79,NaN,NaN
105.5,51.096,2.53,-5.55,0.00172,0.00101
105.6,51.102,2.46,-5.66,NaN,NaN
105.7,51.107,2.5,-5.7,0.00178,0.00091
105.8,51.112,2.44,-5.48,NaN,NaN
105.9,51.118,2.42,-5.66,0.00176,0.00088
106,51.123,2.35,-5.76,NaN,NaN
106.1,51.129,2.15,-5.81,0.00168,0.00087
106.2,51.134,1.93,-5.9,NaN,NaN
106.3,51.139,2.16,-5.75,0.00175,0.00082
106.4,51.145,2.05,-5.8,NaN,NaN
106.5,51.15,2.17,-5.81,0.00168,0.00077
106.6,51.156,2.28,-5.67,NaN,NaN
106.7,51.161,2.24,-5.83,0.00169,0.00082
106.8,51.167,2.22,-5.65,NaN,NaN
106.9,51.172,2.39,-5.63,0.00166,0.00081
107,51.177,2.44,-5.84,NaN,NaN
107.1,51.183,2.44,-5.67,0.00161,0.00082
107.2,51.188,2.39,-5.69,NaN,NaN
107.3,51.194,2.39,-5.6,0.00158,0.00084
107.4,51.199,2.44,-5.73,NaN,NaN
107.5,51.205,2.47,-5.74,0.00164,0.00089
107.6,51.21,2.41,-5.73,NaN,NaN
107.7,51.215,2.28,-5.81,0.00172,0.0008
107.8,51.221,2.24,-5.87,NaN,NaN
107.9,51.226,2.31,-5.74,0.00159,0.00076
108,51.232,2.33,-5.56,NaN,NaN
108.1,51.237,2.35,-5.55,0.00161,0.00083
108.3,51.248,2.27,-5.58,0.00164,0.00079
108.4,51.253,2.2,-5.61,NaN,NaN
108.5,51.259,2.2,-5.7,0.00171,0.00079
108.6,51.264,2.15,-5.83,NaN,NaN
108.7,51.27,2.05,-5.77,0.00161,0.00073
108.8,51.275,2.11,-5.85,NaN,NaN
108.9,51.281,2.12,-5.82,0.00169,0.00081
109,51.286,2.23,-5.84,NaN,NaN
109.1,51.291,2.05,-5.83,0.00148,0.00076
109.2,51.297,2.14,-5.83,NaN,NaN
109.3,51.302,2.15,-5.66,0.0016,0.00079
109.4,51.308,2.11,-5.66,NaN,NaN
109.5,51.313,2.19,-5.65,0.0015,0.00077
109.6,51.319,2.15,-5.88,NaN,NaN
109.7,51.324,2.26,-5.7,0.00157,0.00082
109.8,51.329,2.4,-5.7,NaN,NaN
109.9,51.335,2.31,-5.63,0.00167,0.00068
110,51.34,2.34,-5.72,NaN,NaN
110.1,51.346,2.39,-5.64,0.00156,0.00074
110.2,51.351,2.28,-5.79,NaN,NaN
110.3,51.357,2.12,-5.8,0.00158,0.00074
110.4,51.362,2.33,-5.77,NaN,NaN
110.5,51.367,2.27,-5.88,0.00162,0.0007
110.6,51.373,2.26,-5.85,NaN,NaN
110.7,51.378,2.23,-5.95,0.00169,0.00067
110.8,51.384,2.36,-5.84,NaN,NaN
110.9,51.389,2.26,-5.66,0.00169,0.00076
111,51.394,2.42,-5.58,NaN,NaN
111.1,51.4,2.54,-5.66,0.00161,0.00076
111.2,51.405,2.77,-5.55,NaN,NaN
111.3,51.411,3.11,-5.5,0.00162,0.0007
111.4,51.416,3.39,-5.44,NaN,NaN
111.5,51.422,2.8,-5.6,0.0016,0.00072
111.6,51.427,2.59,-5.68,NaN,NaN
111.7,51.432,2.36,-5.71,0.00162,0.00065
111.8,51.438,2.49,-5.68,NaN,NaN
111.9,51.443,2.35,-5.7,0.00173,0.00071
112,51.449,2.4,-5.67,NaN,NaN
112.1,51.454,2.32,-5.79,0.00165,0.00067
112.2,51.46,2.31,-5.82,NaN,NaN
112.3,51.465,2.28,-5.84,0.00165,0.00068
112.4,51.47,2.38,-5.83,NaN,NaN
112.5,51.476,2.48,-5.82,0.00172,0.0006
112.6,51.481,2.38,-5.72,NaN,NaN
112.7,51.487,2.36,-5.81,0.00153,0.00076
112.8,51.492,2.41,-5.85,NaN,NaN
112.9,51.498,2.45,-5.75,0.00156,0.00067
113,51.503,2.43,-5.9,NaN,NaN
113.1,51.508,2.45,-5.73,0.00166,0.00078
113.2,51.514,2.41,-5.78,NaN,NaN
113.3,51.519,2.51,-5.86,0.00153,0.0007
113.4,51.525,2.61,-5.76,NaN,NaN
113.5,51.53,2.5,-5.78,0.00156,0.00064
113.6,51.536,2.62,-5.62,NaN,NaN
113.7,51.541,2.68,-5.72,0.00155,0.00071
113.8,51.546,2.68,-5.82,NaN,NaN
113.9,51.552,2.73,-5.86,0.00166,0.00073
114,51.557,2.71,-5.85,NaN,NaN
114.1,51.563,2.67,-5.81,0.00161,0.00074
114.2,51.568,2.44,-5.99,NaN,NaN
114.3,51.574,2.57,-5.9,0.00158,0.00065
114.4,51.579,2.47,-5.88,NaN,NaN
114.5,51.584,2.4,-5.78,0.00162,0.00064
114.6,51.59,2.51,-5.98,NaN,NaN
114.7,51.595,2.46,-5.94,0.00156,0.00078
114.8,51.601,2.34,-6,NaN,NaN
114.9,51.606,2.32,-5.96,0.00159,0.00073
115,51.612,2.18,-6.02,NaN,NaN
115.1,51.617,2.33,-5.91,0.00163,0.00073
115.2,51.622,2.34,-6.02,NaN,NaN
115.3,51.628,2.12,-6.1,0.00154,0.00069
115.4,51.633,2.15,-6.07,NaN,NaN
115.5,51.639,2.27,-5.96,0.00156,0.00066
115.6,51.644,2.05,-6.24,NaN,NaN
115.7,51.649,2.14,-6,0.00151,0.00065
115.8,51.655,2.15,-6,NaN,NaN
115.9,51.66,2.08,-6.1,0.00148,0.00063
116,51.666,1.93,-6.1,NaN,NaN
116.1,51.671,1.99,-6.15,0.00159,0.00063
116.2,51.677,2.15,-5.94,NaN,NaN
116.3,51.682,2.15,-6.13,0.00148,0.00063
116.4,51.687,2.24,-6.12,NaN,NaN
116.5,51.693,2.23,-6.04,0.00148,0.00069
116.6,51.698,2.25,-5.97,NaN,NaN
116.7,51.704,2.31,-5.99,0.00154,0.00059
116.8,51.709,2.17,-6.07,NaN,NaN
116.9,51.715,2.25,-5.98,0.00156,0.00061
117,51.72,2.02,-6.18,NaN,NaN
117.1,51.725,2.05,-6.07,0.00149,0.0006
117.2,51.731,1.98,-6.16,NaN,NaN
117.3,51.736,2.1,-6.04,0.00152,0.0005
117.4,51.742,2.32,-6.03,NaN,NaN
117.5,51.747,2.17,-6.03,0.00147,0.00058
117.6,51.753,2.14,-5.99,NaN,NaN
117.7,51.758,2.17,-5.99,0.00151,0.00061
117.8,51.763,2.23,-5.96,NaN,NaN
117.9,51.769,2.31,-6.02,0.00149,0.00052
118,51.774,2.32,-6.03,NaN,NaN
118.1,51.78,2.25,-6.09,0.00144,0.00062
118.2,51.785,2.34,-6.21,NaN,NaN
118.3,51.791,2.52,-6.23,0.00143,0.00051
118.4,51.796,2.78,-6.27,NaN,NaN
118.5,51.801,2.86,-6.26,0.00141,0.00054
118.6,51.807,2.77,-6.05,NaN,NaN
118.7,51.812,2.78,-6.05,0.00121,0.00053
118.8,51.818,2.61,-6.13,NaN,NaN
118.9,51.823,2.55,-6.1,0.00146,0.0004
119,51.829,2.51,-5.9,NaN,NaN
119.1,51.834,2.41,-6.21,0.00148,0.00047
119.2,51.839,2.55,-6.22,NaN,NaN
119.3,51.845,2.54,-6.3,0.00145,0.00057
119.4,51.85,2.46,-6.42,NaN,NaN
119.5,51.856,2.45,-6.39,0.00153,0.00055
119.6,51.861,2.43,-6.39,NaN,NaN
119.7,51.867,2.64,-6.33,0.00148,0.00055
119.8,51.872,2.7,-6.19,NaN,NaN
119.9,51.877,2.69,-6.34,0.00145,0.00047
120,51.883,2.65,-6.33,NaN,NaN
120.1,51.888,2.75,-6.23,0.00139,0.00056
120.2,51.894,2.69,-6.14,NaN,NaN
120.3,51.899,2.68,-6.02,0.00138,0.00054
120.4,51.904,2.67,-6.12,NaN,NaN
120.5,51.91,2.66,-6.23,0.00151,0.00055
120.6,51.915,2.84,-6.13,NaN,NaN
120.7,51.921,2.91,-6.11,0.00149,0.00065
120.8,51.926,2.96,-6.05,NaN,NaN
120.9,51.932,2.99,-6.05,0.00151,0.0007
121,51.937,2.98,-5.98,NaN,NaN
121.1,51.942,3.05,-5.88,0.00153,0.00069
121.2,51.948,3.05,-5.93,NaN,NaN
121.3,51.953,3.12,-5.87,0.00158,0.00071
121.4,51.959,3.24,-5.92,NaN,NaN
121.5,51.964,3.49,-5.79,0.00155,0.0006
121.6,51.97,3.53,-5.89,NaN,NaN
121.7,51.975,3.5,-5.69,0.0017,0.0007
121.8,51.98,3.52,-5.73,NaN,NaN
121.9,51.986,3.48,-5.78,0.00184,0.0007
122,51.991,3.62,-5.75,NaN,NaN
122.1,51.997,3.75,-5.78,0.00172,0.00069
122.2,52.002,3.68,-5.72,NaN,NaN
122.3,52.008,3.52,-5.9,0.00179,0.00073
122.4,52.013,3.57,-5.77,NaN,NaN
122.5,52.018,3.53,-5.85,0.00179,0.00073
122.6,52.024,3.59,-5.87,NaN,NaN
122.7,52.029,3.64,-5.8,0.00186,0.00078
122.8,52.035,3.65,-6,NaN,NaN
122.9,52.04,3.67,-5.89,0.00179,0.00079
123,52.046,3.44,-5.92,NaN,NaN
123.1,52.051,3.26,-6.06,0.00193,0.00092
123.2,52.056,3.24,-6.05,NaN,NaN
123.3,52.062,3.2,-6.01,0.00197,0.00093
123.4,52.067,3.42,-6.07,NaN,NaN
123.5,52.073,3.42,-6.04,0.00184,0.00087
123.6,52.078,3.47,-6.09,NaN,NaN
123.7,52.084,3.42,-5.93,0.00188,0.00093
123.8,52.089,3.5,-6.06,NaN,NaN
123.9,52.094,3.43,-5.86,0.0017,0.00102
124,52.1,3.34,-6.05,NaN,NaN
124.1,52.105,3.33,-5.85,0.00187,0.00107
124.2,52.111,3.38,-5.85,NaN,NaN
124.3,52.116,3.35,-5.93,0.00186,0.00103
124.4,52.122,3.31,-6.03,NaN,NaN
124.5,52.127,3.29,-5.99,0.00177,0.001
124.6,52.132,3.06,-5.8,NaN,NaN
124.7,52.138,3.09,-6,0.00194,0.00093
124.8,52.143,2.98,-6.04,NaN,NaN
124.9,52.149,3.12,-6.01,0.00185,0.00093
125,52.154,2.95,-6.01,NaN,NaN
125.1,52.159,2.95,-6.01,0.0018,0.00094
125.2,52.165,3.1,-6.06,NaN,NaN
125.3,52.17,3.03,-6.18,0.00173,0.00098
125.4,52.176,3.39,-6.17,NaN,NaN
125.5,52.181,3.45,-6.02,0.0018,0.00106
125.6,52.187,3.58,-6.03,NaN,NaN
125.7,52.192,3.64,-5.97,0.00174,0.00098
125.8,52.197,3.28,-6.15,NaN,NaN
125.9,52.203,3.25,-6.04,0.00178,0.0012
126,52.208,2.97,-6.06,NaN,NaN
126.1,52.214,2.74,-6.15,0.00182,0.00125
126.2,52.219,2.83,-6.32,NaN,NaN
126.3,52.225,2.74,-6.15,0.00177,0.00111
126.4,52.23,2.77,-6.4,NaN,NaN
126.5,52.235,2.7,-6.15,0.00175,0.00111
126.6,52.241,2.64,-6.22,NaN,NaN
126.7,52.246,2.63,-6.24,0.00176,0.00107
126.8,52.252,2.6,-6.2,NaN,NaN
126.9,52.257,2.9,-6.14,0.00175,0.00105
127,52.263,2.9,-6.21,NaN,NaN
127.1,52.268,2.85,-6.19,0.0018,0.00098
127.2,52.273,2.8,-6.13,NaN,NaN
127.3,52.279,NaN,NaN,0.00182,0.00093
127.4,52.284,2.52,-6.11,NaN,NaN
127.5,52.29,2.48,-6.11,0.00184,0.00098
127.6,52.295,2.33,-6.33,NaN,NaN
127.7,52.301,2.4,-6.17,0.00184,0.00095
127.8,52.306,2.5,-6.2,NaN,NaN
127.9,52.311,2.55,-6.06,0.00179,0.00093
128,52.317,2.46,-6.09,NaN,NaN
128.1,52.322,2.62,-6.07,0.00187,0.00094
128.2,52.328,2.52,-6.02,NaN,NaN
128.3,52.333,2.66,-5.98,0.00178,0.00094
128.4,52.339,2.62,-6.02,NaN,NaN
128.5,52.344,2.7,-5.92,0.00183,0.0009
128.6,52.35,2.7,-6.05,NaN,NaN
128.7,52.357,2.55,-6.16,0.00178,0.00094
128.8,52.363,2.81,-6.05,NaN,NaN
128.9,52.369,2.85,-6.02,0.00182,0.00091
129,52.376,2.63,-6.08,NaN,NaN
129.1,52.382,2.56,-6.17,0.0018,0.00088
129.2,52.388,2.32,-6.16,NaN,NaN
129.3,52.395,2.28,-6.15,0.00175,0.00089
129.4,52.401,2.29,-6.42,NaN,NaN
129.5,52.407,2.09,-6.33,0.0018,0.00087
129.6,52.414,1.98,-6.52,NaN,NaN
129.7,52.42,1.92,-6.37,0.00179,0.00082
129.8,52.426,1.75,-6.38,NaN,NaN
129.9,52.433,1.7,-6.46,0.00181,0.00088
130,52.439,2.98,-6.06,NaN,NaN
130.1,52.445,3.17,-6.19,0.00171,0.00083
130.2,52.452,2.97,-6.21,NaN,NaN
130.3,52.458,2.52,-6.25,0.00178,0.00089
130.4,52.465,2.39,-6.07,NaN,NaN
130.5,52.471,2.3,-6.16,0.00171,0.00076
130.6,52.477,2.26,-6.14,NaN,NaN
130.7,52.484,2.23,-6.2,0.00175,0.00082
130.8,52.49,2.32,-6.18,NaN,NaN
130.9,52.496,2.34,-6.17,0.00172,0.00072
131,52.503,2.33,-6.19,NaN,NaN
131.1,52.509,2.43,-6.07,0.0017,0.00075
131.2,52.515,2.22,-6.26,NaN,NaN
131.3,52.522,2.31,-6.1,0.00177,0.00077
131.4,52.529,2.24,-6.2,NaN,NaN
131.5,52.536,2.22,-6.28,0.00176,0.0008
131.6,52.543,2.38,-6.22,NaN,NaN
131.7,52.55,2.43,-6.13,0.00164,0.0007
131.8,52.557,2.49,-6.16,NaN,NaN
131.9,52.564,2.43,-6.19,0.00171,0.00071
132,52.571,2.19,-6.4,NaN,NaN
132.1,52.578,2.47,-6.23,0.00166,0.0007
132.2,52.585,2.45,-6.19,NaN,NaN
132.3,52.592,2.45,-6.28,0.00171,0.00072
132.4,52.599,2.49,-6.2,NaN,NaN
132.5,52.606,2.37,-6.26,0.00161,0.00071
132.6,52.613,2.18,-6.41,NaN,NaN
132.7,52.62,2.1,-6.32,0.00166,0.00071
132.8,52.627,2.4,-6.26,NaN,NaN
132.9,52.634,2.5,-6.24,0.00165,0.00075
133,52.641,2.62,-6.26,NaN,NaN
133.1,52.648,2.6,-6.3,0.00168,0.00075
133.2,52.655,2.56,-6.18,NaN,NaN
133.3,52.662,2.66,-6.16,0.00167,0.00068
133.4,52.669,2.6,-6.29,NaN,NaN
133.5,52.676,2.59,-6.22,0.0016,0.00075
133.6,52.683,2.6,-6.12,NaN,NaN
133.7,52.69,2.6,-6.21,0.00152,0.00076
133.8,52.697,2.59,-6.16,NaN,NaN
133.9,52.704,2.59,-6.17,0.00169,0.0008
134,52.711,2.78,-6.17,NaN,NaN
134.1,52.718,2.76,-6.24,0.00161,0.0007
134.2,52.725,2.85,-6.18,NaN,NaN
134.3,52.732,3.03,-6.11,0.0017,0.00078
134.4,52.739,2.98,-6.26,NaN,NaN
134.5,52.746,3.08,-6.1,0.00157,0.00082
134.6,52.753,2.97,-6.17,NaN,NaN
134.7,52.76,2.84,-6.1,0.00164,0.00071
134.8,52.767,2.79,-6.26,NaN,NaN
134.9,52.774,2.88,-6.17,0.00164,0.0008
135,52.781,2.84,-6.22,NaN,NaN
135.1,52.788,2.95,-6.21,0.00151,0.00071
135.2,52.795,2.84,-6.32,NaN,NaN
135.3,52.802,2.99,-6.2,0.00155,0.00071
135.4,52.809,2.99,-6.24,NaN,NaN
135.5,52.816,3.19,-6.04,0.00154,0.00074
135.6,52.823,3.12,-6.11,NaN,NaN
135.7,52.83,3.26,-6.06,0.00147,0.00073
135.8,52.837,3.22,-6.03,NaN,NaN
135.9,52.844,3.26,-6.07,0.00159,0.0008
136,52.851,3.13,-6.17,NaN,NaN
136.1,52.858,3.05,-6.19,0.00151,0.0008
136.2,52.865,2.95,-6.2,NaN,NaN
136.3,52.872,2.76,-6.27,0.00156,0.00085
136.4,52.879,2.71,-6.17,NaN,NaN
136.5,52.886,2.69,-6.38,0.00144,0.00079
136.6,52.893,2.72,-6.37,NaN,NaN
136.7,52.9,2.76,-6.26,0.0015,0.00071
136.8,52.907,2.73,-6.21,NaN,NaN
136.9,52.914,2.77,-6.29,0.00158,0.00079
137,52.921,2.71,-6.41,NaN,NaN
137.1,52.928,2.94,-6.18,0.00156,0.0008
137.2,52.935,2.76,-6.25,NaN,NaN
137.3,52.942,2.89,-6.12,0.00163,0.00072
137.4,52.949,2.74,-6.19,NaN,NaN
137.5,52.956,2.75,-6.25,0.00146,0.00081
137.6,52.963,2.75,-6.16,NaN,NaN
137.7,52.97,2.61,-6.32,0.00159,0.00079
137.8,52.977,2.6,-6.3,NaN,NaN
137.9,52.984,2.46,-6.38,0.00158,0.0007
138,52.991,2.45,-6.42,NaN,NaN
138.1,52.998,2.36,-6.44,0.00156,0.00069
138.2,53.005,2.31,-6.47,NaN,NaN
138.3,53.012,2.31,-6.5,0.00161,0.00066
138.4,53.019,2.44,-6.33,NaN,NaN
138.5,53.026,2.4,-6.5,0.00148,0.00065
138.6,53.033,2.5,-6.3,NaN,NaN
138.7,53.04,2.51,-6.45,0.00161,0.00065
138.8,53.047,2.51,-6.41,NaN,NaN
138.9,53.054,2.6,-6.43,0.00157,0.00061
139,53.061,2.5,-6.43,NaN,NaN
139.1,53.068,2.42,-6.5,0.00159,0.00074
139.2,53.075,2.34,-6.53,NaN,NaN
139.3,53.082,2.25,-6.62,0.00152,0.00071
139.4,53.089,2.21,-6.59,NaN,NaN
139.5,53.096,2.18,-6.57,0.00153,0.00077
139.6,53.103,2.32,-6.53,NaN,NaN
139.7,53.11,2.23,-6.6,0.00159,0.00068
139.8,53.117,2.22,-6.51,NaN,NaN
139.9,53.124,2.15,-6.62,0.00146,0.00067
140,53.131,2.28,-6.55,NaN,NaN
140.1,53.138,2.3,-6.56,0.00146,0.00053
140.2,53.145,2.25,-6.57,NaN,NaN
140.3,53.152,2.18,-6.53,0.00143,0.00065
140.4,53.159,2.12,-6.61,NaN,NaN
140.5,53.166,2.27,-6.65,0.00143,0.00072
140.6,53.173,2.27,-6.53,NaN,NaN
140.7,53.18,2.35,-6.59,0.00146,0.00067
140.8,53.187,2.3,-6.62,NaN,NaN
140.9,53.194,2.32,-6.57,0.00153,0.00065
141,53.201,2.44,-6.56,NaN,NaN
141.1,53.208,NaN,NaN,0.00147,0.00062
141.2,53.215,2.38,-6.54,NaN,NaN
141.3,53.222,2.37,-6.61,0.00139,0.0007
141.4,53.229,2.26,-6.66,NaN,NaN
141.5,53.236,2.15,-6.61,0.0014,0.00058
141.6,53.243,2.06,-6.64,NaN,NaN
141.7,53.25,2.01,-6.63,0.00145,0.00055
141.8,53.257,1.99,-6.68,NaN,NaN
141.9,53.264,2.06,-6.59,0.00136,0.00061
142,53.271,2.01,-6.59,NaN,NaN
142.1,53.278,1.95,-6.69,0.00132,0.00063
142.2,53.285,2.06,-6.58,NaN,NaN
142.3,53.292,2.01,-6.72,0.00141,0.00055
142.4,53.299,2.2,-6.71,NaN,NaN
142.5,53.306,2.12,-6.66,0.00135,0.0006
142.6,53.313,2.15,-6.62,NaN,NaN
142.7,53.32,2.09,-6.6,0.00135,0.00057
142.8,53.327,2.15,-6.62,NaN,NaN
142.9,53.334,2.02,-6.69,0.00139,0.00058
143,53.341,2.08,-6.7,NaN,NaN
143.1,53.348,1.98,-6.43,0.00138,0.0006
143.2,53.355,2.13,-6.26,NaN,NaN
143.3,53.362,2.15,-6.29,0.00139,0.00063
143.4,53.369,2.17,-6.41,NaN,NaN
143.5,53.376,2.32,-6.49,0.00148,0.00063
143.6,53.383,2.3,-6.41,NaN,NaN
143.7,53.39,2.38,-6.48,0.00133,0.00059
143.8,53.397,2.45,-6.5,NaN,NaN
143.9,53.404,2.58,-6.5,0.00144,0.00043
144,53.411,2.84,-6.41,NaN,NaN
144.1,53.418,2.77,-6.44,0.00144,0.00051
144.2,53.425,2.74,-6.5,NaN,NaN
144.3,53.432,2.82,-6.43,0.00133,0.00056
144.4,53.439,2.64,-6.44,NaN,NaN
144.5,53.446,2.74,-6.44,0.00141,0.00069
144.6,53.453,2.57,-6.51,NaN,NaN
144.7,53.46,2.58,-6.44,0.00147,0.00058
144.8,53.467,2.71,-6.53,NaN,NaN
144.9,53.474,2.61,-6.54,0.00137,0.00057
145,53.481,2.57,-6.47,NaN,NaN
145.1,53.488,2.59,-6.45,0.0014,0.00062
145.2,53.495,2.44,-6.55,NaN,NaN
145.3,53.502,2.34,-6.49,0.00138,0.00067
145.4,53.509,2.22,-6.48,NaN,NaN
145.5,53.516,2.3,-6.47,0.00141,0.00057
145.6,53.523,2.22,-6.44,NaN,NaN
145.7,53.53,1.98,-6.55,0.00133,0.00058
145.8,53.537,1.89,-6.65,NaN,NaN
145.9,53.544,1.87,-6.64,0.00135,0.00055
146,53.551,1.79,-6.56,NaN,NaN
146.1,53.558,1.77,-6.65,0.00139,0.00051
146.2,53.565,1.79,-6.53,NaN,NaN
146.3,53.572,1.87,-6.45,0.00141,0.00061
146.4,53.579,1.82,-6.46,NaN,NaN
146.5,53.586,1.89,-6.42,0.00136,0.0006
146.6,53.593,1.92,-6.47,NaN,NaN
146.7,53.6,1.92,-6.53,0.00144,0.00047
146.8,53.607,2,-6.5,NaN,NaN
146.9,53.614,2.1,-6.57,0.0014,0.00059
147,53.621,2.09,-6.6,NaN,NaN
147.1,53.628,2.33,-6.13,0.0014,0.00067
147.2,53.635,2.34,-6.05,NaN,NaN
147.3,53.642,2.4,-6.08,0.00149,0.00071
147.4,53.649,2.25,-6.15,NaN,NaN
147.5,53.656,2.34,-6.14,0.00152,0.00063
147.6,53.663,2.5,-6.1,NaN,NaN
147.7,53.67,2.5,-6.11,0.00151,0.00061
147.8,53.677,2.57,-6.17,NaN,NaN
147.9,53.684,2.47,-6.18,0.00147,0.0007
148,53.691,2.49,-6.1,NaN,NaN
148.1,53.698,2.34,-6.19,0.00147,0.00054
148.2,53.705,2.41,-6.29,NaN,NaN
148.3,53.712,2.32,-6.31,0.00149,0.00062
148.4,53.719,2.13,-6.46,NaN,NaN
148.5,53.726,2.29,-6.18,0.00139,0.0006
148.6,53.733,2.38,-6.2,NaN,NaN
148.7,53.74,2.44,-6.24,0.00144,0.00063
148.8,53.747,2.36,-6.22,NaN,NaN
148.9,53.754,2.6,-6.1,0.00149,0.00063
149,53.761,2.74,-5.94,NaN,NaN
149.1,53.768,2.68,-6.18,0.00147,0.00068
149.2,53.775,2.83,-6.04,NaN,NaN
149.3,53.782,3.03,-5.9,0.00144,0.00064
149.4,53.789,3.15,-5.89,NaN,NaN
149.5,53.796,3.35,-5.94,0.00144,0.00062
149.6,53.803,3.63,-5.95,NaN,NaN
149.7,53.81,NaN,NaN,0.00155,0.0007
149.8,53.817,3.4,-5.91,NaN,NaN
149.9,53.823,3.21,-5.99,0.00147,0.00064
150,56.374,3.06,-6.19,NaN,NaN
