# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
14.1,10.163,1.97,-7.71,NaN,NaN
14.2,10.173,1.87,-7.77,0.00099,0.00032
14.3,10.183,1.7,-7.97,NaN,NaN
14.4,10.194,1.59,-8.07,0.00113,0.00033
14.5,10.204,1.77,-7.84,NaN,NaN
14.6,10.214,1.85,-7.7,0.0012,0.00031
14.7,10.225,1.77,-7.75,NaN,NaN
14.8,10.235,1.71,-7.58,0.00118,0.0003
14.9,10.245,1.78,-7.74,NaN,NaN
15,10.256,1.88,-7.59,0.00113,0.00038
15.1,10.266,1.93,-7.6,NaN,NaN
15.2,10.276,1.8,-7.44,0.00116,0.00029
15.3,10.287,1.69,-7.62,NaN,NaN
15.4,10.297,1.51,-7.58,0.00106,0.00023
15.5,10.307,1.57,-7.63,NaN,NaN
15.6,10.318,1.69,-7.58,0.0011,0.00042
15.7,10.328,1.7,-7.57,NaN,NaN
15.8,10.338,1.7,-7.69,0.00107,0.00026
15.9,10.349,1.65,-7.68,NaN,NaN
16,10.359,1.56,-7.65,0.00108,0.00037
16.1,10.369,1.71,-7.56,NaN,NaN
16.2,10.38,1.46,-7.73,0.00115,0.00024
16.3,10.39,1.62,-7.61,NaN,NaN
16.4,10.4,1.5,-7.75,0.00107,0.00033
16.5,10.411,1.48,-7.82,NaN,NaN
16.6,10.421,1.73,-7.81,0.001,0.00033
16.7,10.431,1.64,-7.87,NaN,NaN
16.8,10.442,1.69,-7.8,0.00103,0.00028
16.9,10.452,1.72,-7.87,NaN,NaN
17,10.462,1.63,-7.88,0.00103,0.00029
