# DESCRIPTION:
# Reference: Clemens, Steven; Yamamoto, Masanobu; Thirumalai, Kaustubh; Giosan, Liviu; Richey, Julie N.; Nilsson-Kerr, Katrina; Rosenthal, Yair; Anand, Pallavi; McGrath, Sarah M. 2021. Remote and Local Drivers of Pleistocene South Asian Summer Monsoon Precipitation: A Test for Future Predictions. Science Advances, 7(23), doi: 10.1126/sciadv.abg3848.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33213.
# Comment: Data was not modified in any way.

Age [ka BP],C. kullenbergi d18O [‰ PDB],C. kullenbergi d13C [‰ PDB]
9.3889,2.6529,-0.15155
9.4035,2.6564,-0.15266
9.418,2.6588,-0.15263
9.4326,2.6585,-0.15765
9.4472,2.6588,-0.15996
9.4618,2.6579,-0.16541
9.4764,2.6579,-0.168
9.4909,2.6593,-0.17007
9.5055,2.6599,-0.17149
9.5201,2.6606,-0.17027
9.5784,2.6653,-0.17418
9.593,2.6653,-0.17466
9.6076,2.6637,-0.1757
9.6222,2.6637,-0.1757
9.6368,2.6656,-0.17583
9.6513,2.6667,-0.1756
9.6659,2.6663,-0.17767
9.6805,2.668,-0.17829
9.6951,2.6658,-0.18069
9.7097,2.6652,-0.18439
9.7242,2.6653,-0.18495
9.7388,2.6681,-0.18802
9.7534,2.6702,-0.18954
9.768,2.6674,-0.19265
9.7826,2.6677,-0.19146
9.7971,2.6681,-0.19123
9.8117,2.6712,-0.19339
9.8263,2.6693,-0.19392
9.8409,2.67,-0.19559
9.8846,2.6695,-0.19672
9.9138,2.6687,-0.19823
9.9284,2.6683,-0.19714
9.943,2.6687,-0.19726
9.9575,2.6645,-0.19514
9.975,2.6633,-0.19154
10.001,2.6665,-0.19304
10.016,2.668,-0.19309
10.045,2.6705,-0.19302
10.06,2.6707,-0.19115
10.089,2.6771,-0.18671
10.103,2.6783,-0.18798
10.118,2.6775,-0.18787
10.191,2.6785,-0.17714
10.205,2.6782,-0.17666
10.22,2.6782,-0.17666
10.239,2.6765,-0.17776
10.257,2.6765,-0.17776
10.276,2.6759,-0.17934
10.295,2.6755,-0.1789
10.313,2.677,-0.18222
10.332,2.6735,-0.18228
10.351,2.6735,-0.18228
10.369,2.672,-0.18248
10.751,2.6851,-0.05542
10.938,2.7256,0.01332
11.108,2.7366,0.02826
11.246,2.7366,0.02826
12.015,2.5273,0.32718
12.442,2.9286,0.01365
12.568,2.8769,-0.04486
12.694,2.873,-0.0067
12.821,2.8615,-0.02741
12.947,2.8991,-0.06035
13.074,2.9028,-0.07246
13.2,2.9825,-0.04471
13.476,3.0477,-0.10331
13.628,3.0401,-0.12508
13.781,3.0615,-0.12537
13.933,3.0667,-0.12937
14.085,3.0513,-0.15224
14.698,2.8274,0.07293
14.985,2.9157,0.08587
15.043,2.9157,0.08587
15.158,2.9179,0.18146
15.215,2.9456,0.17793
15.445,3.071,0.21527
15.503,3.0635,0.2113
15.56,3.0896,0.21579
15.618,3.1031,0.26196
15.848,3.1847,0.19604
15.92,3.2124,0.17471
15.934,3.2138,0.19087
15.97,3.2097,0.17074
16.007,3.2383,0.17509
16.036,3.2383,0.17509
16.05,3.2383,0.17509
16.223,3.2951,0.16536
16.274,3.3359,0.14763
16.354,3.4105,0.11514
16.5,3.5029,0.12586
16.6,3.5345,0.12489
16.651,3.5962,0.08261
16.751,3.649,0.00406
17.079,3.7149,-0.06437
17.225,3.7286,-0.11392
17.462,3.7051,-0.07938
17.699,3.703,-0.05459
17.935,3.6862,-0.05077
18.172,3.6844,-0.0387
18.646,3.5636,-0.12755
18.883,3.5093,-0.15903
19.12,3.5693,-0.13528
19.357,3.5558,-0.1689
19.594,3.6272,-0.15124
19.83,3.63,-0.15859
20.067,3.6481,-0.13634
20.304,3.6743,-0.10824
20.541,3.6805,-0.02082
20.778,3.6737,-0.02869
21.015,3.6386,-0.02176
21.252,3.6154,-0.09744
