# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
131.4,60.731,-1.69,-16.85
131.3,60.811,-1.8,-16.88
131.2,60.891,-1.74,-16.89
131.1,60.972,-1.77,-16.93
131,61.052,-1.68,-16.93
130.9,61.132,-1.79,-16.91
130.8,61.212,-1.71,-16.96
130.7,61.293,-1.73,-17
130.6,61.373,-1.66,-16.82
130.5,61.453,-1.64,-16.83
130.4,61.534,-1.75,-16.66
130.3,61.614,-1.56,-16.83
130.2,61.694,-1.6,-16.84
130.1,61.775,-1.55,-16.67
130,61.855,-1.56,-16.95
129.9,61.935,-1.59,-16.93
129.8,62.016,-1.67,-16.89
129.7,62.096,-1.6,-16.92
129.6,62.176,-1.51,-16.73
129.5,62.254,-1.62,-16.86
129.4,62.331,-1.6,-16.86
129.3,62.408,-1.59,-16.85
129.2,62.485,-1.6,-16.86
129.1,62.562,-1.54,-16.93
129,62.639,-1.67,-16.89
128.9,62.716,-1.57,-16.8
128.8,62.793,-1.57,-16.8
128.7,62.87,-1.56,-16.54
128.6,62.947,-1.69,-16.79
128.5,63.07,-1.56,-16.78
128.4,63.204,-1.56,-16.85
128.3,63.338,-1.69,-16.86
128.2,63.472,-1.59,-16.83
128.1,63.606,-1.65,-16.83
128,63.74,-1.66,-16.8
127.9,63.873,-1.54,-16.89
127.8,64.007,-1.48,-16.77
127.7,64.141,-1.53,-16.65
127.6,64.275,-1.54,-16.61
127.5,64.407,-1.51,-16.7
