# DESCRIPTION:
# Reference: Prokopenko, A.A.,Hinnov, L.A.,Williams, D.F.,Kuzmin, M.I. 2006. Orbital forcing of continental climate during the Pleistocene: a complete astronomically tuned climatic record from Lake Baikal, SE Siberia. Quaternary Science Reviews, 25, 3431-3457. https://doi.org/10.1016/j.quascirev.2006.10.002.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6068. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Composite Depth [m],SP-tuned age [ka BP],Biogenic silica [%]
10.58,232.9,14.4
10.62,233.6,20.8
10.64,234,19.6
10.66,234.4,25.5
10.68,234.7,23.2
10.7,235.1,22.4
10.72,235.4,19.7
10.74,235.8,22.4
10.76,236.1,27.5
10.78,236.5,31.6
10.8,236.9,28.7
10.82,237.3,23.3
10.84,237.7,26.2
10.86,238.1,32.3
10.88,238.5,30.2
10.9,239,28.8
10.94,239.8,20.6
10.96,240.2,19.8
10.98,240.6,18.9
11,241,25
11.02,241.4,21.4
11.04,241.8,22.3
11.06,242.2,26.6
11.08,242.6,21.9
11.1,243.1,10.8
11.12,243.5,7.8
11.14,243.9,7.6
11.16,244.3,6.3
11.18,244.7,4.6
11.2,245.1,5.3
11.22,245.5,6
11.39,249,6.2
11.41,249.4,8.7
11.43,249.8,8.4
11.45,250.2,9.1
11.47,250.6,11.7
11.49,251,12.7
11.51,251.5,9.8
11.53,251.9,15.1
11.55,252.3,15.5
11.57,252.7,12.9
11.59,253.1,13.9
11.61,253.5,14.8
11.63,253.9,17
11.65,254.3,13.9
11.67,254.7,16
11.69,255.1,14.1
11.71,255.6,15.7
11.73,256,14.1
11.75,256.4,9.8
11.77,256.8,13.1
11.79,257.2,13.1
11.81,257.6,12.2
11.83,258,12.8
11.85,258.4,15.1
11.87,258.8,14.3
11.89,259.2,11.4
11.91,259.7,14.7
11.93,260.1,16.1
11.95,260.5,15
11.97,260.8,9.3
11.99,261.2,7.4
12.01,261.6,6.3
12.03,262,6.6
12.05,262.4,6.4
12.07,262.7,5.6
12.09,263.1,4.7
12.11,263.5,5.2
12.13,263.9,6.8
12.15,264.3,5.9
12.17,264.6,5.4
12.19,265,5.7
12.21,265.4,5.4
12.23,265.8,4.9
12.25,266.2,4.2
12.27,266.5,4
12.29,266.9,3.9
12.31,267.3,3.7
12.33,267.7,3.5
12.35,268.1,2.9
12.37,268.4,3.2
12.39,268.8,3
12.41,269.2,3
12.43,269.6,2.9
12.45,270,2.7
12.47,270.4,2.8
12.49,270.7,3.1
12.51,271.1,2.9
12.53,271.5,2.8
12.55,271.9,2.8
12.57,272.3,2.7
12.59,272.6,2.9
12.61,273,3
12.63,273.4,2.8
12.65,273.8,2.7
12.67,274.2,2.8
12.69,274.5,3.7
12.71,274.9,2.8
12.73,275.3,3.1
12.75,275.7,3
12.77,276.1,3.1
12.79,276.4,3
12.81,276.8,2.9
12.83,277.2,3
12.85,277.6,3.9
12.87,278,3
12.89,278.4,4.2
12.91,278.7,3.8
12.93,279.1,4.3
12.95,279.5,6.4
12.97,279.9,7.2
12.99,280.3,9.6
13.01,280.6,13.2
13.03,281,15.9
13.05,281.4,18.1
13.07,281.8,14.1
13.09,282.2,14.8
13.11,282.5,17.7
13.13,282.9,18.3
13.15,283.3,20.1
13.17,283.7,19
13.19,284.1,20.8
13.21,284.4,22.7
13.23,284.8,23.5
13.25,285.2,25.8
13.27,285.7,22.4
13.29,286.2,21.3
13.495,291.5,9
13.515,292,11.2
13.525,292.2,7.7
13.545,292.7,10.6
13.555,293,12.4
13.565,293.3,9.4
13.585,293.8,13.2
13.595,294,18.1
13.605,294.3,16.7
13.625,294.8,15.4
13.635,295.1,14.4
13.645,295.3,12.4
13.665,295.8,13.1
13.675,296.1,13.3
13.685,296.3,10
13.695,296.6,4.8
13.715,297.1,4.6
13.725,297.4,5.2
13.745,297.9,6
13.755,298.1,5.4
13.765,298.4,9
13.785,298.9,8
13.795,299.1,6.5
13.805,299.4,7
13.825,299.9,7.2
13.835,300.2,8.2
13.845,300.4,9.7
13.865,300.9,13.5
13.875,301.2,14.8
13.885,301.4,14.6
13.915,302.2,17.2
13.925,302.5,20.5
13.945,303,13.5
13.965,303.5,5.8
13.985,304,4.7
14.005,304.5,5.3
14.025,305,5.7
14.045,305.5,7.9
14.065,306,9.1
14.085,306.6,15.3
14.105,307.1,21.8
14.125,307.6,25.7
14.145,308,22.5
14.165,308.4,23.1
14.185,308.7,22.6
14.205,309.1,19.7
14.225,309.5,19.5
14.245,309.8,21.4
14.265,310.2,19.8
14.285,310.6,17.8
14.305,311,17.4
14.325,311.3,19.3
14.345,311.7,18.6
14.365,312.1,19.4
14.385,312.4,20.5
14.405,312.8,16.2
14.425,313.2,19.6
14.445,313.6,21.5
14.465,313.9,20.2
14.485,314.3,21.7
14.505,314.7,24.7
14.525,315,23.9
14.545,315.4,21.8
14.565,315.8,33.2
14.585,316.2,33.3
14.605,316.5,33.6
14.625,316.9,11.9
14.645,317.3,7.4
14.665,317.6,7.1
14.685,318,7.1
14.705,318.4,6.9
14.725,318.8,7.2
14.745,319.1,9.5
14.765,319.5,10.4
14.785,319.9,12.1
14.805,320.2,15.3
14.825,320.6,12.4
14.845,321,17.5
14.865,321.4,17.4
14.885,321.7,14.9
14.905,322.1,21.5
14.925,322.5,19.4
14.945,322.9,22.2
14.965,323.2,25.4
14.985,323.6,28.8
15.005,324,30.2
15.025,324.3,32.1
15.045,324.7,34.5
15.065,325.1,33.1
15.085,325.5,33.7
15.105,325.8,34.2
15.125,326.2,37
15.145,326.6,39.5
15.165,326.9,39.1
15.205,327.7,41.5
15.225,328.1,36.5
15.245,328.4,39.7
15.265,328.8,42.1
15.285,329.2,43
15.305,329.5,40
15.325,329.9,38.8
15.345,330.3,37.2
15.365,330.7,36.2
15.385,331,39.8
15.405,331.4,36.2
15.425,331.8,36.4
15.445,332.1,33.9
15.465,332.5,33.9
15.485,332.9,34.4
15.505,333.3,28.9
15.525,333.6,19.2
15.545,334,21.9
15.565,334.4,20.2
15.585,334.7,19.8
15.605,335.1,16.9
15.625,335.5,17.1
15.645,335.9,17.9
15.665,336.2,13.5
15.7,336.9,10.9
15.72,337.3,11.4
15.74,337.6,4.1
15.76,338,4.9
15.78,338.4,4.3
15.8,338.7,4.5
15.82,339.1,5.2
15.84,339.5,6.2
15.86,339.9,6
15.88,340.2,5
15.9,340.6,5.2
15.92,341,4.8
15.93,341.2,5.5
15.95,341.5,3.6
15.97,341.9,3.7
15.99,342.3,3.7
16.01,342.7,3.4
16.03,343,3.5
16.05,343.4,3.4
16.07,343.8,3.2
16.09,344.1,3.5
16.11,344.5,3.6
16.13,344.9,3.2
16.15,345.3,3.3
16.17,345.6,3.4
16.19,346,3.3
16.21,346.4,3.5
16.23,346.7,3.5
16.25,347.1,3.6
16.27,347.5,3.8
16.29,347.9,3.7
16.31,348.2,4
16.33,348.6,3.8
16.35,349,4.4
16.37,349.3,4.7
16.39,349.7,4
16.41,350.1,5.9
16.43,350.5,6.1
16.45,351,4.6
16.47,351.5,5
16.49,352.1,5
16.51,352.6,4.6
16.53,353.1,5.2
16.55,353.7,6.3
16.57,354.2,7
16.59,354.7,7
16.61,355.3,6.9
16.63,355.8,6.2
16.65,356.3,6.4
16.67,356.9,6
16.69,357.4,6
16.71,357.9,6.4
16.73,358.5,6
16.75,359,5.9
16.77,359.5,5.9
16.79,360.1,5.2
16.81,360.6,6.2
16.83,361.1,7.1
16.85,361.6,8.3
16.87,362.2,7
16.89,362.7,7
16.91,363.2,7.2
16.93,363.8,7
16.95,364.3,7
16.97,364.8,7.5
16.99,365.4,7.8
17.01,365.9,7.9
17.03,366.4,8.7
17.05,367,9.7
17.07,367.5,7
17.09,368,7.7
17.11,368.6,10
17.13,369.1,10.8
17.15,369.5,9.9
17.17,369.9,8.8
17.19,370.2,9.7
17.21,370.6,9
17.23,371,9.6
17.25,371.4,8.8
17.27,371.7,9.6
17.29,372.1,9
17.31,372.5,10.8
17.33,372.9,11.8
17.343,373.1,13.3
17.348,373.2,12.4
17.3615,373.4,8.5
17.3665,373.5,12
17.39,374,12.6
17.41,374.4,13.9
17.43,374.7,9.6
17.45,375.1,10.3
17.47,375.5,7.7
17.49,375.9,8.9
17.51,376.2,10.8
17.53,376.6,14.2
17.55,377,16.7
17.57,377.4,16.9
17.59,377.7,16.9
17.61,378.1,15.4
17.63,378.5,19.2
17.65,378.9,18.6
17.67,379.2,18.7
17.69,379.6,20.2
17.71,380,17.3
17.73,380.4,20.7
17.75,380.7,14.9
17.77,381.1,9.9
17.79,381.5,9.4
17.81,381.9,15.7
17.83,382.2,18.7
17.84,382.4,16.2
17.88,383.2,18.9
17.92,383.9,22.7
17.96,385,20.5
17.98,385.6,12.8
18,386.2,6.4
18.04,387.3,6.1
18.08,388.4,7.7
18.12,389.6,11.2
18.1425,390.2,11.1
18.1475,390.3,10.6
18.17,391,5.6
18.19,391.5,7.7
18.21,392.1,8.5
18.23,392.7,9.1
18.25,393.2,9.7
18.27,393.8,10.6
18.29,394.4,12.1
18.31,394.9,12.9
18.33,395.5,14.3
18.35,396.1,16.5
18.37,396.6,26.6
18.39,397.2,34.6
18.41,397.8,35
18.43,398.3,36.5
18.45,398.9,37
18.47,399.5,37.4
18.49,400,40.8
18.51,400.6,39.6
18.53,401.1,43.6
18.55,401.7,43.6
18.57,402.3,41.9
18.59,402.8,46
18.61,403.4,46.2
18.63,403.8,40.8
18.65,404.1,40.1
18.67,404.5,40.8
18.69,404.8,39.8
18.71,405.2,43.5
18.73,405.5,42.2
18.75,405.9,42
18.77,406.2,43.1
18.79,406.6,44.5
18.81,406.9,44.5
18.83,407.3,41
18.85,407.6,39.7
18.87,407.9,40.1
18.89,408.3,41
18.91,408.6,36.8
18.93,409,39.9
18.95,409.3,38.2
18.97,409.7,40.5
18.99,410,41
19.01,410.4,44.2
19.03,410.7,42.5
19.05,411.1,38.6
19.07,411.4,39.4
19.09,411.8,42.8
19.11,412.1,43.8
19.13,412.5,45.1
19.15,412.8,45.8
19.17,413.2,42.1
19.19,413.5,39.4
19.21,413.9,37.5
19.23,414.2,37.5
19.25,414.6,37.4
19.27,414.9,32.6
19.29,415.3,31.6
19.31,415.6,33.5
19.33,416,33.3
19.35,416.3,34.1
19.37,416.7,34.6
19.39,417,29.6
19.41,417.4,24
19.43,417.7,29.7
19.45,418.1,33
19.47,418.4,29.6
19.49,418.8,29.1
19.51,419.1,34.8
19.53,419.5,31.2
19.55,419.8,29.2
19.57,420.2,33.2
19.59,420.5,30.8
19.61,420.9,23.4
19.63,421.2,23.4
19.65,421.6,25.1
19.67,421.9,29.1
19.69,422.3,29.6
19.71,422.6,26.8
19.73,423,25.2
19.75,423.3,30.2
19.77,423.7,35.3
19.79,424,33.4
19.81,424.4,30.4
19.83,424.8,28.6
19.85,425.1,28.6
19.87,425.5,22.5
19.89,425.9,24.5
19.91,426.3,23.4
19.93,426.6,21.9
19.95,427,18.3
19.97,427.4,17.2
19.99,427.7,17.6
20.01,428.1,16.2
20.03,428.5,16.3
20.05,428.8,9
20.07,429.2,6.6
20.09,429.6,4.6
20.11,429.9,4.4
20.13,430.3,5.5
20.15,430.7,4.7
20.18,431.2,5
20.22,432,4.8
20.26,432.7,4.8
20.3,433.5,4.6
20.34,434.2,4.6
20.38,434.9,5.1
20.42,435.7,4.4
20.46,436.4,3.7
20.48,436.8,5.4
20.5,437.1,3.2
20.52,437.5,3.3
20.54,437.9,3.4
20.56,438.3,3.8
20.58,438.6,3.2
20.6,439,4.8
20.62,439.4,4.5
20.64,439.7,4.7
20.66,440.1,5.4
20.68,440.5,5.4
20.7,440.8,5.4
20.72,441.2,5.4
20.74,441.6,6.2
20.76,441.9,5.5
20.78,442.3,5.6
20.8,442.7,5.2
20.82,443.1,4.6
20.84,443.4,5
20.86,443.8,5.5
20.88,444.2,5.3
20.9,444.5,6.1
20.92,444.9,4.8
20.94,445.3,4.6
20.96,445.6,5
20.98,446,5.1
21,446.4,4.5
21.02,446.7,4.8
21.04,447.1,4.4
21.06,447.5,4.5
21.08,447.8,5.2
21.1,448.2,5.1
21.12,448.6,5.1
21.14,449,5.2
21.16,449.3,5.5
21.18,449.7,5.3
21.2,450.1,10.5
21.22,450.4,9.9
21.24,450.8,4
21.26,451.2,3
21.28,451.5,3.5
21.3,451.9,4.8
21.32,452.3,4.9
21.34,452.6,5.7
21.36,453,5.7
21.38,453.4,6.4
21.4,453.8,5.1
21.42,454.1,6.5
21.44,454.5,6.9
21.46,454.9,7.6
21.48,455.2,5.6
21.5,455.6,5.4
21.52,456,4.5
21.54,456.3,5.1
21.56,456.7,4.8
21.58,457.1,4.3
21.6,457.4,4.7
21.62,457.8,4.1
21.64,458.2,4.4
21.66,458.6,4.8
21.68,458.9,5.3
21.7,459.3,6.8
21.72,459.8,3
21.735,460.2,3.4
21.739,460.3,2.5
21.76,460.9,3.5
21.78,461.4,5.5
21.8,461.9,6.8
21.82,462.4,3.6
21.84,463,4.8
21.86,463.5,3.6
21.88,464,3.4
21.9,464.6,3.4
21.92,465.1,3.6
21.94,465.6,3.6
21.96,466.1,3.7
21.98,466.7,4
22,467.2,4.1
22.02,467.7,4.1
22.04,468.2,4.1
22.06,468.8,4.1
22.08,469.3,4.2
22.1,469.8,4.4
22.12,470.3,5.2
22.14,470.9,7
22.16,471.4,11.7
22.18,471.9,13.1
22.2,472.4,7.7
22.22,473,4.5
22.24,473.5,4.9
22.28,474.5,12
22.3,475.1,11.2
22.32,475.6,11.3
22.34,476.1,15.3
22.36,476.6,13.1
22.38,477.2,14.9
22.4,477.7,19.1
22.42,478.2,24.8
22.44,478.7,25.2
22.46,479.3,27
22.48,479.8,30
22.54,481.1,15.6
22.56,481.5,22.7
22.58,481.9,27.5
22.6,482.3,26
22.62,482.7,26.6
22.64,483.2,26.8
22.66,483.6,30.3
22.68,484,27.5
22.7,484.4,20.2
22.72,484.9,12.6
22.74,485.3,25.1
22.76,485.7,30.8
22.78,486.1,34
22.8,486.6,33.4
22.82,487,34.5
22.84,487.4,37.3
22.86,487.8,34.5
22.88,488.2,26.9
22.9,488.7,30.5
22.92,489.1,27.6
22.94,489.5,29.4
22.96,489.9,29.1
22.98,490.4,31.7
23,490.8,28.2
23.02,491.2,34.8
23.04,491.6,34.3
23.06,492,22.2
23.08,492.5,22.4
23.1,492.9,30.6
23.12,493.3,28.6
