# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Depth and Age are averages of their 'Top' and 'Bottom' values.

Depth (average) [m],WD2014 Age (average) [ka BP],ss Na [ng/b]
1351.35,6.34154,15.414
1351.45,6.34231,23.216
1351.55,6.343,26.8
1351.65,6.34367,37.569
1351.75,6.34453,16.241
1351.85,6.3454,18.306
1351.95,6.34606,10.778
1352.05,6.34671,25.492
1352.15,6.34734,29.575
1352.25,6.34794,17.29
1352.35,6.34852,24.038
1352.45,6.34908,11.076
1352.55,6.34962,13.316
1352.65,6.35028,16.245
1352.75,6.35104,16.053
1352.85,6.35177,12.267
1352.95,6.35244,29.424
1353.05,6.35308,12.577
1353.15,6.3537,19.665
1353.25,6.35431,20.249
1353.35,6.35493,16.968
1353.45,6.3556,18.029
1353.55,6.35624,10.008
1353.65,6.35683,23.264
1353.75,6.35748,17.808
1353.85,6.35815,20.742
1353.95,6.35876,25.928
1354.05,6.35933,26.526
1354.15,6.35988,7.703
1354.25,6.36047,25.709
1354.35,6.36114,12.952
1354.45,6.36187,20.68
1354.55,6.36249,36.35
1354.65,6.36317,13.467
1354.75,6.36403,13.098
1354.85,6.36484,11.872
1354.95,6.36547,57.066
1355.05,6.36608,26.319
1355.15,6.3668,13.802
1355.25,6.36749,35.532
1355.35,6.36809,13.659
1355.45,6.36867,22.36
1355.55,6.36932,11.236
1355.65,6.37006,10.48
1355.75,6.37077,15.123
1355.85,6.37142,22.78
1355.95,6.37205,19.551
1356.05,6.37272,20.961
1356.15,6.37333,12.222
1356.25,6.37389,21.586
1356.35,6.37453,16.687
1356.45,6.3752,19.591
1356.55,6.37584,15.619
1356.65,6.37661,28.457
1356.75,6.37748,41.554
1356.85,6.37821,19.104
1356.95,6.37882,11.858
1357.05,6.37954,18.78
1357.15,6.38033,27.085
1357.25,6.38108,19.089
1357.35,6.38178,16.68
1357.45,6.3824,36.227
1357.55,6.38305,18.325
1357.65,6.3838,19.777
1357.75,6.38446,22.453
1357.85,6.38502,12.11
1357.95,6.38561,16.912
1358.05,6.38631,16.549
1358.15,6.38702,13.976
1358.25,6.38759,16.106
1358.35,6.38831,8.585
1358.45,6.38912,13.38
1358.55,6.38975,15.1
1358.65,6.39035,23.402
1358.75,6.39096,9.358
1358.85,6.39157,36.109
1358.95,6.39216,30.542
1359.05,6.39273,13.1
1359.15,6.3934,14.346
1359.25,6.39416,18.601
1359.35,6.39488,9.231
1359.45,6.39549,11.276
1359.55,6.39603,17.273
1359.65,6.3966,22.449
1359.75,6.3973,13.778
1359.85,6.39803,8.949
1359.95,6.39858,16.057
1360.05,6.39908,22.348
1360.15,6.3996,27.908
1360.25,6.40017,12.661
1360.35,6.40077,21.418
1360.45,6.40138,21.537
1360.55,6.40197,10.922
1360.65,6.40252,40.057
1360.75,6.40308,7.725
1360.85,6.40368,10.079
1360.95,6.40433,10.353
1361.05,6.40497,10.538
1361.15,6.40551,28.874
1361.25,6.406,7.312
1361.35,6.40652,18.504
1361.45,6.40718,17.968
1361.55,6.40792,17.139
1361.65,6.40855,30.495
1361.75,6.40911,14.856
1361.85,6.40971,23.028
1361.95,6.41036,15.081
1362.05,6.41105,13.645
1362.15,6.41171,10.752
1362.25,6.41232,16.876
1362.35,6.41295,13.435
1362.45,6.41371,17.453
1362.55,6.41444,23.131
1362.65,6.41502,11.245
1362.75,6.41555,16.607
1362.85,6.4161,18.121
1362.95,6.41673,19.979
1363.05,6.41733,25.313
1363.15,6.41794,15.493
1363.25,6.41869,13.946
1363.35,6.41952,25.072
1363.45,6.42032,15.797
1363.55,6.42105,20.983
1363.65,6.42172,17.843
1363.75,6.42231,18.69
1363.85,6.42285,11.282
1363.95,6.42341,24.656
1364.05,6.42398,10.014
1364.15,6.42455,13.039
1364.25,6.42519,9.766
1364.35,6.42589,11.807
1364.45,6.42655,20.231
1364.55,6.42713,17.55
1364.65,6.42768,16.59
1364.75,6.42827,34.293
1364.85,6.4289,24.582
1364.95,6.42947,25.257
1365.05,6.43004,13.355
1365.15,6.43066,10.59
1365.25,6.43136,28.469
1365.35,6.4321,17.938
1365.45,6.43284,12.825
1365.55,6.43364,39.944
1365.65,6.43451,15.356
1365.75,6.43539,19.795
1365.85,6.4362,7.85
1365.95,6.43692,10.551
1366.05,6.43757,22.329
1366.15,6.43821,17.369
1366.25,6.43891,13.965
1366.35,6.43965,18.864
1366.45,6.44034,24.331
1366.55,6.44103,24.137
1366.65,6.44181,12.746
1366.75,6.44247,40.879
1366.85,6.44301,19.686
1366.95,6.44362,20.659
1367.05,6.44424,15.659
1367.15,6.44483,23.575
1367.25,6.44547,23.667
1367.35,6.44611,5.012
1367.45,6.44667,12.652
1367.55,6.44726,15.271
1367.65,6.44793,9.716
1367.75,6.44865,13.887
1367.85,6.44938,22.612
1367.95,6.45007,17.824
1368.05,6.45073,14.203
1368.15,6.45136,16.539
1368.25,6.45198,17.799
1368.35,6.45262,17.062
1368.45,6.45322,25.665
1368.55,6.45376,15.522
1368.65,6.45432,16.234
1368.75,6.45492,18.644
1368.85,6.45561,22.61
1368.95,6.4565,12.784
1369.05,6.45732,42.707
1369.15,6.45793,19.696
1369.25,6.45857,14.598
1369.35,6.45918,9.549
1369.45,6.45972,18.715
1369.55,6.46029,19.774
1369.65,6.4609,16.235
