/* DESCRIPTION:
Reference:	Barbante, Carlo; Barnola, Jean-Marc; Becagli, Silvia; Beer, Jürg; Bigler, Matthias; Boutron, Claude F; Blunier, Thomas; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Debret, Maxime; Delmonte, Barbara; Dick, Dorothee; Falourd, Sonia; Faria, Sérgio H; Federer, Urs; Fischer, Hubertus; Freitag, Johannes; Frenzel, Andreas; Fritzsche, Diedrich; Fundel, Felix; Gabrielli, Paolo; Gaspari, Vania; Gersonde, Rainer; Graf, Wolfgang; Grigoriev, Dimitri; Hamann, Ilka; Hansson, Margareta E; Hoffmann, Georg; Hutterli, Manuel A; Huybrechts, Philippe; Isaksson, Elisabeth; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaczmarska, Marzena; Karlin, Torbjörn; Kaufmann, Patrik R; Kipfstuhl, Sepp; Kohno, Mika; Lambert, Fabrice; Lambrecht, Anja; Lambrecht, Astrid; Landais, Amaelle; Lawer, Gunther; Leuenberger, Markus Christian; Littot, Geneviève C; Loulergue, Laetitia; Lüthi, Dieter; Maggi, Valter; Marino, Federica; Masson-Delmotte, Valerie; Meyer, Hanno; Miller, Heinz; Mulvaney, Robert; Narcisi, Biancamaria; Oerlemans, Johannes; Oerter, Hans; Parrenin, Frédéric; Petit, Jean-Robert; Raisbeck, Grant M; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Rybak, Oleg; Severi, Mirko; Schmitt, Jochen; Schwander, Jakob; Siegenthaler, Urs; Siggaard-Andersen, Marie-Louise; Spahni, Renato; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Traversi, Rita; Udisti, Roberto; Valero Delgado, Fernando; van den Broeke, Michiel R; van de Wal, Roderik S W; Wagenbach, Dietmar; Wegner, Anna; Weiler, Karin; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric W (2006): One-to-one coupling of glacial climate variability in Greenland and Antarctica. Nature, 444, 195-198, https://doi.org/10.1038/nature05301
Data from:	https://doi.org/10.1594/PANGAEA.754444. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	Altitude cor [m] (Altitude difference for EDML ...)
12.305	-45.03	45.93
12.3175	-46.23	46.16
12.3305	-45.55	46.36
12.343	-45.53	46.57
12.3555	-46.26	46.79
12.368	-45.84	47
12.38	-46.11	47.21
12.392	-45.43	47.42
12.404	-45.31	47.62
12.416	-45.58	47.83
12.428	-46.19	48.03
12.44	-46.2	48.23
12.4515	-46.03	48.43
12.463	-46.33	48.63
12.4745	-45.73	48.83
12.486	-45.26	49.03
12.4985	-46.46	49.22
12.511	-46.08	49.43
12.524	-46.08	49.63
12.5375	-46.28	49.83
12.5505	-46.23	50.03
12.564	-46.66	50.23
12.578	-46.95	50.43
12.592	-46.66	50.63
12.606	-45.05	50.82
12.62	-45.63	51
12.634	-46.54	51.19
12.648	-46.28	51.37
12.6615	-46.49	51.56
12.675	-47.05	51.74
12.689	-46.86	51.93
12.703	-46.04	52.11
12.717	-46.43	52.29
12.731	-45.85	52.47
12.745	-46.3	52.66
12.7605	-46.52	52.84
12.777	-48.14	53.03
12.7935	-46.57	53.23
12.811	-45.74	53.44
12.8275	-45.74	53.64
12.8425	-45.94	53.84
12.857	-46.31	54.04
12.8705	-46.53	54.23
12.884	-46.75	54.37
12.898	-46.62	54.5
12.912	-46.68	54.64
12.9265	-47.73	54.77
12.9415	-47.06	54.91
12.956	-47.14	55.05
12.9705	-46.15	55.18
12.985	-47.27	55.32
12.999	-46.47	55.46
13.013	-46.99	55.6
13.027	-46.46	55.74
13.0405	-46.79	55.88
13.054	-46.54	56.02
13.068	-46.83	56.18
13.082	-47.11	56.38
13.096	-47.43	56.57
13.1105	-46.53	56.76
13.125	-45.22	56.96
13.139	-46.1	57.15
13.1525	-46.68	57.34
13.1655	-46.39	57.53
13.1785	-46.21	57.72
13.1915	-46.24	57.91
13.2045	-46.58	58.1
13.2175	-46.36	58.29
13.2305	-45.76	58.48
13.2435	-46.04	58.66
13.2565	-45.76	58.85
13.269	-45.72	59
13.2815	-46.67	59.15
13.294	-46.64	59.3
13.3065	-46.72	59.45
13.3195	-46.22	59.6
13.3325	-47.03	59.75
13.3455	-46.21	59.9
13.359	-46.72	60.05
13.373	-46.46	60.21
13.387	-46.84	60.37
13.401	-46.78	60.53
13.415	-47.1	60.69
13.429	-46.53	60.85
13.443	-46.83	61.02
13.457	-45.81	61.17
13.471	-45.38	61.33
13.4845	-45.47	61.49
13.4975	-46.39	61.65
13.5105	-46.79	61.81
13.523	-46.1	61.97
13.5355	-47.23	62.13
13.549	-47.39	62.28
13.5625	-46.59	62.5
13.576	-46.41	62.72
13.5905	-47.63	62.94
13.605	-46.53	63.16
13.6195	-47.04	63.38
13.6345	-46.51	63.59
13.649	-47.02	63.81
13.6635	-47.01	64
13.6785	-46.27	64.19
13.693	-47.08	64.39
13.707	-46.69	64.58
13.7215	-45.65	64.77
13.736	-46.92	64.96
13.7505	-47.03	65.13
13.765	-47.01	65.28
13.779	-47.43	65.42
13.7925	-48.33	65.56
13.806	-47.92	65.7
13.82	-46.87	65.84
13.8335	-47.58	65.98
13.847	-45.37	66.13
13.861	-47.26	66.31
13.8755	-46.41	66.49
13.8905	-46.57	66.66
13.905	-45.77	66.84
13.919	-46.01	67.02
13.9325	-46.32	67.2
13.946	-45.96	67.37
13.959	-47.17	67.54
13.9715	-47.34	67.7
13.984	-45.98	67.86
13.996	-46.87	68.03
14.009	-47.13	68.19
14.0225	-47.31	68.36
14.0355	-45.47	68.52
14.049	-46.88	68.7
14.063	-45.37	68.91
14.077	-46.4	69.11
14.091	-45.76	69.32
14.1045	-47.16	69.52
14.1175	-47.34	69.72
14.1305	-45.45	69.93
14.143	-45.26	70.13
14.1555	-46.34	70.36
14.168	-45.4	70.58
14.1805	-46.54	70.81
14.1935	-44.93	71.03
14.2065	-46.26	71.25
14.219	-44.64	71.48
14.2315	-46.06	71.7
14.243	-46.08	71.92
14.2535	-46.35	72.11
14.2645	-45.61	72.3
14.2755	-46.61	72.48
14.2865	-46.93	72.67
14.2975	-45.58	72.85
14.3085	-47.02	73.04
14.32	-45.96	73.23
14.3315	-46.13	73.41
14.3425	-46.34	73.6
14.354	-46.9	73.83
14.366	-47.14	74.06
14.378	-46.67	74.29
14.3905	-46.07	74.52
14.4035	-46.64	74.75
14.4165	-45.85	74.98
14.4285	-45.57	75.21
14.44	-45.37	75.44
14.4515	-45.55	75.63
14.4625	-46.56	75.81
14.474	-44.85	75.99
14.486	-46.91	76.17
14.498	-45.67	76.36
14.51	-46.17	76.54
14.522	-45.79	76.72
14.5335	-45.77	76.9
14.545	-45.8	77.08
14.557	-46.71	77.23
14.569	-46.54	77.39
14.581	-46.19	77.55
14.5935	-46.59	77.71
14.606	-46.26	77.87
14.619	-46.78	78.03
14.6325	-45.7	78.19
14.6455	-45.32	78.39
14.659	-46.16	78.62
14.6725	-46.85	78.85
14.6855	-45.46	79.09
14.698	-45.14	79.32
14.71	-46.79	79.55
14.7215	-47.59	79.79
14.732	-46.57	80.02
14.743	-45.84	80.25
14.755	-46.13	80.48
14.767	-46.34	80.71
14.779	-46.23	80.93
14.791	-46.72	81.16
14.803	-45.99	81.39
14.815	-46.64	81.61
14.827	-47.13	81.84
14.8395	-46.51	82.06
14.852	-46.02	82.27
14.864	-45.4	82.48
14.876	-45.67	82.69
14.8885	-46.03	82.9
14.9015	-46.46	83.11
14.9145	-46.46	83.32
14.9275	-46.32	83.53
14.94	-46.26	83.74
14.9515	-47.04	83.95
14.963	-47.06	84.15
14.9745	-47.39	84.36
14.987	-46.87	84.57
15.0005	-47.13	84.77
15.0135	-46.32	84.98
15.0265	-46.71	85.19
15.0395	-46.14	85.4
15.0525	-46.91	85.62
15.065	-47.14	85.84
15.0775	-47.35	86.07
15.09	-46.48	86.29
15.1025	-46.07	86.52
15.1155	-47.07	86.74
15.128	-46.56	86.96
15.1405	-46.72	87.19
15.1535	-46.48	87.44
15.1665	-46.78	87.68
15.1795	-46.08	87.92
15.1925	-46.86	88.17
15.2055	-46.85	88.42
15.219	-45.64	88.66
15.233	-46.58	88.9
15.2465	-46.91	89.13
15.26	-45.84	89.35
15.274	-46.86	89.58
15.2875	-46.72	89.8
15.301	-47.7	90.02
15.3145	-47.19	90.25
15.328	-47.02	90.47
15.3415	-46.05	90.68
15.355	-45.52	90.88
15.3685	-46.27	91.08
15.382	-46.95	91.28
15.3955	-46.75	91.47
15.408	-46.71	91.67
15.4205	-46.9	91.87
15.4335	-47.13	92.06
15.446	-47.02	92.26
15.4585	-46.36	92.46
15.472	-47.42	92.66
15.4855	-45.93	92.86
15.4985	-46.51	93.06
15.5115	-46.61	93.26
15.5245	-47.24	93.46
15.5375	-46.74	93.65
15.551	-46.74	93.85
15.5645	-46.76	94.05
15.578	-46.69	94.24
15.5915	-46.25	94.44
15.6045	-46.16	94.64
15.6175	-47.16	94.83
15.63	-46.11	95.03
15.6425	-46.47	95.23
15.6555	-46.74	95.44
15.6685	-47.93	95.64
15.6815	-46.58	95.84
15.6945	-45.98	96.04
15.7075	-46.46	96.25
15.7205	-46.64	96.45
15.7335	-47.1	96.65
15.747	-46.14	96.81
15.7605	-45.74	96.97
15.774	-46.75	97.12
15.7875	-45.75	97.28
15.801	-46.54	97.44
15.815	-47.88	97.6
15.8285	-47.63	97.76
15.842	-48.2	97.89
15.8555	-48.38	98.02
15.869	-47.02	98.14
15.883	-46.95	98.27
15.897	-46.86	98.39
15.911	-47.1	98.51
15.925	-47.32	98.63
15.939	-47.88	98.74
15.9535	-47.97	98.81
15.9685	-47.23	98.88
15.9835	-47.39	98.95
15.999	-47.65	99.02
16.0145	-48.51	99.09
16.0295	-48.1	99.16
16.0445	-47.69	99.27
16.059	-48.52	99.4
16.0735	-47.89	99.52
16.088	-48.04	99.64
16.102	-47.29	99.77
16.116	-47.39	99.89
16.13	-47.52	100.01
16.144	-48.13	100.17
16.158	-48.28	100.34
16.1725	-47.2	100.51
16.1875	-48.94	100.67
16.2025	-47.38	100.84
16.2175	-48.46	101.01
16.233	-48.39	101.17
16.2485	-46.83	101.31
16.2635	-45.81	101.44
16.2785	-47.22	101.58
16.2935	-47.69	101.71
16.308	-47.88	101.85
16.323	-48.51	101.98
16.3385	-49.47	102.11
16.354	-47.11	102.22
16.3695	-48.07	102.34
16.3845	-49.36	102.45
16.4	-48.5	102.57
16.4155	-48.43	102.69
16.431	-47.49	102.8
16.4475	-48.26	102.94
16.464	-48.47	103.08
16.48	-49.1	103.22
16.4965	-47.99	103.36
16.513	-48.55	103.5
16.529	-47.18	103.64
16.5445	-48.17	103.74
16.56	-49.22	103.84
16.5755	-47.71	103.93
16.5905	-48.33	104.03
16.606	-49.22	104.13
16.6215	-48.58	104.23
16.637	-47.55	104.31
16.653	-49.09	104.39
16.669	-49.74	104.47
16.6855	-49.02	104.55
16.702	-48.18	104.63
16.718	-49.02	104.71
16.7345	-49.17	104.79
16.751	-49.3	104.89
16.768	-48.66	104.98
16.7855	-48.97	105.07
16.803	-48.7	105.16
16.8215	-49.03	105.25
16.8405	-49.17	105.38
16.8595	-48.44	105.51
16.878	-48.09	105.64
16.896	-48.58	105.76
16.9135	-48.22	105.89
16.9305	-49.17	106.01
16.948	-48.66	106.12
16.9655	-48.22	106.23
16.9825	-48.97	106.34
16.9995	-47.89	106.45
17.0165	-49.71	106.55
17.0335	-48.36	106.66
17.051	-49	106.76
17.0685	-49.4	106.86
17.0855	-48.84	106.97
17.1025	-49.07	107.07
17.12	-48.63	107.17
17.1385	-48.63	107.31
17.157	-49.33	107.44
17.175	-49.06	107.57
17.193	-48.85	107.71
17.211	-48.68	107.84
17.229	-49.37	107.97
17.247	-48.19	108.08
17.265	-48.33	108.2
17.2835	-48.7	108.31
17.302	-49.09	108.43
17.3205	-49.72	108.54
17.3395	-49.56	108.58
17.3585	-50.22	108.62
17.3785	-49.93	108.67
17.399	-50.48	108.71
17.419	-48.87	108.75
17.4395	-50.26	108.76
17.46	-49.7	108.76
17.48	-50.06	108.77
17.5005	-49.58	108.78
17.5215	-49.41	108.78
17.5415	-49.63	108.76
17.5605	-49.93	108.75
17.5795	-49.45	108.74
17.5985	-50.92	108.72
17.618	-49.78	108.71
17.638	-49.31	108.7
17.658	-50.06	108.68
17.6785	-49.54	108.67
17.699	-49.39	108.66
17.719	-49.11	108.64
17.739	-50.23	108.62
17.759	-50.16	108.59
17.7795	-49.45	108.56
17.8	-49.86	108.54
17.821	-49.84	108.5
17.8425	-50.22	108.45
17.864	-50.55	108.39
17.8855	-50.26	108.34
17.9065	-49.8	108.29
17.9275	-50.01	108.25
17.948	-49.95	108.23
17.9685	-50.08	108.2
17.9895	-49.58	108.17
18.01	-50.17	108.14
18.0305	-49.57	108.14
18.051	-48.7	108.14
18.072	-49.17	108.14
18.0935	-49.48	108.14
18.1145	-48.52	108.14
18.136	-48.78	108.12
18.1575	-49.72	108.11
18.179	-49.22	108.09
18.201	-50.14	108.08
18.2225	-49.02	108.07
18.244	-49.14	108.06
18.266	-49.36	108.06
18.2885	-49.17	108.05
18.311	-49.45	108.05
18.334	-50.28	108.02
18.3575	-49.58	107.98
18.3795	-50.25	107.95
18.4005	-50.16	107.92
18.422	-51.25	107.88
18.444	-49.82	107.84
18.4655	-50.21	107.8
18.487	-49.57	107.76
18.5095	-50.83	107.73
18.5325	-50.45	107.71
18.5555	-50.77	107.69
18.578	-50.04	107.68
18.6005	-50.11	107.66
18.6235	-49.68	107.69
18.6465	-50.27	107.72
18.6695	-50.36	107.75
18.692	-49.98	107.79
18.7145	-48.62	107.9
18.7375	-50.39	108.08
18.7605	-51.02	108.26
18.7835	-49.78	108.43
18.8065	-50.28	108.58
18.8295	-51.02	108.61
18.853	-49.61	108.64
18.8765	-50.07	108.67
18.899	-49.16	108.7
18.9215	-48.25	108.71
18.944	-50.04	108.73
18.9675	-50.07	108.74
18.992	-50.25	108.76
19.016	-49.4	108.78
19.0395	-49.79	108.81
19.0625	-49.79	108.84
19.085	-49.43	108.88
19.1075	-49.95	108.91
19.1305	-49.09	108.95
19.153	-50.12	108.99
19.1755	-49.71	109.03
19.197	-49.68	109.07
19.217	-48.95	109.13
19.2385	-49.82	109.18
19.2615	-50.82	109.24
19.284	-48.52	109.29
19.3065	-49.34	109.33
19.3295	-48.66	109.36
19.3525	-50.47	109.39
19.3755	-50.17	109.42
19.3985	-49.64	109.44
19.4215	-49.33	109.44
19.4445	-49.87	109.43
19.4675	-50.07	109.43
19.491	-50.07	109.43
19.515	-51.58	109.5
19.539	-49.41	109.57
19.5625	-49.54	109.65
19.5855	-49.75	109.73
19.6095	-48.89	109.81
19.634	-49.25	109.9
19.658	-50.18	109.99
19.682	-49.46	110.07
19.705	-49.34	110.16
19.7275	-51.29	110.25
19.75	-50.71	110.35
19.772	-49.83	110.44
19.794	-50	110.52
19.816	-49.88	110.55
19.8395	-49.46	110.57
19.864	-50.23	110.6
19.889	-48.74	110.63
19.915	-50.17	110.61
19.94	-49.38	110.6
19.964	-50.68	110.58
19.987	-49.47	110.56
20.0085	-50.9	110.56
20.0325	-49.99	110.57
20.059	-49.86	110.57
20.085	-49.46	110.58
20.1115	-50.18	110.59
20.1365	-49.51	110.6
20.1595	-49.74	110.62
20.182	-50.2	110.63
20.204	-49.49	110.65
20.226	-49.47	110.67
20.2475	-50.55	110.68
20.2695	-49.37	110.7
20.2925	-49.97	110.72
20.3155	-49.74	110.76
20.338	-49.47	110.81
20.3605	-49.23	110.86
20.384	-48.36	110.9
20.4075	-50.04	110.91
20.431	-49.72	110.9
20.454	-50.38	110.88
20.4765	-50.05	110.87
20.499	-50.15	110.84
20.521	-49.45	110.78
20.544	-51.74	110.72
20.568	-50.99	110.66
20.5925	-49.66	110.61
20.6175	-50.15	110.56
20.644	-50.08	110.52
20.672	-49.48	110.47
20.7	-49.22	110.39
20.7285	-50.71	110.25
20.757	-49.95	110.1
20.785	-50.62	109.95
20.8125	-50.66	109.78
20.8395	-50.84	109.6
20.866	-50.66	109.42
20.892	-50.48	109.24
20.918	-50.77	109.18
20.9435	-49.71	109.13
20.969	-50.01	109.07
20.9955	-49.7	109.03
21.0215	-48.89	109.04
21.0465	-50.44	109.05
21.0715	-49.76	109.05
21.0965	-50.66	109.07
21.121	-50.26	109.12
21.145	-49.07	109.16
21.1695	-50.71	109.21
21.194	-48.93	109.25
21.219	-49.06	109.26
21.245	-50.15	109.27
21.271	-49.99	109.28
21.2965	-49.83	109.28
21.321	-50.52	109.24
21.345	-49.94	109.2
21.3685	-50.44	109.16
21.391	-50.82	109.12
21.414	-50.51	109.11
21.4375	-51.11	109.09
21.461	-50.13	109.08
21.4855	-50.05	109.06
21.51	-50.29	109.05
21.534	-49.95	109.04
21.558	-49.58	109.02
21.5815	-49.68	109.01
21.605	-50.96	108.99
21.629	-50.79	108.96
21.653	-50.99	108.94
21.677	-49.57	108.91
21.7005	-51.21	108.89
21.723	-49.98	108.87
21.745	-51.19	108.85
21.7665	-48.99	108.83
21.7875	-50.42	108.81
21.8085	-50.94	108.79
21.8295	-50.13	108.77
21.85	-50.44	108.75
21.871	-50.09	108.73
21.893	-50.62	108.72
21.9145	-50.71	108.7
21.936	-50.24	108.69
21.958	-50.81	108.67
21.98	-50.26	108.68
22.0025	-49.84	108.71
22.025	-50.67	108.73
22.0475	-49.83	108.75
22.0705	-50.22	108.8
22.0935	-50.25	108.86
22.117	-49.96	108.93
22.141	-49.65	109
22.165	-50.13	109.07
22.188	-50.47	109.14
22.2105	-50.99	109.21
22.234	-49.71	109.28
22.2575	-50.77	109.32
22.282	-50.28	109.27
22.3075	-50.39	109.23
22.332	-50.72	109.19
22.3555	-51.09	109.15
22.3785	-50.44	109.11
22.401	-50.28	109.07
22.424	-51.17	109.04
22.4475	-50.48	109
22.471	-49.66	108.96
22.4945	-49.21	108.93
22.5175	-50.36	108.89
22.54	-50.42	108.85
22.563	-50.52	108.8
22.5865	-49.71	108.74
22.61	-50.73	108.67
22.634	-50.86	108.6
22.6575	-50.56	108.54
22.681	-50.36	108.51
22.705	-50.5	108.48
22.729	-50.11	108.44
22.7525	-49.38	108.41
22.776	-49.83	108.37
22.8	-50.48	108.33
22.8235	-50.37	108.29
22.847	-50.23	108.25
22.8705	-49.28	108.19
22.894	-50.75	108.13
22.9175	-51.01	108.07
22.9405	-49.9	108
22.9635	-50.55	107.96
22.986	-50.18	107.93
23.008	-49.91	107.9
23.03	-49	107.87
23.0515	-50.88	107.84
23.0725	-50.25	107.84
23.0935	-49.32	107.84
23.114	-49.88	107.84
23.1345	-48.95	107.84
23.1555	-49.97	107.84
23.1765	-49.86	107.85
23.1975	-49.02	107.86
23.2185	-49.87	107.87
23.2395	-48.95	107.88
23.2605	-49.26	107.83
23.2815	-49.71	107.79
23.3025	-49.02	107.74
23.3235	-50.07	107.7
23.3445	-49.19	107.62
23.365	-50.25	107.54
23.385	-49.67	107.46
23.4045	-49.26	107.37
23.424	-49.64	107.33
23.4435	-49.91	107.37
23.463	-49.87	107.41
23.483	-48.69	107.45
23.5025	-49.64	107.48
23.5215	-48.58	107.52
23.5405	-50.35	107.56
23.56	-48.88	107.6
23.58	-48.99	107.63
23.6	-50.73	107.67
23.6195	-49.22	107.7
23.639	-49.63	107.74
23.659	-49.09	107.77
23.679	-49.78	107.81
23.699	-50.06	107.85
23.7195	-49.56	107.89
23.7405	-50	107.93
23.762	-48.98	107.96
23.7845	-49.73	107.94
23.8075	-49.53	107.91
23.831	-51.2	107.87
23.8545	-50.08	107.84
23.877	-49.96	107.8
23.899	-50.85	107.75
23.921	-49.91	107.7
23.943	-50.04	107.65
23.9645	-50.73	107.6
23.9855	-50.76	107.54
24.0065	-50.01	107.48
24.0285	-49.56	107.42
24.051	-50.63	107.35
24.073	-51.08	107.27
24.0945	-51.24	107.19
24.115	-50.84	107.11
24.1355	-50.43	107.03
24.156	-50.19	106.93
24.176	-50.76	106.82
24.196	-51.16	106.71
24.216	-50.42	106.6
24.236	-50.89	106.51
24.256	-51.4	106.44
24.277	-50.42	106.36
24.2985	-50.5	106.29
24.3195	-50.73	106.21
24.341	-49.74	106.13
24.3625	-50.67	106.04
24.384	-50.58	105.96
24.406	-50.45	105.87
24.428	-50.81	105.78
24.4495	-50.89	105.68
24.4705	-51.17	105.58
24.4905	-51.11	105.48
24.5095	-50.73	105.43
24.529	-50.56	105.4
24.5495	-49.88	105.37
24.571	-51.01	105.33
24.593	-50.22	105.28
24.615	-49.6	105.21
24.6375	-50.81	105.14
24.66	-51.82	105.08
24.682	-51	104.96
24.7035	-50.43	104.78
24.725	-51.38	104.59
24.7465	-50.24	104.4
24.7675	-51.36	104.22
24.7885	-51.08	104.07
24.809	-51.06	103.91
24.829	-49.8	103.76
24.849	-49.67	103.6
24.869	-50.71	103.41
24.8895	-51	103.23
24.91	-50.61	103.04
24.9295	-51.33	102.86
24.949	-50.79	102.68
24.9685	-51.56	102.51
24.9885	-50.28	102.34
25.009	-50.8	102.17
25.029	-50.37	102.02
25.049	-50.16	101.88
25.069	-49.27	101.74
25.089	-50.61	101.61
25.109	-50.17	101.45
25.1285	-50.52	101.29
25.1475	-51.46	101.12
25.1665	-50.37	100.96
25.1855	-50.49	100.79
25.2045	-49.94	100.62
25.224	-50.98	100.45
25.244	-50.24	100.28
25.264	-49.92	100.1
25.284	-50.48	99.89
25.3045	-50.98	99.69
25.3255	-50.52	99.49
25.346	-50.86	99.28
25.366	-52.22	99.09
25.386	-50.59	98.9
25.406	-50.25	98.71
25.426	-49.96	98.51
25.446	-50.59	98.31
25.466	-50.35	98.09
25.486	-51.13	97.88
25.5065	-50.15	97.67
25.527	-51.3	97.45
25.547	-50.78	97.23
25.567	-50.79	97.01
25.5875	-50.16	96.79
25.608	-51.11	96.56
25.6285	-50.86	96.33
25.649	-50.29	96.1
25.6695	-50.2	95.87
25.6905	-51.27	95.64
25.7115	-50.41	95.37
25.733	-50.95	95.1
25.7545	-51.22	94.83
25.776	-50.73	94.56
25.798	-50.36	94.26
25.82	-51.1	93.96
25.842	-50.93	93.66
25.8645	-49.91	93.36
25.8865	-50.84	93.03
25.908	-50.73	92.7
25.929	-52.04	92.37
25.949	-50.75	92.03
25.9695	-49.95	91.73
25.99	-49.82	91.48
26.0105	-50.38	91.22
26.0315	-50.3	90.96
26.0515	-50.55	90.72
26.071	-50.94	90.5
26.0905	-50.97	90.29
26.11	-51.44	90.08
26.13	-49.88	89.87
26.15	-49.67	89.69
26.17	-50.54	89.52
26.19	-49.86	89.35
26.21	-49.71	89.17
26.2295	-49.52	88.95
26.2495	-49.91	88.73
26.27	-50.08	88.52
26.2905	-50.64	88.3
26.3115	-51.26	88.08
26.332	-50.46	87.86
26.352	-50.27	87.64
26.3715	-51.02	87.42
26.3905	-50.32	87.19
26.41	-49.15	86.95
26.43	-50.97	86.71
26.4505	-50.49	86.47
26.4715	-51.34	86.23
26.4925	-50.31	85.99
26.5135	-51.09	85.75
26.535	-50.01	85.51
26.557	-50.99	85.27
26.5795	-50.44	85.02
26.6025	-50.44	84.76
26.626	-50.69	84.51
26.65	-52.84	84.26
26.674	-49.89	84
26.698	-50.11	83.75
26.7215	-50.93	83.49
26.7445	-50.46	83.23
26.7675	-52.05	82.98
26.7905	-51.6	82.73
26.8135	-50.33	82.49
26.8365	-49.69	82.24
26.86	-51.03	82
26.884	-50.57	81.76
26.908	-52.02	81.52
26.932	-51.07	81.29
26.956	-49.86	81.06
26.98	-49.83	80.82
27.004	-50.74	80.58
27.028	-50.57	80.35
27.052	-51.16	80.11
27.076	-50.75	79.87
27.1	-50.37	79.66
27.124	-50.29	79.47
27.148	-50.65	79.28
27.1715	-50.03	79.08
27.194	-50.09	78.89
27.216	-50.16	78.72
27.238	-50.73	78.54
27.2595	-50.61	78.37
27.2805	-49.4	78.2
27.3015	-51.26	78.06
27.322	-49.18	77.94
27.342	-48.92	77.82
27.362	-49.53	77.7
27.382	-50.04	77.58
27.4025	-49.08	77.45
27.4235	-49.61	77.33
27.444	-49.7	77.2
27.4645	-49.41	77.07
27.486	-49.69	76.95
27.508	-49.51	76.83
27.5325	-49.51	76.71
27.559	-49.65	76.59
27.584	-49.27	76.49
27.608	-49.54	76.41
27.6305	-48.49	76.32
27.6515	-48.49	76.23
27.672	-49.22	76.11
27.6925	-49.77	75.98
27.7135	-48.4	75.85
27.7345	-50.18	75.72
27.7565	-48.97	75.57
27.7795	-49.18	75.35
27.8025	-49.86	75.14
27.826	-49.22	74.92
27.85	-49.41	74.71
27.8735	-49.17	74.54
27.897	-49.52	74.43
27.9205	-49.75	74.32
27.9445	-48.27	74.21
27.9695	-48.82	74.1
27.995	-50.03	73.98
28.0215	-49.36	73.86
28.0485	-49.75	73.74
28.0755	-49.73	73.62
28.102	-49.95	73.44
28.128	-48.86	73.22
28.155	-50.29	73
28.1825	-50.47	72.78
28.2105	-50.46	72.48
28.239	-49.45	72.02
28.2665	-49.74	71.56
28.294	-49	71.1
28.3215	-49.66	70.64
28.349	-50.37	70.62
28.376	-49.51	70.59
28.4025	-49.54	70.57
28.429	-48.5	70.54
28.455	-48.43	70.54
28.4815	-48.78	70.56
28.509	-48.96	70.59
28.5365	-48.76	70.61
28.5635	-48.94	70.63
28.5905	-48.4	70.7
28.618	-48.24	70.76
28.646	-47.75	70.83
28.674	-47.59	70.89
28.702	-49.46	70.94
28.7305	-48.04	70.96
28.7585	-49.13	70.99
28.786	-48.77	71.01
28.814	-49.55	71.03
28.842	-48.61	71.08
28.8695	-47.76	71.13
28.8965	-49.36	71.19
28.9235	-48.08	71.24
28.95	-49.03	71.3
28.9765	-48.09	71.45
29.0035	-48.18	71.59
29.03	-47.85	71.74
29.0565	-47.18	71.88
29.083	-47.93	72
29.109	-48.05	72.11
29.135	-47.66	72.21
29.161	-48.96	72.32
29.187	-48.56	72.43
29.2125	-48.01	72.53
29.238	-49.01	72.64
29.264	-47.67	72.75
29.29	-47.65	72.85
29.3155	-48.58	72.97
29.3415	-48.75	73.09
29.368	-49.19	73.21
29.395	-47.53	73.33
29.423	-48.06	73.47
29.4505	-48.39	73.63
29.478	-48.82	73.79
29.505	-46.91	73.95
29.5315	-48.75	74.16
29.558	-48.93	74.4
29.5845	-47.82	74.65
29.611	-47.51	74.9
29.6375	-47.77	75.16
29.664	-48.51	75.43
29.69	-47.65	75.7
29.7165	-48.05	75.98
29.7435	-48.46	76.22
29.7715	-48.56	76.43
29.8005	-48.67	76.65
29.8305	-49.06	76.86
29.8615	-50.07	76.96
29.8925	-49.11	76.94
29.924	-49.29	76.92
29.956	-48.99	76.9
29.9875	-49.64	76.85
30.019	-49.5	76.76
30.0505	-49.68	76.67
30.083	-49.5	76.58
30.117	-49.56	76.49
30.1515	-49.21	76.4
30.1865	-49.77	76.32
30.22	-48.68	76.24
30.252	-50.11	76.18
30.284	-49.59	76.17
30.316	-49.33	76.16
30.347	-49.52	76.16
30.3775	-48.54	76.14
30.408	-47.58	76.13
30.438	-49.13	76.11
30.468	-48.76	76.09
30.4985	-48.37	76.06
30.529	-49.21	76.02
30.5595	-49.52	75.97
30.59	-49.18	75.92
30.6195	-48.27	75.88
30.6485	-49.61	75.81
30.6775	-48.92	75.74
30.7065	-49.28	75.67
30.7355	-49.32	75.61
30.764	-48.53	75.51
30.7925	-49.83	75.41
30.821	-49.34	75.3
30.8485	-49.2	75.2
30.876	-49.76	75.07
30.904	-49.17	74.92
30.9325	-48.85	74.76
30.9615	-50.02	74.61
30.991	-49.99	74.44
31.0205	-49.94	74.26
31.052	-49.75	74.08
31.0855	-49.2	73.9
