/* DESCRIPTION:
Reference:	Dokken, T; Jansen, E (1999): Rapid changes in the mechanism of ocean convection during the last glacial period. Nature, 401(6752), 458-461, https://doi.org/10.1038/46753
Data from:	https://doi.org/10.1594/PANGAEA.61471. Accessed 27 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	MAGS [10**-6 SI]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. teretis δ18O [‰ PDB]	C. teretis δ13C [‰ PDB]	Foram/sed [#/g]	Rock fragm [#/g]	IRD [#/g]
9.545	47.1	542.53	4.07	0.4			296	2.84	704.58
9.555	47.14	508.48	4.19	0.3	4.7	-0.19		2.86	
9.565	47.17	458.54	4.25	0.63	4.27	-0.44		3.52	
9.575	47.21	404.06	4.22	0.49	4.65	-0.28		2.08	
9.585	47.25	372.28	4.16	0.53	4.36	-0.29		1.27	
9.595	47.4	370.01	4.02	0.36			166	3.34	1862.09
9.605	47.54	392.71	4.2	0.51	4.35	-0.46		2.21	
9.615	47.69	433.57						2.87	
9.625	47.83	478.97		0.35			310	3.45	1239.66
9.635	47.98	522.1	4.3	0.48	4.63	-0.19		1.1	
9.645	48.12	553.88	4.02	0.07			462	1.15	524.92
9.655	48.27	569.77	4.11	0.29	4.68	-0.43		0.99	
9.665	48.41	574.31	3.98	0.34	4.57	-0.43		0.95	
9.675	48.56	569.77						1.28	
9.685	48.7	560.69			4.72	-0.22		1.02	
9.695	48.85	549.34	3.95	0.23			845	1.25	935.43
9.705	48.99	535.72	4.11	0.45	4.55	-0.42		0.61	
9.715	49.14	522.1						0.41	
9.725	49.28	510.75	3.98	0.14	4.74	-0.35	745	0.53	452.27
9.735	49.43	501.67						0.57	
9.745	49.58	476.7	3.97	0.18				0.68	
9.755	49.72	467.62	3.96	0.19	4.67	-0.32		0.55	
9.765	49.87	444.92						1.25	
9.775	50.01	424.49	3.94	0.35	4.92	-0.24		3.09	
9.785	50.16	415.41						2.04	
9.795	50.3	429.03	3.82	-0.09			607	3.29	1027.71
9.805	50.45	456.27	3.86	0.22	4.68	-0.38		2.83	
9.815	50.59	490.32						3.43	
9.825	50.74	526.64	4.01	0.17	4.83	-0.28		1.37	
9.835	50.88	576.58	3.61	-0.13					
9.845	51.03	633.33	3.7	-0.2				0.81	
9.855	51.17	676.46	3.84	0.15	4.84	-0.39	516	0.99	293.03
9.865	51.32	699.16	3.58	0.11	4.75	-0.49			
9.875	51.46	705.97	4	0.31	5.12	-0.46		1.1	
9.885	51.61	710.51	3.75	-0.02	4.68	-0.53			
9.895	51.72	712.78	3.65	-0.18				1.64	
9.905	51.83	712.78	3.88	0.17	4.68	-0.45	360	1.05	350.67
9.915	51.94	708.24	3.84	0.08	4.67	-0.7			
9.925	52.05	705.97	4	0.08	4.86	-0.61		1.12	
9.935	52.17	696.89	3.68	-0.17	4.75	-0.62			
9.945	52.28	676.46	4.02	0.02			907	1.97	804.29
9.955	52.39	649.22	3.61	0.16	4.71	-0.56		2.79	
9.965	52.5	633.33	3.61	0.01	4.85	-0.58	849	3.53	1363.87
9.975	52.61	637.87	3.94	0.17	4.94	-0.5		3.64	
9.985	52.72	662.84	3.66	0.21	4.34	-0.61		4.04	
9.995	52.83	717.32	3.64	-0.06				4.55	
10.005	52.94	812.66	3.73	0.12	5.02	-0.58	504	4.07	1923.77
10.015	53.06	905.73	3.54	0.18	5.06	-0.46		1.58	
10.025	53.17	962.48	3.56	0.19	4.91	-0.32		0.98	
10.035	53.28	989.72	3.65	0.15	4.9	-0.43	221	0.69	565.02
10.045	53.39	996.53	3.85	0.27	5.25	-0.44		0.38	
10.055	53.5	982.91	3.63	-0.22			164	0.65	244.62
10.065	53.57	939.78						0.46	
10.075	53.64	853.52	4.04	0.15	5.18	-0.81	638	1.17	440.02
10.085	53.71	735.48							
10.095	53.79	617.44	3.99	0.11	4.81	-0.66	995	2.91	998.12
10.105	53.86	540.26	4.46		3.66	-0.28	590	5.52	1670.29
10.115	53.93	510.75	4.09	0.06	4.57	-0.64		3	
10.125	54	515.29	4.32	0.05	4.53	-0.38	1250	4.81	1068.06
10.135	54.2	549.34	4.05	-0.08	4.47	-0.78	1284	1.6	547.87
10.145	54.41	608.36	4.25	0.13	4.8	-0.75			
10.155	54.61	671.92	3.84	-0.2	4.23	-0.86	89	2.07	424.03
10.165	54.81	751.37	3.98	0.04	4.75	-0.62	141	1.9	501.01
10.175	55.02	846.71	4.03	-0.14	4.75	-0.45		0.85	
10.185	55.22	932.97	4.17	0.07	4.85	-0.76	482	0.37	181.58
10.195	55.43	989.72	4.32	0.08	4.89	-0.64			
10.205	55.63	1010.15	3.9	-0.1	4.79	-0.64	355	0.41	102.69
10.215	55.83	1014.69							
10.225	56.04	1014.69	4.06	-0.02	4.84	-0.51		0.43	
10.235	56.24	1005.61	3.79	-0.16	4.93	-0.52	436	0.77	115.54
10.245	56.31	982.91							
10.255	56.37	960.21			4.97	-0.6	278	1.55	159.69
10.265	56.44	935.24							
10.275	56.5	901.19	4.25	0.07	4.9	-0.58	638	1.14	234.26
10.285	56.57	858.06							
10.295	56.63	824.01						2.39	
10.305	56.7	808.12	4.26	0.18	4.99	-0.57	304	5.38	661.48
10.315	56.76	812.66						1.67	
10.325	56.83	810.39	3.97	0.01	5.07	-0.54	307	1.23	289.85
10.335	56.89	787.69	4.13	0.07	4.82	-0.48			
10.345	56.96	760.45	3.85	-0.06	4.86	-0.65		3.07	
10.355	57.02	778.61			4.52	-0.95	494	3.11	1013
10.365	57.09	844.44	3.8	0.15	4.77	-0.73		3.63	
10.375	57.15	937.51	3.94	-0.1	4.93	-0.68	53	3.35	956.57
10.385	57.22	1057.82	3.67	-0.05				2.97	
10.395	57.28	1182.67							
10.405	57.35	1266.66	3.98	0.07	4.88	-0.86	232	1.31	335.73
10.415	57.41	1284.82	3.72	-0.06	4.93	-0.66			
10.425	57.48	1273.47	3.69	0		-0.87		0.94	
10.435	57.54	1284.82							
10.445	57.59	1262.12							
10.455	57.64	1166.78			5.34	-0.57	626	2.3	522.2
10.465	57.69	1037.39	3.88	-0.15	5.03	-0.73		2.63	
10.475	57.74	894.38							
10.485	57.79	742.29	3.81	-0.07	4.9	-1.01		4.45	
10.495	57.84	669.65							
10.505	57.89	597.01	3.49	-0.39	4.57	-1.21		3.26	
10.515	57.94	524.37							
10.525	57.99	451.73	3.42	-0.27	5.02	-0.79		3.18	
10.535	58.04	465.35							
10.545	58.09	372.28	3.57	-0.29	4.78	-0.88	8	3.16	1402.78
10.555	58.14	272.4							
10.565	58.19	220.19	3.73	-0.24			0	3.75	1928.81
10.575	58.24	192.95							
10.585	58.3	174.79					0	6.46	1840.42
10.595	58.35	163.44							
10.605	58.4	161.17		0.28		-0.31	135	9.55	2201.42
10.615	58.45	161.17	3.29	-0.02					
10.625	58.5	163.44	3.48	0.11	4.62	-0.27	2	9.95	2333.01
10.635	58.55	170.25	3.62	0.3					
10.645	58.6	174.79	3.59	0.22			1	9.26	2569.11
10.655	58.65	181.6	3.68	0.26					
10.665	58.7	192.95	3.68	0.45	3.9	-0.39	1	9.83	2174.85
10.675	58.75	220.19	3.13	-0.12					
10.685	58.8	286.02	3.09	-0.36				3.74	
10.695	58.85	404.06	3.26	-0.1	3.19	-1.29			
10.705	58.9	535.72	3.48	0.1	2.92	-1.59	275	3.2	711.51
10.715	58.95	603.82	3.17	-0.17	3.6	-1.03			
10.725	59	612.9	4.15	0.1	4.43	-0.83		4.62	
10.735	59.26	599.28	3.99	-0.09	4.08	-0.9			
10.745	59.53	583.39	4.21	-0.01	4.83	-0.39		5.79	
10.755	59.79	576.58	4.03	0.19	4.62	-0.34			
10.765	60.06	583.39	4.22	0.07	4.6	-0.59		3.96	
10.775	60.32	599.28	4.15	0.09	4.87	-0.61			
10.785	60.59	606.09	4.05	0.15				3.48	
10.795	60.85	610.63	3.92	0.03					
10.805	61.12	612.9	4.46	-0.05			12	4.29	733.49
10.815	61.38	624.25	4.06	0.02					
10.825	61.64	667.38	4.6	0.16	4.77	-0.61		5.89	
10.835	61.91	733.21	4.25	-0.07	4.88	-0.73			
10.845	62.17	778.61	4.32	0	4.95	-0.71		10.56	
10.855	62.44	785.42	4.18	-0.07	4.81	-0.51			
10.865	62.7	774.07	4.35	0.05	5.04	-0.62		8.86	
10.875	62.97	749.1	4.14	-0.05	5.01	-0.26			
10.885	63.23	724.13	4.43	0.19	4.9	-0.52		7.22	
10.895	63.49	708.24	4.23	-0.03	4.92	-0.29			
10.905	63.76	681	4.48	0.16	5.05	-0.24	2168	4.52	1012.6
10.915	64.02	701.43	3.94	-0.01	4.73	-0.51			
10.925	64.29	733.21	4.45	0.28	5.09	-0.38		5.66	
10.935	64.55	758.18	4.28	0.11	4.92	-0.37			
10.945	64.82	721.86	4.5	-0.15	4.99	-0.46		5.3	
10.955	65.08	646.95	4.06	0.05	4.85	-0.5			
10.965	65.35	603.82	4.44	0.49	4.81	-0.32		5.72	
10.975	65.61	599.28	4.39	0.44	5.22	-0.32			
10.985	65.87	615.17	4.38	0.3	5.3	-0.23		3.9	
10.995	66.14	635.6	4.29	0.4	5	-0.23			
11.005	66.4	665.11	4.48	0.29	5.37	-0.32	2700	3.13	1106.69
11.015	66.67	703.7						3.53	
11.025	66.93	755.91	4.46	0.66	5.07	-0.29	1041	4.65	1321.18
