# DESCRIPTION:
# Reference: Ezgi Ünal-İmer, James Shulmeister, Jian-Xin Zhao, I. Tonguç Uysal, Yue-Xing Feng, Ai Duc Nguyen, Galip Yüce. 2015. An 80 kyr-long continuous speleothem record from Dim Cave, SW Turkey with paleoclimatic implications for the Eastern Mediterranean. Scientific Reports, 5, 13560. doi: 10.1038/srep13560.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33672. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB]
163,66.352,-7.89,-4.68
164,66.479,-8.26,-4.47
165,66.606,-8.24,-4.6
166,66.733,-8.1,-4.67
167,66.86,-8.12,-4.74
168,66.986,-8.07,-4.71
169,67.113,-8.29,-5
170,67.24,-8.9,-4.65
171,67.295,-8.66,-4.76
172,67.35,-8.2,-4.7
173,67.405,-8.42,-5.07
174,67.46,-8.43,-4.83
175,67.514,-8.71,-4.98
176,67.569,-8.58,-4.77
177,67.624,-8.55,-4.96
178,67.679,-8.05,-4.76
179,67.734,-8.81,-5.07
180,67.789,-8.92,-5
181,67.843,-9.12,-4.92
182,67.898,-8.96,-4.83
183,67.953,-9.04,-4.89
184,68.008,-8.84,-4.77
185,68.063,-8.71,-4.73
186,68.118,-8.74,-4.51
187,68.173,-8.91,-4.44
188,68.227,-9.05,-4.63
189,68.282,-8.95,-4.51
190,68.337,-9.01,-4.4
191,68.392,-9.1,-4.63
192,68.447,-8.98,-4.51
193,68.502,-8.93,-4.51
194,68.557,-8.85,-4.64
195,68.611,-8.07,-4.37
196,68.644,-8.7,-4.35
197,68.677,-7.82,-4.46
198,68.709,-7.76,-4.43
199,68.742,-7.25,-4.27
200,68.775,-7.99,-4.2
201,68.807,-8.35,-4.25
202,68.84,-8.39,-4.76
203,68.872,-8.6,-4.79
204,68.905,-9.5,-5.52
205,68.938,-9.36,-4.75
206,68.97,-9.01,-4.91
207,69.003,-9.1,-4.89
208,69.036,-8.75,-4.65
209,69.068,-8.41,-4.74
210,69.101,-7.96,-4.67
211,69.134,-8.25,-4.61
212,69.166,-8.43,-4.48
213,69.199,-7.78,-4.17
214,69.232,-7.79,-4.18
215,69.264,-9.09,-4.72
216,69.297,-9.8,-4.86
217,69.329,-9.85,-4.85
218,69.362,-9.08,-4.68
219,69.395,-7.58,-4.24
220,69.427,-7.35,-4.08
221,69.538,-7.84,-4.25
222,69.649,-9.15,-4.84
223,69.759,-8.98,-4.65
224,69.87,-8.54,-4.48
225,69.981,-8.26,-4.44
226,70.091,-9,-4.93
227,70.202,-9.31,-4.96
228,70.312,-9.67,-4.99
229,70.423,-9.67,-5.11
230,70.534,-9.68,-5.2
231,70.644,-6.98,-4.12
232,70.755,-6.19,-4.07
233,70.866,-6.21,-3.91
234,70.976,-7.76,-5.28
235,71.087,-8.27,-4.43
