# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737135. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],Foram benth δ18O [‰ PDB],C. wuellerstorfi δ13C [‰ PDB]
19.61,173.205,4.9,-0.04
19.64,173.358,4.93,
19.67,173.511,4.94,
19.7,173.664,4.91,
19.73,173.817,4.95,
19.76,173.97,4.8,-0.01
19.79,174.122,4.27,
19.82,174.275,4.85,
19.97,175.04,4.27,0.33
20,175.193,4.45,
20.06,175.499,4.47,
20.09,175.651,4.66,
20.12,175.804,4.54,-0.1
20.15,175.957,4.21,
20.18,176.11,4.13,
20.21,176.263,4.58,
20.24,176.732,3.88,
20.27,177.2,4.24,0.06
20.39,179.075,4.47,
20.42,179.544,4.6,-0.09
20.48,180.481,4.83,
20.66,183.294,3.79,0.9
20.81,185.637,4.71,0.15
20.84,186.106,4.72,
20.9,187.043,4.83,
20.98,188.072,4.92,0.21
21.08,189.357,4.69,
21.17,190.514,4.34,
21.23,191.285,4.12,0.61
21.26,191.671,4.58,
21.38,193.45,3.84,0.24
21.44,194.457,4.13,
21.47,194.961,4.13,
21.56,196.473,4.46,
21.59,196.977,3.97,
21.77,200,3.47,
21.8,201,3.52,
21.86,203,3.71,0.76
21.89,204,3.55,
21.92,205,4.63,0.13
22.01,206.324,3.64,0.3
22.1,207.647,3.85,0.78
22.13,208.088,3.56,0.82
22.16,208.529,3.84,0.88
22.19,208.971,3.9,0.87
22.22,209.412,3.73,0.82
22.28,210.294,3.64,0.7
22.31,210.735,3.71,0.8
22.34,211.176,3.62,0.82
22.37,211.618,3.6,0.9
22.4,212.059,3.57,0.85
22.43,212.5,3.53,0.76
22.46,212.941,3.54,0.68
22.49,213.382,3.29,0.78
22.55,214.265,3.54,0.72
22.58,214.706,3.5,0.48
22.64,215.588,3.71,0.83
22.67,216.029,3.72,0.74
22.7,216.471,3.66,
22.73,216.912,3.46,0.72
22.76,217.353,3.61,0.9
22.85,218.676,4.13,
22.88,219.118,4.06,
22.91,219.559,4.33,
22.94,220,3.9,0.18
22.97,220.25,4.06,0.38
23,220.5,4.35,-0.27
