# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1221.2,8.12308,-33.485,-258.76
1221.25,8.12357,-32.318,-249.11
1221.3,8.12406,-30.41,-233.33
1221.35,8.12451,-31.193,-240.82
1221.4,8.12497,-33.398,-257.97
1221.45,8.12592,-34.78,-268.6
1221.5,8.1269,-35.098,-272.95
1221.55,8.12776,-32.052,-246.34
1221.6,8.12833,-31.013,-238.86
1221.65,8.12878,-32.45,-250.58
1221.7,8.12922,-33.9,-262.33
1221.75,8.12964,-33.773,-260.58
1221.8,8.13007,-34.088,-263.27
1221.85,8.13053,-35.323,-273.06
1221.9,8.13098,-35.649,-276.05
1221.95,8.13171,-33.099,-253.11
1222,8.1324,-31.807,-245.27
1222.05,8.13311,-31.745,-245.08
1222.1,8.13429,-31.557,-242.4
1222.15,8.1352,-33.863,-262.74
1222.2,8.13569,-34.1,-264.1
1222.25,8.13637,-33.335,-257.1
1222.3,8.13718,-33.567,-260.32
1222.35,8.13767,-33.567,-260.26
1222.4,8.13833,-33.419,-260.26
1222.45,8.13919,-31.351,-241.73
1222.5,8.13978,-33.265,-258.29
1222.55,8.14037,-34.24,-265.74
1222.6,8.14096,-33.699,-261.29
1222.65,8.14152,-32.733,-252.91
1222.7,8.14208,-33.045,-254.87
1222.75,8.14265,-33.382,-257.26
1222.8,8.14321,-33.351,-256.38
1222.85,8.14378,-34.634,-266.85
1222.9,8.14427,-34.965,-269.91
1222.95,8.14472,-34.908,-269.07
1223,8.14519,-35.079,-270.42
1223.05,8.1457,-36.112,-280.92
1223.1,8.14624,-34.876,-271.04
1223.15,8.14681,-33.802,-261.04
1223.2,8.14746,-33.018,-254.7
1223.25,8.14811,-32.16,-248.37
1223.3,8.14863,-31.596,-243.7
1223.35,8.14916,-32.703,-253.82
1223.4,8.14973,-33.88,-263.95
1223.45,8.15036,-33.581,-259.58
1223.5,8.15103,-33.758,-262.28
1223.55,8.15144,-33.536,-259.24
1223.6,8.15186,-33.598,-258.03
1223.65,8.15227,-34.504,-266.62
1223.7,8.15269,-34.492,-264.79
1223.75,8.15326,-34.764,-269.77
1223.8,8.15418,-32.399,-250.43
1223.85,8.1548,-31.478,-243.24
1223.9,8.1557,-33.653,-260.75
1223.95,8.15649,-35.336,-275.1
1224,8.15713,-35.161,-271.9
1224.05,8.1576,-34.707,-268.18
1224.1,8.15814,-33.635,-257.93
1224.15,8.15891,-34.582,-267.02
1224.2,8.15992,-35.595,-274.87
1224.25,8.16052,-35.163,-272.19
1224.3,8.16108,-33.385,-257.41
1224.35,8.1616,-32.457,-250.93
1224.4,8.16211,-32.468,-250.81
1224.45,8.16259,-32.856,-253.93
1224.5,8.16309,-33.911,-262.59
1224.55,8.16379,-34.025,-262.81
1224.6,8.16461,-33.601,-258.69
1224.65,8.16558,-34.077,-262.92
1224.7,8.16653,-33.89,-261.28
1224.75,8.16721,-32.016,-245.12
1224.8,8.16765,-30.974,-236.23
1224.85,8.16817,-33.189,-256.52
1224.9,8.16895,-34.835,-270.5
1224.95,8.16965,-34.252,-263.58
1225,8.17044,-35.49,-275.42
1225.05,8.17119,-35.554,-276.16
1225.1,8.17171,-34.577,-267.64
1225.15,8.1723,-35.405,-274.24
1225.2,8.17299,-35.793,-276.54
1225.25,8.17347,-35.007,-270.22
1225.3,8.17395,-35.385,-273.41
1225.35,8.17447,-35.333,-272.57
1225.4,8.17498,-36.079,-279.49
1225.45,8.17555,-36.569,-284.5
1225.5,8.17625,-34.965,-270.77
1225.55,8.17735,-33.803,-259.69
1225.6,8.17817,-34.459,-266.27
1225.65,8.17879,-35.417,-273.73
1225.7,8.17952,-35.305,-272.28
1225.75,8.18039,-35.563,-275.66
1225.8,8.18123,-35.414,-275.88
1225.85,8.1818,-34.898,-270.58
1225.9,8.1824,-34.97,-271.3
1225.95,8.18302,-34.438,-267.25
1226,8.1835,-33.86,-261.45
1226.05,8.18398,-35.033,-270.32
1226.1,8.18445,-35.941,-278.34
