/* DESCRIPTION:
Reference:	Wang, X., Edwards, R. L., Auler, A. S., Cheng, H., Kong, X., Wang, Y., ... & Chiang, H. W. (2017). Hydroclimate changes across the Amazon lowlands over the past 45,000 years. Nature, 541(7636), 204-207, https://doi.org/10.1038/nature20787
Data from:	https://doi.org/10.1038/nature20787. Accessed 22 Nov 2022.
Comment:	Years were converted to kyr.
	Only PAR07 is included here.
*/
Age (kyr BP)	d18O	d13C
33.478	-3.14	-7.66
33.51	-3.72	-7.91
33.542	-3.66	-7.73
33.575	-3.92	-8.3
33.607	-3.7	-8.15
33.639	-3.89	-7.76
33.672	-3.3	-7.55
33.704	-3.34	-7.91
33.737	-3.33	-7.67
33.769	-3.41	-7.73
33.801	-3.51	-7.52
33.834	-3.19	-7.58
33.866	-3.48	-8.09
33.898	-3.06	-6.84
33.931	-2.9	-6.76
33.963	-2.84	-6.78
33.996	-3.35	-8.06
34.028	-3.24	-7.77
34.06	-3.81	-8.64
34.074	-3.75	-8.1
34.088	-3.35	-7.65
34.102	-3.54	-7.83
34.116	-3.67	-7.5
34.13	-3.3	-7.39
34.144	-3.69	-7.78
34.158	-3.84	-8.44
34.172	-3.73	-8.28
34.181	-3.56	-8.42
34.19	-4.07	-9.15
34.199	-3.64	-8.04
34.207	-3.75	-7.37
34.216	-4.14	-7.12
34.225	-3.82	-7.33
34.234	-4.3	-7.63
34.243	-4.1	-7.96
34.251	-4.24	-8.39
34.26	-4.14	-8.77
34.269	-3.82	-8.84
34.278	-4.03	-8.76
34.309	-4.15	-8.86
34.34	-4.38	-8.51
34.37	-4.09	-8.34
34.401	-4.05	-8.78
34.432	-3.85	-8.65
34.463	-3.8	-9.12
34.494	-3.73	-8.25
34.525	-3.54	-8.23
34.555	-3.83	-8.8
34.586	-3.65	-8.7
34.617	-3.5	-8.54
34.648	-3.56	-8.39
34.679	-3.3	-8.08
34.71	-3.47	-8.58
34.74	-3.19	-8.37
34.771	-3.46	-8.59
34.802	-3.5	-8.2
34.833	-3.59	-8.52
34.864	-3.45	-8.19
34.895	-3.59	-7.83
34.934	-3.61	-8.22
34.974	-3.45	-7.95
35.014	-3.31	-7.86
35.054	-3.7	-7.81
35.093	-3.61	-7.67
35.133	-3.52	-7.38
35.173	-3.61	-8.5
35.212	-3.38	-7.8
35.252	-3.42	-7.28
35.292	-3.4	-7.55
35.332	-3.58	-8.24
35.371	-3.63	-8.32
35.411	-3.92	-8.58
35.451	-3.99	-8.76
35.473	-4.08	-8.62
35.494	-4.29	-8.37
35.516	-3.84	-7.66
35.538	-4.39	-7.81
35.56	-4.26	-7.84
35.582	-4.29	-7.86
35.604	-4.58	-8.22
35.626	-4.51	-8.97
35.647	-4.31	-8.29
35.669	-4.4	-8.64
35.691	-4.53	-8.36
35.713	-4.44	-8.62
35.735	-4.37	-8.22
35.757	-4.45	-7.72
35.779	-4.65	-8.1
35.8	-4.55	-8.01
35.824	-4.59	-8.4
35.849	-4.28	-8.1
35.873	-4.25	-8.63
35.897	-4.27	-8.52
35.921	-4.22	-8.47
35.945	-4.63	-8.44
35.969	-4.5	-8.38
35.993	-4.8	-8.72
36.017	-4.8	-9.2
36.041	-4.9	-9.04
36.065	-4.41	-8.29
36.089	-4.11	-8.36
36.113	-4.4	-9.28
36.137	-4.7	-9.14
36.161	-4.18	-9.05
36.185	-4.05	-8.56
36.209	-4.24	-8.82
36.233	-4.61	-9.18
36.257	-4.54	-8.92
36.281	-4.36	-9.12
36.305	-4.33	-8.49
36.329	-4.64	-8.98
36.353	-4.58	-8.96
36.377	-4.49	-8.99
36.401	-4.32	-8.9
36.426	-4.13	-9.36
36.45	-4.25	-9.23
36.474	-4.16	-8.6
36.498	-4.27	-9
36.522	-3.92	-8.01
36.548	-4.07	-8.65
36.575	-4.23	-8.9
36.602	-4.05	-8.5
36.628	-3.98	-8.23
36.655	-3.72	-7.61
36.681	-3.78	-8.44
36.708	-3.91	-7.95
36.735	-4.45	-8.7
36.761	-4.33	-9.13
36.788	-3.95	-8.8
36.814	-3.59	-8.33
36.841	-3.77	-8.52
36.868	-3.54	-8.7
36.894	-3.67	-8.71
36.921	-3.69	-8.71
36.948	-3.6	-8.44
36.974	-3.98	-8.2
37.001	-3.62	-8.23
37.027	-3.62	-8.23
37.054	-3.59	-8.11
37.081	-3.73	-8.33
37.107	-3.51	-8.02
37.134	-3.86	-8
37.161	-4.03	-8.71
37.187	-3.75	-8.37
37.214	-3.74	-8.85
37.24	-4.03	-9.21
37.267	-3.99	-8.72
37.294	-3.91	-9.06
37.32	-3.78	-8.72
37.347	-3.89	-8.59
37.374	-3.63	-9.42
37.4	-3.47	-8.39
37.427	-3.75	-8.63
37.453	-3.9	-8.27
37.48	-3.84	-8.49
37.507	-3.86	-8.27
37.533	-3.82	-8.67
37.56	-3.63	-8.37
37.586	-3.83	-8.13
37.613	-3.65	-8.31
37.64	-3.6	-8.07
37.666	-3.85	-7.49
37.693	-3.84	-7.59
37.72	-3.8	-7.8
37.746	-3.5	-7.55
37.773	-3.71	-7.72
37.799	-3.7	-7.57
37.826	-3.63	-7.99
37.853	-3.61	-7.5
37.877	-3.62	-7.54
37.901	-3.34	-7.01
37.925	-3.42	-6.61
37.949	-3.49	-7.12
37.973	-3.51	-6.71
37.997	-3.41	-6.89
38.021	-3.33	-6.29
38.045	-3.48	-7.26
38.069	-3.76	-7.61
38.093	-4.01	-7.45
38.117	-3.47	-7.2
38.141	-4.04	-8.3
38.165	-3.89	-7.54
38.189	-3.45	-6.24
38.213	-3.59	-7.36
38.237	-3.78	-7.33
38.261	-3.88	-7.52
38.285	-4.14	-8.35
38.309	-4.2	-8.02
38.333	-3.89	-7.43
38.357	-3.91	-7.99
38.381	-4.16	-9.23
38.405	-4.16	-9.07
38.428	-4.08	-9.32
38.45	-4.41	-9.26
38.473	-4.57	-8.86
38.496	-4.71	-9.28
38.519	-4.94	-8.84
38.541	-4.86	-8.64
38.564	-4.74	-8.83
38.587	-4.94	-8.94
38.609	-4.9	-8.7
38.632	-4.64	-8.74
38.655	-4.92	-8.72
38.678	-4.72	-8.39
38.7	-4.86	-8.88
38.723	-5	-9.16
38.746	-4.69	-8.56
38.768	-4.87	-8.84
38.791	-4.4	-8.68
38.814	-4.84	-8.49
38.837	-4.52	-8.61
38.859	-4.44	-8.24
38.882	-4.85	-8.51
38.905	-4.99	-8.02
38.927	-5.13	-8.33
38.95	-4.67	-8.11
38.973	-4.74	-8.24
38.996	-4.41	-8.04
39.018	-4.62	-8.45
39.043	-4.61	-8.5
39.067	-4.9	-8.56
39.092	-4.65	-8.5
39.116	-4.73	-8.99
39.141	-5.04	-8.54
39.165	-4.51	-8.34
39.19	-4.63	-8.45
39.214	-4.66	-8.62
39.239	-4.46	-8.74
39.263	-4.15	-8.46
39.288	-4.21	-8.26
