# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
419.95,2.2736,0.07944,0.0783,0.12169,0.12818
420.2,2.2855,0.06745,0.08122,0.13424,0.13101
420.45,2.2975,0.08492,0.07934,0.13346,0.13385
420.7,2.3095,0.09399,0.07728,0.13945,0.13535
420.95,2.3214,0.0709,0.07488,0.14042,0.13798
421.2,2.3334,0.06912,0.07403,0.12917,0.14124
421.45,2.3454,0.05546,0.0682,0.14738,0.14268
421.7,2.3574,0.0807,0.06991,0.1498,0.14271
421.95,2.3693,0.06485,0.06903,0.14661,0.14478
422.2,2.3813,0.07942,0.07113,0.14057,0.14256
422.45,2.3933,0.06473,0.06953,0.13951,0.13722
422.7,2.4053,0.06596,0.07173,0.13629,0.1343
422.95,2.4172,0.07271,0.06775,0.12312,0.13371
423.2,2.4292,0.07581,0.06623,0.13199,0.13296
423.45,2.4412,0.05952,0.06508,0.13765,0.1312
423.7,2.4532,0.05715,0.06361,0.13576,0.13199
423.95,2.4651,0.06023,0.06205,0.12748,0.13088
424.2,2.4771,0.06532,0.06577,0.12708,0.1312
424.45,2.4891,0.06805,0.07138,0.12645,0.1326
424.7,2.5011,0.07808,0.07737,0.13922,0.13069
424.95,2.513,0.08524,0.07901,0.14278,0.13085
425.2,2.525,0.09015,0.07288,0.11792,0.13041
425.45,2.537,0.07351,0.07099,0.12786,0.12629
425.7,2.5489,0.03744,0.06846,0.12428,0.12521
425.95,2.5609,0.06861,0.06333,0.11859,0.12891
426.2,2.5729,0.07259,0.05405,0.13741,0.13033
426.45,2.5849,0.06452,0.05857,0.13641,0.13481
426.7,2.5968,0.02711,0.05507,0.13498,0.1375
426.95,2.6088,0.06003,0.05246,0.14667,0.13746
427.2,2.6208,0.05112,0.05061,0.13205,0.13711
427.45,2.6328,0.05953,0.05488,0.1372,0.13671
427.7,2.6447,0.05526,0.05557,0.13465,0.13483
427.95,2.6567,0.04848,0.05589,0.13297,0.13238
428.2,2.6687,0.06346,0.055,0.13728,0.12723
428.45,2.6807,0.05273,0.06404,0.11979,0.12531
