# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
312,18.076,9,NaN,NaN,NaN,NaN,NaN
314,18.212,10,NaN,NaN,NaN,NaN,NaN
315,18.28,NaN,0.091,4.292,23.74,2.493,11.405
316,18.348,11,NaN,NaN,NaN,NaN,NaN
318,18.484,13,NaN,NaN,NaN,NaN,NaN
320,18.62,13,0.256,4.386,23.47,2.612,6.962
322,18.756,13,NaN,NaN,NaN,NaN,NaN
324,18.892,12,NaN,NaN,NaN,NaN,NaN
325,18.96,NaN,0.31,4.333,22.41,2.444,7.956
326,19.028,12,NaN,NaN,NaN,NaN,NaN
328,19.164,13,NaN,NaN,NaN,NaN,NaN
330,19.3,13,0.044,4.3,23.06,2.737,9.329
332,19.435,13,NaN,NaN,NaN,NaN,NaN
334,19.571,12,NaN,NaN,NaN,NaN,NaN
335,19.639,NaN,-0.373,4.448,23.83,2.528,9.596
336,19.707,13,NaN,NaN,NaN,NaN,NaN
338,19.843,13,NaN,NaN,NaN,NaN,NaN
340,19.979,13,0.244,4.221,23.78,2.796,11.649
342,20.039,14,NaN,NaN,NaN,NaN,NaN
344,20.1,15,NaN,NaN,NaN,NaN,NaN
345,20.13,NaN,0.103,4.446,22.12,2.915,5.568
346,20.16,14,NaN,NaN,NaN,NaN,NaN
348,20.22,12,NaN,NaN,NaN,NaN,NaN
350,20.28,13,-0.084,4.387,21.75,2.977,8.649
352,20.341,11,NaN,NaN,NaN,NaN,NaN
354,20.401,11,NaN,NaN,NaN,NaN,NaN
355,20.431,NaN,NaN,4.425,21.68,2.826,6.606
356,20.461,11,NaN,NaN,NaN,NaN,NaN
358,20.521,11,NaN,NaN,NaN,NaN,NaN
360,20.582,13,0.332,4.384,21.6,2.629,4.259
362,20.642,12,NaN,NaN,NaN,NaN,NaN
364,20.702,12,NaN,NaN,NaN,NaN,NaN
365,20.732,NaN,0.021,4.342,22.41,2.544,6.753
366,20.763,13,NaN,NaN,NaN,NaN,NaN
368,20.823,11,NaN,NaN,NaN,NaN,NaN
370,20.883,6,-0.976,3.166,NaN,2.299,1.839
372,20.943,11,NaN,NaN,NaN,NaN,NaN
374,21.004,10,NaN,NaN,NaN,NaN,NaN
375,21.034,NaN,0.678,4.412,21.04,3.414,0.754
376,21.064,11,NaN,NaN,NaN,NaN,NaN
378,21.124,12,NaN,NaN,NaN,NaN,NaN
380,21.184,14,-0.086,4.156,21.05,2.811,7.994
382,21.245,12,NaN,NaN,NaN,NaN,NaN
384,21.305,12,NaN,NaN,NaN,NaN,NaN
385,21.335,NaN,0.043,4.434,22.17,1.935,12.641
386,21.365,12,NaN,NaN,NaN,NaN,NaN
388,21.425,8,NaN,NaN,NaN,NaN,NaN
390,21.486,14,0.783,4.395,21.65,NaN,0.198
392,21.546,14,NaN,NaN,NaN,NaN,NaN
394,21.606,14,NaN,NaN,NaN,NaN,NaN
395,21.636,NaN,0.061,4.192,20.94,2.978,8.512
396,21.667,12,NaN,NaN,NaN,NaN,NaN
398,21.727,14,NaN,NaN,NaN,NaN,NaN
400,21.787,14,0.601,4.795,24.13,2.802,2.152
402,21.847,15,NaN,NaN,NaN,NaN,NaN
404,21.908,12,NaN,NaN,NaN,NaN,NaN
405,21.938,NaN,0.559,NaN,23.31,3.749,1.101
406,21.968,14,NaN,NaN,NaN,NaN,NaN
408,22.028,12,NaN,NaN,NaN,NaN,NaN
410,22.088,12,-0.347,3.947,23.96,2.443,4.597
412,22.149,14,NaN,NaN,NaN,NaN,NaN
414,22.209,11,NaN,NaN,NaN,NaN,NaN
415,22.239,NaN,0.342,4.581,25.08,2.198,1.887
416,22.269,11,NaN,NaN,NaN,NaN,NaN
418,22.33,20,NaN,NaN,NaN,NaN,NaN
420,22.39,20,0.131,4.481,24.55,NaN,0.389
422,22.45,10,NaN,NaN,NaN,NaN,NaN
424,22.51,11,NaN,NaN,NaN,NaN,NaN
425,22.54,NaN,-0.334,4.687,22.11,NaN,2.108
426,22.571,11,NaN,NaN,NaN,NaN,NaN
428,22.631,11,NaN,NaN,NaN,NaN,NaN
430,22.691,13,-0.24,4.361,22.56,NaN,5.501
432,22.751,19,NaN,NaN,NaN,NaN,NaN
434,22.812,18,NaN,NaN,NaN,NaN,NaN
435,22.842,NaN,-0.019,4.25,22.42,NaN,5.307
436,22.872,14,NaN,NaN,NaN,NaN,NaN
438,22.932,15,NaN,NaN,NaN,NaN,NaN
440,22.992,15,0.368,4.269,22.55,NaN,8.545
442,23.053,16,NaN,NaN,NaN,NaN,NaN
444,23.113,16,NaN,NaN,NaN,NaN,NaN
445,23.143,NaN,-0.076,4.235,23.97,NaN,8.218
446,23.173,11,NaN,NaN,NaN,NaN,NaN
448,23.234,9,0.006,4.261,22.28,NaN,10.332
450,23.294,12,NaN,NaN,NaN,NaN,NaN
452,23.354,14,0.65,4.671,24.44,NaN,0.916
454,23.414,12,NaN,NaN,NaN,NaN,NaN
455,23.444,NaN,-0.081,4.244,23.89,NaN,NaN
456,23.475,12,NaN,NaN,NaN,NaN,NaN
458,23.535,14,NaN,NaN,NaN,NaN,NaN
460,23.595,13,1.007,4.036,23.45,NaN,0.904
462,23.655,14,NaN,NaN,NaN,NaN,NaN
464,23.716,13,NaN,NaN,NaN,NaN,NaN
465,23.746,NaN,0.27,3.905,24.45,NaN,NaN
466,23.776,14,NaN,NaN,NaN,NaN,NaN
468,23.836,15,NaN,NaN,NaN,NaN,NaN
470,23.897,19,0.903,3.939,22.52,NaN,4.018
472,23.957,17,NaN,NaN,NaN,NaN,NaN
474,24.017,16,NaN,NaN,NaN,NaN,NaN
475,24.047,NaN,0.5,4.014,23.03,NaN,3.222
476,24.077,15,NaN,NaN,NaN,NaN,NaN
478,24.138,19,NaN,NaN,NaN,NaN,NaN
480,24.198,20,0.745,3.93,22.74,NaN,0.955
482,24.258,21,NaN,NaN,NaN,NaN,NaN
484,24.318,24,NaN,NaN,NaN,NaN,NaN
485,24.349,NaN,0.033,4.185,23.7,NaN,1.093
486,24.379,15,NaN,NaN,NaN,NaN,NaN
488,24.439,13,NaN,NaN,NaN,NaN,NaN
490,24.499,14,-0.166,3.873,23.72,NaN,1.625
492,24.559,17,NaN,NaN,NaN,NaN,NaN
494,24.62,17,NaN,NaN,NaN,NaN,NaN
495,24.65,NaN,0.099,4.071,22.81,NaN,1.151
496,24.68,17,NaN,NaN,NaN,NaN,NaN
498,24.74,18,NaN,NaN,NaN,NaN,NaN
500,24.801,15,0.412,4.29,24.03,NaN,3.63
502,24.861,16,NaN,NaN,NaN,NaN,NaN
504,24.921,20,NaN,NaN,NaN,NaN,NaN
505,24.951,NaN,0.753,4.278,22.78,NaN,4.704
506,24.981,19,NaN,NaN,NaN,NaN,NaN
508,25.042,23,NaN,NaN,NaN,NaN,NaN
510,25.102,20,0.283,4.24,23.55,NaN,2.445
512,25.162,24,NaN,NaN,NaN,NaN,NaN
514,25.222,21,NaN,NaN,NaN,NaN,NaN
515,25.253,NaN,NaN,3.999,23.23,NaN,0.368
516,25.283,18,NaN,NaN,NaN,NaN,NaN
518,25.343,14,NaN,NaN,NaN,NaN,NaN
520,25.403,20,-0.115,4.472,22.47,NaN,1.407
522,25.464,21,NaN,NaN,NaN,NaN,NaN
524,25.524,24,NaN,NaN,NaN,NaN,NaN
525,25.554,NaN,0.383,4.215,22.86,NaN,0.169
526,25.584,16,NaN,NaN,NaN,NaN,NaN
528,25.644,18,NaN,NaN,NaN,NaN,NaN
530,25.705,24,0.47,4.047,24.61,NaN,5.914
532,25.765,19,NaN,NaN,NaN,NaN,NaN
534,25.825,22,NaN,NaN,NaN,NaN,NaN
535,25.855,NaN,0.441,4.303,22.69,NaN,3.283
536,25.885,26,NaN,NaN,NaN,NaN,NaN
538,25.946,20,NaN,NaN,NaN,NaN,NaN
540,26.006,20,-0.028,4.317,23.19,NaN,1.033
542,26.066,24,NaN,NaN,NaN,NaN,NaN
544,26.126,24,NaN,NaN,NaN,NaN,NaN
545,26.157,NaN,NaN,4.21,25.08,NaN,0.338
546,26.187,17,NaN,NaN,NaN,NaN,NaN
548,26.247,20,NaN,NaN,NaN,NaN,NaN
550,26.307,21,0.364,4.082,23.78,NaN,7.293
552,26.368,26,NaN,NaN,NaN,NaN,NaN
554,26.428,22,NaN,NaN,NaN,NaN,NaN
