# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
1498,130.345,9,-0.98,3.23,26.39,NaN,17.56
1500,130.636,9,NaN,NaN,NaN,NaN,NaN
1502,130.927,11,0.7,3.663,26.72,NaN,14.204
1504,131.218,11,NaN,NaN,NaN,NaN,NaN
1505,131.364,NaN,0.206,4.073,26.4,NaN,11.936
1506,131.509,12,NaN,NaN,NaN,NaN,NaN
1508,131.8,13,NaN,NaN,NaN,NaN,NaN
1510,132.091,13,0.709,3.361,25.8,NaN,15.21
1512,132.382,13,NaN,NaN,NaN,NaN,NaN
1514,132.673,12,NaN,NaN,NaN,NaN,NaN
1515,132.818,NaN,0.538,4.29,24.95,NaN,15.575
1516,132.964,11,NaN,NaN,NaN,NaN,NaN
1518,133.255,12,NaN,NaN,NaN,NaN,NaN
1520,133.545,11,-0.358,3.759,26.13,NaN,19.578
1522,133.836,11,NaN,NaN,NaN,NaN,NaN
1524,134.127,12,NaN,NaN,NaN,NaN,NaN
1525,134.273,NaN,0.717,4.228,25.27,NaN,19.193
1526,134.418,11,NaN,NaN,NaN,NaN,NaN
1528,134.709,11,NaN,NaN,NaN,NaN,NaN
1530,135,10,1.188,4.304,24.56,NaN,23.259
1532,135.261,12,NaN,NaN,NaN,NaN,NaN
1534,135.522,13,NaN,NaN,NaN,NaN,NaN
1535,135.652,NaN,0.605,4.319,25.3,NaN,18.944
1536,135.783,11,NaN,NaN,NaN,NaN,NaN
1538,136.043,12,NaN,NaN,NaN,NaN,NaN
1540,136.304,13,0.311,4.288,25.08,NaN,17.534
1542,136.565,11,NaN,NaN,NaN,NaN,NaN
1544,136.826,12,NaN,NaN,NaN,NaN,NaN
1545,136.957,NaN,0.858,4.179,25.11,NaN,16.2
1546,137.087,11,NaN,NaN,NaN,NaN,NaN
1548,137.348,11,NaN,NaN,NaN,NaN,NaN
1550,137.609,11,0.944,4.245,24.58,NaN,16.783
1552,137.87,12,NaN,NaN,NaN,NaN,NaN
1554,138.13,13,NaN,NaN,NaN,NaN,NaN
1555,138.261,NaN,0.921,4.266,25.13,NaN,15.503
1556,138.391,11,NaN,NaN,NaN,NaN,NaN
1558,138.652,12,NaN,NaN,NaN,NaN,NaN
1560,138.913,13,0.339,4.104,24.92,NaN,NaN
1562,139.174,13,NaN,NaN,NaN,NaN,NaN
1564,139.435,11,NaN,NaN,NaN,NaN,NaN
1565,139.565,NaN,0.643,4.372,25.76,NaN,16.09
1566,139.696,8,NaN,NaN,NaN,NaN,NaN
1568,139.957,11,NaN,NaN,NaN,NaN,NaN
1570,140.217,13,0.732,4.147,25.35,NaN,16.421
1572,140.478,12,NaN,NaN,NaN,NaN,NaN
1574,140.739,12,NaN,NaN,NaN,NaN,NaN
1575,140.87,NaN,0.603,4.222,25.79,NaN,15.111
1576,141,13,NaN,NaN,NaN,NaN,NaN
1578,141.261,13,NaN,NaN,NaN,NaN,NaN
1580,141.522,15,0.664,4.081,25.36,NaN,15.312
1582,141.783,15,NaN,NaN,NaN,NaN,NaN
1584,142.043,12,NaN,NaN,NaN,NaN,NaN
1585,142.174,NaN,0.884,NaN,25.22,NaN,16.351
1586,142.304,15,NaN,NaN,NaN,NaN,NaN
1588,142.565,15,NaN,NaN,NaN,NaN,NaN
1590,142.826,14,0.557,4.368,25.56,NaN,NaN
1592,143.087,16,NaN,NaN,NaN,NaN,NaN
1594,143.348,16,NaN,NaN,NaN,NaN,NaN
1595,143.478,NaN,0.049,4.14,24.65,NaN,14.216
1596,143.609,15,NaN,NaN,NaN,NaN,NaN
1598,143.87,15,NaN,NaN,NaN,NaN,NaN
1600,144.13,14,0.784,4.421,24.15,NaN,14.183
1602,144.391,13,NaN,NaN,NaN,NaN,NaN
1604,144.652,13,NaN,NaN,NaN,NaN,NaN
1605,144.783,NaN,0.517,4.147,25.7,NaN,15.408
1606,144.913,14,NaN,NaN,NaN,NaN,NaN
1608,145.174,12,NaN,NaN,NaN,NaN,NaN
1610,145.435,14,0.334,4.288,24.38,NaN,12.301
1612,145.696,13,NaN,NaN,NaN,NaN,NaN
1614,145.957,13,NaN,NaN,NaN,NaN,NaN
1615,146.087,NaN,-0.015,4.152,25.12,NaN,16.537
1616,146.217,15,NaN,NaN,NaN,NaN,NaN
1618,146.478,14,NaN,NaN,NaN,NaN,NaN
1620,146.739,13,0.411,4.143,25.46,NaN,18.749
1622,147,14,NaN,NaN,NaN,NaN,NaN
1624,147.261,14,NaN,NaN,NaN,NaN,NaN
1625,147.391,NaN,0.355,4.087,24.52,NaN,15.867
1626,147.522,15,NaN,NaN,NaN,NaN,NaN
1628,147.783,14,NaN,NaN,NaN,NaN,NaN
1630,148.043,15,0.254,3.984,24.39,NaN,NaN
1632,148.304,16,NaN,NaN,NaN,NaN,NaN
1634,148.565,16,NaN,NaN,NaN,NaN,NaN
1635,148.696,NaN,0.19,4.164,24.6,NaN,15.28
1636,148.826,12,NaN,NaN,NaN,NaN,NaN
1638,149.087,16,NaN,NaN,NaN,NaN,NaN
1640,149.348,16,0.5,4.012,26.28,NaN,17.25
1642,149.609,15,NaN,NaN,NaN,NaN,NaN
1644,149.87,15,NaN,NaN,NaN,NaN,NaN
1645,150,NaN,0.767,4.061,24.36,NaN,18.871
1648,150.391,16,0.475,3.937,25.26,NaN,16.178
1650,150.652,17,NaN,NaN,NaN,NaN,NaN
1652,150.913,17,0.401,4.016,26.03,NaN,13.243
1654,151.174,16,NaN,NaN,NaN,NaN,NaN
1655,151.304,NaN,0.664,4.149,26.74,NaN,NaN
1656,151.435,16,NaN,NaN,NaN,NaN,NaN
1658,151.696,16,NaN,NaN,NaN,NaN,NaN
1660,151.957,15,0.611,4.213,25.93,NaN,17.352
1662,152.217,16,NaN,NaN,NaN,NaN,NaN
1664,152.478,16,NaN,NaN,NaN,NaN,NaN
1665,152.609,NaN,0.757,3.914,25.27,NaN,NaN
1666,152.739,15,NaN,NaN,NaN,NaN,NaN
1668,153,15,NaN,NaN,NaN,NaN,NaN
1670,153.261,15,0.773,4.241,26.28,NaN,15.389
1672,153.522,14,NaN,NaN,NaN,NaN,NaN
1674,153.783,14,NaN,NaN,NaN,NaN,NaN
1675,153.913,NaN,1.061,4.19,24.81,NaN,NaN
1676,154.043,16,NaN,NaN,NaN,NaN,NaN
1678,154.304,15,NaN,NaN,NaN,NaN,NaN
1680,154.565,16,1.12,3.726,25.6,NaN,16.139
1682,154.826,16,NaN,NaN,NaN,NaN,NaN
1684,155.087,14,NaN,NaN,NaN,NaN,NaN
1685,155.217,NaN,1.156,4.259,25.6,NaN,NaN
1686,155.348,15,NaN,NaN,NaN,NaN,NaN
1688,155.609,13,NaN,NaN,NaN,NaN,NaN
1690,155.87,14,0.671,4.124,25.41,NaN,15.725
1692,156.13,15,NaN,NaN,NaN,NaN,NaN
1694,156.391,16,NaN,NaN,NaN,NaN,NaN
1695,156.522,NaN,0.648,4.493,25.43,NaN,NaN
1696,156.652,14,NaN,NaN,NaN,NaN,NaN
1698,156.913,13,NaN,NaN,NaN,NaN,NaN
1700,157.174,12,0.469,4.294,24.84,NaN,16.786
1702,157.435,12,NaN,NaN,NaN,NaN,NaN
1704,157.696,14,NaN,NaN,NaN,NaN,NaN
1705,157.826,NaN,0.564,4.421,25.65,NaN,NaN
1706,157.957,13,NaN,NaN,NaN,NaN,NaN
1708,158.217,12,NaN,NaN,NaN,NaN,NaN
1710,158.478,13,0.169,4.228,26.29,NaN,20.579
1712,158.739,12,NaN,NaN,NaN,NaN,NaN
1714,159,11,NaN,NaN,NaN,NaN,NaN
1715,159.13,NaN,0.344,4.213,24.64,NaN,NaN
1716,159.261,10,NaN,NaN,NaN,NaN,NaN
1718,159.522,11,NaN,NaN,NaN,NaN,NaN
1720,159.783,12,0.045,4.362,26.15,NaN,17.817
1722,160.043,13,NaN,NaN,NaN,NaN,NaN
1724,160.304,14,NaN,NaN,NaN,NaN,NaN
1725,160.435,NaN,0.514,4.052,26.55,NaN,NaN
1726,160.565,11,NaN,NaN,NaN,NaN,NaN
1728,160.826,12,NaN,NaN,NaN,NaN,NaN
1730,161.087,12,0.632,4.259,25.76,NaN,17.639
1732,161.348,11,NaN,NaN,NaN,NaN,NaN
1734,161.609,11,NaN,NaN,NaN,NaN,NaN
1735,161.739,NaN,0.236,4.119,25.97,NaN,NaN
1736,161.87,12,NaN,NaN,NaN,NaN,NaN
1738,162.13,11,NaN,NaN,NaN,NaN,NaN
1740,162.391,11,-0.209,4.331,25.75,NaN,18.704
1742,162.652,10,NaN,NaN,NaN,NaN,NaN
1744,162.913,10,NaN,NaN,NaN,NaN,NaN
1745,163.043,NaN,-0.284,4.067,25.87,NaN,NaN
1746,163.174,9,NaN,NaN,NaN,NaN,NaN
1748,163.435,11,NaN,NaN,NaN,NaN,NaN
1750,163.696,10,-0.039,4.188,25.46,NaN,25.422
1752,163.957,11,NaN,NaN,NaN,NaN,NaN
1754,164.217,10,NaN,NaN,NaN,NaN,NaN
1755,164.348,NaN,-0.284,4.217,26.69,NaN,NaN
1756,164.478,10,NaN,NaN,NaN,NaN,NaN
1758,164.739,10,NaN,NaN,NaN,NaN,NaN
1760,165,10,-0.493,4.208,25.27,NaN,27.011
1762,165.341,10,NaN,NaN,NaN,NaN,NaN
1764,165.681,11,NaN,NaN,NaN,NaN,NaN
1765,165.852,NaN,-0.11,4.128,26.24,NaN,NaN
1766,166.022,12,NaN,NaN,NaN,NaN,NaN
1768,166.363,12,NaN,NaN,NaN,NaN,NaN
1770,166.704,11,-0.756,4.068,25.93,NaN,31.837
1772,167.044,10,NaN,NaN,NaN,NaN,NaN
1774,167.385,12,NaN,NaN,NaN,NaN,NaN
1775,167.556,NaN,-0.919,3.9,25.44,NaN,NaN
1776,167.726,12,NaN,NaN,NaN,NaN,NaN
1778,168.067,11,NaN,NaN,NaN,NaN,NaN
1780,168.407,12,-0.458,3.663,26.26,NaN,31.263
1782,168.748,11,NaN,NaN,NaN,NaN,NaN
1784,169.089,12,NaN,NaN,NaN,NaN,NaN
1785,169.259,NaN,-1.469,3.826,25.93,NaN,NaN
1786,169.43,11,NaN,NaN,NaN,NaN,NaN
1788,169.77,11,NaN,NaN,NaN,NaN,NaN
1790,170.111,11,-0.502,3.752,26.24,NaN,26.908
1792,170.452,11,NaN,NaN,NaN,NaN,NaN
1794,170.793,10,NaN,NaN,NaN,NaN,NaN
1795,170.963,NaN,-1.157,4.005,24.89,NaN,NaN
1796,171.133,9,NaN,NaN,NaN,NaN,NaN
1798,171.474,11,-0.369,4.023,25.35,NaN,20.241
1800,171.815,10,NaN,NaN,NaN,NaN,NaN
1802,172.156,9,-0.198,3.939,25.51,NaN,NaN
1804,172.496,10,NaN,NaN,NaN,NaN,NaN
1805,172.667,NaN,-0.281,3.778,26.74,NaN,19.875
1806,172.837,9,NaN,NaN,NaN,NaN,NaN
1808,173.178,9,NaN,NaN,NaN,NaN,NaN
1810,173.519,8,-0.281,3.527,25.4,NaN,NaN
1812,173.859,8,NaN,NaN,NaN,NaN,NaN
1814,174.2,9,NaN,NaN,NaN,NaN,NaN
1815,174.37,NaN,0.03,4.254,25.87,NaN,31.223
1816,174.541,8,NaN,NaN,NaN,NaN,NaN
1818,174.881,9,NaN,NaN,NaN,NaN,NaN
1820,175.222,7,0,3.93,25.14,NaN,NaN
1822,175.563,9,NaN,NaN,NaN,NaN,NaN
1824,175.904,9,NaN,NaN,NaN,NaN,NaN
1825,176.074,NaN,0.59,4.051,25.88,NaN,22.198
1826,176.244,9,NaN,NaN,NaN,NaN,NaN
1828,176.585,9,NaN,NaN,NaN,NaN,NaN
1830,176.926,9,0.305,4.001,25.08,NaN,NaN
1832,177.267,10,NaN,NaN,NaN,NaN,NaN
1834,177.607,10,NaN,NaN,NaN,NaN,NaN
1835,177.778,NaN,-0.009,4.062,24.55,NaN,18.367
1836,177.948,9,NaN,NaN,NaN,NaN,NaN
1838,178.289,11,NaN,NaN,NaN,NaN,NaN
1840,178.63,11,-0.114,3.84,24.9,NaN,NaN
1842,178.97,11,NaN,NaN,NaN,NaN,NaN
1844,179.311,10,NaN,NaN,NaN,NaN,NaN
1845,179.481,NaN,-0.026,3.952,25.04,NaN,19.498
1846,179.652,11,NaN,NaN,NaN,NaN,NaN
1848,179.993,10,NaN,NaN,NaN,NaN,NaN
1850,180.333,9,-0.295,4.17,24.29,NaN,NaN
1852,180.674,11,NaN,NaN,NaN,NaN,NaN
1854,181.015,10,NaN,NaN,NaN,NaN,NaN
1855,181.185,NaN,-0.528,3.983,23.77,NaN,23.224
1856,181.356,9,NaN,NaN,NaN,NaN,NaN
1858,181.696,10,NaN,NaN,NaN,NaN,NaN
1860,182.037,11,-0.623,4.048,24.98,NaN,NaN
1862,182.378,11,NaN,NaN,NaN,NaN,NaN
1864,182.719,11,NaN,NaN,NaN,NaN,NaN
1865,182.889,NaN,-0.62,3.978,24.19,NaN,23.919
1866,183.059,11,NaN,NaN,NaN,NaN,NaN
1868,183.4,9,NaN,NaN,NaN,NaN,NaN
1870,183.741,12,-0.303,3.816,25.02,NaN,NaN
1872,184.081,12,NaN,NaN,NaN,NaN,NaN
1874,184.422,12,NaN,NaN,NaN,NaN,NaN
1875,184.593,NaN,-0.528,3.825,24.28,NaN,21.155
1876,184.763,12,NaN,NaN,NaN,NaN,NaN
1878,185.104,12,NaN,NaN,NaN,NaN,NaN
1880,185.444,11,-0.609,3.826,26.38,NaN,NaN
1882,185.785,12,NaN,NaN,NaN,NaN,NaN
1884,186.126,13,NaN,NaN,NaN,NaN,NaN
1885,186.296,NaN,-0.481,3.971,25.9,NaN,19.842
1886,186.467,12,NaN,NaN,NaN,NaN,NaN
1888,186.807,11,NaN,NaN,NaN,NaN,NaN
1890,187.148,13,-0.614,3.72,25.39,NaN,NaN
1892,187.489,13,NaN,NaN,NaN,NaN,NaN
1894,187.83,13,NaN,NaN,NaN,NaN,NaN
1895,188,NaN,-0.469,4.089,26.45,NaN,20.798
1896,188.232,13,NaN,NaN,NaN,NaN,NaN
1898,188.696,14,NaN,NaN,NaN,NaN,NaN
1900,189.16,13,-0.474,3.795,26.99,NaN,NaN
1902,189.624,12,NaN,NaN,NaN,NaN,NaN
1904,190.088,11,NaN,NaN,NaN,NaN,NaN
1905,190.32,NaN,-0.72,3.574,26.43,NaN,18.491
1906,190.552,11,NaN,NaN,NaN,NaN,NaN
1908,191.016,12,NaN,NaN,NaN,NaN,NaN
1910,191.48,10,-1.017,3.286,26.27,NaN,NaN
1912,191.944,11,NaN,NaN,NaN,NaN,NaN
1914,192.408,9,NaN,NaN,NaN,NaN,NaN
1915,192.64,NaN,-0.625,2.914,25.75,NaN,18.881
1916,192.872,9,NaN,NaN,NaN,NaN,NaN
1918,193.336,9,NaN,NaN,NaN,NaN,NaN
1920,193.8,9,-1.033,2.856,27.28,NaN,NaN
1922,194.264,7,NaN,NaN,NaN,NaN,NaN
1924,194.728,8,NaN,NaN,NaN,NaN,NaN
1925,194.96,NaN,-0.928,3.556,27.31,NaN,21.776
1926,195.192,7,NaN,NaN,NaN,NaN,NaN
1928,195.656,7,NaN,NaN,NaN,NaN,NaN
1930,196.12,6,-0.856,3.212,28.66,NaN,NaN
1932,196.584,8,NaN,NaN,NaN,NaN,NaN
1934,197.048,14,NaN,NaN,NaN,NaN,NaN
1935,197.28,NaN,-0.899,2.878,27.89,NaN,24.415
1936,197.512,7,NaN,NaN,NaN,NaN,NaN
1938,197.976,8,NaN,NaN,NaN,NaN,NaN
1940,198.44,7,-1.127,3.374,28.74,NaN,NaN
1942,198.904,6,NaN,NaN,NaN,NaN,NaN
1944,199.368,5,NaN,NaN,NaN,NaN,NaN
1945,199.6,NaN,-0.523,3.456,26.29,NaN,21.532
1948,200.296,6,-0.536,3.571,27.03,NaN,NaN
1950,200.76,5,NaN,NaN,NaN,NaN,NaN
1952,201.224,7,-0.462,3.394,25.47,NaN,21.945
1954,201.688,6,NaN,NaN,NaN,NaN,NaN
1955,201.92,NaN,-0.528,3.294,25.48,NaN,NaN
1956,202.152,5,NaN,NaN,NaN,NaN,NaN
1958,202.616,6,NaN,NaN,NaN,NaN,NaN
1960,203.08,7,-0.348,3.397,25.76,NaN,21.484
1962,203.544,4,NaN,NaN,NaN,NaN,NaN
1964,204.008,7,NaN,NaN,NaN,NaN,NaN
1965,204.24,NaN,-0.429,3.506,24.96,NaN,NaN
1966,204.472,8,NaN,NaN,NaN,NaN,NaN
1968,204.936,8,NaN,NaN,NaN,NaN,NaN
1970,205.4,8,-0.416,3.142,25.3,NaN,22.825
1972,205.864,9,NaN,NaN,NaN,NaN,NaN
1974,206.328,7,NaN,NaN,NaN,NaN,NaN
1975,206.56,NaN,-0.761,3.29,25.12,NaN,NaN
1976,206.792,9,NaN,NaN,NaN,NaN,NaN
1978,207.256,10,NaN,NaN,NaN,NaN,NaN
1980,207.72,10,-1.07,3.235,25.75,NaN,20.259
1982,208.184,12,NaN,NaN,NaN,NaN,NaN
1984,208.648,9,NaN,NaN,NaN,NaN,NaN
1985,208.88,NaN,-1.008,3.191,24.77,NaN,NaN
1986,209.112,12,NaN,NaN,NaN,NaN,NaN
1988,209.576,12,NaN,NaN,NaN,NaN,NaN
1990,210.04,13,-0.828,3.022,26.47,NaN,26.562
1992,210.504,14,NaN,NaN,NaN,NaN,NaN
1994,210.968,13,NaN,NaN,NaN,NaN,NaN
1995,211.2,NaN,-0.709,3.04,27.07,NaN,NaN
1996,211.432,12,NaN,NaN,NaN,NaN,NaN
1998,211.896,14,NaN,NaN,NaN,NaN,NaN
2000,212.36,13,-0.938,2.769,27.04,NaN,15.094
2002,212.824,14,NaN,NaN,NaN,NaN,NaN
2004,213.288,12,NaN,NaN,NaN,NaN,NaN
2005,213.52,NaN,-1.069,2.731,26.54,NaN,NaN
2006,213.752,14,NaN,NaN,NaN,NaN,NaN
2008,214.216,13,NaN,NaN,NaN,NaN,NaN
2010,214.68,12,-1.225,2.623,26.41,NaN,19.6
2012,215.144,12,NaN,NaN,NaN,NaN,NaN
2014,215.608,12,NaN,NaN,NaN,NaN,NaN
2015,215.84,NaN,-1.344,2.617,27.86,NaN,NaN
2016,216.072,12,NaN,NaN,NaN,NaN,NaN
2018,216.536,12,NaN,NaN,NaN,NaN,NaN
2020,217,13,-1.982,2.546,27.66,NaN,13.644
2022,217.8,12,NaN,NaN,NaN,NaN,NaN
2024,218.6,13,NaN,NaN,NaN,NaN,NaN
2025,219,NaN,-0.611,2.985,26.55,NaN,NaN
2026,219.4,12,NaN,NaN,NaN,NaN,NaN
2028,220.2,13,NaN,NaN,NaN,NaN,NaN
2030,221,13,-0.97,3.56,27.25,NaN,16.137
2032,221.8,12,NaN,NaN,NaN,NaN,NaN
2034,222.6,12,NaN,NaN,NaN,NaN,NaN
2035,223,NaN,-1.095,4.281,26.77,NaN,NaN
2036,223.119,11,NaN,NaN,NaN,NaN,NaN
2038,223.356,13,NaN,NaN,NaN,NaN,NaN
2040,223.593,14,-1.375,4.272,28.04,NaN,19.17
2042,223.83,13,NaN,NaN,NaN,NaN,NaN
2044,224.067,12,NaN,NaN,NaN,NaN,NaN
2045,224.185,NaN,-0.663,4.135,27.31,NaN,NaN
2046,224.304,13,NaN,NaN,NaN,NaN,NaN
2048,224.541,11,NaN,NaN,NaN,NaN,NaN
2050,224.778,11,-0.569,4.227,26.24,NaN,19.32
2052,225.015,11,NaN,NaN,NaN,NaN,NaN
2054,225.252,11,NaN,NaN,NaN,NaN,NaN
2055,225.37,NaN,-0.58,3.304,25.75,NaN,NaN
2056,225.489,11,NaN,NaN,NaN,NaN,NaN
2058,225.726,11,NaN,NaN,NaN,NaN,NaN
2060,225.963,12,-0.733,3.573,25.5,NaN,20.206
2062,226.2,12,NaN,NaN,NaN,NaN,NaN
2064,226.437,11,NaN,NaN,NaN,NaN,NaN
2065,226.556,NaN,-0.972,4.09,26.26,NaN,NaN
2066,226.674,12,NaN,NaN,NaN,NaN,NaN
2068,226.911,11,NaN,NaN,NaN,NaN,NaN
2070,227.148,11,-0.428,4.132,26.34,NaN,24.631
2072,227.385,12,NaN,NaN,NaN,NaN,NaN
2074,227.622,11,NaN,NaN,NaN,NaN,NaN
2075,227.741,NaN,-0.755,NaN,25.99,NaN,NaN
2076,227.859,12,NaN,NaN,NaN,NaN,NaN
2078,228.096,12,NaN,NaN,NaN,NaN,NaN
2080,228.333,11,-0.488,4.151,27.19,NaN,22.056
2082,228.57,11,NaN,NaN,NaN,NaN,NaN
2084,228.807,12,NaN,NaN,NaN,NaN,NaN
2085,228.926,NaN,-0.687,4.064,25.7,NaN,NaN
2086,229.044,10,NaN,NaN,NaN,NaN,NaN
2088,229.281,8,NaN,NaN,NaN,NaN,NaN
2090,229.519,6,-0.319,4.2,26.7,NaN,16.745
2092,229.756,9,NaN,NaN,NaN,NaN,NaN
2094,229.993,12,NaN,NaN,NaN,NaN,NaN
2095,230.111,NaN,-0.735,4.088,24.46,NaN,NaN
2096,230.23,10,NaN,NaN,NaN,NaN,NaN
2098,230.467,13,-0.17,4.006,25.18,NaN,17.867
2100,230.704,12,NaN,NaN,NaN,NaN,NaN
2102,230.941,11,-0.784,3.976,25.58,NaN,NaN
2104,231.178,10,NaN,NaN,NaN,NaN,NaN
2105,231.296,NaN,-0.918,4.072,25.8,NaN,22.242
2106,231.415,10,NaN,NaN,NaN,NaN,NaN
2108,231.652,12,NaN,NaN,NaN,NaN,NaN
2110,231.889,12,-0.735,3.944,29.81,NaN,NaN
2112,232.126,10,NaN,NaN,NaN,NaN,NaN
2114,232.363,9,NaN,NaN,NaN,NaN,NaN
2115,232.481,NaN,-0.362,3.846,25.55,NaN,19.41
2116,232.6,8,NaN,NaN,NaN,NaN,NaN
2118,232.837,8,NaN,NaN,NaN,NaN,NaN
2120,233.074,7,-0.702,3.931,25.5,NaN,NaN
2122,233.311,9,NaN,NaN,NaN,NaN,NaN
2124,233.548,7,NaN,NaN,NaN,NaN,NaN
2125,233.667,NaN,-0.707,3.866,26.57,NaN,25.89
2126,233.785,8,NaN,NaN,NaN,NaN,NaN
2128,234.022,7,NaN,NaN,NaN,NaN,NaN
2130,234.259,5,-0.866,3.588,26.79,NaN,NaN
2132,234.496,7,NaN,NaN,NaN,NaN,NaN
2134,234.733,7,NaN,NaN,NaN,NaN,NaN
2135,234.852,NaN,-0.859,4.002,26.18,NaN,28.903
2136,234.97,8,NaN,NaN,NaN,NaN,NaN
2138,235.207,9,NaN,NaN,NaN,NaN,NaN
2140,235.444,8,-0.807,3.933,26.75,NaN,NaN
2142,235.681,8,NaN,NaN,NaN,NaN,NaN
2144,235.919,8,NaN,NaN,NaN,NaN,NaN
2145,236.037,NaN,-1.264,3.777,27.41,NaN,28.468
2146,236.156,9,NaN,NaN,NaN,NaN,NaN
2148,236.393,10,NaN,NaN,NaN,NaN,NaN
2150,236.63,10,-1.194,3.822,27.28,NaN,NaN
2152,236.867,10,NaN,NaN,NaN,NaN,NaN
2154,237.104,9,NaN,NaN,NaN,NaN,NaN
2155,237.222,NaN,-1.603,3.139,27.5,NaN,25.985
2156,237.341,9,NaN,NaN,NaN,NaN,NaN
2158,237.578,12,NaN,NaN,NaN,NaN,NaN
2160,237.815,10,-1.099,2.7,28.81,NaN,NaN
2162,238.052,10,NaN,NaN,NaN,NaN,NaN
2164,238.289,11,NaN,NaN,NaN,NaN,NaN
2165,238.407,NaN,-1.812,3.004,30.3,NaN,18.657
2166,238.526,8,NaN,NaN,NaN,NaN,NaN
2168,238.763,11,NaN,NaN,NaN,NaN,NaN
2170,239,10,-1.431,2.894,29.99,NaN,NaN
2172,239.236,11,NaN,NaN,NaN,NaN,NaN
2174,239.473,11,NaN,NaN,NaN,NaN,NaN
2175,239.591,NaN,-1.116,3.022,28.41,NaN,19.85
2176,239.709,12,NaN,NaN,NaN,NaN,NaN
2178,239.945,12,NaN,NaN,NaN,NaN,NaN
2180,240.182,12,-0.074,3.232,26.82,NaN,NaN
2182,240.418,12,NaN,NaN,NaN,NaN,NaN
2184,240.655,12,NaN,NaN,NaN,NaN,NaN
2185,240.773,NaN,-0.433,3.159,26.72,NaN,22.807
2186,240.891,12,NaN,NaN,NaN,NaN,NaN
2188,241.127,11,NaN,NaN,NaN,NaN,NaN
2190,241.364,14,-0.414,2.948,26.3,NaN,NaN
2192,241.6,15,NaN,NaN,NaN,NaN,NaN
2194,241.836,16,NaN,NaN,NaN,NaN,NaN
2195,241.955,NaN,-0.418,3.383,25.65,NaN,18.594
2196,242.073,17,NaN,NaN,NaN,NaN,NaN
2198,242.309,18,NaN,NaN,NaN,NaN,NaN
2200,242.545,17,-0.124,3.199,26.59,NaN,NaN
2202,242.782,17,NaN,NaN,NaN,NaN,NaN
2204,243.018,18,NaN,NaN,NaN,NaN,NaN
2205,243.136,NaN,-0.524,3.286,25.87,NaN,16.549
2206,243.255,18,NaN,NaN,NaN,NaN,NaN
2208,243.491,19,NaN,NaN,NaN,NaN,NaN
2210,243.727,19,-0.383,3.208,25.84,NaN,NaN
2212,243.964,19,NaN,NaN,NaN,NaN,NaN
2214,244.2,23,NaN,NaN,NaN,NaN,NaN
2215,244.318,NaN,-0.981,3.49,26.36,NaN,12.738
2216,244.436,23,NaN,NaN,NaN,NaN,NaN
2218,244.673,24,NaN,NaN,NaN,NaN,NaN
2220,244.909,24,-0.591,NaN,30.6,NaN,NaN
2222,245.145,23,NaN,NaN,NaN,NaN,NaN
2224,245.382,25,NaN,NaN,NaN,NaN,NaN
2225,245.5,NaN,-0.168,NaN,29.28,NaN,4.52
2226,245.618,35,NaN,NaN,NaN,NaN,NaN
2228,245.855,28,NaN,NaN,NaN,NaN,NaN
2230,246.091,24,0.08,NaN,27.26,NaN,NaN
2232,246.327,30,NaN,NaN,NaN,NaN,NaN
2234,246.564,27,NaN,NaN,NaN,NaN,NaN
2235,246.682,NaN,-0.782,3.77,25.27,NaN,4.109
2236,246.8,30,NaN,NaN,NaN,NaN,NaN
2238,247.036,26,NaN,NaN,NaN,NaN,NaN
2240,247.273,27,-0.922,NaN,NaN,NaN,NaN
2242,247.509,28,NaN,NaN,NaN,NaN,NaN
2244,247.745,22,NaN,NaN,NaN,NaN,NaN
2245,247.864,NaN,-0.762,NaN,NaN,NaN,5.118
2246,247.982,23,NaN,NaN,NaN,NaN,NaN
2248,248.218,15,-0.638,NaN,NaN,NaN,NaN
2250,248.455,23,NaN,NaN,NaN,NaN,NaN
2252,248.691,24,-0.917,NaN,NaN,NaN,3.427
2254,248.927,26,NaN,NaN,NaN,NaN,NaN
2255,249.045,NaN,-0.556,NaN,NaN,NaN,NaN
2256,249.164,30,NaN,NaN,NaN,NaN,NaN
2258,249.4,32,NaN,NaN,NaN,NaN,NaN
2260,249.636,35,-0.236,NaN,NaN,NaN,2.982
2262,249.873,30,NaN,NaN,NaN,NaN,NaN
2264,250.109,30,NaN,NaN,NaN,NaN,NaN
2265,250.227,NaN,0.131,NaN,NaN,NaN,NaN
2266,250.345,32,NaN,NaN,NaN,NaN,NaN
2268,250.582,33,NaN,NaN,NaN,NaN,NaN
2270,250.818,31,-0.091,NaN,NaN,NaN,2.243
2272,251.055,35,NaN,NaN,NaN,NaN,NaN
2274,251.291,34,NaN,NaN,NaN,NaN,NaN
2275,251.409,NaN,0.265,NaN,NaN,NaN,NaN
