# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871934. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth cr mean [rmcd],Age [ka BP],δ18O bulk carb [‰ PDB]
7.71,114.69,2.48
7.725,114.87,2.4
7.745,115.1,2.41
7.765,115.34,2.48
7.785,115.57,2.32
7.805,115.81,2.25
7.825,116.04,2.08
7.845,116.28,2.31
7.865,116.52,2.21
7.885,116.75,2.14
7.905,116.99,2.16
7.925,117.22,2.13
7.945,117.46,2.18
7.965,117.69,2.14
7.985,117.93,2.18
8.005,118.17,2.02
8.025,118.4,1.95
8.045,118.64,1.9
8.065,118.87,1.84
8.085,119.11,1.72
8.105,119.34,1.61
8.125,119.58,1.64
8.145,119.81,1.61
8.165,120.05,1.59
8.185,120.29,1.76
8.205,120.52,1.46
8.225,120.76,1.53
8.245,120.99,1.45
8.265,121.23,1.42
8.285,121.46,1.33
8.305,121.7,1.48
8.325,121.93,1.49
8.345,122.17,1.43
8.365,122.41,1.43
8.385,122.64,1.47
8.405,122.88,1.47
8.425,123.11,1.47
8.445,123.35,1.5
8.465,123.58,1.55
8.485,123.82,1.45
8.505,124.06,1.41
8.525,124.29,1.43
8.545,124.53,1.37
8.565,124.76,1.32
8.585,125,0.95
8.605,125.23,1.27
8.625,125.47,1.3
8.645,125.7,1.15
8.665,125.94,0.96
8.685,126.18,1.25
8.705,126.41,1.01
8.725,126.65,1.13
8.745,126.88,0.57
8.765,127.21,-0.6
8.785,127.64,0.62
8.805,128.07,-0.23
8.825,128.5,-3.22
8.845,128.93,-2.48
8.865,129.36,-1.68
8.885,129.79,-1.76
8.905,130.21,-2.9
8.925,130.64,-2.1
8.945,131.07,-0.5
8.965,131.5,0.27
8.985,131.93,-0.87
9.005,132.36,-0.05
9.025,132.79,0.17
9.045,133.21,-0.2
9.065,133.64,0.83
9.085,134.07,1.93
9.105,134.5,1.37
9.125,134.93,0.19
9.145,135.36,2.3
9.16,135.68,2.97
9.185,136.23,2.96
9.205,136.7,2.76
9.225,137.17,2.59
9.245,137.63,3.1
9.265,138.1,2.92
9.285,138.56,3.24
9.305,139.03,2.83
9.325,139.5,3.16
9.345,139.96,3.13
9.365,140.43,2.7
9.385,140.89,2.5
9.405,141.36,2.31
9.425,141.83,1.96
9.445,142.29,2.06
9.465,142.76,2.26
9.485,143.22,1.84
9.505,143.69,1.37
9.525,144.16,1.44
9.545,144.62,1.53
9.565,145.09,1.05
9.585,145.56,1.43
9.605,146.02,0.92
9.625,146.49,1.2
9.645,146.95,0.55
9.665,147.42,0.96
9.685,147.89,0.34
9.705,148.35,-0.77
9.725,148.82,-0.16
9.745,149.28,0.19
9.765,149.75,0.09
9.785,150.22,-0.12
9.805,150.68,0
9.825,151.15,-0.03
9.845,151.61,-0.34
9.865,152.08,0.17
9.885,152.55,-0.15
9.905,153.01,0.21
9.925,153.48,0.55
9.945,153.94,1.01
9.965,154.41,1.32
9.985,154.88,2.13
10.005,155.34,2.03
10.025,155.81,1.83
10.045,156.28,2.36
10.065,156.74,2.24
10.085,157.21,1.57
10.105,157.67,1.66
10.125,158.14,1.55
10.145,158.61,1.82
10.165,159.07,2.11
10.185,159.54,2.58
10.205,160,2.35
10.225,160.47,2.31
10.245,160.94,1.41
10.265,161.4,1.04
10.285,161.87,1.47
10.305,162.33,2.38
10.315,162.57,2.62
10.33,162.92,2.61
10.35,163.38,2.56
10.37,163.85,2.71
10.39,164.32,2.69
10.41,164.78,2.66
10.425,165.13,2.61
10.43,165.25,2.63
10.445,165.6,2.56
10.465,166.06,2.57
10.485,166.53,2.54
10.505,167,2.35
10.525,167.46,2.32
10.545,167.93,2.14
10.565,168.39,1.52
10.585,168.86,1.33
10.605,169.33,1.81
10.625,169.79,1.76
10.645,170.26,1.95
10.665,170.72,1.75
10.685,171.19,1.61
10.705,171.66,1.54
10.725,172.12,1.39
10.745,172.59,0.72
10.765,173.06,1.88
10.785,173.52,1.53
10.805,173.99,1.51
10.825,174.45,1.55
10.845,174.92,1.56
10.865,175.39,1.5
10.885,175.85,1.42
10.905,176.32,1.79
10.925,176.78,1.68
10.945,177.25,1.63
10.965,177.72,1.43
10.985,178.18,1.31
11.005,178.65,1.62
11.025,179.11,1.26
11.045,179.58,1.24
