/* DESCRIPTION:
Reference:	Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth (cm)	Age (kyrs, SFCP04)	wgt.%>63um
1405	73.894	3.1564
1407.5	73.973	3.1778
1410	74.051	3.7202
1412.5	74.13	3.2878
1415	74.208	4.2079
1417.5	74.287	3.3491
1420	74.366	3.7195
1422.5	74.444	4.1853
1425	74.523	3.8599
1427.5	74.601	3.4492
1430	74.68	3.231
1432.5	74.882	3.7904
1435	75.084	3.9735
1437.5	75.286	4.1813
1440	75.488	4.7678
1447	76.053	2.3663
1449.5	76.255	2.7617
1452	76.457	3.9571
1454.5	76.659	2.2623
1457	76.861	2.1029
1459.5	77.062	5.8442
1462	77.264	10.887
1464.5	77.466	14.723
1467	77.668	21.074
1469.5	77.87	13.114
1472	78.072	12.389
1474.5	78.274	13.773
1477	78.476	14.48
1479.5	78.678	11.422
1482	78.88	11.669
1484.5	79.082	9.322
1487	79.283	12.701
1489.5	79.485	9.1394
1492	79.687	9.1881
1494.5	79.889	7.7965
1497	80.091	5.7444
1499.5	80.293	4.6911
1502	80.402	6.3713
1504.5	80.511	4.2478
1507	80.62	5.1515
1509.5	80.729	4.5596
1512	80.838	10.254
1514.5	80.947	6.2217
1517	81.056	4.6017
1519.5	81.165	3.0164
1522	81.274	3.0106
1524.5	81.383	3.7804
1527	81.492	5.988
1529.5	81.601	5.1561
1532	81.71	4.2362
1534.5	81.819	3.7342
1537	81.928	2.986
1539.5	82.037	3.9861
1542	82.146	2.9153
1544.5	82.256	5.1118
1547	82.365	4.2025
1549.5	82.474	2.8211
1552	82.583	3.7742
1554.5	82.692	2.3622
1557	82.801	4.3653
1559.5	82.91	2.1971
1562	83.019	4.199
1564.5	83.128	3.3711
1567	83.237	3.7832
1569.5	83.346	4.3684
1572	83.455	2.4744
1574.5	83.564	4.1138
1577	83.673	6.0893
1579.5	83.782	8.1088
1582	83.891	13.319
1584.5	84	21.998
1587	84.255	14.762
1589.5	84.51	25.934
1592	84.765	26.9
1594.5	85.02	26.446
1601	85.684	13.865
1603.5	85.939	9.364
1606	86.194	9.7248
1608.5	86.449	7.6035
1611	86.704	9.3699
1613.5	86.959	5.6841
1616	87.214	3.5549
1618.5	87.469	3.4684
1621	87.724	3.0106
1623.5	87.98	4.0547
1626	88.235	8.9704
1628.5	88.49	8.3886
1631	88.745	7.7855
1633.5	89	7.9187
1636	89.733	8.3854
1638.5	90.466	7.7644
1641	91.199	9.6011
1643.5	91.932	6.8094
1646	92.664	5.471
1648.5	93.397	7.9138
1651	94.13	17.565
1653.5	94.863	9.498
1656	95.596	6.5759
1658.5	96.329	10.379
1661	97.062	6.9012
1663.5	97.795	5.7752
1666	98.527	5.6141
1668.5	99.26	4.8544
1671	99.779	6.608
1673.5	99.977	4.685
1676	100.18	4.1027
1678.5	100.37	5.0057
1681	100.57	3.6921
1683.5	100.77	3.6145
1686	100.97	5.8295
1688.5	101.17	4.7099
1691	101.36	4.3356
1693.5	101.56	4.2806
1696	101.76	4.8241
1698.5	101.96	4.2582
1701	102.16	3.4982
1703.5	102.36	3.3684
1706	102.55	4.4006
1708.5	102.75	4.4598
1711	102.95	4.8416
1713.5	103.15	3.7274
1716	103.35	3.8038
1718.5	103.54	3.0409
1721	103.74	2.9628
1723.5	103.94	3.1234
1726	104.14	2.8728
1728.5	104.34	4.1125
1731	104.54	3.3183
1733.5	104.73	2.7393
1736	104.93	4.4331
1738.5	105.13	2.038
1741	105.33	1.9818
1743.5	105.53	2.0184
1746	105.72	3.4068
1748.5	105.92	3.1159
1753	106.28	3.0062
1755.5	106.48	4.2127
1758	106.68	2.8209
1760.5	106.87	4.5377
1763	107.07	2.4246
1765.5	107.27	19.15
1768	107.47	2.7508
1770.5	107.67	4.0725
1773	107.87	2.2353
1775.5	108.06	6.5188
1778	108.26	6.808
1780.5	108.44	13.209
1783	108.55	16.258
1785.5	108.66	7.3036
1788	108.77	5.2644
1790.5	108.88	5.3496
1793	108.99	4.9575
1795.5	109.1	4.9017
1798	109.22	3.9301
1800.5	109.33	8.5549
1803	109.44	13.472
1805.5	109.55	7.9915
1808	109.66	9.5545
1810.5	109.77	10.966
1813	109.88	8.7542
1815.5	109.99	11.121
1818	110.1	4.3142
1820.5	110.21	6.3808
1823	110.32	5.9717
1825.5	110.43	8.5387
1828	110.54	7.7916
1830.5	110.65	6.0577
1833	110.76	18.198
1835.5	110.87	21.097
1838	110.98	17.507
1840.5	111.09	10.332
1843	111.2	20.572
1845.5	111.31	19.811
1848	111.42	11.351
1850.5	111.54	6.9385
1853	111.65	20.47
1855.5	111.76	21.387
1858	111.87	16.052
1860.5	111.98	20.52
1863	112.09	11.147
1865.5	112.2	9.8482
1868	112.31	11.29
1870.5	112.42	5.0502
1873	112.53	12.757
1875.5	112.64	20.819
1878	112.75	20.841
1880.5	112.86	9.2407
1883	112.97	5.4772
1885.5	113.08	4.7249
1888	113.19	10.392
1890.5	113.3	15.652
1893	113.41	6.9475
1895.5	113.52	8.2519
1898	113.63	6.5903
1907.5	114.05	3.557
1910	114.16	5.9404
1912.5	114.28	5.161
1915	114.39	7.3273
1917.5	114.5	6.5809
1920	114.61	7.0777
1922.5	114.72	5.5788
1925	114.83	3.7386
1927.5	114.94	4.8025
1930	115.05	5.1112
1932.5	115.16	3.1449
1935	115.27	3.7473
1937.5	115.38	5.5951
1940	115.49	5.0932
1942.5	115.6	3.8593
1945	115.71	3.9174
1947.5	115.82	4.0732
1950	115.93	3.0361
1952.5	116.04	2.9639
1955	116.15	3.3664
1957.5	116.26	3.6096
1960	116.37	2.4232
1962.5	116.48	3.8449
1965	116.6	2.8013
1967.5	116.71	3.4728
1970	116.82	4.5517
1972.5	116.93	3.4601
1975	117.04	3.0748
1977.5	117.15	2.7441
1980	117.26	2.8839
1982.5	117.37	3.0201
1985	117.48	3.125
1987.5	117.59	3.0354
1990	117.7	3.7214
1992.5	117.81	3.8117
1995	117.92	4.7619
1997.5	118.03	2.34
2000	118.14	3.1751
2002.5	118.25	3.2157
2005	118.36	2.2513
2007.5	118.47	2.7087
2010	118.58	3.4725
2012.5	118.69	4.1864
2015	118.8	3.5714
2017.5	118.92	2.5469
2020	119.03	3.8835
2022.5	119.14	2.4812
2025	119.25	3.3966
2027.5	119.36	3.4817
2030	119.47	2.6316
2032.5	119.58	2.7515
2035	119.65	3.2325
2037.5	119.72	3.6715
2040	119.78	3.4704
2042.5	119.85	3.4927
2045	119.92	3.2787
2047.5	119.98	3.5414
2050	120.05	2.6309
2052.5	120.11	2.7366
2055	120.18	3.2377
2061	120.33	4.3597
2063.5	120.4	3.6632
2066	120.47	3.7951
2068.5	120.53	4.4057
2071	120.6	5.3777
2073.5	120.66	4.7003
2076	120.73	4.7734
2078.5	120.79	7.1307
2081	120.86	5.4317
2083.5	120.93	5.3882
2086	120.99	5.7368
2088.5	121.06	6.016
2091	121.12	5.8881
2093.5	121.19	6.1631
2096	121.25	6.4471
2098.5	121.32	7.395
2101	121.39	5.1786
2103.5	121.45	7.1449
2106	121.52	8.1448
2108.5	121.58	6.2841
2111	121.65	6.0874
2113.5	121.71	6.326
2116	121.78	5.353
2118.5	121.84	7.1162
2121	121.91	7.6202
2123.5	121.98	6.6996
2126	122.04	5.6346
2128.5	122.11	6.6979
2131	122.17	10.95
2133.5	122.24	14.052
2136	122.3	6.3785
2138.5	122.37	6.8539
2141	122.43	6.6283
2143.5	122.5	6.7717
2146	122.57	12.423
2148.5	122.63	5.7588
2151	122.7	11.119
2153.5	122.76	3.986
2156	122.83	8.6166
2158.5	122.89	4.8712
2161	122.96	4.7322
2163.5	123.03	6.3809
2166	123.09	4.814
2168.5	123.16	5.2009
2171	123.22	5.0439
2173.5	123.29	4.6967
2176	123.35	5.0538
2178.5	123.42	7.6268
2181	123.49	16.615
2183.5	123.55	19.446
2186	123.62	7.5329
2188.5	123.68	6.7937
2191	123.75	3.2189
2193.5	123.81	3.7936
2196	123.88	4.4017
2198.5	123.94	5.2632
2201	124.01	6.3183
2203.5	124.08	5.7089
2206	124.14	4.9301
2208.5	124.21	5.9701
2213	124.32	6.9287
2215.5	124.39	3.4981
2218	124.46	4.8402
2220.5	124.52	5.5771
2223	124.59	4.8024
2225.5	124.65	5.196
2228	124.72	6.2474
2230.5	124.78	4.7523
2233	124.85	6.5672
2235.5	124.92	6.4516
2238	124.98	6.6683
2240.5	125.05	5.5911
2243	125.11	5.9167
2245.5	125.18	4.7644
2248	125.24	5.4856
2250.5	125.31	4.7024
2253	125.38	6.0574
2255.5	125.44	5.3196
2258	125.51	5.3914
2260.5	125.57	3.879
2263	125.64	3.9763
2265.5	125.7	4.8852
2268	125.77	4.4918
2270.5	125.83	4.1242
2273	125.9	4.9348
2275.5	125.97	3.9741
2278	126.03	5.1282
2280.5	126.1	6.0723
2283	126.16	4.9839
2285.5	126.23	4.7492
2288	126.29	5.1861
2290.5	126.36	4.3347
2293	126.43	5.4705
2295.5	126.49	6.1891
2298	126.56	5.0987
2300.5	126.62	5.8565
2303	126.69	6.7992
2305.5	126.75	6.1741
2308	126.82	6.8187
2310.5	126.88	4.9633
2313	126.95	5.8732
2315.5	127.02	5.7522
2318	127.08	6.7145
2320.5	127.15	5.6477
2323	127.21	8.6566
2325.5	127.28	9.1561
2328	127.34	7.9928
2330.5	127.41	7.6961
2333	127.47	8.3271
2335.5	127.54	8.1948
2338	127.61	5.7367
2340.5	127.67	10.924
2343	127.74	21.723
2345.5	127.8	20.242
2348	127.87	18.851
2350.5	127.93	19.409
2353	128	15.215
2355.5	128.07	24.159
2358	128.13	16.335
