# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
2421.34,17.1502,407.58
2422.34,17.175,406.55
2424.34,17.2245,409.08
2425.34,17.2496,412
2426.34,17.2738,413.7
2427.34,17.2976,412.19
2428.34,17.3247,409.4
2429.34,17.3499,410.22
2430.34,17.376,406
2431.34,17.4009,403.52
2432.34,17.4272,402.79
2434.34,17.4788,402.49
2435.34,17.5054,402.42
2436.42,17.5339,394.74
2437.34,17.5586,394.06
2438.34,17.5852,391.18
2439.39,17.6135,393.75
2440.34,17.6394,386.2
2441.34,17.6668,389.84
2442.34,17.6946,380.5
2444.34,17.7493,384.09
2445.34,17.7773,384.1
2446.34,17.8061,385.99
2447.34,17.8351,383.75
2448.34,17.864,381.84
2449.44,17.8969,383.52
2450.35,17.9238,385.51
2451.34,17.9543,383.94
2452.34,17.9847,383.74
2454.35,18.0479,385.53
2455.35,18.0794,377.76
2456.35,18.1103,378.64
2457.35,18.1416,376.02
2458.35,18.1739,376.1
2459.28,18.2038,375.89
2460.35,18.2386,373.9
2461.35,18.271,373.79
2462.35,18.3028,378.12
2464.35,18.3675,376.56
2465.34,18.4007,376.55
2466.35,18.4322,377.32
2467.35,18.4647,378.55
2468.25,18.494,384.36
2469.28,18.5272,381.8
2470.35,18.5618,376.95
2471.4,18.5951,374.57
2472.52,18.6303,379.86
2474.35,18.6879,377.41
2475.35,18.7195,373.32
2476.35,18.7518,374.46
2477.35,18.7835,375.36
2478.35,18.8153,376.92
2479.3,18.8454,378.75
2480.35,18.8796,379.23
2481.35,18.9119,378.12
2482.34,18.9443,376.87
2484.35,19.01,372.95
2485.35,19.0417,372.78
2486.35,19.0747,375.12
2487.3,19.1048,375.19
2488.34,19.1386,382.87
2489.35,19.1723,387.43
2490.35,19.2037,377.85
2491.3,19.2347,379.13
2492.35,19.2696,386.79
2494.35,19.3332,382.44
2495.52,19.3711,385.8
2496.35,19.3975,386.38
2497.35,19.4295,376.05
2498.35,19.4614,373.76
2499.35,19.4924,372.6
2500.35,19.5255,373.78
2501.3,19.5563,372.09
2502.35,19.5897,371.6
2504.35,19.6536,374.68
2505.35,19.6861,375.52
2506.35,19.7187,374.44
2507.35,19.7508,371.93
2508.25,19.7807,370.69
2509.3,19.815,370.55
2510.36,19.8508,369.12
2511.36,19.8831,367.6
2512.36,19.9167,371.31
2514.36,19.9824,374.97
2515.5,20.0192,371.33
2516.36,20.0479,374.28
2517.36,20.0806,372.17
2518.36,20.1143,365.71
2519.36,20.1467,366.95
2520.36,20.1797,376.95
2521.36,20.2126,379.06
2522.36,20.2446,374.04
2524.36,20.3073,370.49
2525.42,20.3408,372.99
2526.37,20.3702,374.28
2527.37,20.4009,374
2528.42,20.4332,371.15
2529.37,20.4626,368.6
2530.37,20.4939,367.04
2531.37,20.5264,362.27
2532.32,20.5561,363
2534.37,20.6212,371.8
2535.41,20.6559,369.53
2536.37,20.6874,369.56
2537.42,20.7226,372.86
2538.66,20.7635,371.65
2539.37,20.7868,372.44
2540.37,20.8211,374.77
2541.37,20.8561,374.03
2542.37,20.8893,372.91
2544.38,20.9588,376.67
2545.38,20.9928,381.04
2546.38,21.0269,380.98
2547.38,21.0607,373.18
2548.43,21.0964,372.19
2549.38,21.1294,370.79
2550.38,21.1636,373.4
2551.38,21.1976,373.66
2552.38,21.2325,376.31
2554.38,21.3027,372
2555.38,21.3377,363.53
2557.38,21.4076,363.41
2558.37,21.4422,361.51
2559.38,21.4777,364.65
2560.38,21.512,369.71
2561.38,21.5481,362.95
2562.38,21.5836,364.27
2563.48,21.6224,368.24
2564.95,21.6745,361.54
2565.38,21.6902,363.2
2566.38,21.7257,363.76
2567.37,21.762,364.82
2568.34,21.7965,363.15
2569.49,21.8371,361
2570.48,21.8727,358.83
2571.38,21.9047,363.2
2572.39,21.9393,363.07
2574.38,22.0085,364.86
2575.38,22.0429,360.89
2576.38,22.0782,362.23
2577.39,22.1128,361.26
2578.34,22.1456,359.75
2579.39,22.1803,369.29
2580.39,22.215,374.09
2581.39,22.2492,366.47
2582.39,22.2839,370.54
2584.39,22.3513,374.63
2585.39,22.3864,369.26
2586.39,22.4211,371.75
2587.44,22.4573,379.57
2588.34,22.4887,376.36
