/* DESCRIPTION:
Reference:	Elderfield, H et al. (2012): Evolution of ocean temperature and ice volume through the Mid-Pleistocene Climate Transition. Science, 337(6095), 704-709, https://doi.org/10.1126/science.1221294
Data from:	https://doi.org/10.1594/PANGAEA.786178. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	Uvigerina spp. δ18O [‰ PDB]	Uvigerina spp. δ13C [‰ PDB]	Mg/Ca [mmol/mol]
279.8	4.3	-0.84	0.858
280.4			1.01
280.8	3.98	-0.82	1.039
281.2	3.62	-1.27	0.991
281.7	4.25	-0.88	1.032
282.3	4.03	-0.95	0.95
282.7			1.096
283.3	4.18	-0.77	1.124
283.6	4.02	-0.76	
284.2	4.26	-1.05	1.073
285.1	4.17	-0.52	1.029
285.5	4	-0.44	1.186
286.1	4.04	-0.72	1.045
286.9	4.02	-0.77	1.184
287.2	3.92	-0.76	1.062
287.4	3.87	-0.72	
289.1	4.2	-0.8	1.072
289.3	4.03	-0.84	1.194
290.6	4.15	-1.1	1.258
290.8	4.26	-0.96	1.063
291.2	4.11	-0.93	1.07
292.7	4.28	-1.12	0.983
293.1	4.19	-1	1.17
293.7			0.995
294.4	4.47	-1.08	1.099
294.6			1.012
295	4.48	-1	0.845
296.6	4.11	-0.99	
297.8	4.4	-1.05	0.995
298.3	4.37	-1.03	
299.4	4.42	-1.05	
299.9	4.29	-0.86	0.962
301.1	4.63	-0.58	
301.6	4.15	-0.78	
303.2	4.11	-0.65	0.987
304.9	4.33	-0.91	1.099
306	4.24	-0.77	1.133
306.5	4.01	-0.83	1.03
308.1	4.16	-0.7	1.124
308.6	4.54	-0.78	0.992
309.8	3.98	-0.66	1.088
310.3	4.09	-0.83	1.004
311.1	3.96	-0.85	1.085
311.4	3.86	-0.84	1.153
312.6	3.97	-0.55	1.11
313.1	3.69	-0.91	1.216
314.4	3.81	-0.95	1.019
314.7	3.75	-0.83	1.049
316	4.02	-0.81	1.067
316.4	3.59	-0.94	1.134
317.7	3.85	-1	0.953
318	4.1	-0.77	1.14
319.9			1.088
320.4	3.88	-0.76	0.98
322.8	3.08	-0.25	1.248
323.5			1.11
325.2	3.57	-0.35	
325.9			1.223
327.6	3.39	-0.55	
328.3			1.108
330	3.32	-0.73	1.115
331.7			1.172
332.4	3.57	-0.88	
333.6	3.46	-0.84	1.184
334.6	4.03	-0.91	1.211
334.8	3.54	-0.61	1.038
335.3			1.141
335.5	4.39	-0.95	1.128
336.5	4.89	-1.12	1.115
337.2	4.67	-0.89	1.075
337.4	4.79	-1.17	0.965
338.2			1.015
338.4	4.78	-1.16	1.121
339.1	4.86	-1.22	0.942
339.4	5.23	-1.28	0.991
339.6	3.93	-1.11	1.138
340.3	5.12	-1.11	0.904
341.3	5.14	-1.22	0.973
342	4.77	-1.19	1.08
342.2	5.23	-1.19	0.938
343	5.16	-1.19	1.046
343.3	4.71	-1.07	0.974
343.7	5.09	-1.3	1.05
343.9	4.78	-1.24	1.141
344.5	5.03	-1.33	1.118
345.3	4.93	-1.29	1.065
345.9	4.64	-1.14	1.084
346	4.77	-1.03	
346.8	4.88	-1.31	1.011
347.2			0.986
347.6	4.97	-1.06	1.031
347.8	4.63	-1.08	1.109
348.4	4.78	-1.1	1.081
349.1	4.8	-1.2	1.032
349.7	4.75	-1.1	1.068
349.9	4.75	-1.24	1.045
350.7	4.74	-1.16	1.051
351.1	4.36	-1.09	0.982
351.4	4.64	-1.21	
351.6	4.43	-0.98	
352.2	4.79	-1.36	0.951
353	4.76	-1.31	1.026
353.2	4.18	-0.96	0.946
353.6	4.66	-1.25	1.063
353.8	4.83	-1.35	1.042
354.1	4.73	-1.33	1.113
355.3	4.73	-1.18	
356.7			1.014
357.2	4.7	-0.99	
358.6			0.983
