# DESCRIPTION:
# Reference: Dickson, AJ et al. (2008): Centennial-scale evolution of Dansgaard-Oeschger events in the northeast Atlantic Ocean between 39.5 and 56.5 ka B.P. Paleoceanography, 23(3), PA3206, https://doi.org/10.1029/2008PA001595
# Data from: https://doi.org/10.1594/PANGAEA.832404. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],N. pachyderma s [%] (Counting >150 µm fraction),IRD [#/g] (Counting >150 µm fraction),SST sum [°C] (Artificial Neural Network (ANN)),SST sum [°C] (Modern analog technique (MAT)...),C. wuellerstorfi δ13C [‰ PDB],C. wuellerstorfi δ18O [‰ PDB],N. pachyderma s δ18O [‰ PDB],G. bulloides δ18O [‰ PDB]
27.57,51.71897,0,25.35,10.75,9.53,0.82,3.63,2.65,2.87
27.6,51.9931,2.94,12.84,,,0.6,3.66,2.79,2.7
27.62,52.17586,0.96,32.55,10.99,15.77,0.92,3.55,2.67,2.76
27.64,52.35862,0,6.65,,,0.96,3.4,3.04,2.81
27.66,52.54138,2.54,6.58,11.46,15.8,0.82,3.44,2.63,2.77
27.68,52.72414,3.88,25.42,,,0.92,3.58,2.04,2.77
27.7,52.9069,0.77,12.6,11.55,15.86,0.7,3.38,2.88,2.7
27.72,53.08966,0.95,20.15,,,0.87,3.39,2.61,2.9
27.74,53.27241,9.76,72.58,10.9,9.83,0.92,3.58,2.89,2.7
27.76,53.45517,7.92,54.78,,,0.58,3.58,3.18,2.85
27.78,53.63793,7.76,343.09,9.99,9.84,,,3.17,2.7
27.8,53.82069,30.33,247.41,,,,,3.13,2.52
27.82,54.00345,8.87,210.95,10.29,9.84,0.21,3.65,3.08,2.68
27.84,54.18621,1.85,249.85,,,0.15,3.51,3.28,2.7
27.85,54.27759,9.43,588.89,9.27,9.89,,,3.31,2.7
27.88,54.55172,30.91,791.85,,,,,3.13,2.59
27.9,54.73448,19.63,462.39,9.79,9.25,0.49,3.22,3.13,2.69
27.92,54.91724,33.33,784.08,,,0.49,3.07,3.3,2.52
27.94,55.1,69.23,249.46,6.58,7.5,,,3.3,
27.97,55.24609,93.33,668.66,,,0.51,3.24,3.23,
27.98,55.29478,95.05,398.38,3.81,3.83,,,3.32,
28,55.39217,97.09,813.06,,,0.51,3.22,3.26,
28.01,55.44087,7.41,842.11,9.25,9.41,,,3.51,2.57
28.02,55.48957,3.77,522.85,,,0.56,3.31,3.57,2.49
28.03,55.53826,13.76,268.05,9.33,10.83,0.64,3.36,3.3,2.63
28.04,55.58696,72.28,445.59,,,,,3.44,
28.06,55.68435,87.18,865.52,4.23,3.77,,,3.49,
28.07,55.73304,31.15,611.86,8.49,7.73,0.73,3.38,3.21,2.67
28.1,55.87913,57.66,981.01,8.33,7.4,0.84,3.46,3.56,2.74
28.12,55.97652,76.64,1053.23,,,,,3.61,
28.14,56.07391,69.15,1338.04,5.9,7.06,0.66,3.3,3.78,
28.16,56.1713,56.07,1143.09,,,,,3.35,
28.18,56.2687,40.95,1680.32,8.2,7.4,,,3.46,
28.2,56.36609,8.96,649.46,10.08,12.86,,,,2.77
