/* DESCRIPTION:
Reference:	Davtian, Nina; Bard, Edouard; Darfeuil, Sophie; Ménot, Guillemette; Rostek, Frauke (2021): The Novel Hydroxylated Tetraether Index RI‐OH′ as a Sea Surface Temperature Proxy for the 160‐45 ka BP Period Off the Iberian Margin. Paleoceanography and Paleoclimatology, 36(3), https://doi.org/10.1029/2020PA004077.
Data from:	https://doi.org/10.1594/PANGAEA.927622. Accessed 11 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	SST [°C] from Ri OH-GDGTs, Fietz et al. (2020)	SST [°C] from TEXH86, Darfeuil et al. (2016)	SST [°C] from UK'37 (Conte et al., 2006)
24.4	114.57	16.17	17.42	18.19
24.45	115.19	16.59	17.78	18.41
24.51	115.94	15.99	16.53	18.55
24.55	116.45	15.75	17.13	18.36
24.6	117.07	16	17.86	19.06
24.65	117.7	16.48	17.49	18.98
24.71	118.45	16.11	18	19.31
24.75	118.95	16.21	16.03	19.29
24.8	119.58	16.4	18.49	19.8
24.86	120.33	17.16	19.36	19.99
24.9	120.83	18.03	19.25	19.74
24.95	121.46	17.42	19.36	20.33
25	122.09	17.94	19.71	20.69
25.05	122.71	18.77	19.96	20.88
25.1	123.34	19.03	19.11	20.88
25.15	123.97	18.48	18.49	20.78
25.2	124.59	18.33	20.26	21.22
25.25	125.22	18.67	20.33	21.24
25.3	125.85	18.92	20.39	21.71
25.35	126.47	20.28	21.05	21.54
25.4	127.1	20.65	20.52	21.93
25.45	127.73	20.44	19.96	21.24
25.5	128.35	20.24	19.24	21.42
25.55	128.97	19.44	19.48	21.21
25.6	129.23			21.2
25.65	129.49	18.94	18.36	20.37
25.7	129.74	11.28	16.2	17.47
25.75	130	8.96	16.05	15.3
25.8	130.26	7.8	13.47	14.5
25.85	130.52	7.28	13.04	14.05
25.9	130.78	7.15	12.46	14.17
25.96	131.1	6.93	11.65	14.92
26	131.3	6.75	10.91	13.33
26.05	131.56	6.71	11.35	11.83
26.1	131.82	7	11.31	10.96
26.15	132.08	7.19	11.94	12.22
26.2	132.34	7.88	11.58	12.12
26.25	132.6	8.17	12.35	11.27
26.3	132.86	8.2	11.91	13.81
26.35	133.12	9.21	13.2	13.6
26.4	133.38	9.41	12.75	15.01
26.45	133.64	9.75	12.57	14.39
26.5	133.9	11.33	14.52	15.02
26.55	134.16	11.22	14.3	13.53
26.6	134.42	11.09	14	14.15
26.65	134.68	10.92	13.13	12.83
26.7	134.94	10.18	12.89	13.67
26.75	135.2	9.54	11.8	12.52
26.8	135.46	9.79	11.58	14.49
26.85	135.72	12.68	13.26	15.63
26.9	135.98	14.06	13.64	16.69
26.95	136.24	13.61	12.64	16.8
27	136.5	14.46	14.32	16.79
27.05	136.76	14.04	14.59	16.3
27.1	137.02	13.45	13.78	17.08
27.15	137.28	13.64	13.4	16.66
27.2	137.54	13.2	13.13	16.48
27.25	137.8	13.58	14.07	16.64
27.3	138.06	13.44	13.7	16.36
27.35	138.32	11.87	12.46	15.08
27.4	138.58	12.14	12.63	15.84
27.45	138.84	12.37	12.87	15.63
27.5	139.1	12.94	12.79	16.64
27.55	139.36	13.05	12.81	16.42
27.6	139.62	13.28	13.32	16.79
27.65	139.88	13.41	13.18	16.92
27.7	140.14	13.5	13.16	
27.75	140.4	13.56	13.32	16.68
27.8	140.66	13.43	13.27	16.64
27.85	140.92	13.3	12.59	16.31
27.9	141.18	13.48	13.25	16.4
27.95	141.44	13.51	13.53	16.2
28.01	141.75	12.09	13.66	15.19
28.05	141.96	12.28	13.26	15.2
28.1	142.22	13.14	13.81	16.07
28.15	142.48	13.51	15.48	15.82
28.2	142.74	12.69	13.95	15.66
28.25	143	13.51	14.2	15.95
28.3	143.26	12.34	13.68	16.69
28.35	143.52	13.69	14.36	16.18
28.4	143.78	13.2	14.19	15.41
28.46	144.09	11.86	14.21	13.64
28.5	144.3	12.01	13.82	13.72
28.55	144.56	12.13	13.93	13.97
28.6	144.82	11.01	13.8	13.68
28.65	145.08	12.14	13.44	14.55
28.7	145.34	13.66	14.29	15.79
28.75	145.59	13.03	13.58	15.23
28.8	145.85	11.81	14.02	13.44
28.85	146.11	12.02	13.29	13.78
28.9	146.37	10.92	13.9	11.9
28.95	146.63	11.19	14.01	13.74
29	146.89	12.14	13.53	13.25
29.05	147.15	12.59	11.35	15.43
29.1	147.41	13.4	12.92	15.84
29.14	147.62	12.02	11.46	13.75
29.2	147.93	11.22	13.69	12.28
29.25	148.19	11.22	13.55	12.39
29.3	148.45	10.58	13.98	10.89
29.35	148.71	9.26	12.94	13.84
29.4	148.97	9.91	12.72	11.6
29.45	149.23	10.81	13.44	13.35
29.5	149.49	10.33	13.68	12.62
29.55	149.75	9.6	12.29	11.03
29.6	150.01	9.63	12.07	10.77
29.65	150.27	9.28	12.13	9.78
29.7	150.53	9.59	12.34	9.37
29.75	150.79	9.39	11.72	10.64
29.81	151.11	9.36	11.09	8.22
29.85	151.31	8.85	11.83	10.33
29.9	151.59	8.84	11.41	11.52
29.95	151.93	8.92	12.08	10.13
30	152.27	9.36	12.24	10.12
30.05	152.61	10.42	12.44	11.37
30.11	153.02	10.19	12.67	11.64
30.15	153.29	9.49	12.27	11.62
30.2	153.63	9.1	11.93	11.12
30.25	153.97	8.8	11.3	10.91
30.3	154.32	8.66	11.09	9.43
30.35	154.66	8.45	10.87	9.73
30.4	155	8.6	11.47	9.63
30.45	155.34	8.66	11.2	9.3
30.5	155.68	8.71	11.51	8.67
30.55	156.02	8.7	12	8.13
30.6	156.36	8.82	11.52	8.45
30.65	156.7	8.89	11.65	8.91
30.7	157.04	8.8	11.59	9.23
30.75	157.39	8.36	10.56	9.86
30.8	157.73	8.37	10.28	9.34
30.85	158.07	8.12	7.94	10.22
30.9	158.41	8.7	9.88	10.34
30.95	158.75	8.98	4.01	12.33
31	159.09	9.42	10.32	13.57
31.05	159.43	10.05	10.99	13.81
31.1	159.77	10.44	11.12	14.42
31.15	160.11	12.74	11.54	14.85
31.2	160.45	12.48	11.07	16.17
31.25	160.78	10.91	5.44	15.14
31.3	161.05	10.16	11.67	12.19
31.35	161.32	10.95	11.45	12.58
31.4	161.6	10.91	4.68	13.25
31.45	161.87	10.43	5.46	12.64
31.49	162.08	10.24	10.69	
