# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
13.325,-7.2,-8.882
13.325,-6.914,-8.692
13.326,-6.287,-8.484
13.326,-6.664,-8.729
13.326,-6.9,-8.666
13.327,-6.984,-9.048
13.327,-6.93,-8.794
13.328,-6.805,-8.357
13.328,-6.453,-8.491
13.329,-6.484,-8.73
13.329,-6.308,-8.769
13.334,-6.353,-9.055
13.34,-5.687,-6.796
13.345,-7.011,-8.696
13.351,-5.884,-7.681
13.356,-6.371,-8.609
13.362,-6.081,-8.852
13.367,-5.959,-8.613
13.373,-6.263,-9.142
13.378,-6.183,-8.222
13.384,-6.044,-8.316
13.389,-5.794,-8.4
13.395,-5.951,-8.496
13.4,-5.73,-8.24
13.406,-6.144,-8.353
13.411,-6.646,-8.223
13.417,-6.816,-8.789
13.417,-6.471,-8.422
13.418,-6.795,-8.695
13.418,-7.143,-8.226
13.418,-6.109,-7.314
13.419,-6.259,-7.603
13.419,-6.864,-8.513
13.42,-6.67,-7.21
13.42,-6.537,-7.472
13.42,-6.355,-7.616
13.421,-6.426,-7.385
13.43,-6.569,-7.461
13.441,-6.56,-7.201
13.451,-6.396,-7.296
13.461,-6.518,-7.128
13.471,-6.981,-8.433
13.482,-6.4,-7.644
13.492,-7.077,-8.367
13.502,-7.471,-8.065
13.512,-8.18,-8.23
13.522,-7.602,-7.842
13.533,-6.862,-6.716
13.543,-7.786,-6.683
13.553,-7.271,-7.967
13.563,-6.723,-7.553
13.574,-6.938,-7.387
13.584,-7.332,-7.273
13.594,-6.987,-6.907
13.604,-6.371,-7.561
13.642,-6.299,-7.753
13.681,-6.383,-7.248
13.719,-6.852,-7.296
13.758,-6.905,-7.202
13.796,-7.124,-7.193
13.834,-6.593,-7.018
13.873,-7.462,-7.27
13.911,-7.105,-6.991
13.949,-7.245,-6.894
13.988,-6.108,-5.991
14.026,-6.302,-7.303
14.064,-6.446,-6.798
14.103,-6.5,-7.184
14.141,-6.19,-7.022
14.179,-6.509,-7.257
14.218,-6.613,-7.001
14.256,-8.7,-7.43
14.295,-8.577,-6.692
14.333,-8.697,-7.623
14.371,-8.527,-7.858
14.41,-8.845,-8.085
14.413,-4.465,-2.647
14.416,-4.955,-2.95
14.419,-5.645,-5.643
14.422,-4.312,-5.286
14.426,-4.356,-5.698
14.429,-4.963,-6.553
14.432,-4.014,-5.809
14.435,-4.523,-7.512
14.438,-4.536,-7.779
14.442,-5.463,-6.642
14.445,-5.704,-7.753
14.448,-5.924,-8.576
14.451,-5.77,-9.18
14.456,-5.108,-8.081
14.461,-5.673,-9.165
14.467,-5.731,-9.129
14.472,-5.215,-8.064
14.477,-5.428,-8.165
14.482,-6.166,-9.476
14.487,-5.467,-8.115
14.493,-5.457,-8.292
14.498,-5.601,-7.723
14.503,-6.11,-8.74
14.508,-6.158,-8.451
14.513,-5.997,-7.613
14.518,-5.584,-8.214
14.524,-5.436,-8.408
14.542,-5.377,-8.56
14.56,-5.87,-9.125
14.577,-5.72,-8.663
14.595,-6.113,-8.753
14.613,-4.943,-7.556
14.631,-5.552,-8.885
14.649,-5.754,-8.87
14.666,-5.91,-9.44
14.684,-5.276,-7.891
14.702,-6.06,-8.801
14.72,-5.975,-8.843
14.738,-5.861,-8.482
14.755,-6.136,-8.859
14.773,-6.142,-8.843
14.791,-6.317,-8.521
14.809,-6.533,-9.488
14.827,-5.888,-9.405
14.844,-5.048,-6.726
14.862,-5.78,-7.807
14.88,-5.463,-8.387
14.898,-5.33,-8.203
14.916,-4.901,-7.414
14.933,-4.814,-7.514
14.951,-5,-7.912
14.969,-4.684,-7.317
14.987,-4.908,-7.716
15.005,-5.095,-7.861
15.022,-4.853,-7.626
15.04,-4.916,-8.016
15.058,-4.699,-7.054
15.076,-5.019,-7.802
15.093,-4.521,-6.93
15.111,-1.968,-5.607
15.129,-1.208,-4.653
15.147,-1.999,-6.259
15.214,-2.909,-7.047
15.281,-2.802,-7.104
15.348,-2.847,-7.687
15.415,-2.75,-7.396
15.482,-2.878,-7.553
15.549,-2.764,-7.251
15.616,-2.589,-7.378
15.684,-3.597,-8.326
15.751,-3.026,-7.882
