/* DESCRIPTION:
Reference:	Schulz, H., von Rad, U. and H. Erlenkeuser, 1998. Correlation between Arabian Sea and Greenland climate oscillations for the past 110,000 years. Nature, 393: 54-57, https://doi.org/10.1038/31750
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5937
Comment:	Data was not modified in any way.
*/
Depth [cm]	Age [kyr BP]	TOC [%]
1085	41.75	2.26
1087.5	41.85	2.49
1090	41.94	2.58
1092.5	42.03	2.83
1095	42.13	3.21
1097.5	42.22	3.66
1100	42.31	3.37
1102.5	42.41	3.69
1105	42.5	3.91
1107.5	42.54	3.83
1110	42.59	3.85
1112.5	42.63	3.74
1115	42.68	2.33
1117.5	42.72	2.18
1120	42.77	2.21
1122.5	42.81	2.32
1125	42.86	2.18
1127.5	42.9	2.09
1130	42.94	2.06
1132.5	42.99	2.54
1135	43.03	2.25
1137.5	43.08	2.4
1140	43.12	2.49
1142.5	43.17	2.35
1145	43.21	2.46
1147.5	43.26	2.93
1150	43.3	3.2
1152.5	43.52	2.61
1155	43.74	3.2
1157.5	43.97	3.83
1160	44.19	4.12
1162.5	44.41	4.03
1165	44.63	4.12
1167.5	44.86	4.23
1170	45.08	4.45
1172.5	45.3	4.48
1175	45.38	4.11
1177.5	45.45	3.16
1180	45.53	1.87
1182.5	45.6	1.51
1185	45.68	1.43
1187.5	45.75	1.23
1190	45.83	1.2
1192.5	45.9	1.2
1195	45.94	1.42
1197.5	45.97	1.49
1200	46.01	1.38
1202.5	46.05	1.64
1205	46.09	1.41
1207.5	46.12	1.36
1210	46.16	1.31
1212.5	46.2	1.29
1215	46.23	1.37
1217.5	46.27	1.41
1220	46.31	1.44
1222.5	46.34	1.69
1225	46.38	1.44
1227.5	46.42	1.54
1230	46.46	1.79
1232.5	46.49	1.61
1235	46.53	1.65
1237.5	46.57	1.73
1240	46.6	1.75
1242.5	46.64	2
1245	46.68	1.73
1247.5	46.71	1.98
1250	46.75	2.4
1252.5	46.79	2.46
1255	46.83	2.79
1257.5	46.86	3.29
1260	46.9	3.39
1262.5	47.16	2.63
1265	47.42	3.67
1267.5	47.68	3.59
1270	47.94	3.59
1272.5	48.21	3.41
1275	48.47	3.27
1277.5	48.73	3.35
1280	48.99	3.23
1282.5	49.25	3.16
1285	49.51	3.26
1287.5	49.77	3.07
1290	50.03	3.1
1292.5	50.29	3.01
1295	50.56	2.88
1297.5	50.82	2.55
1300	51.08	2.69
1302.5	51.34	2.57
1305	51.6	2.44
1307.5	51.76	2.38
1310	51.92	2.26
1312.5	52.07	1.32
1315	52.23	1.3
1317.5	52.39	1.29
1320	52.55	1.19
1322.5	52.71	1.31
1325	52.87	1.75
1327.5	53.03	1.71
1330	53.18	1.5
1332.5	53.34	1.78
1335	53.5	2.79
1337.5	53.8	1.57
1340	54.1	1.33
1342.5	54.4	1.48
1345	54.7	1.44
1347.5	55	1.92
1350	55.3	2.37
1352.5	55.6	2.55
1355	55.9	2.57
1357.5	56.2	2.69
1360	56.42	2.59
1362.5	56.63	1.69
1365	56.85	1.18
1367.5	57.07	1.18
1370	57.28	1.7
1372.5	57.5	2.42
1375	57.8	1.08
1377.5	58.1	0.99
1380	58.4	0.88
1382.5	58.7	0.91
1385	59	0.75
1387.5	59.3	0.75
1390	59.6	0.67
1392.5	59.9	0.71
1395	60.2	0.79
1397.5	60.5	0.77
1400	60.8	0.76
1402.5	60.89	0.8
1405	60.98	0.77
1407.5	61.08	0.87
1410	61.17	0.9
1412.5	61.26	0.94
1415	61.35	0.97
1417.5	61.44	1.43
1420	61.53	1.45
1422.5	61.62	2.06
1425	61.72	1.11
1427.5	61.81	1.1
1430	61.9	0.96
1432.5	61.99	1.21
1435	62.08	1.4
1437.5	62.18	1.43
1440	62.27	1.53
