/* DESCRIPTION:
Reference:	Barker, S., & Diz, P. (2014). Timing of the descent into the last Ice Age determined by the bipolar seesaw. Paleoceanography, 29(6), 489-507, https://doi.org/10.1002/2014PA002623
Data from:	https://doi.org/10.1002/2014PA002623. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age GICC05/NALPSSpeleo (Kyr)	G. bulloides d18O	%NPS/totPD
83.667	2.53	40.00
83.892	2.41	12.50
84.116	2.47	36.36
84.340	2.48	
84.564	2.46	15.00
84.789	2.55	0.00
85.013	2.47	0.00
85.201	2.60	
85.352	2.54	
85.503	2.47	
85.654	2.63	
85.805	2.40	
85.956		
86.107		
86.258		
86.409		
86.560	2.36	
86.711	2.58	
86.862		
87.013	2.30	
87.164		
87.315	2.46	
87.466		
87.617		
87.768		
87.919		
88.070		
88.221		
88.372	2.33	22.73
88.523	2.33	26.32
88.674	2.30	32.56
88.822	2.77	18.75
88.965	2.67	27.27
89.108	2.85	13.33
89.251	2.75	10.71
89.394	2.87	24.49
89.538	3.04	17.95
89.681	3.18	26.32
89.824	3.02	3.33
89.967	3.07	3.85
90.110	2.80	23.40
90.254	2.75	58.06
90.397	2.83	57.50
90.540	2.84	5.26
90.683	2.76	36.36
90.826	2.69	
90.970	2.71	68.49
91.113	2.87	69.57
91.256	2.83	50.00
91.399	2.89	4.76
91.542	2.76	38.64
91.686	2.77	
91.829	2.64	56.25
91.972	2.58	
92.115	2.68	15.00
92.258	2.68	13.51
92.402	2.64	31.58
92.545	2.58	14.29
92.688	2.51	18.18
92.831	2.60	10.26
92.974	2.76	11.11
93.118	2.96	0.00
93.261	2.54	16.13
93.404	2.62	12.50
93.547	2.77	6.67
93.691	2.89	6.25
93.834	2.88	
93.977	2.76	
94.120	2.76	18.75
94.263	2.79	
94.407	2.71	18.18
94.550	2.81	
94.693	2.54	
94.836	2.71	
94.979	2.65	
95.123	2.79	
95.266	2.62	
95.409	2.68	
95.552	2.68	
95.695	2.56	
95.839	2.66	
95.982	2.68	
96.125	2.63	
96.268	2.58	
96.411	2.59	
96.555	2.60	
96.698	2.65	
96.841	2.40	
96.984	2.63	
97.127	2.43	
97.271	2.79	
97.414	2.46	
97.557	2.53	
97.700	2.36	
97.843	2.13	
97.987	2.06	
98.130	2.39	
98.273	2.75	
98.416	3.01	
98.559	3.33	
98.703	3.14	
98.846	3.34	
