# DESCRIPTION:
# Reference: Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton. 2006. Paleoclimate history of Galápagos surface waters over the last 135,000 yr., Quaternary Science Reviews, Vol. 25, Issues 11-12, June 2006, pp. 1152-1167, doi:10.1016/j.quascirev.2005.11.010.
# Data from: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/lea2006/
# Comment: Mg/Ca and d18Ow from the original dataset are not included here.

Depth [cm],Age [ky],SST [C],G. ruber d18O,Uvigerina d18O
797,111.3,24.9,-1.35,3.79
799,111.9,25.4,-1.65,3.64
801,112.4,23.5,#N/A,3.6
803,113,23.9,-1.55,3.42
805,113.5,23.8,-1.6,3.47
807,114.1,24.6,-1.89,3.47
809,114.7,24.7,-1.7,3.37
811,115.2,24.7,-1.82,3.36
813,115.8,25.4,-1.44,3.42
815,116.3,25.5,-1.68,3.48
817,116.9,24.7,-1.83,3.66
819,117.5,24.1,-1.64,3.24
821,118,25.2,-1.45,3.25
823,118.6,25.4,-1.74,3.23
825,119.2,25.4,-2.14,3.18
827,119.7,25,-1.57,3.22
829,120.3,26.5,-2.02,3.18
831,120.9,26.3,-1.84,3.26
833,121.4,25.9,-1.87,3.35
835,122,26.3,-2,3.14
837,122.5,25.6,-1.9,3.14
839,123.1,26.3,-1.86,#N/A
841,123.7,26.5,-2.15,3.07
843,124.2,25.8,-2.07,3.45
845,124.8,25.5,-2.07,3.17
847,125.4,26.7,-1.93,3.27
849,125.9,26.4,-1.96,3.21
851,126.5,27,-1.75,3.15
853,127.1,28.1,-1.44,3.32
855,127.6,27.2,-1.41,3.39
857,128.2,27,-1.41,3.37
859,128.7,26.9,-1.31,3.56
861,129.3,26.8,-1.43,3.63
863,129.9,27.2,-1.24,3.89
865,130.4,26.2,-1.14,4.03
867,131,25.5,-0.82,4.17
869,131.6,26.6,-1.15,4.09
871,132.1,26.1,-1.37,3.97
873,132.7,24.6,-1.14,4.1
875,133.3,25.5,-1.39,3.67
877,133.8,25.6,-1.72,3.97
879,134.4,25.4,-0.91,4.26
881.5,135.1,24.9,-0.16,4.51
