# DESCRIPTION:
# Reference: Cruz, F.W., Jr., S.J. Burns, I. Karmann, W.D. Sharp, M. Vuille, A.O. Cardoso, J.A. Ferrari, P.L. Silva Dias, and O. Viana, Jr. 2005. Insolation-driven changes in atmospheric circulation over the past 116,000 years in subtropical Brazil. Nature, 434, No. 7029, 63-66, https://doi.org/10.1038/nature03365.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5431. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Depth,Age,d13C [per mil VPDB],d18O [per mil VPDB]
624,107.248,-4.71,-0.7
625,107.404,-5.1,-1.06
626,107.559,-5.7,-1.43
627,107.715,-5.53,-1.6
628,107.87,-4.92,-0.87
629,108.026,-5.4,-1.48
630,108.182,-5.81,-1.96
631,108.337,-5.45,-1.54
632,108.493,-5.32,-1.34
633,108.648,-5.73,-1.5
634,108.804,-5.7,-1.85
635,108.959,-5.33,-1.99
636,109.115,-5.65,-1.69
637,109.271,-5.81,-2.52
638,109.426,-5.75,-1.99
639,109.582,-5.79,-2.03
640,109.737,-5.67,-1.83
641,109.893,-5.32,-2.8
642,110.049,-5.21,-2.34
643,110.204,-5.84,-2.2
644,110.36,-5.44,-2.34
645,110.515,-5.22,-2.49
646,110.67,-5.53,-2.14
647,110.798,-5.34,-2.39
648,110.925,-5.44,-2.92
649,111.053,-5.76,-3.87
650,111.181,-5.28,-4.3
651,111.308,-5.13,-4.51
652,111.436,-5.15,-3.21
653,111.564,-4.92,-4.27
654,111.691,-4.82,-3.32
655,111.819,-4.98,-4.63
656,111.947,-5.66,-3.47
657,112.075,-5.38,-4.18
658,112.202,-5.54,-3.36
659,112.33,-4.93,-3.74
660,112.458,-5.35,-2.47
661,112.585,-5.13,-3.13
662,112.713,-5.2,-2.69
663,112.841,-4.86,-2.94
664,112.968,-4.9,-2.8
665,113.096,-5.25,-3.13
666,113.224,-5.73,-3.28
667,113.351,-5.37,-3.27
668,113.479,-5.75,-3.02
669,113.607,-5.41,-3.53
670,113.734,-5.44,-3.29
671,113.862,-5.88,-3.33
672,113.99,-6.37,-3.09
673,114.117,-5.85,-3.47
674,114.245,-6.11,-3.52
675,114.373,-5.89,-4.08
676,114.5,-6.24,-4.11
677,114.628,-6.43,-4.12
678,114.756,-6.15,-4.17
679,114.883,-6.35,-3.86
680,115.011,-5.88,-4.14
681,115.139,-6.8,-4.18
682,115.266,-6.06,-3.76
683,115.394,-5.44,-3.89
684,115.522,-5.86,-3.98
685,115.65,-5.64,-4.02
686,115.777,-5.75,-3.51
687,115.905,-5.49,-3.73
688,116.033,-5.91,-3.75
689,116.16,-5.88,-4.02
