# DESCRIPTION:
# Reference: Barker, Stephen (2021): Planktic foraminiferal and Ice Rafted Debris (IRD) counts from ODP Site 983. PANGAEA, https://doi.org/10.1594/PANGAEA.929721
# Data from: https://doi.org/10.1594/PANGAEA.929721. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m] (MCD_TOP),Age [ka BP] (U1385 age),N. pachyderma s [%],IRD [#/g]
7.97,75.74706,53.37838,145.00142
7.99,75.81765,45.10638,227.16049
8.01,75.88824,57.14286,18.95454
8.03,75.95882,41.47157,12.60587
8.05,76.02941,34.89097,28.00875
8.07,76.1,49.5,82.31511
8.09,76.17059,34.54545,42.49668
8.11,76.24118,20.21858,10.0471
8.13,76.31176,26.5625,67.88907
8.15,76.38235,12.54902,10.43365
8.17,76.45294,11.70825,39.82576
8.19,76.52353,11.79775,29.53392
8.21,76.59412,12.47113,30.37206
8.23,76.66471,18.18182,7.86434
8.25,76.73529,19.54023,24.66852
8.27,76.80588,13.95349,20.13423
8.29,76.87647,10.84656,25.08165
8.31,76.94706,14.96815,32.40506
8.33,77.01765,12.87425,8.31817
8.35,77.08824,20.15209,79.12224
8.37,77.15882,19.10377,49.77532
8.39,77.22941,34.87654,41.36148
8.41,77.3,58.03279,217.52853
8.43,77.45946,69.97389,405.28963
8.45,77.61892,52.99145,329.72109
8.47,77.77838,54.54545,352.50918
8.49,77.93784,65.22727,199.89589
8.51,78.0973,84.71545,236.62462
8.53,78.25676,84.3985,55.8952
8.55,78.41622,80.56872,89.08332
8.57,78.57568,77.00535,39.13894
8.59,78.73514,75.97536,28.93309
8.61,78.89459,66.13636,63.08526
8.63,79.05405,66.90141,25.83145
8.65,79.21351,81.23167,21.15003
8.67,79.37297,84.13547,90.2498
8.69,79.53243,84.78261,35.81421
8.71,79.69189,87.70642,35.94159
8.73,79.85135,89.8167,47.05882
8.75,80.01081,82.8877,16.02404
8.77,80.17027,87.08861,55.18431
8.79,80.32973,75.29762,25.4372
8.81,80.48919,75.87822,57.42485
8.83,80.64865,67.12329,57.63689
8.85,80.80811,58.33333,30.49555
8.87,80.96757,67.54564,20.78259
8.89,81.12703,57.70609,48.23636
8.91,81.28649,63.49558,44.92804
8.93,81.44595,58.62069,15.18387
8.95,81.60541,63.19218,48.43592
8.97,81.76486,59.29648,60.26365
8.99,81.92432,64.77833,51.87086
9.01,82.08378,62.02532,24.32998
9.03,82.24324,58.92351,83.40121
9.05,82.4027,58.23171,49.4686
9.07,82.56216,51.7134,35.32659
9.09,82.72162,56.15616,89.88764
9.11,82.88108,51.82724,13.71331
9.13,83.04054,54.16667,74.66169
9.15,83.2,58.56777,126.60732
9.17,83.73964,61.88119,392.83887
