# DESCRIPTION:
# Reference: Lauterbach, Stefan; Andersen, Nils; Wang, Yiming V; Blanz, Thomas; Larsen, Thomas; Schneider, Ralph R (2020): An ~130 kyr Record of Surface Water Temperature and δ18O From the Northern Bay of Bengal: Investigating the Linkage Between Heinrich Events and Weak Monsoon Intervals in Asia. Paleoceanography and Paleoclimatology, 35(2), https://doi.org/10.1029/2019PA003646.
# Data from: https://doi.org/10.1594/PANGAEA.912674. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.912678. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],SST [°C],Foram benth δ18O [‰ PDB],Foram plankt δ18O [‰ PDB]
4.505,49.347,22.13,NaN,NaN
4.525,49.539,22.35,4.185,-1.356
4.545,49.731,23.17,NaN,NaN
4.565,49.924,23.74,NaN,NaN
4.585,50.116,24.09,4.277,-1.753
4.605,50.308,24.04,NaN,NaN
4.625,50.501,22.91,4.09,-1.641
4.645,50.693,24.91,NaN,NaN
4.665,50.886,23.52,NaN,NaN
4.685,51.078,24.74,4.062,-1.726
4.705,51.271,25.26,NaN,NaN
4.725,51.463,24.65,4.124,-2.063
4.745,51.656,24.83,NaN,NaN
4.765,51.849,25.39,NaN,NaN
4.785,52.041,26.61,3.864,-2.066
4.805,52.234,26,NaN,NaN
4.825,52.426,26.43,3.987,-1.679
4.845,52.619,26.91,NaN,NaN
4.865,52.811,26.04,NaN,NaN
4.885,53.003,26.61,4.02,-1.922
4.905,53.196,25.96,NaN,NaN
4.925,53.388,26.26,4.035,-1.82
4.945,53.58,25.87,NaN,NaN
4.965,53.773,25.7,NaN,NaN
4.985,53.965,25.39,3.913,-1.708
5.005,54.125,25.78,NaN,NaN
5.025,54.285,25.3,4.118,-1.589
5.045,54.445,25.43,NaN,NaN
5.065,54.605,25.39,NaN,NaN
5.085,54.764,24.78,4.09,-1.603
5.105,54.924,24.26,NaN,NaN
5.125,55.084,24.48,4.131,-1.674
5.145,55.244,25.09,NaN,NaN
5.165,55.404,24.87,NaN,NaN
5.185,55.564,24.43,4.143,-1.299
5.205,55.724,25.74,NaN,NaN
5.225,55.884,24.65,4.246,-1.701
5.245,56.044,23.48,NaN,NaN
5.265,56.204,23.96,NaN,NaN
5.285,56.364,24.22,4.088,-1.837
5.305,56.524,24,NaN,NaN
5.325,56.684,24.7,3.897,-1.769
5.345,56.844,25.13,NaN,NaN
5.365,57.004,24.96,NaN,NaN
5.385,57.164,24.91,3.828,-1.524
5.405,57.323,25.39,NaN,NaN
5.425,57.483,24.22,3.878,-1.508
5.445,57.643,26.26,NaN,NaN
5.465,57.803,25.26,NaN,NaN
5.485,57.963,25.83,3.615,-1.31
5.505,58.123,26.26,NaN,NaN
5.525,58.283,26.3,4.06,-1.303
5.545,58.443,25.91,NaN,NaN
5.565,58.602,26.39,NaN,NaN
5.585,58.762,26.52,3.834,-1.213
5.605,58.922,26.91,NaN,NaN
5.625,59.082,25.87,3.795,-1.32
5.645,59.242,24.39,NaN,NaN
5.665,59.401,25.87,NaN,NaN
5.685,59.561,26.83,3.924,-1.091
5.705,59.721,26.39,NaN,NaN
5.725,59.881,25.83,3.807,-1.082
5.745,60.041,25.09,NaN,NaN
5.765,60.201,25.61,NaN,NaN
5.785,60.361,24.96,3.772,-1.245
5.805,60.61,25.26,NaN,NaN
5.825,60.858,26.22,3.997,-1.249
5.845,61.105,25.83,NaN,NaN
5.865,61.353,26,NaN,NaN
5.885,61.601,25.7,NaN,NaN
5.905,61.849,25.26,NaN,NaN
5.925,62.097,25.83,4.14,-1.46
5.945,62.345,25.39,NaN,NaN
5.965,62.592,26.43,NaN,NaN
5.985,62.84,26.39,4.001,-1.502
6.005,63.088,26.48,NaN,NaN
6.025,63.336,26.87,4.085,-1.446
6.045,63.584,27.17,NaN,NaN
6.065,63.831,27.26,NaN,NaN
