# DESCRIPTION:
# Reference: Westerhold, T., Marwan, N., Drury, A. J., Liebrand, D., Agnini, C., Anagnostou, E., ... & Zachos, J. C. (2020). An astronomically dated record of Earth’s climate and its predictability over the last 66 million years. Science, 369(6509), 1383-1387, https://doi.org/10.1126/science.aba6853
#Data from: https://doi.org/10.1126/science.aba6853. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

age_tuned [Ma BP],d18O interp,d13C interp,d18O LOESS LongTerm,d13C LOESS LongTerm
0.342,4.677,-1.230,4.45408,-0.49248
0.344,4.925,-1.085,4.45381,-0.49205
0.346,5.200,-0.520,4.45356,-0.49163
0.348,4.420,-1.080,4.4533,-0.49121
0.350,5.010,-0.710,4.45305,-0.49082
0.352,4.760,-1.330,4.45281,-0.49043
0.354,4.870,-0.803,4.45257,-0.49006
0.356,4.780,-1.237,4.45233,-0.4897
0.358,4.910,-1.100,4.45209,-0.48936
0.360,4.895,-1.215,4.45186,-0.48903
0.362,4.880,-1.330,4.45163,-0.48871
0.364,4.900,-1.085,4.4514,-0.48842
0.366,4.920,-0.840,4.45118,-0.48814
0.368,4.825,-0.340,4.45095,-0.48788
0.370,4.670,-0.370,4.45073,-0.48763
0.372,4.710,-0.730,4.45051,-0.4874
0.374,4.740,-0.335,4.45029,-0.4872
0.376,4.700,-0.880,4.45008,-0.48701
0.378,4.543,-0.430,4.44986,-0.48684
0.380,4.470,-0.500,4.44964,-0.48669
0.382,4.680,-0.630,4.44942,-0.48657
0.384,4.447,-0.533,4.44921,-0.48646
0.386,4.600,-0.070,4.44899,-0.48638
0.388,4.420,-0.480,4.44877,-0.48632
0.390,4.287,0.008,4.44855,-0.48628
0.392,4.320,-0.010,4.44833,-0.48626
0.394,4.295,0.005,4.44811,-0.48627
0.396,4.080,0.030,4.44789,-0.48631
0.398,4.250,-1.185,4.44767,-0.48637
0.400,4.133,-0.430,4.44746,-0.48642
0.402,3.740,0.250,4.44731,-0.48643
0.404,3.445,0.245,4.44719,-0.48639
0.406,3.895,0.180,4.44711,-0.48632
0.408,3.600,-0.020,4.44707,-0.48621
0.410,3.402,0.178,4.44708,-0.48606
0.412,3.677,-0.405,4.44712,-0.48588
0.414,3.807,-0.353,4.44719,-0.48566
0.416,4.430,-0.944,4.4473,-0.48542
0.418,4.518,-0.870,4.44744,-0.48514
0.420,4.500,-0.886,4.44762,-0.48484
0.422,4.482,-0.903,4.44783,-0.48451
0.424,5.359,-1.266,4.44806,-0.48415
0.426,5.265,-1.196,4.44833,-0.48378
0.428,4.813,-0.597,4.44862,-0.48338
0.430,4.812,-0.758,4.44894,-0.48296
0.432,5.019,-1.010,4.44928,-0.48252
0.434,4.957,-1.058,4.44965,-0.48207
0.436,5.010,-1.215,4.45003,-0.48161
0.438,4.913,-0.833,4.45044,-0.48113
0.440,4.904,-0.732,4.45087,-0.48064
0.442,4.895,-0.630,4.45132,-0.48014
0.444,4.650,-0.470,4.45178,-0.47964
0.446,4.645,-0.395,4.45226,-0.47913
0.448,4.640,-0.320,4.45276,-0.47861
0.450,4.710,-0.439,4.45326,-0.47809
0.452,4.780,-0.558,4.45378,-0.47757
0.454,4.850,-0.677,4.45432,-0.47706
0.456,4.960,-0.580,4.45486,-0.47654
0.458,4.753,-0.617,4.45541,-0.47603
0.460,4.547,-0.653,4.45596,-0.47552
0.462,4.340,-0.690,4.45653,-0.47503
0.464,4.800,-0.750,4.45709,-0.47454
0.466,4.745,-0.650,4.45766,-0.47406
0.468,4.612,-0.520,4.45824,-0.4736
0.470,4.480,-0.390,4.45881,-0.47315
0.472,4.510,0.220,4.45938,-0.47272
0.474,4.360,0.155,4.45995,-0.4723
0.476,4.305,0.146,4.46052,-0.4719
0.478,4.249,0.137,4.46109,-0.47153
0.480,4.194,0.128,4.46165,-0.47118
0.482,4.139,0.119,4.4622,-0.47085
0.484,4.083,0.110,4.46274,-0.47055
0.486,4.200,0.050,4.46328,-0.47028
0.488,3.815,0.305,4.4638,-0.47003
0.490,3.890,0.024,4.46432,-0.46982
0.492,3.965,-0.257,4.46482,-0.46964
0.494,3.985,-0.115,4.4653,-0.4695
0.496,4.010,0.230,4.46577,-0.46939
0.498,4.610,-0.430,4.46623,-0.46932
0.500,4.334,-0.006,4.46666,-0.46929
0.502,4.250,-0.120,4.46708,-0.46931
0.504,4.270,-0.023,4.46748,-0.46936
0.506,4.490,-0.073,4.46785,-0.46946
0.508,4.293,0.047,4.4682,-0.46961
0.510,4.285,0.192,4.46853,-0.4698
0.512,4.310,0.205,4.46883,-0.47005
0.514,4.280,0.335,4.46911,-0.47034
0.516,4.270,-0.110,4.46936,-0.47069
0.518,4.192,0.240,4.46958,-0.4711
0.520,4.280,0.113,4.46976,-0.47156
0.522,4.220,-0.037,4.46992,-0.47208
0.524,4.393,-0.467,4.47005,-0.47266
0.526,4.328,-0.252,4.47013,-0.4733
0.528,4.512,-0.778,4.47019,-0.47401
0.530,4.629,-0.664,4.47021,-0.47478
0.532,4.783,-0.630,4.47022,-0.47565
0.534,4.952,-0.722,4.47026,-0.47666
0.536,4.868,-0.456,4.47033,-0.47779
0.538,4.892,-0.434,4.47042,-0.47905
0.540,4.850,-0.567,4.47054,-0.48042
0.542,4.817,-0.873,4.47068,-0.48192
0.544,4.703,-0.487,4.47084,-0.48352
0.546,4.670,-0.540,4.47102,-0.48524
0.548,4.500,-0.380,4.47123,-0.48706
0.550,4.493,-0.517,4.47145,-0.48898
0.552,4.600,-0.280,4.47169,-0.491
0.554,4.220,-0.840,4.47195,-0.49311
0.556,4.310,0.000,4.47223,-0.49531
0.558,4.470,-0.800,4.47252,-0.4976
0.560,3.720,-0.170,4.47282,-0.49997
0.562,4.475,-0.255,4.47314,-0.50241
0.564,4.145,-0.210,4.47347,-0.50493
0.566,4.490,-0.090,4.4738,-0.50752
0.568,4.163,-0.233,4.47415,-0.51018
0.570,3.720,0.210,4.47451,-0.5129
0.572,3.892,-0.228,4.47487,-0.51567
0.574,3.810,0.050,4.47524,-0.5185
0.576,3.745,0.140,4.47562,-0.52138
0.578,3.717,-0.460,4.476,-0.52431
0.580,3.560,-0.135,4.47638,-0.52728
0.582,4.056,-0.366,4.47677,-0.53028
0.584,4.490,-0.850,4.47715,-0.53332
0.586,4.518,-0.873,4.47754,-0.5364
0.588,4.565,-0.822,4.47792,-0.5395
0.590,4.583,-0.477,4.47831,-0.54262
0.592,4.920,-0.130,4.47869,-0.54576
0.594,4.500,-0.330,4.47906,-0.54892
0.596,4.360,-0.059,4.47943,-0.55209
0.598,4.283,-0.352,4.47979,-0.55526
0.600,4.369,0.021,4.48015,-0.55844
0.602,4.336,-0.497,4.48049,-0.56162
0.604,4.220,-0.380,4.48083,-0.5648
0.606,4.312,-0.262,4.48116,-0.56796
0.608,4.160,-0.440,4.48147,-0.57112
0.610,4.035,-0.246,4.48177,-0.57426
0.612,4.135,-0.280,4.48206,-0.57737
0.614,3.986,-0.182,4.48233,-0.58047
0.616,3.829,-0.329,4.48259,-0.58353
0.618,3.823,-0.213,4.48283,-0.58657
